date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,86,0.117920,57.103702,119.754449,0.012607,0.095689,-4.687080,-6.350000
2020-07-21,89,0.122970,60.939191,114.327943,0.011744,0.096525,4.292480,0.390000
2020-07-22,89,0.123920,61.634155,109.295794,0.010475,0.097435,0.765160,1.180000
2020-07-23,89,0.123770,61.448254,104.731116,0.009094,0.098201,-0.156490,0.050000
2020-07-24,88,0.121890,59.044486,100.004385,0.007741,0.098859,-1.638180,3.370000
2020-07-27,89,0.138770,64.512741,90.418666,0.007723,0.102306,-6.166700,12.120000
2020-07-28,93,0.148600,69.132810,86.833795,0.009004,0.103549,7.088400,21.910000
2020-07-29,87,0.139880,61.485693,83.504986,0.009296,0.104679,-5.898540,-2.580000
2020-07-30,88,0.140590,61.855667,80.130823,0.009279,0.105820,0.442960,-5.080000
2020-07-31,88,0.138800,60.283404,76.887819,0.009389,0.107089,-1.332880,0.020000
2020-08-03,87,0.137340,56.921458,67.106314,0.009651,0.110670,2.874200,-2.310000
2020-08-04,89,0.143020,60.224189,64.695371,0.009908,0.111963,4.140330,3.040000
2020-08-05,88,0.142690,59.936677,62.456638,0.009979,0.113235,-0.303220,-0.610000
2020-08-06,90,0.144050,60.767934,60.202348,0.009854,0.114447,0.941810,7.890000
2020-08-07,88,0.139160,56.248793,57.255594,0.009461,0.115587,-3.418240,1.330000
2020-08-10,88,0.143860,58.637819,50.633907,0.007640,0.119536,-1.049660,-0.130000
2020-08-11,84,0.137440,52.600425,47.439965,0.006801,0.120613,-4.365070,-1.240000
2020-08-12,83,0.137400,52.564112,44.654207,0.005742,0.121702,-0.018920,-5.750000
2020-08-13,87,0.141250,55.731911,41.547939,0.003799,0.122875,2.724380,-2.750000
2020-08-14,84,0.138340,52.858596,38.663547,0.003836,0.124008,-2.108720,-3.840000
2020-08-17,84,0.140920,55.390573,31.780708,0.003099,0.127590,1.768600,-0.230000
2020-08-18,80,0.137430,51.355435,29.573286,0.003168,0.128661,-2.408070,-0.660000
2020-08-19,65,0.129280,43.403634,28.425665,0.003981,0.129584,-5.931880,-6.520000
2020-08-20,75,0.133640,48.038864,27.414020,0.004198,0.130338,3.350890,-3.490000
2020-08-21,59,0.123760,40.036873,26.997339,0.005317,0.130926,-7.320870,-12.180000
2020-08-24,61,0.124490,42.124986,26.707010,0.007379,0.132460,2.391000,-6.850000
2020-08-25,54,0.113290,34.560578,27.763587,0.008779,0.132621,-9.020680,-8.460000
2020-08-26,57,0.115290,36.744952,28.744694,0.009496,0.132576,1.709790,-7.970000
