date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-01,59,52.580000,47.944769,114.715426,1.715232,53.709400,-0.095003,1.250000
2020-07-02,59,52.340000,47.084902,111.079003,1.723503,53.637800,-1.310000,4.470000
2020-07-06,62,53.400000,51.243990,107.725623,1.721622,53.587800,0.945180,6.210000
2020-07-07,60,52.930000,49.390303,104.659826,1.722229,53.522800,-0.656910,0.610000
2020-07-08,61,53.430000,51.404256,101.530933,1.586938,53.461600,0.792300,1.620000
2020-07-09,79,57.255000,63.402392,98.956486,1.563280,53.496500,6.980000,9.390000
2020-07-10,73,55.880000,57.871024,96.608750,1.654695,53.540900,-2.880000,4.640000
2020-07-13,68,53.590000,50.040886,93.653562,1.654902,53.564900,-5.450000,1.250000
2020-07-14,69,54.720000,53.392052,90.513836,1.656385,53.661700,2.660000,2.410000
2020-07-15,71,55.340000,55.168933,87.660161,1.693289,53.717300,0.691410,-3.340000
2020-07-16,70,54.920000,53.676066,85.010319,1.706442,53.771900,0.438920,-1.720000
2020-07-17,71,55.040000,54.058583,82.638597,1.734897,53.829500,-0.488160,2.710000
2020-07-20,77,57.460000,61.044588,80.663321,1.927051,53.939700,4.040000,5.010000
2020-07-21,75,57.000000,59.201754,78.952970,2.044191,54.015900,-1.390000,3.000000
2020-07-22,85,61.790000,69.520185,77.767223,2.677798,54.136900,8.270000,12.510000
2020-07-23,78,59.570000,61.728043,76.701252,2.878263,54.253100,-3.340000,8.230000
2020-07-24,91,69.400000,75.058675,76.360850,4.254708,54.597500,8.130000,20.780000
2020-07-27,90,68.970000,73.846954,76.155589,4.986063,54.886700,-0.447460,21.000000
2020-07-28,87,67.610000,69.998005,75.637711,5.336360,55.154900,-0.719530,9.420000
2020-07-29,93,76.090000,77.776077,75.633098,6.608421,55.584900,0.781460,27.730000
2020-07-30,93,78.200000,79.219672,75.720262,7.731119,56.039500,3.750000,12.680000
2020-07-31,91,77.430000,77.247690,75.801199,8.431387,56.460300,-1.580000,12.270000
2020-08-03,92,77.670000,77.436224,75.876355,8.978815,56.920700,-0.665050,14.880000
2020-08-04,93,85.040000,82.289486,76.297810,9.989032,57.518100,8.980000,11.760000
2020-08-05,92,85.310000,82.438512,76.709847,10.720659,58.160500,0.411960,9.090000
2020-08-06,93,86.710000,83.226650,77.119945,11.493925,58.839900,1.430000,11.990000
2020-08-07,91,84.850000,78.205021,76.604054,11.835875,59.502100,-2.100000,9.240000
2020-08-10,88,82.240000,71.670206,74.848200,11.697485,60.070900,-3.300000,-3.290000
2020-08-11,83,76.880000,60.491274,72.150125,11.261012,60.535900,-4.750000,-9.880000
2020-08-12,88,82.610000,66.505852,69.943948,10.943822,61.117300,5.330000,-4.730000
2020-08-13,87,81.840000,65.072250,68.047617,10.371391,61.699500,-1.250000,-3.550000
2020-08-14,87,81.300000,64.029839,66.060104,9.571869,62.272900,-0.623400,-1.140000
2020-08-17,89,82.420000,65.272426,64.214557,8.814009,62.859300,0.402000,7.210000
2020-08-18,87,81.660000,63.665238,62.301594,7.704348,63.433100,-1.380000,-1.150000
2020-08-19,86,81.090000,62.423777,60.297040,6.852920,63.927100,-0.838510,-0.920000
2020-08-20,88,82.770000,64.613966,57.915046,5.382571,64.433700,3.800000,1.810000
2020-08-21,88,83.810000,65.937555,56.040107,4.926944,65.053300,0.624320,1.690000
2020-08-24,88,83.080000,64.124465,54.490191,4.225026,65.644900,-1.740000,1.740000
2020-08-25,91,86.350000,68.325922,53.312775,3.093483,66.278300,3.590000,6.490000
2020-08-26,90,86.020000,67.467214,52.435376,2.918272,66.909500,-1.090000,3.930000
2020-08-27,87,83.800000,61.836919,50.639684,2.770212,67.494500,-2.950000,-0.010000
2020-08-28,90,85.550000,64.361707,48.972255,2.563628,68.124700,1.480000,2.970000
2020-08-31,92,90.820000,70.657332,48.711931,2.776924,68.856500,6.780000,5.180000
2020-09-01,91,92.180000,72.030487,48.470201,3.329301,69.604900,0.282850,7.160000
2020-09-02,90,90.220000,67.153094,48.525410,3.583423,70.329500,-4.030000,7.660000
2020-09-03,81,82.540000,52.229400,46.044409,3.558945,70.932500,-6.030000,-3.520000
2020-09-04,80,82.010000,51.380787,43.057787,3.582825,71.534100,0.687540,-9.700000
2020-09-08,75,78.690000,46.305351,40.284495,3.747756,72.105900,0.819990,-14.630000
2020-09-09,78,81.910000,51.327178,37.566488,3.431583,72.738500,0.626540,-9.210000
2020-09-10,73,78.980000,47.018029,35.267014,3.594217,73.265900,-4.920000,-4.310000
2020-09-11,69,76.340000,43.476282,33.900984,3.932159,73.741100,-4.360000,-6.910000
2020-09-14,71,77.900000,46.061841,32.632529,4.096969,74.252300,1.430000,-1.000000
2020-09-15,71,78.930000,47.760932,30.987537,4.208108,74.762900,1.640000,-3.640000
2020-09-16,67,76.660000,44.438521,29.460044,4.436431,75.237500,-3.390000,-2.940000
2020-09-17,67,76.550000,44.277783,28.635065,4.638983,75.699900,2.230000,0.280000
2020-09-18,56,74.930000,41.875493,27.601705,4.942511,76.053400,-2.690000,-3.810000
2020-09-21,68,77.940000,47.567630,26.438759,5.021556,76.494600,5.000000,-1.250000
2020-09-22,66,77.700000,47.170969,25.071389,5.103675,76.976800,-0.848590,1.360000
2020-09-23,54,74.730000,42.453080,24.085049,5.212986,77.377000,-3.440000,-2.380000
2020-09-24,56,75.820000,44.641409,23.304410,5.217386,77.786600,1.720000,1.190000
2020-09-25,59,78.055000,48.929797,22.197473,5.197466,78.249300,2.230000,0.150000
2020-09-28,68,79.480000,51.509037,20.642961,5.064736,78.738100,0.459450,2.290000
2020-09-29,71,81.770000,55.406656,20.128034,4.456202,79.224300,3.110000,9.420000
2020-09-30,71,81.990000,55.774433,19.767926,3.469719,79.724100,0.293580,8.140000
2020-10-01,75,84.860000,60.366614,20.091926,2.733856,80.185500,2.170000,8.720000
2020-10-02,69,81.800000,53.936053,19.884461,2.688834,80.630100,-0.944540,2.920000
2020-10-05,75,86.150000,60.394911,20.149409,3.057984,80.965100,4.360000,5.360000
2020-10-06,72,84.480000,57.085633,20.652456,3.275647,81.275300,-2.010000,3.040000
2020-10-07,74,86.690000,60.194065,21.262646,3.611017,81.656900,0.685250,2.160000
2020-10-08,74,86.510000,59.814046,22.074786,3.908337,81.865300,-1.820000,5.760000
2020-10-09,68,83.100000,52.989004,21.233001,3.872433,81.963300,-1.940000,-3.540000
2020-10-12,66,84.290000,54.922056,20.451344,3.924312,82.100500,0.765090,-0.220000
2020-10-13,67,85.280000,56.523712,20.042536,4.030048,82.252700,0.494930,-1.630000
2020-10-14,69,84.210000,54.278953,19.435944,3.964602,82.236100,-1.920000,-2.660000
2020-10-15,68,83.130000,52.032792,18.418574,3.825981,82.192500,-0.323740,0.040000
2020-10-16,68,83.170000,52.111834,17.469441,3.511337,82.121700,-0.442900,-1.330000
2020-10-19,58,82.000000,49.540350,16.252664,3.382403,82.064700,-1.940000,-3.850000
2020-10-20,57,81.560000,48.569696,15.535111,3.223032,82.051100,-0.730280,-3.150000
2020-10-21,54,79.200000,43.631692,15.429599,2.807937,82.097500,-3.080000,-4.730000
2020-10-22,55,79.420000,44.201209,15.623589,2.455911,82.033700,-0.288760,-4.510000
2020-10-23,60,81.960000,50.428499,15.194365,2.209196,82.036100,1.270000,-0.050000
2020-10-26,68,82.230000,51.053827,14.716681,2.063330,82.054700,-0.387640,0.820000
2020-10-27,51,78.880000,43.689712,14.331014,2.250430,81.983900,-3.800000,-0.400000
2020-10-28,50,76.400000,39.183729,14.547382,2.671843,81.878700,-2.960000,-3.800000
2020-10-29,52,78.020000,43.297678,14.652092,2.815806,81.817300,1.650000,-4.810000
2020-10-30,49,75.290000,38.563465,15.371557,3.216837,81.667700,-2.330000,-8.440000
2020-11-02,48,74.700000,37.606451,16.174003,3.454916,81.485500,-1.520000,-5.300000
