date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,52,1703.760000,57.513905,121.400409,67.513242,1579.903000,-0.142420,6.940000
2020-07-07,49,1657.450000,52.528406,117.293717,52.210643,1585.796600,-1.420000,4.090000
2020-07-08,50,1661.300000,52.893989,113.300790,42.638137,1590.962800,-0.042118,0.150000
2020-07-09,51,1670.280000,53.787921,109.621997,37.571700,1595.582000,-0.096896,0.020000
2020-07-10,53,1707.400000,57.387731,106.269732,38.996266,1599.319400,2.810000,0.210000
2020-07-13,52,1686.760000,54.830152,103.226004,39.957092,1603.443200,-1.980000,1.770000
2020-07-14,52,1696.230000,55.803403,100.066747,41.493755,1608.392000,1.650000,2.100000
2020-07-15,59,1799.340000,64.717394,97.385082,52.966463,1616.112800,3.000000,7.730000
2020-07-16,53,1746.790000,58.267320,94.741203,56.573972,1623.184600,-1.160000,2.310000
2020-07-17,52,1732.190000,56.580099,92.155442,58.278191,1630.250200,-1.420000,2.690000
2020-07-20,50,1713.650000,54.424903,89.535846,58.582143,1635.645000,-0.600920,1.030000
2020-07-21,49,1711.710000,54.192288,87.154592,58.735883,1641.262600,-1.390000,-4.870000
2020-07-22,50,1720.540000,55.132265,84.656002,59.670345,1647.453400,0.150180,-1.500000
2020-07-23,48,1695.460000,51.876164,82.340159,57.957417,1653.644200,-1.500000,-2.120000
2020-07-24,49,1701.300000,52.578488,79.904570,56.265568,1660.348800,1.370000,-0.720000
2020-07-27,50,1702.830000,52.772948,77.656560,45.997416,1666.755200,0.721030,-0.520000
2020-07-28,48,1681.750000,49.746177,75.569123,40.271774,1672.704000,-0.860090,-2.250000
2020-07-29,52,1707.540000,53.276914,73.754883,32.617071,1675.706200,1.110000,0.710000
2020-07-30,50,1687.740000,50.352010,71.724520,31.316997,1678.509800,0.233990,-0.800000
2020-07-31,40,1662.130000,46.775037,69.294888,31.770530,1679.769400,-1.520000,-2.390000
2020-08-03,39,1650.240000,45.170638,67.038801,33.729087,1680.860600,-0.940630,-1.870000
2020-08-04,41,1675.130000,49.106062,65.028906,32.831724,1681.737200,2.080000,-1.900000
2020-08-05,53,1724.770000,55.903891,63.597974,31.943266,1681.294400,1.450000,2.190000
2020-08-06,55,1751.790000,59.105767,62.499582,32.613491,1682.355600,2.930000,5.390000
2020-08-07,54,1754.480000,59.421669,61.849170,34.164437,1684.465400,-3.250000,6.320000
2020-08-10,55,1768.580000,61.117168,61.017337,35.973307,1687.048600,0.487500,5.580000
2020-08-11,57,1805.100000,65.175809,60.642541,40.759516,1689.736000,-0.724310,4.660000
2020-08-12,57,1808.070000,65.491284,60.294518,41.647629,1692.797400,-0.453120,3.210000
2020-08-13,55,1792.970000,62.396396,59.597518,44.262016,1694.137400,-0.338510,2.190000
2020-08-14,54,1778.870000,59.565751,58.482752,45.916624,1694.862000,-0.063483,0.580000
2020-08-17,55,1752.920000,54.651807,57.039966,46.239233,1693.667600,-2.200000,-2.890000
2020-08-18,57,1778.910000,58.357170,55.566611,47.453800,1692.427600,1.650000,-1.610000
2020-08-19,52,1767.470000,56.181137,54.362462,48.081387,1692.217600,-0.871560,-1.420000
2020-08-20,53,1768.690000,56.367990,52.892033,47.916750,1692.925200,0.958390,-0.570000
2020-08-21,53,1779.370000,58.054232,51.651114,48.105315,1696.745200,0.928530,1.510000
2020-08-24,57,1834.440000,65.465542,51.091863,51.459803,1700.955600,1.710000,3.120000
2020-08-25,58,1853.800000,67.630817,50.778700,54.215485,1705.018200,0.968400,4.880000
2020-08-26,66,1866.970000,69.052344,50.733832,58.203230,1708.882800,1.530000,5.560000
2020-08-27,67,1893.500000,71.744282,51.047290,62.028799,1713.988000,0.048611,6.410000
2020-08-28,70,1945.250000,76.109619,51.577925,67.115326,1720.326000,2.590000,6.040000
2020-08-31,67,1910.450000,68.451094,52.070657,64.399505,1725.996800,-0.625240,3.060000
2020-09-01,72,1928.860000,70.161659,52.266376,63.421925,1731.903600,1.250000,3.310000
2020-09-02,73,1948.730000,71.930616,52.615118,66.505339,1737.336200,0.450000,2.920000
2020-09-03,68,1945.450000,71.180440,53.036054,69.260832,1744.038600,-0.343210,0.010000
2020-09-04,66,1917.740000,65.011789,53.292332,69.011052,1750.085600,-1.550000,0.380000
2020-09-08,64,1891.600000,59.751260,52.723199,67.634288,1757.092600,0.251210,-1.930000
2020-09-09,62,1871.070000,55.923875,50.465328,67.045403,1762.649600,-0.873090,-3.990000
2020-09-10,57,1816.590000,47.270618,48.075089,66.793063,1767.134600,-2.910000,-6.620000
2020-09-11,55,1783.740000,42.954675,44.888109,67.231042,1769.633600,-1.640000,-6.990000
2020-09-14,56,1784.590000,43.099445,41.928770,66.932028,1771.925800,-1.020000,-5.660000
2020-09-15,56,1787.000000,43.536963,39.442929,64.787164,1773.590600,-0.579170,-4.490000
2020-09-16,57,1806.660000,47.109750,37.550703,63.453777,1776.574800,0.370000,-0.550000
2020-09-17,55,1787.210000,44.134387,35.023037,62.224693,1779.093000,0.225440,0.190000
2020-09-18,42,1732.280000,37.022706,33.145794,65.215716,1780.333000,-3.290000,-2.930000
2020-09-21,37,1652.390000,29.561773,32.815327,77.265727,1779.232800,-1.420000,-7.530000
2020-09-22,39,1674.000000,33.467534,32.603925,86.074959,1778.977600,0.890780,-7.340000
