date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-26,73,534.850000,49.292216,122.097861,10.001754,517.033600,-1.340000,-3.320000
2020-06-29,72,532.870000,48.376559,118.392728,10.306685,518.153600,-1.320000,-3.930000
2020-06-30,76,544.090000,53.632826,114.986967,10.248847,519.619400,1.900000,1.020000
2020-07-01,75,544.320000,53.736815,111.827869,10.265492,521.018400,0.005512,-0.480000
2020-07-02,77,551.770000,57.093506,108.992355,10.317083,522.433800,-0.667890,3.160000
2020-07-06,79,557.550000,59.545923,106.386421,10.365404,524.160800,-0.437500,4.630000
2020-07-07,76,549.230000,54.699362,103.605266,10.119657,525.642600,-0.748140,0.940000
2020-07-08,78,557.610000,58.374289,101.022766,10.095206,526.861800,1.200000,2.440000
2020-07-09,76,549.440000,53.792561,98.362323,9.786266,527.895200,-0.905390,-0.420000
2020-07-10,77,554.080000,55.909158,95.891911,8.611599,528.749000,0.644830,-0.620000
2020-07-13,77,552.560000,55.020053,93.710072,7.209818,529.759400,-1.010000,0.610000
2020-07-14,79,561.330000,59.064966,91.652197,7.531833,531.302800,1.550000,0.670000
2020-07-15,81,568.590000,62.103156,89.875326,8.549479,533.044400,-0.644790,3.490000
2020-07-16,80,566.960000,61.008335,88.225373,9.200336,534.673800,0.293650,2.320000
2020-07-17,83,587.720000,68.600683,86.974188,12.096898,536.760200,1.620000,6.360000
2020-07-20,80,579.600000,63.400598,85.812373,13.407221,538.404400,-0.106860,3.250000
2020-07-21,79,580.000000,63.547187,84.733545,14.523375,540.028800,-0.812310,2.010000
2020-07-22,79,582.540000,64.518999,83.756929,15.656336,541.817400,0.380820,2.750000
2020-07-23,77,578.150000,61.468846,82.620965,15.699002,544.291600,-0.372210,-1.630000
2020-07-24,75,570.620000,56.532064,80.937746,15.638041,545.988000,-1.280000,-1.550000
2020-07-27,77,575.330000,58.763001,79.182136,14.825342,547.530600,1.160000,-0.810000
2020-07-28,76,570.700000,55.734772,77.551926,13.294546,548.670000,-0.384010,-2.030000
2020-07-29,78,577.600000,59.116120,76.190109,12.767079,549.893400,1.380000,-0.100000
2020-07-30,77,573.090000,56.099646,74.385054,11.855795,551.331200,0.663960,0.430000
2020-07-31,77,575.010000,57.103174,72.777475,11.414928,552.656600,0.468260,-0.060000
2020-08-03,79,579.950000,59.658368,71.532564,11.395730,554.085400,0.103560,1.620000
2020-08-04,76,571.040000,53.471685,69.474375,10.403673,555.240200,-0.454980,-1.140000
2020-08-05,79,582.150000,59.158959,67.887766,10.245673,556.410600,0.943280,1.580000
2020-08-06,80,582.230000,59.197635,66.414487,9.091270,557.327200,0.391410,1.260000
2020-08-07,82,588.190000,62.078745,65.224924,8.473687,558.354200,0.947360,1.420000
2020-08-10,80,580.200000,56.335690,64.120331,6.753030,559.385400,-1.030000,1.600000
2020-08-11,82,586.640000,59.581370,63.429630,6.124533,560.353600,0.228940,0.770000
2020-08-12,82,590.240000,61.312580,63.081421,6.308805,561.331600,-0.320870,1.380000
2020-08-13,82,589.560000,60.782988,62.758085,6.089519,562.168600,0.484050,0.230000
2020-08-14,82,588.460000,59.881923,62.126046,6.138196,563.014000,-0.025484,1.420000
2020-08-17,82,592.030000,61.858146,61.655185,6.666217,563.724000,0.186150,0.920000
2020-08-18,81,589.210000,59.370259,61.217957,6.916308,564.361600,-0.318060,-0.170000
2020-08-19,81,589.750000,59.704469,60.844913,7.163024,564.995400,-0.435570,0.030000
2020-08-20,79,583.360000,54.039720,59.396508,7.130849,565.501400,-0.259880,-0.870000
