date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,48,17.548890,56.003239,117.004848,0.975768,16.701069,-3.320000,2.110000
2020-07-21,50,17.719650,57.539196,112.983899,0.954780,16.698348,0.288870,3.560000
2020-07-22,52,18.071760,60.594093,109.299274,0.897622,16.715095,2.530000,5.350000
2020-07-23,56,18.695810,65.351965,106.087550,0.842738,16.738651,3.450000,3.750000
2020-07-24,59,19.213800,68.727206,103.355307,0.831133,16.772333,2.790000,9.490000
2020-07-27,60,19.650000,67.810238,93.457594,0.848672,16.891819,1.080000,5.100000
2020-07-28,71,20.151120,70.631290,90.332767,0.948059,16.948485,0.962930,4.880000
2020-07-29,68,19.880750,67.208960,87.431141,0.964418,16.999386,-1.120000,0.950000
2020-07-30,69,20.041840,68.197691,84.342927,1.001991,17.052814,0.679630,4.490000
2020-07-31,72,20.660840,71.725641,81.862774,1.089405,17.140789,3.310000,5.140000
2020-08-03,76,22.032480,73.567262,72.491484,1.481748,17.430568,5.280000,9.930000
2020-08-04,77,22.380630,74.935036,69.239466,1.598768,17.549455,1.210000,8.320000
2020-08-05,79,23.255150,78.012767,66.888143,1.731421,17.685621,4.630000,8.120000
2020-08-06,76,22.594940,70.931666,64.704772,1.742639,17.809204,-2.640000,8.040000
2020-08-07,74,22.400000,68.941811,61.490540,1.701100,17.934110,-1.540000,1.670000
2020-08-10,75,22.606010,67.513011,52.999864,1.546157,18.333957,0.199370,0.050000
2020-08-11,66,21.101260,54.047286,49.262197,1.402036,18.426288,-6.740000,-5.800000
2020-08-12,69,21.610310,57.160223,45.875921,1.295666,18.531355,2.650000,-5.520000
2020-08-13,71,21.750000,58.001012,42.830770,1.215682,18.646109,0.974740,-3.160000
2020-08-14,77,22.877290,64.120820,40.990075,1.198417,18.786229,4.670000,1.200000
2020-08-17,79,23.516400,67.094176,37.468765,1.053857,19.258101,0.377330,8.120000
2020-08-18,75,23.074510,62.739849,35.714766,0.951288,19.409707,-1.880000,0.860000
2020-08-19,69,22.397780,56.673819,33.585908,0.812285,19.548738,-3.000000,-1.970000
2020-08-20,73,23.038970,60.564327,31.769421,0.730792,19.693055,3.210000,-2.060000
2020-08-21,67,22.039290,52.629394,29.647705,0.705824,19.826823,-3.680000,-6.280000
2020-08-24,68,22.415800,54.983563,25.074501,0.625333,20.229479,2.830000,-2.700000
2020-08-25,62,21.468750,48.062892,23.544538,0.640994,20.333032,-4.370000,-2.590000
2020-08-26,68,22.333990,53.786062,22.110494,0.640125,20.444289,4.600000,0.860000
2020-08-27,72,23.047080,57.903244,20.945213,0.654722,20.559463,4.170000,5.590000
2020-08-28,72,23.090000,58.144943,20.393983,0.663410,20.685030,0.110730,3.010000
2020-08-31,73,23.184260,57.466869,19.741493,0.644582,21.017454,-2.650000,0.600000
2020-09-01,81,24.749710,65.735544,21.012799,0.749392,21.144604,7.520000,7.190000
2020-09-02,79,24.721550,65.488909,22.454805,0.819178,21.277057,-0.312590,7.580000
2020-09-03,45,20.426610,40.518820,21.158375,0.985957,21.334528,-17.020000,-13.280000
2020-09-04,50,21.015430,43.688805,20.431209,1.061299,21.411125,3.270000,-9.350000
2020-09-07,66,22.437800,50.838512,18.212173,1.249005,21.669210,-3.930000,9.850000
2020-09-08,70,23.233580,53.548949,17.060339,1.259452,21.782904,3.440000,10.550000
2020-09-09,76,24.416020,57.314795,16.464410,1.321870,21.916832,5.010000,25.620000
2020-09-10,74,24.557270,57.755382,16.586054,1.381796,22.046542,0.158700,5.330000
2020-09-11,79,25.331660,60.181942,15.851004,1.486316,22.179259,3.960000,12.900000
2020-09-14,87,31.062000,73.007817,20.726624,2.933597,22.824826,2.880000,26.490000
2020-09-15,79,27.165180,57.779811,21.216293,2.976015,22.975129,-10.360000,7.240000
2020-09-16,79,27.651960,58.932156,21.239621,3.043555,23.125146,3.130000,-2.860000
2020-09-17,72,26.500000,55.099503,21.378030,3.050718,23.257531,-6.650000,-14.070000
2020-09-18,73,26.871920,56.092354,21.506553,3.055588,23.394133,-1.700000,-13.490000
2020-09-21,49,23.016000,43.872598,20.037150,3.085455,23.657489,-12.400000,-13.150000
2020-09-22,62,24.036620,47.142502,19.375270,3.094197,23.697571,4.020000,-10.550000
2020-09-23,48,22.829060,43.884854,18.884926,2.951825,23.706540,-4.470000,-15.920000
2020-09-24,68,24.485820,49.083450,18.206103,2.794379,23.731153,7.690000,-6.130000
2020-09-25,69,24.583750,49.381955,17.363265,2.444225,23.770930,0.311290,6.810000
2020-09-28,78,26.908880,56.113587,15.785663,2.165493,23.995074,2.320000,9.900000
2020-09-29,85,28.931730,61.356215,16.247665,2.202871,24.121588,6.460000,17.690000
2020-09-30,84,29.236190,62.090257,16.945617,2.240209,24.284287,2.480000,11.740000
2020-10-01,77,27.386550,55.226941,16.471114,2.224034,24.399811,-5.920000,5.880000
2020-10-02,76,27.258590,54.775843,15.796295,2.193180,24.509983,-0.415350,1.300000
2020-10-05,79,28.566230,58.268749,15.141333,1.859245,24.835080,-1.910000,4.310000
2020-10-06,76,27.610000,54.311586,14.542032,1.857994,24.916952,-3.630000,1.290000
2020-10-07,75,27.531640,53.988020,13.730476,1.870962,25.006094,0.743470,-2.180000
2020-10-08,74,27.451960,53.638089,12.799485,1.879848,25.107178,-0.005136,-4.650000
2020-10-09,76,28.314460,56.895011,12.312876,1.913633,25.212688,1.880000,-0.880000
2020-10-12,85,30.657440,64.754959,13.244349,1.790554,25.636763,6.620000,11.680000
2020-10-13,84,30.705460,64.899629,14.647965,1.606578,25.802556,-1.290000,8.440000
2020-10-14,85,30.870000,65.423348,15.951322,1.558294,25.990581,0.317000,9.860000
2020-10-15,85,31.085630,66.136433,17.446376,1.471436,26.165614,0.262290,9.240000
2020-10-16,80,29.996820,59.467371,18.019209,1.416079,26.304608,-4.660000,-2.150000
2020-10-19,79,29.864240,57.302259,19.591853,1.302660,26.725585,-2.470000,-3.930000
2020-10-20,75,28.828390,51.504083,18.674485,1.302652,26.838468,-3.400000,-3.900000
