date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-02,34,178.830002,46.069569,123.823045,7.630237,181.283201,-0.897750,1.970000
2020-07-06,45,182.720001,52.406515,120.301055,6.464808,181.225001,-0.207540,3.120000
2020-07-07,46,181.149994,49.860063,116.922679,4.672500,181.117601,-0.477970,1.480000
2020-07-08,47,181.199997,49.943487,113.689737,3.165774,180.992401,0.432320,1.800000
2020-07-09,39,178.800003,45.988422,110.445717,1.863935,180.826001,-1.640000,-0.020000
2020-07-10,50,182.899994,52.856760,107.459128,1.947479,180.691801,2.600000,0.100000
2020-07-13,51,184.130005,54.717175,104.756099,2.138127,180.627201,0.174100,1.650000
2020-07-14,55,189.710007,62.036427,102.350043,2.989582,180.768001,4.000000,4.700000
2020-07-15,55,190.559998,63.017045,100.187547,3.698491,181.020201,-1.080000,6.580000
2020-07-16,54,191.009995,63.553789,98.113378,4.305270,181.319801,1.430000,4.430000
2020-07-17,53,190.759995,63.006698,96.192628,4.757927,181.687401,-0.526680,3.600000
2020-07-20,52,190.479996,62.359221,94.236274,5.077963,182.027401,0.242080,0.410000
2020-07-21,53,192.270004,64.846318,92.493181,5.476244,182.336201,0.982150,0.900000
2020-07-22,53,192.100006,64.411038,90.874594,5.794005,182.685401,0.166860,0.570000
2020-07-23,54,193.250000,66.070243,89.413504,5.980122,183.094201,0.803290,1.310000
2020-07-24,54,194.520004,67.852715,88.162368,6.224615,183.573201,0.657180,2.120000
2020-07-27,52,192.139999,61.348387,86.714737,5.972068,183.997401,-0.871900,-0.070000
2020-07-28,54,194.119995,64.405358,85.104067,5.860573,184.494801,1.690000,1.050000
2020-07-29,56,196.410004,67.597349,83.720035,5.884197,184.913801,1.230000,1.640000
2020-07-30,54,194.300003,62.073827,82.074012,5.597937,185.350001,0.449780,-0.110000
2020-07-31,55,195.779999,64.278666,80.631918,5.336465,185.745201,0.369120,1.890000
2020-08-03,58,199.259995,68.862456,79.558992,5.513452,186.231600,1.000000,2.650000
2020-08-04,58,200.240005,70.028828,78.562702,5.509166,186.737801,0.638290,1.950000
2020-08-05,61,203.619995,73.689428,77.873224,5.640372,187.203401,1.080000,4.800000
2020-08-06,62,205.020004,75.048806,77.269066,5.387515,187.588401,0.995080,4.720000
2020-08-07,65,209.479996,78.805613,76.922700,5.836625,188.076000,2.590000,5.130000
2020-08-10,67,212.580002,80.952366,76.741797,6.458108,188.616000,0.586740,6.160000
2020-08-11,66,212.660004,81.005836,76.685522,7.170547,189.192401,-0.968610,4.440000
2020-08-12,66,213.240005,81.413197,76.633266,7.748967,189.738401,0.065696,4.010000
2020-08-13,64,211.979996,77.523438,76.372510,8.055305,190.161600,-0.446150,1.190000
2020-08-14,63,210.960007,74.423558,75.661450,8.135713,190.539800,-0.037901,-0.760000
2020-08-17,59,206.779999,63.259897,73.791085,7.881502,190.662200,-1.560000,-2.760000
2020-08-18,60,208.330002,65.336299,72.054317,7.712915,190.797600,0.666830,-2.300000
2020-08-19,59,207.210007,62.583962,70.489985,7.406991,191.020400,-0.946510,-2.250000
2020-08-20,58,206.119995,59.937615,68.345332,7.075453,191.312600,0.463030,-2.290000
2020-08-21,60,207.429993,62.016376,66.564207,6.788150,191.900800,0.929340,0.310000
2020-08-24,64,212.610001,68.890344,65.474197,6.396956,192.528800,1.620000,2.050000
2020-08-25,65,213.350006,69.733036,64.535126,6.064839,193.164800,-0.098329,2.960000
2020-08-26,66,214.660004,71.219299,63.853312,5.867657,193.812000,0.788810,4.140000
2020-08-27,68,216.869995,73.576626,63.432389,5.415638,194.532200,0.874450,4.550000
2020-08-28,69,218.550003,75.237076,63.121726,5.019997,195.288600,0.478140,2.790000
2020-08-31,69,218.039993,73.722512,62.896661,4.757429,196.055000,-0.265300,2.200000
2020-09-01,69,218.550003,74.280098,62.273582,4.449321,196.822600,0.751430,1.810000
2020-09-02,71,221.679993,77.443462,62.078278,4.608137,197.636000,1.630000,2.220000
2020-09-03,68,218.149994,67.378391,61.239255,4.456296,198.448400,-1.730000,-0.180000
2020-09-04,68,218.320007,67.596821,59.947990,4.526903,199.237800,-0.741070,0.130000
2020-09-08,68,217.800003,66.138115,58.748958,4.621394,200.086400,0.239320,-0.340000
2020-09-09,68,219.630005,68.698124,57.998327,4.792154,200.935200,0.310580,-0.920000
2020-09-10,66,217.800003,63.526034,56.756437,4.857978,201.721000,-1.240000,-0.160000
2020-09-11,74,217.929993,63.734894,55.510674,4.892471,202.519800,-0.032113,-0.180000
2020-09-14,75,219.940002,66.891916,54.706238,4.955118,203.342000,0.429220,0.980000
2020-09-15,74,218.940002,63.910993,54.001324,4.647203,204.066400,-0.517990,-0.310000
2020-09-16,75,219.589996,65.002704,53.466699,4.408849,204.835200,-0.313240,0.820000
2020-09-17,74,218.050003,60.345055,51.784330,3.913988,205.572200,-0.187680,0.060000
2020-09-18,75,218.210007,60.660455,50.700712,3.077411,206.360400,-0.397110,-0.790000
2020-09-21,71,213.020004,47.471311,47.262382,2.331225,206.962801,-0.457940,-2.700000
2020-09-22,72,214.160004,50.040810,44.069647,2.185790,207.563401,0.762210,-2.470000
2020-09-23,67,209.610001,41.347379,41.648971,2.656083,207.961400,-2.020000,-3.870000
2020-09-24,66,208.720001,39.887662,39.992888,3.225347,208.324601,-0.200820,-4.350000
2020-09-25,67,210.449997,44.024414,38.198962,3.543780,208.713401,1.670000,-1.210000
2020-09-28,69,213.539993,50.567806,35.548747,3.591997,209.169001,0.150080,-0.290000
2020-09-29,65,210.440002,44.897418,33.347300,3.815309,209.568201,-1.470000,0.400000
2020-09-30,66,212.940002,49.787485,31.274526,3.840315,209.981601,0.866850,2.020000
2020-10-01,64,212.020004,48.095945,29.162365,3.693436,210.380001,-1.060000,0.750000
2020-10-02,63,211.179993,46.541117,27.489185,3.751831,210.738600,0.638580,-1.110000
2020-10-05,63,212.360001,49.033654,25.868748,3.721966,211.095400,-0.342580,0.910000
2020-10-06,53,210.259995,45.011440,25.003847,3.782053,211.457800,-1.120000,-1.260000
2020-10-07,64,213.289993,51.227975,23.812005,3.594779,211.841200,0.452120,0.600000
2020-10-08,65,215.149994,54.619541,22.378092,3.504492,212.216000,0.354490,1.880000
2020-10-09,65,215.679993,55.567685,20.853271,3.411075,212.643600,-0.092650,1.560000
2020-10-12,66,216.410004,56.903328,19.655878,3.176045,213.056200,-0.152260,2.920000
2020-10-13,56,212.309998,48.149097,18.926033,2.949874,213.317200,-1.600000,-0.460000
2020-10-14,54,210.910004,45.571025,18.645944,2.623191,213.530600,-0.523540,-1.970000
2020-10-15,55,211.649994,47.180865,18.963692,2.356575,213.691200,1.140000,-1.870000
2020-10-16,55,211.910004,47.765466,18.597720,1.978429,213.829000,0.033048,-2.080000
2020-10-19,53,208.990005,42.126488,19.101480,2.096584,213.819200,-1.490000,-1.560000
