date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,51,9161.050000,46.718796,18.490373,90.339921,9372.138200,-0.574780,0.340000
2020-07-21,62,9394.140000,55.711863,17.499321,98.654947,9355.841800,2.544360,2.620000
2020-07-22,64,9536.180000,60.128284,17.346269,116.005548,9356.116200,1.512010,3.930000
2020-07-23,65,9613.240000,62.323401,17.805678,134.352766,9355.019600,0.807870,4.350000
2020-07-24,64,9551.210000,59.484476,18.232272,144.114241,9350.283200,-0.645260,4.260000
2020-07-27,81,11048.910000,82.673716,25.103725,424.562986,9383.607400,11.144850,14.930000
2020-07-28,79,10934.230000,78.853966,28.614134,534.932576,9406.661800,-1.030230,14.480000
2020-07-29,82,11110.120000,80.353290,31.945149,632.927430,9433.276000,1.608710,14.400000
2020-07-30,82,11115.950000,80.402888,34.854386,707.593856,9457.714200,0.070129,11.820000
2020-07-31,84,11351.620000,82.343368,37.783693,784.177174,9499.383400,2.119740,2.740000
2020-08-03,81,11233.130000,67.501229,40.630774,923.798693,9616.334800,1.496910,1.050000
2020-08-04,80,11197.040000,66.679564,40.560003,926.101631,9651.625000,-0.321550,-1.360000
2020-08-05,85,11756.750000,72.309192,41.070128,947.858079,9696.235000,4.998640,-0.450000
2020-08-06,86,11773.890000,72.462627,41.702582,954.018258,9742.562600,0.145790,6.370000
2020-08-07,83,11606.520000,68.472766,41.410776,934.137097,9787.170200,-1.421540,3.320000
2020-08-10,86,11899.730000,70.472262,41.142341,814.762047,9935.558200,1.809340,1.070000
2020-08-11,78,11388.530000,59.131940,40.036381,747.151100,9969.514000,-4.297020,-1.880000
2020-08-12,80,11566.450000,61.456683,39.009418,673.202156,10008.371800,1.559150,-1.770000
2020-08-13,83,11795.950000,64.279309,38.432340,572.475846,10058.572600,1.984280,0.920000
2020-08-14,82,11779.000000,63.907067,38.028736,452.397401,10109.282400,-0.143690,-1.010000
2020-08-17,88,12304.260000,70.357390,38.652305,325.867574,10285.506800,3.233700,4.310000
2020-08-18,83,11950.000000,62.059844,39.452304,313.936109,10340.817800,-2.876960,1.450000
2020-08-19,81,11758.870000,58.080069,39.083883,290.469148,10393.271200,-1.634150,-0.850000
2020-08-20,82,11864.260000,59.617843,38.741779,283.414859,10445.757000,0.896260,-0.460000
2020-08-21,77,11529.220000,52.965876,37.631575,284.555143,10494.510800,-2.823940,-6.300000
2020-08-24,80,11753.850000,56.578424,33.983350,183.922928,10650.511200,0.891330,-0.930000
2020-08-25,73,11324.920000,48.188792,31.729544,207.421736,10690.143400,-3.644440,-1.770000
