date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,60,129.430000,57.742682,126.069041,4.045192,119.902800,-0.537930,3.340000
2020-07-07,58,127.200000,53.810502,122.092235,3.234072,120.166000,-0.422730,0.550000
2020-07-08,60,128.130000,55.181253,118.413165,2.755842,120.424600,-0.927860,1.640000
2020-07-09,57,125.730000,50.976873,114.802485,2.366633,120.630000,-1.420000,-1.560000
2020-07-10,60,128.010000,54.521917,111.449712,2.177932,120.789000,1.620000,-1.100000
2020-07-13,63,130.570000,58.178767,108.451763,2.245945,121.072800,0.888590,2.650000
2020-07-14,69,136.880000,65.535019,105.816612,3.063964,121.592800,5.030000,6.830000
2020-07-15,69,138.360000,67.001159,103.448259,3.864739,122.205600,-1.290000,10.050000
2020-07-16,68,138.560000,67.204195,101.272121,4.531649,122.798600,0.187990,8.240000
2020-07-17,65,136.900000,63.700892,99.049852,4.904568,123.383200,-0.703560,4.850000
2020-07-20,61,134.630000,59.159307,96.549586,5.060540,123.930000,-0.832340,-1.640000
2020-07-21,63,135.870000,60.803271,94.237940,5.209869,124.405200,0.816200,-1.800000
2020-07-22,64,136.980000,62.267472,92.123286,5.390675,124.972600,1.280000,-1.140000
2020-07-23,63,136.600000,61.421576,90.159679,5.235994,125.604600,-0.219130,-0.220000
2020-07-24,64,137.580000,62.824209,88.396752,5.235902,126.266600,0.276970,2.190000
2020-07-27,66,139.890000,65.965379,86.846179,5.106459,126.940600,2.000000,2.960000
2020-07-28,64,138.030000,61.462151,85.406362,4.976927,127.542800,-0.654960,0.770000
2020-07-29,66,140.530000,64.927786,84.131615,5.002619,128.053000,1.410000,2.880000
2020-07-30,62,136.730000,56.596480,82.407540,4.722318,128.546000,-1.690000,-0.620000
2020-07-31,57,132.880000,49.645809,79.289753,4.495865,128.889800,0.339810,-5.010000
2020-08-03,56,131.780000,47.838107,76.394664,4.392000,129.244200,-0.393050,-4.530000
2020-08-04,63,131.520000,47.398790,73.593764,4.121018,129.625200,0.114190,-6.410000
2020-08-05,68,134.970000,53.500886,71.399307,3.825879,129.976400,1.650000,-1.290000
2020-08-06,69,134.390000,52.400334,69.361597,3.168899,130.215800,-0.096644,1.140000
2020-08-07,70,134.920000,53.344791,67.120408,2.660266,130.499400,0.686570,2.380000
2020-08-10,78,142.020000,63.727744,65.838266,2.677480,130.937200,4.630000,7.980000
2020-08-11,77,142.530000,64.341617,65.011358,2.983178,131.377800,-1.030000,5.600000
2020-08-12,77,142.570000,64.392517,63.968149,3.225671,131.762800,-0.958660,6.090000
2020-08-13,74,140.670000,60.010597,62.549292,3.308603,132.034400,-0.656790,4.260000
2020-08-14,73,139.960000,58.410992,60.942412,3.366093,132.254400,0.365730,-1.450000
2020-08-17,71,138.720000,55.622416,59.309958,3.324539,132.326400,-1.020000,-2.670000
2020-08-18,71,138.370000,54.826784,57.724840,3.309484,132.339400,-0.417420,-2.950000
2020-08-19,70,138.020000,53.995019,56.048553,3.307787,132.416000,-0.346570,-1.880000
2020-08-20,70,137.480000,52.667441,53.901558,3.299583,132.516800,1.070000,-1.770000
2020-08-21,71,138.430000,54.774171,52.098335,3.303519,132.854400,1.190000,-0.210000
2020-08-24,74,141.680000,61.145554,50.984481,3.384342,133.225000,1.370000,2.390000
2020-08-25,73,141.150000,59.669254,50.353809,3.461906,133.575800,-1.070000,2.270000
2020-08-26,74,141.830000,60.971258,49.509856,3.521135,133.810200,0.961000,3.160000
2020-08-27,75,143.370000,63.819931,49.018408,3.691718,134.113000,0.872430,3.570000
2020-08-28,75,143.630000,64.293778,48.782937,3.636451,134.433800,-0.450510,1.380000
2020-08-31,74,142.310000,59.997545,48.398906,3.315529,134.730800,-0.829270,0.820000
2020-09-01,78,146.050000,66.772403,48.418678,3.087410,135.136000,3.090000,2.980000
2020-09-02,81,149.270000,71.281992,48.877278,3.439909,135.596400,1.630000,4.120000
2020-09-03,78,146.760000,63.991411,49.492048,3.329770,136.090400,-1.230000,2.180000
2020-09-04,79,148.180000,66.103612,50.062906,3.275872,136.559800,-0.349700,4.120000
2020-09-08,79,148.520000,66.608673,50.446731,3.557206,137.082400,1.030000,1.690000
2020-09-09,81,152.690000,72.099511,51.348019,4.196762,137.631200,1.930000,2.290000
2020-09-10,77,149.860000,64.364107,51.979365,4.453771,138.098400,-1.410000,2.110000
2020-09-11,80,153.830000,69.334492,52.694612,4.953666,138.653800,2.230000,3.810000
2020-09-14,79,153.510000,68.505081,53.404126,5.270510,139.169600,-0.318190,3.360000
2020-09-15,73,148.600000,57.198727,52.348224,5.150098,139.553000,-3.630000,-2.680000
2020-09-16,76,151.110000,60.763764,51.367743,5.055789,140.031200,0.740000,0.830000
2020-09-17,79,153.870000,64.286350,51.156903,5.014039,140.546000,2.680000,0.030000
2020-09-18,77,152.390000,61.117669,50.961124,4.700277,141.079200,-0.839400,-0.730000
2020-09-21,70,145.330000,48.768752,48.002082,4.265900,141.425600,-2.170000,-2.200000
2020-09-22,73,147.150000,51.489862,45.254400,4.040773,141.757200,1.480000,-2.620000
2020-09-23,70,144.380000,47.366291,43.024183,3.823661,141.907200,-2.100000,-6.170000
2020-09-24,71,145.140000,48.582974,40.692836,3.613148,142.042800,0.777670,-4.760000
2020-09-25,72,145.910000,49.847897,38.528015,3.479900,142.189800,1.400000,0.400000
2020-09-28,73,147.680000,52.726882,37.371409,3.308633,142.405400,-0.216220,0.360000
2020-09-29,73,147.410000,52.234298,35.899286,2.993469,142.661000,-0.647030,2.100000
2020-09-30,75,149.150000,55.142681,34.977619,2.922227,142.926600,0.777020,2.760000
2020-10-01,71,146.710000,50.499183,33.432491,2.964972,143.121200,-2.140000,0.550000
2020-10-02,74,149.940000,55.804738,31.420203,2.930532,143.388000,3.930000,1.530000
2020-10-05,77,153.490000,60.780208,30.326892,3.075029,143.706200,0.867460,4.120000
2020-10-06,74,151.530000,56.966970,29.534109,3.105043,143.939000,-1.600000,1.600000
2020-10-07,77,154.770000,61.290363,28.935301,3.242475,144.273800,0.972080,5.490000
2020-10-08,78,156.660000,63.588434,28.533517,3.590962,144.596400,0.584270,4.480000
2020-10-09,78,158.940000,66.195636,28.734638,4.016124,145.040600,0.677780,3.550000
2020-10-12,79,162.610000,69.928232,29.603912,4.805189,145.635200,1.650000,7.310000
2020-10-13,78,162.120000,68.835373,30.411095,5.386681,146.242000,0.247340,4.750000
2020-10-14,79,163.610000,70.352679,31.434865,6.015196,146.883800,0.584040,4.440000
2020-10-15,79,165.040000,71.773072,31.443410,6.653230,147.485200,2.980000,3.840000
2020-10-16,81,168.750000,75.105416,32.257721,7.536720,148.172400,0.896860,3.780000
2020-10-19,80,167.530000,72.091437,33.013868,7.904627,148.824600,-0.717080,3.340000
2020-10-20,81,168.990000,73.463851,33.910959,8.321608,149.364000,0.469680,3.290000
2020-10-21,79,167.400000,69.457965,34.262774,8.293413,149.861400,-1.420000,1.430000
2020-10-22,81,169.660000,71.810864,34.589459,8.310838,150.403200,1.000000,0.540000
2020-10-23,79,168.590000,69.096784,35.047462,8.143784,150.961600,-0.460530,0.630000
2020-10-26,73,163.200000,57.340197,33.027107,7.755573,151.426400,-2.060000,-3.430000
2020-10-27,67,157.910000,48.600169,31.170626,7.236784,151.810200,-1.890000,-5.670000
2020-10-28,54,151.160000,40.183600,30.716710,7.093361,152.066000,-1.720000,-10.900000
2020-10-29,64,154.670000,45.471789,30.442731,6.511829,152.399000,2.700000,-8.260000
2020-10-30,67,157.050000,48.778479,29.682079,6.087974,152.790400,2.010000,-3.770000
2020-11-02,72,163.270000,56.246175,27.700848,5.837978,153.287200,2.560000,3.390000
2020-11-03,76,167.690000,60.637843,26.792751,5.485920,153.807400,1.630000,10.940000
2020-11-04,63,155.230000,46.475932,25.278865,5.454417,154.089000,-2.480000,0.360000
2020-11-05,70,163.090000,53.805199,23.523358,5.287424,154.514200,3.440000,3.850000
2020-11-06,68,161.290000,52.047496,21.994232,5.225522,154.872600,-1.620000,-1.210000
2020-11-09,75,170.820000,59.576842,22.130580,5.498580,155.416400,-1.840000,1.870000
2020-11-10,76,172.300000,60.611203,22.257189,5.822475,156.016200,0.232700,11.000000
2020-11-11,73,169.460000,57.567115,21.729370,5.948031,156.484400,-1.690000,3.910000
2020-11-12,73,169.130000,57.207583,21.239251,6.044471,156.881600,0.177700,4.860000
2020-11-13,74,171.710000,59.345370,20.953815,6.184771,157.380600,0.827950,0.520000
2020-11-16,74,173.190000,60.562497,21.099060,6.440793,157.880800,-1.030000,0.520000
2020-11-17,73,171.910000,58.919577,20.862914,6.566207,158.348600,-0.151010,1.450000
2020-11-18,74,172.740000,59.683325,21.080740,6.766467,158.749600,0.406890,2.130000
2020-11-19,74,172.900000,59.838332,20.969138,6.908518,159.210400,0.231880,0.690000
2020-11-20,73,172.230000,58.818516,20.865507,7.037804,159.578400,-0.127570,-0.550000
2020-11-23,75,174.780000,61.507387,21.163359,7.292590,160.003800,0.587020,1.670000
