date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-29,55,301.590000,49.102074,143.954330,4.404141,304.380600,1.400000,0.100000
2020-06-30,56,303.210000,51.460255,139.759140,4.286364,304.203200,0.730870,1.740000
2020-07-01,64,304.750000,53.658314,135.869053,4.212370,304.271600,0.743800,1.400000
2020-07-02,65,305.740000,55.066975,132.276748,3.835771,304.198000,-0.084967,3.100000
2020-07-06,69,311.490000,62.245298,128.957405,3.765522,304.319800,1.290000,3.280000
2020-07-07,71,316.230000,66.934773,125.916084,4.765950,304.433400,2.000000,4.290000
2020-07-08,70,316.320000,67.018544,123.092000,5.613796,304.584200,-0.258560,3.800000
2020-07-09,75,325.540000,74.223056,120.540739,7.422314,304.996000,1.730000,6.480000
2020-07-10,73,326.230000,74.669019,118.171711,8.821993,305.378800,0.070552,4.730000
2020-07-13,70,322.920000,68.542908,115.983701,9.482392,305.777200,-1.040000,2.120000
2020-07-14,73,328.000000,72.299183,113.837049,10.321974,306.298800,2.080000,3.690000
2020-07-15,71,326.700000,69.995754,111.849532,10.968377,306.743000,-0.426700,0.360000
2020-07-16,70,326.270000,69.210299,109.811525,11.331929,307.110000,-0.107160,0.010000
2020-07-17,69,324.790000,66.446538,107.919091,11.440903,307.428000,-0.766880,0.580000
2020-07-20,69,326.510000,68.043661,105.896582,11.523550,307.858200,0.498630,-0.450000
2020-07-21,70,327.740000,69.173675,104.082629,11.553794,308.294200,0.226300,0.320000
2020-07-22,71,328.300000,69.699029,102.177373,11.506738,308.653600,-0.409530,0.620000
2020-07-23,69,326.110000,65.031432,100.422465,10.942511,309.079000,-0.606520,0.410000
2020-07-24,70,325.780000,64.332316,98.683203,10.379684,309.551800,-0.134880,-0.220000
2020-07-27,72,327.600000,66.473051,97.074182,9.234739,310.109000,0.589540,-0.040000
2020-07-28,73,327.570000,66.402304,95.605494,8.323186,310.676200,-0.121960,-0.220000
2020-07-29,71,326.140000,62.962436,94.155222,7.250067,311.143800,-0.269100,0.010000
2020-07-30,71,324.820000,59.878867,92.119398,5.999933,311.547600,0.660080,-0.290000
2020-07-31,72,325.530000,60.985660,90.228990,4.401829,311.960000,0.218580,-0.630000
2020-08-03,75,329.320000,66.325842,88.628538,3.350722,312.507000,1.160000,0.530000
2020-08-04,78,339.790000,76.070347,87.507156,3.992410,313.254200,3.100000,4.190000
2020-08-05,77,339.970000,76.197871,86.558099,4.265832,313.957600,-0.552860,4.660000
2020-08-06,77,343.310000,78.488630,85.751368,5.404941,314.703600,0.262840,5.460000
2020-08-07,75,340.910000,73.048329,84.565914,5.988976,315.330600,-0.649880,3.520000
2020-08-10,74,340.000000,71.037759,83.229318,6.216926,315.961200,-0.208390,0.060000
2020-08-11,70,332.430000,56.986329,80.572502,6.211445,316.444000,-2.470000,-2.220000
2020-08-12,71,336.760000,61.658103,78.105459,6.291824,317.037400,0.901870,-1.910000
2020-08-13,70,335.700000,59.941749,75.858259,6.274320,317.618600,-0.382800,-1.530000
2020-08-14,71,336.280000,60.588220,73.771574,6.162882,318.129200,-0.074288,-1.090000
2020-08-17,73,339.960000,64.502568,71.972526,6.257124,318.687600,0.684140,2.270000
2020-08-18,73,340.750000,65.299342,70.506939,6.382569,319.358800,-0.073314,1.180000
2020-08-19,73,340.900000,65.457887,69.146037,6.474056,320.065800,-0.064493,1.550000
2020-08-20,73,340.870000,65.393539,67.544567,6.375210,320.736600,0.214620,1.360000
2020-08-21,74,344.610000,69.428487,66.453506,6.375912,321.612200,1.340000,1.370000
2020-08-24,73,344.130000,68.327381,65.464882,6.348729,322.520800,-0.283970,0.990000
2020-08-25,73,344.710000,68.967817,64.347466,6.243100,323.471400,0.165630,1.120000
2020-08-26,73,344.270000,67.847008,63.309865,5.854540,324.329600,0.367340,1.000000
2020-08-27,73,346.360000,70.314773,62.657275,5.232964,325.264600,0.217010,0.510000
2020-08-28,74,348.370000,72.500718,62.184361,4.544051,326.240600,0.259020,1.230000
2020-08-31,74,347.660000,70.525170,61.315222,4.021964,327.195800,0.233530,0.860000
2020-09-01,75,351.380000,74.453026,60.815188,4.550368,328.214400,1.640000,2.070000
2020-09-02,76,358.860000,80.174134,61.074480,5.820996,329.365800,1.480000,3.610000
2020-09-03,69,348.300000,59.810164,59.660148,5.938505,330.371400,-4.070000,-0.020000
2020-09-04,68,346.570000,57.244901,57.152970,5.959342,331.292200,-2.090000,-0.310000
2020-09-08,64,338.860000,47.472675,54.359090,5.997336,332.138200,-1.450000,-3.560000
2020-09-09,69,346.430000,55.504264,52.398525,5.471649,333.035000,1.620000,-3.460000
2020-09-10,65,339.530000,48.260770,50.231404,5.317327,333.761400,-1.950000,-2.520000
2020-09-11,65,339.130000,47.870749,47.670132,5.090061,334.449000,-0.337960,-2.150000
