date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,79,1566.740000,63.435207,127.960518,25.937900,1483.676600,-0.311780,1.740000
2020-07-07,79,1568.810000,63.801259,124.927036,28.745414,1488.052800,-0.164190,2.340000
2020-07-08,83,1624.990000,71.995418,122.160963,37.298191,1493.461400,3.080000,4.770000
2020-07-09,83,1629.340000,72.514231,119.592466,44.124506,1498.934400,0.780590,5.460000
2020-07-10,80,1611.990000,67.169240,117.010396,46.579316,1504.051800,0.103710,2.890000
2020-07-13,78,1605.000000,65.087699,114.619896,46.832200,1509.381200,-0.434860,2.310000
2020-07-14,76,1594.870000,62.084955,111.904778,46.335496,1514.263600,-0.563620,-1.850000
2020-07-15,77,1603.500000,63.624575,109.423466,46.749354,1519.136800,-0.092835,-1.590000
2020-07-16,74,1578.140000,56.379452,106.797212,45.525890,1523.294000,-1.290000,-2.100000
2020-07-17,77,1601.750000,60.849296,104.394461,44.838667,1527.540000,1.510000,-0.200000
2020-07-20,77,1599.490000,60.213245,102.209088,40.802681,1531.482200,-0.132370,0.290000
2020-07-21,73,1570.330000,52.576782,99.646312,37.714824,1533.587000,-2.350000,-2.070000
2020-07-22,74,1572.360000,53.023442,97.133832,35.216242,1535.370400,0.129270,-0.370000
2020-07-23,73,1561.610000,50.320565,94.851023,31.195534,1537.386200,-0.794730,-2.510000
2020-07-24,71,1546.320000,46.676081,92.258890,30.132576,1539.061000,-0.883280,-3.320000
2020-07-27,74,1561.940000,50.611376,89.897602,28.119653,1541.319200,1.100000,-0.530000
2020-07-28,74,1566.410000,51.709688,87.725612,26.882746,1543.440200,-0.225480,-0.380000
2020-07-29,63,1537.500000,44.774551,85.027369,26.498046,1544.402400,-1.380000,-1.540000
2020-07-30,78,1590.010000,56.251470,82.106780,25.727910,1545.527200,5.530000,2.830000
2020-07-31,77,1584.370000,54.931011,79.394805,24.304027,1546.566000,0.276580,1.440000
2020-08-04,78,1599.100000,57.722339,77.082922,24.193095,1547.034600,-0.304240,2.090000
2020-08-05,76,1590.000000,55.437987,75.041770,23.906023,1546.989400,-1.710000,3.410000
2020-08-06,81,1631.830000,62.737911,73.331826,24.496549,1547.608800,2.630000,2.630000
2020-08-07,71,1552.700000,47.039544,70.615580,23.515973,1548.096800,-3.890000,-2.000000
2020-08-10,59,1516.000000,41.813743,67.095213,26.683710,1547.633600,-2.360000,-5.200000
2020-08-11,73,1559.830000,49.088169,64.315360,26.224159,1547.527600,2.270000,-1.900000
2020-08-12,62,1543.710000,46.772141,61.734069,26.739395,1547.954800,-1.670000,-5.400000
2020-08-13,60,1518.290000,43.302569,58.804338,28.336017,1547.851600,-1.350000,-2.220000
2020-08-14,60,1518.580000,43.354200,56.083875,30.290205,1547.576200,-0.001317,0.170000
2020-08-17,59,1510.550000,42.208165,53.333853,31.424611,1547.479400,-1.160000,-3.160000
2020-08-18,58,1504.250000,41.286059,50.746584,32.511360,1547.575600,-0.193080,-2.560000
2020-08-19,58,1505.990000,41.665117,48.717112,34.153616,1547.594000,0.027896,-0.810000
2020-08-20,72,1559.220000,51.896483,47.160940,33.911317,1548.744400,3.410000,2.680000
2020-08-21,62,1539.610000,48.520238,45.804753,33.968052,1549.253800,-1.240000,1.920000
2020-08-24,61,1530.270000,46.953426,44.210509,34.276478,1550.231600,-0.611810,1.730000
2020-08-25,57,1502.670000,42.577944,42.160950,35.734399,1550.864400,-1.770000,-0.220000
2020-08-26,63,1552.030000,51.315673,40.453863,35.501548,1552.269000,2.950000,-0.460000
2020-08-27,59,1526.130000,47.252597,39.269980,35.744541,1552.799200,-1.200000,-0.880000
2020-08-28,57,1509.060000,44.738377,37.611962,35.196619,1553.012000,-2.000000,-1.390000
2020-08-31,57,1509.990000,44.910361,35.728683,34.521290,1553.211800,-0.083375,0.490000
2020-09-01,60,1540.450000,50.359478,34.455575,31.663367,1554.584800,1.700000,-0.750000
2020-09-02,61,1546.020000,51.307947,33.624851,29.278120,1555.544600,-0.045903,1.300000
2020-09-03,59,1518.470000,46.568465,32.190386,18.894638,1555.700400,-0.921960,0.620000
2020-09-04,53,1472.810000,39.977346,30.129967,21.549234,1555.156600,-3.530000,-2.460000
2020-09-08,53,1480.440000,41.468190,28.625173,23.528295,1554.179400,0.712260,-3.900000
2020-09-09,56,1516.790000,48.084003,26.766808,21.921508,1553.983600,2.430000,-1.890000
2020-09-10,55,1505.770000,46.372747,25.521683,21.447178,1553.299000,-0.726530,-0.840000
2020-09-11,55,1504.020000,46.092219,24.064906,21.674120,1552.721600,-0.117550,2.120000
2020-09-14,55,1508.190000,46.916292,22.956920,21.770052,1551.865000,-0.103330,1.870000
2020-09-15,55,1507.530000,46.794365,21.928076,21.825616,1551.115400,-1.150000,-0.610000
2020-09-16,53,1489.230000,43.424573,20.547008,22.498939,1549.565200,-1.430000,-1.100000
2020-09-17,51,1471.000000,40.310377,19.571219,24.499020,1547.609000,-1.140000,-2.200000
2020-09-18,49,1460.410000,38.579519,19.030037,24.938679,1544.317400,-1.260000,-3.170000
2020-09-21,51,1474.470000,42.132203,18.825997,25.052824,1541.220000,1.690000,-2.190000
2020-09-22,55,1508.490000,49.711755,17.598692,24.452865,1539.150000,1.160000,1.290000
2020-09-23,53,1495.380000,47.148861,16.894916,24.542010,1536.957600,-2.430000,1.660000
2020-09-24,56,1515.620000,51.321420,16.227795,22.213505,1535.372600,1.500000,3.780000
2020-09-25,67,1550.750000,57.581197,15.878201,24.065421,1534.317600,2.290000,5.170000
2020-09-28,55,1520.040000,51.363091,15.007454,24.293178,1533.155600,-2.790000,0.770000
2020-09-29,54,1506.630000,48.880818,14.198904,24.268266,1531.253200,-0.733320,0.750000
2020-09-30,51,1479.630000,44.244457,13.693440,23.383115,1528.856000,-1.790000,-2.370000
2020-10-01,64,1531.060000,53.325859,12.856730,22.156830,1528.070600,2.430000,-1.270000
2020-10-02,63,1528.090000,52.791114,12.079785,22.633701,1527.185200,0.270350,0.530000
2020-10-05,65,1543.120000,55.237438,11.338552,23.380852,1526.815400,1.040000,2.420000
2020-10-06,55,1521.160000,51.073147,10.757519,22.936795,1526.312200,-1.400000,2.810000
