date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,62.000000,1.012000,49.952938,192.891266,0.002944,1.008518,0.311240,-0.170000
2020-07-21,61.000000,1.010060,46.620514,185.769895,0.003077,1.008648,-0.191700,-0.150000
2020-07-22,66.000000,1.024300,65.050725,179.175306,0.003647,1.009095,1.409820,1.250000
2020-07-23,68.000000,1.032500,71.214167,173.075448,0.005285,1.009738,0.800550,2.340000
2020-07-24,69.000000,1.035600,73.142505,167.412951,0.006808,1.010383,0.300240,2.330000
2020-07-27,62.000000,1.014810,50.170828,149.528519,0.007367,1.010802,0.406650,-1.710000
2020-07-28,65.000000,1.022720,55.253329,144.444744,0.007492,1.011237,0.797330,-1.240000
2020-07-29,68.000000,1.032680,60.690344,139.863728,0.008266,1.011847,0.996590,2.880000
2020-07-30,67.000000,1.031900,60.074725,135.609927,0.008854,1.012428,-0.040685,2.110000
2020-07-31,64.000000,1.022800,53.283944,131.524547,0.008913,1.012767,-0.881870,0.790000
2020-08-03,62.000000,1.015790,48.294668,120.085667,0.008915,1.013604,-0.388330,-1.560000
2020-08-04,62.000000,1.015790,48.294668,116.844511,0.008881,1.013764,0.057131,-0.690000
2020-08-05,61.000000,1.015210,47.842134,113.834866,0.008846,1.013981,-0.032495,-0.550000
2020-08-06,62.000000,1.015190,47.825492,111.047695,0.008735,1.014127,0.018719,-0.450000
2020-08-07,62.000000,1.018100,50.522270,108.597707,0.008581,1.014309,0.286650,0.230000
2020-08-10,62.000000,1.017180,49.434114,102.005207,0.007776,1.015034,-0.077605,0.200000
2020-08-11,63.000000,1.018300,50.645981,100.155099,0.007734,1.015287,0.114050,0.020000
2020-08-12,62.000000,1.016970,49.139895,98.123822,0.007208,1.015494,-0.127670,-0.280000
2020-08-13,62.000000,1.017560,49.852322,96.320247,0.006164,1.015737,0.132850,-0.040000
2020-08-14,52.000000,1.008590,40.551949,93.743118,0.005665,1.015851,-0.882490,-0.840000
2020-08-17,52.000000,1.006810,39.808595,86.355536,0.006449,1.016141,-0.110130,-1.060000
2020-08-18,52.000000,1.004400,37.638754,83.220875,0.006057,1.016129,-0.189800,-0.420000
2020-08-19,51.000000,1.005560,39.352282,80.960299,0.005294,1.016057,0.129450,-0.560000
2020-08-20,51.000000,1.005190,38.984327,78.861193,0.005352,1.015905,-0.036795,-0.260000
2020-08-21,51.000000,1.006130,40.506299,76.983175,0.005363,1.015818,0.035793,-0.070000
2020-08-24,62.000000,1.015790,54.545456,71.924629,0.005688,1.015468,0.972160,1.050000
2020-08-25,54.000000,1.013790,52.091111,71.026864,0.005654,1.015455,-0.244030,0.760000
2020-08-26,53.000000,1.013150,51.295698,69.994728,0.005610,1.015475,-0.028615,1.030000
2020-08-27,53.000000,1.013170,51.320714,69.217067,0.005427,1.015386,0.023694,0.710000
2020-08-28,53.000000,1.012730,50.703710,68.094416,0.005085,1.015274,-0.045401,-0.300000
2020-08-31,62.000000,1.015300,54.245894,66.158161,0.004580,1.015035,-0.025602,0.210000
2020-09-01,55.000000,1.014540,52.898767,65.741581,0.004440,1.015019,-0.074855,0.180000
2020-09-02,53.000000,1.008160,43.199989,64.181886,0.004155,1.014848,-0.628860,-0.530000
2020-09-03,63.000000,1.020000,58.431719,63.164650,0.004671,1.014966,1.174420,0.440000
2020-09-04,63.000000,1.020000,58.431719,62.424134,0.005102,1.015091,0.000000,0.460000
2020-09-07,66.000000,1.026650,63.170137,63.748475,0.005785,1.015634,0.840790,0.650000
2020-09-08,64.000000,1.023850,59.450368,64.296008,0.005974,1.015871,-0.361050,0.380000
2020-09-09,66.000000,1.028500,63.313906,64.482147,0.006410,1.016240,0.454170,1.310000
2020-09-10,68.000000,1.034450,67.571583,64.796658,0.007331,1.016443,0.457400,1.690000
2020-09-11,68.000000,1.035210,68.081149,65.163701,0.007696,1.016497,0.135420,0.830000
2020-09-14,68.000000,1.037210,63.490470,63.623995,0.008313,1.017291,1.444580,0.270000
2020-09-15,63.000000,1.021000,49.878692,62.535979,0.008123,1.017414,-1.500170,-1.370000
2020-09-16,54.000000,1.015360,46.169793,60.910338,0.008028,1.017267,-0.553370,-1.370000
2020-09-17,64.000000,1.021820,50.692334,59.572567,0.007781,1.017050,0.732460,-0.110000
2020-09-18,62.000000,1.018500,48.439910,58.330350,0.007588,1.016782,-0.337590,-1.800000
2020-09-21,53.000000,1.009000,42.426159,53.027764,0.008389,1.016139,-0.229400,-1.250000
2020-09-22,53.000000,1.010790,44.006424,51.620159,0.008200,1.016039,0.177400,-0.760000
2020-09-23,53.000000,1.010740,43.970120,50.313098,0.008525,1.015938,0.030680,-0.060000
2020-09-24,54.000000,1.011620,44.832754,49.099397,0.008767,1.015867,-0.005931,0.080000
2020-09-25,53.000000,1.010400,43.825371,47.776837,0.008976,1.015771,-0.120600,0.140000
2020-09-28,53.000000,1.011710,45.333774,44.420857,0.009317,1.015334,0.048456,0.010000
2020-09-29,53.000000,1.010900,44.465833,43.368128,0.009177,1.015209,-0.014836,0.050000
2020-09-30,53.000000,1.009530,42.967431,42.217169,0.008497,1.015033,-0.078193,-0.110000
2020-10-01,53.000000,1.010690,44.667643,40.658831,0.007415,1.014908,0.063363,-0.100000
2020-10-02,53.000000,1.011530,45.924785,40.586991,0.006699,1.014787,0.121750,-0.020000
2020-10-05,53.000000,1.011890,47.332564,40.199010,0.003064,1.014863,0.158370,0.120000
2020-10-06,53.000000,1.010770,45.712988,40.017329,0.002970,1.014943,-0.037581,-0.080000
2020-10-07,52.000000,1.010060,44.669523,39.848624,0.001868,1.015056,0.005941,0.080000
2020-10-08,52.000000,1.009950,44.500044,39.691970,0.000806,1.015144,-0.085080,-0.030000
2020-10-09,53.000000,1.011820,48.104731,39.896324,0.000830,1.015276,0.205000,-0.010000
2020-10-12,52.000000,1.009240,43.589085,40.423232,0.000818,1.015578,-0.012879,-0.070000
2020-10-13,53.000000,1.011080,47.665409,40.629017,0.000822,1.015484,0.182320,-0.070000
2020-10-14,52.000000,1.009540,44.750714,40.626298,0.000831,1.015399,-0.102910,-0.120000
2020-10-15,52.000000,1.008850,43.468164,40.472516,0.000914,1.015313,-0.015857,-0.120000
2020-10-16,52.000000,1.009280,44.534999,40.171841,0.000952,1.015235,0.028742,0.000000
2020-10-19,52.000000,1.008530,43.726608,39.451385,0.001017,1.014930,-0.071340,-0.030000
2020-10-20,52.000000,1.008860,44.638520,38.357455,0.001044,1.014801,0.032721,-0.040000
2020-10-21,52.000000,1.009800,47.260243,37.763576,0.001034,1.014706,0.093174,0.150000
2020-10-22,51.000000,1.008260,43.616038,36.849941,0.001035,1.014708,-0.123820,-0.140000
2020-10-23,51.000000,1.008340,43.858223,35.017697,0.001079,1.014475,0.052589,-0.020000
2020-10-26,49.000000,1.007390,43.067059,30.674729,0.001359,1.013832,0.117270,-0.090000
2020-10-27,50.000000,1.008570,46.777478,30.309425,0.001348,1.013471,0.142980,0.020000
2020-10-28,50.000000,1.009140,48.522707,30.208092,0.001333,1.013176,0.088272,0.220000
2020-10-29,50.000000,1.008800,47.521698,30.113998,0.001169,1.012782,-0.018831,0.270000
2020-10-30,51.000000,1.010080,51.572152,30.026624,0.001120,1.012295,0.126880,0.270000
2020-11-02,51.000000,1.010390,52.514701,29.637338,0.001117,1.011161,-0.035617,0.160000
2020-11-03,43.000000,1.010520,52.987760,29.185237,0.001165,1.010628,-0.006927,0.040000
2020-11-04,42.000000,1.009870,50.290063,28.440934,0.001183,1.010405,-0.026729,-0.050000
2020-11-05,49.000000,1.010750,53.724995,26.496758,0.001245,1.010313,0.129770,0.060000
2020-11-06,49.000000,1.010490,52.569198,25.041093,0.001270,1.010086,0.037620,0.010000
2020-11-09,43.000000,1.008350,43.438062,33.838274,0.001297,1.009829,-0.157440,-0.240000
2020-11-10,43.000000,1.007570,40.530766,36.263997,0.001335,1.009800,-0.037700,-0.290000
2020-11-11,45.000000,1.008530,45.376501,38.520352,0.001328,1.009755,0.095279,-0.180000
2020-11-12,45.000000,1.007250,40.623499,39.973504,0.001379,1.009685,-0.144740,-0.180000
2020-11-13,45.000000,1.007480,41.803111,41.372300,0.001343,1.009602,0.024821,-0.090000
2020-11-16,44.000000,1.005970,36.185112,44.060639,0.001455,1.009345,-0.121130,-0.130000
