date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,100,0.003239,53.024747,113.347704,0.000663,0.002756,-4.256580,8.150000
2020-07-21,100,0.003305,54.075576,108.232320,0.000637,0.002769,2.258660,7.970000
2020-07-22,100,0.003285,53.683676,103.482320,0.000607,0.002784,-0.514840,-5.410000
2020-07-23,100,0.003295,53.863717,99.096599,0.000568,0.002798,0.365520,-2.570000
2020-07-24,100,0.003220,52.224053,94.695403,0.000521,0.002810,-2.276180,-0.590000
2020-07-27,100,0.003153,50.453302,82.642258,0.000429,0.002847,-2.504640,-4.310000
2020-07-28,100,0.003197,51.563334,78.788226,0.000306,0.002859,1.331220,-0.710000
2020-07-29,100,0.003192,51.422349,75.316504,0.000190,0.002871,-0.187620,-1.300000
2020-07-30,100,0.003231,52.513005,72.034415,0.000183,0.002884,1.221800,-0.120000
2020-07-31,100,0.003225,52.318390,68.986761,0.000136,0.002900,-0.123880,2.280000
2020-08-03,100,0.003389,54.462926,64.643972,0.000148,0.002957,1.588730,4.890000
2020-08-04,100,0.003535,57.667371,63.637996,0.000153,0.002978,4.308060,9.610000
2020-08-05,100,0.003513,57.016281,62.735841,0.000146,0.002998,-0.846740,-4.770000
2020-08-06,100,0.003560,58.104553,62.019557,0.000144,0.003020,1.222630,6.710000
2020-08-07,100,0.003533,57.208478,61.111268,0.000147,0.003041,-0.841990,4.250000
2020-08-10,100,0.003499,55.815772,58.491287,0.000155,0.003104,0.893890,-1.710000
2020-08-11,100,0.003394,51.906083,56.885454,0.000154,0.003122,-2.889840,-3.930000
2020-08-12,100,0.003484,54.826892,55.355748,0.000155,0.003142,2.561080,-0.740000
2020-08-13,100,0.003517,55.884823,53.993688,0.000153,0.003164,0.976170,1.560000
2020-08-14,100,0.003561,57.320062,52.849774,0.000152,0.003187,1.337510,1.770000
2020-08-17,100,0.003591,58.143446,50.310516,0.000128,0.003260,1.901250,2.100000
2020-08-18,100,0.003514,54.334011,49.760951,0.000112,0.003284,-2.198720,-1.320000
2020-08-19,100,0.003424,50.194471,48.185106,0.000097,0.003306,-2.394530,-3.250000
2020-08-20,100,0.003459,51.734495,46.721822,0.000076,0.003328,1.022200,-1.840000
2020-08-21,100,0.003393,48.677871,45.646250,0.000066,0.003349,-1.851320,-5.510000
2020-08-24,100,0.003418,49.824131,42.048372,0.000057,0.003416,0.234600,-1.190000
2020-08-25,100,0.003305,44.253039,39.634980,0.000069,0.003430,-3.306030,-2.590000
2020-08-26,100,0.003303,44.158925,37.393972,0.000076,0.003434,0.060588,-4.040000
2020-08-27,100,0.003203,39.621608,34.876839,0.000093,0.003403,-2.939390,-6.180000
2020-08-28,100,0.003268,43.672922,32.539500,0.000100,0.003380,2.029350,-4.390000
2020-08-31,100,0.003221,41.602797,26.788718,0.000115,0.003357,-2.423510,0.560000
2020-09-01,100,0.003256,43.992490,25.133149,0.000119,0.003359,1.118010,-0.370000
2020-09-02,100,0.003122,37.641536,24.667921,0.000129,0.003355,-4.174340,-4.880000
2020-09-03,100,0.002802,27.450119,25.766699,0.000174,0.003350,-10.249840,-15.090000
2020-09-04,100,0.002899,33.341651,26.944380,0.000192,0.003348,3.572700,-10.000000
2020-09-07,100,0.002811,32.758108,30.307995,0.000237,0.003317,0.861140,0.320000
2020-09-08,100,0.002756,31.125015,31.197012,0.000249,0.003307,-2.269500,-4.930000
2020-09-09,100,0.002779,32.637394,32.022528,0.000252,0.003296,0.761420,0.760000
2020-09-10,100,0.002805,34.391240,32.085217,0.000254,0.003287,0.465620,0.650000
2020-09-11,100,0.002806,34.461916,32.210980,0.000248,0.003277,0.035651,-0.180000
2020-09-14,100,0.002803,35.835388,32.497984,0.000222,0.003251,0.972620,-0.070000
2020-09-15,100,0.002832,38.185710,31.933234,0.000211,0.003245,1.178990,0.930000
2020-09-16,100,0.002826,37.876581,31.408823,0.000205,0.003237,-0.176620,0.250000
2020-09-17,100,0.002814,37.227471,31.021546,0.000192,0.003230,-0.354110,1.370000
2020-09-18,100,0.002804,36.663593,30.978862,0.000173,0.003221,-0.355370,0.040000
2020-09-21,100,0.002630,27.683050,32.640960,0.000086,0.003180,-5.327570,-6.540000
2020-09-22,100,0.002656,30.464183,33.874591,0.000056,0.003166,1.180950,-5.280000
2020-09-23,100,0.002560,26.423502,35.417714,0.000075,0.003146,-3.323260,-8.380000
