date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,35,6.020000,44.809041,117.932458,0.318590,6.295780,-1.246720,-0.080000
2020-07-21,39,6.194000,50.681926,113.126026,0.305248,6.275360,2.890370,2.750000
2020-07-22,50,6.375000,55.934761,108.910125,0.285857,6.263260,3.021980,5.320000
2020-07-23,51,6.449000,57.908630,105.111285,0.262941,6.253520,1.192530,5.670000
2020-07-24,48,6.261000,51.586425,101.331266,0.234238,6.240620,-2.900120,4.000000
2020-07-27,62,7.129000,68.561627,93.316229,0.278237,6.239620,7.251390,10.540000
2020-07-28,64,7.232000,70.006057,91.397069,0.331514,6.245740,1.416350,15.510000
2020-07-29,63,7.266000,70.488071,89.735545,0.378344,6.255260,0.372980,8.380000
2020-07-30,65,7.356000,71.780835,87.592302,0.427978,6.266120,1.196860,10.730000
2020-07-31,64,7.409000,72.543588,85.733630,0.473304,6.289140,0.665760,3.930000
2020-08-03,59,7.172000,58.814470,76.505500,0.571445,6.350080,-0.609760,-2.500000
2020-08-04,58,7.147000,58.207404,72.835154,0.569198,6.367960,-0.431880,-3.540000
2020-08-05,58,7.241000,59.884051,69.539388,0.555226,6.387720,1.286890,-7.750000
2020-08-06,56,7.079000,55.734171,66.249454,0.529513,6.403680,-2.237260,-1.970000
2020-08-07,55,7.020000,54.259411,62.423282,0.498197,6.419840,-1.084970,-2.120000
2020-08-10,57,7.063000,54.958855,52.612792,0.372738,6.463100,2.466270,-0.230000
2020-08-11,51,6.800000,48.349297,49.120293,0.346221,6.471360,-3.859750,-3.130000
2020-08-12,53,6.865000,49.951323,45.877258,0.321286,6.481360,0.866880,-1.930000
2020-08-13,54,6.923000,51.399862,43.350312,0.265803,6.495580,0.844870,0.440000
2020-08-14,53,6.904000,50.880348,41.003862,0.254203,6.510680,-0.274450,-2.250000
2020-08-17,62,7.364000,61.551802,37.960344,0.236044,6.598680,1.656540,6.370000
2020-08-18,60,7.275000,58.629353,38.041585,0.236274,6.627580,-1.208580,5.370000
2020-08-19,49,6.815000,46.373834,36.399945,0.242040,6.649300,-6.323020,-5.030000
2020-08-20,51,6.973000,50.222692,34.875566,0.234821,6.674380,2.423620,-3.730000
2020-08-21,38,6.635000,43.096726,32.925367,0.185357,6.694320,-4.847270,-9.900000
2020-08-24,55,6.860000,48.523735,29.417469,0.188479,6.763980,0.542280,-1.620000
2020-08-25,42,6.612000,43.068126,27.437906,0.195848,6.774080,-3.558930,-0.350000
2020-08-26,40,6.592000,42.651652,25.599741,0.208859,6.781320,-0.347690,-2.930000
2020-08-27,54,6.904000,50.666307,25.453212,0.207928,6.786640,4.764800,1.160000
2020-08-28,55,6.941000,51.531387,25.773948,0.207270,6.792460,0.419560,1.180000
2020-08-31,43,6.697000,45.381911,26.459408,0.210470,6.812780,-1.355130,-3.000000
2020-09-01,46,6.800000,48.367441,26.719437,0.211531,6.822780,0.995100,-2.030000
2020-09-02,42,6.640000,44.315116,26.142435,0.218845,6.828960,-2.281090,-3.380000
2020-09-03,28,5.911000,31.404745,25.482776,0.304809,6.822880,-10.858090,-13.000000
2020-09-04,31,6.027000,34.666404,25.635280,0.341397,6.822920,1.807430,-10.000000
2020-09-07,30,5.783000,34.943328,24.901073,0.421324,6.805720,-2.231610,-2.170000
2020-09-08,28,5.647000,33.135512,24.756730,0.459824,6.798260,-2.334830,-6.300000
2020-09-09,28,5.627000,32.866225,24.622697,0.482479,6.786920,-0.248180,-0.050000
2020-09-10,28,5.646000,33.419798,24.042774,0.508402,6.772340,0.929570,-4.480000
2020-09-11,34,5.944000,41.559287,22.964860,0.507303,6.762240,5.278070,2.780000
2020-09-14,34,5.975000,42.879978,19.198265,0.484294,6.727180,1.099830,5.830000
2020-09-15,36,6.097000,46.256690,18.714173,0.476783,6.706540,2.024770,2.570000
2020-09-16,37,6.143000,47.516517,18.264659,0.447452,6.684760,0.771000,2.920000
2020-09-17,36,6.108000,46.621022,17.847253,0.408824,6.661600,-0.585940,3.330000
