date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,63,236.100000,50.709728,16.929942,5.904964,236.039600,-1.320740,1.150000
2020-07-21,69,245.650000,58.865191,17.989131,6.095864,235.984400,4.036080,5.600000
2020-07-22,78,264.280000,69.475539,20.800209,8.046137,236.515800,7.588340,12.120000
2020-07-23,83,275.680000,73.910262,23.994777,10.758487,237.137400,4.313610,15.270000
2020-07-24,84,279.590000,75.239011,27.147608,13.201610,237.865600,1.462480,18.420000
2020-07-27,93,322.240000,84.798199,37.538829,27.349956,242.115200,3.471080,16.890000
2020-07-28,91,317.590000,80.758902,40.029658,30.400189,243.536000,-1.494990,13.590000
2020-07-29,90,318.160000,80.879138,42.342572,32.699892,245.018600,0.201560,4.090000
2020-07-30,93,335.310000,84.098781,44.818998,35.853453,246.761600,5.393680,7.700000
2020-07-31,92,346.860000,85.829363,47.239699,39.112449,249.095800,3.463090,7.640000
2020-08-03,93,386.220000,82.338750,55.169422,52.094033,257.871600,3.769580,15.180000
2020-08-04,93,389.820000,82.789464,57.515997,54.385981,261.048400,0.919050,12.390000
2020-08-05,92,401.210000,84.166258,59.724468,56.111475,264.365800,2.937710,3.560000
2020-08-06,91,395.280000,80.553215,61.775192,56.074686,267.597200,-1.478030,6.200000
2020-08-07,88,379.750000,71.853867,60.919255,54.228233,270.571200,-3.928860,-1.680000
2020-08-10,90,395.780000,72.615296,58.870190,45.080086,280.542400,1.375480,0.130000
2020-08-11,88,378.880000,64.386830,56.504754,41.104190,283.255400,-4.267630,-0.230000
2020-08-12,89,387.270000,66.421138,54.308278,37.459468,286.138400,2.203630,-2.580000
2020-08-13,93,424.940000,73.688411,53.793683,35.200242,289.948400,9.727060,8.840000
2020-08-14,92,438.830000,75.770685,53.625666,35.524718,294.085600,3.254120,10.880000
2020-08-17,90,431.500000,72.077123,51.321542,31.504036,306.541400,-0.509560,1.540000
2020-08-18,88,422.310000,67.593683,50.094305,27.335860,310.431400,-2.129780,-3.760000
2020-08-19,87,407.590000,61.043814,47.659839,23.536007,314.073600,-3.485590,-5.770000
2020-08-20,88,415.920000,63.216049,45.399264,20.334524,317.771400,2.041220,-4.100000
2020-08-21,84,388.050000,52.640012,42.339992,20.309343,321.002800,-6.700810,-10.070000
2020-08-24,86,407.760000,58.081582,34.609070,18.599583,331.247000,4.345160,-1.960000
2020-08-25,80,383.330000,49.929997,32.557402,19.217582,334.080600,-5.991270,-1.220000
2020-08-26,80,386.100000,50.773609,30.652281,19.548505,337.015200,0.741010,-2.410000
2020-08-27,79,383.250000,49.843102,29.193830,19.341307,339.737400,-0.743290,-1.960000
2020-08-28,80,395.470000,53.756412,27.774797,19.383814,342.806800,3.183130,-3.010000
2020-08-31,89,433.890000,64.031415,31.640316,19.511810,353.571400,1.158720,13.210000
2020-09-01,91,475.570000,71.864535,32.544532,23.586381,358.294000,9.608650,20.250000
2020-09-02,86,440.020000,59.885319,32.850590,24.166273,362.285800,-7.475240,10.400000
2020-09-03,72,382.870000,46.473673,30.818831,24.424819,365.176600,-12.982110,-10.740000
2020-09-04,73,388.960000,47.814875,28.694893,24.411542,368.287600,1.782020,-10.360000
2020-09-07,58,353.710000,42.715125,27.162616,31.238063,374.971800,0.243730,-7.620000
2020-09-08,52,337.480000,40.006101,26.723022,33.714198,376.999400,-4.588500,-13.240000
2020-09-09,58,351.100000,43.258298,26.201630,34.530237,379.108400,4.035790,4.730000
2020-09-10,61,368.060000,47.103591,24.885933,34.873741,381.184000,4.827550,4.330000
2020-09-11,62,373.930000,48.406807,20.996105,35.003001,383.149000,1.627980,5.720000
2020-09-14,61,377.280000,49.330018,17.809663,35.050425,387.850400,2.918870,2.510000
2020-09-15,58,364.200000,46.519401,18.870448,35.367134,388.689600,-3.464360,-2.600000
2020-09-16,58,365.230000,46.776564,18.318798,35.623394,389.642400,0.324130,-5.820000
2020-09-17,64,389.450000,52.553966,17.280574,35.549592,391.068200,6.634360,6.240000
2020-09-18,61,384.640000,51.361562,16.316510,35.385017,392.054800,-1.252820,1.950000
2020-09-21,48,340.110000,40.913226,15.454336,23.212747,391.846000,-8.333560,-12.670000
2020-09-22,51,344.260000,42.120166,16.147185,17.642369,391.006800,1.145850,-10.500000
2020-09-23,44,320.630000,37.431657,17.532082,19.751944,389.623000,-6.861290,-16.770000
2020-09-24,54,349.140000,45.337567,18.302446,19.014743,388.581600,8.885080,-5.810000
2020-09-25,55,352.110000,46.101608,18.719800,18.216883,387.718200,0.850660,3.530000
2020-09-28,55,353.910000,46.645765,18.658881,17.346232,385.676600,-1.012500,1.370000
2020-09-29,57,359.900000,48.504812,18.369307,17.154370,384.959000,1.758650,2.210000
2020-09-30,57,359.890000,48.501774,18.036706,17.132036,384.579200,-0.011113,1.630000
2020-10-01,54,352.900000,46.317731,17.128823,17.063942,383.891800,-1.974950,-1.300000
2020-10-02,52,345.700000,44.114186,16.891190,16.303487,382.307000,-2.023580,-2.320000
2020-10-05,55,353.730000,47.377308,15.677769,15.894053,377.253200,0.371720,0.240000
2020-10-06,51,340.780000,42.744905,15.903560,16.144119,375.438800,-3.685490,-1.420000
2020-10-07,52,341.680000,43.160855,16.331641,14.410469,373.826200,0.258220,-1.300000
2020-10-08,55,351.250000,47.526245,15.862934,12.486578,372.699400,2.794850,-0.350000
2020-10-09,60,365.360000,53.229787,15.093510,10.386071,371.688200,4.040780,3.290000
2020-10-12,74,386.740000,60.896530,15.954176,13.385194,370.834200,3.304220,10.100000
2020-10-13,71,381.370000,58.189584,16.781225,12.203567,370.306400,-1.396180,4.380000
2020-10-14,70,378.970000,56.970705,17.461256,12.894436,370.219200,-0.629310,2.220000
2020-10-15,70,377.940000,56.424453,17.799600,13.423565,370.056000,-0.282310,0.950000
2020-10-16,58,365.570000,50.199219,17.363601,13.393041,369.702400,-3.260210,-5.470000
2020-10-19,70,379.360000,56.357757,17.637961,14.302027,367.771000,0.211330,0.380000
2020-10-20,67,368.810000,50.731047,17.303605,14.318312,366.469400,-2.824550,0.890000
2020-10-21,75,391.530000,59.994296,18.206062,15.258533,364.788600,6.160350,6.260000
2020-10-22,81,414.700000,66.841160,19.815814,17.861257,364.282200,5.963820,9.540000
2020-10-23,79,409.520000,64.195917,21.310584,19.034554,364.815200,-1.234810,7.950000
2020-10-26,72,393.120000,55.286179,22.615540,19.072395,367.518800,-3.248670,-5.200000
2020-10-27,76,404.550000,59.252435,21.768046,17.469905,368.535600,2.920600,-1.210000
2020-10-28,70,388.630000,52.294554,20.272261,15.784309,369.558600,-3.937610,-5.800000
2020-10-29,70,387.600000,51.870162,18.883318,15.067332,370.288600,-0.254770,-4.640000
2020-10-30,69,382.770000,49.828052,17.993705,14.641600,370.582800,-1.218100,-2.630000
2020-11-02,68,383.330000,49.578454,15.205692,14.404342,371.356000,-3.421430,-1.100000
2020-11-03,70,388.320000,51.661979,14.247269,14.228126,371.576800,1.301750,1.450000
2020-11-04,74,403.180000,57.318224,14.372526,14.286017,372.356400,3.824070,4.250000
2020-11-05,78,417.170000,61.844863,15.148946,14.203244,373.395200,3.467350,5.100000
2020-11-06,87,456.650000,71.145150,17.295898,18.808782,374.739200,9.432290,19.130000
2020-11-09,83,444.810000,62.720871,23.638730,22.742503,378.631000,-2.155690,6.630000
2020-11-10,83,450.890000,64.064997,25.458422,24.231188,380.846600,1.360040,-1.260000
2020-11-11,86,463.790000,66.800146,27.761541,26.836640,383.237200,2.861010,6.440000
2020-11-12,86,462.980000,66.458095,29.900151,28.903070,386.084200,-0.166040,1.840000
2020-11-13,89,477.140000,69.407236,32.086949,31.796587,388.644200,3.074030,7.270000
2020-11-16,86,460.850000,61.057160,34.120809,33.251687,394.780200,2.730720,-0.460000
2020-11-17,89,482.680000,65.871019,35.097194,34.049870,397.355600,4.732350,1.160000
