date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,44,11.260000,62.250067,11.764269,0.308533,10.309200,1.532910,9.000000
2020-07-07,49,11.720000,67.287873,13.611004,0.369709,10.350600,4.549510,12.260000
2020-07-08,54,12.180000,71.398423,15.943107,0.499010,10.393600,3.132940,15.340000
2020-07-09,54,12.210000,71.648638,18.199646,0.602215,10.440200,0.000000,13.580000
2020-07-10,55,12.310000,72.511908,20.375269,0.683347,10.478200,1.233550,9.330000
2020-07-13,55,12.400000,73.299873,22.926055,0.754135,10.521200,-0.241352,5.800000
2020-07-14,59,12.760000,76.234458,25.062697,0.847085,10.571200,3.236250,4.760000
2020-07-15,64,13.310000,79.873923,27.654884,0.977578,10.634400,2.938900,9.010000
2020-07-16,61,12.980000,72.681890,28.749401,1.043465,10.692600,3.591380,5.440000
2020-07-17,60,12.840000,69.810043,29.765737,1.082114,10.748600,-1.458170,3.550000
2020-07-20,59,12.870000,70.082842,30.709479,1.100859,10.803600,-1.227940,0.860000
2020-07-21,58,12.840000,69.407437,30.608976,1.099714,10.854800,-0.465116,-3.530000
2020-07-22,59,12.890000,69.927615,29.960642,1.097784,10.911400,4.372470,-0.690000
2020-07-23,54,12.490000,60.992713,28.970999,1.049964,10.968200,-0.873016,-2.730000
2020-07-24,52,12.350000,58.190225,28.052044,1.003683,11.029600,-0.322841,-4.040000
2020-07-27,53,12.520000,60.560018,26.973749,0.907262,11.091600,1.788620,-2.490000
2020-07-28,51,12.380000,57.661471,25.972475,0.812275,11.153000,-0.642055,-3.960000
2020-07-29,53,12.570000,60.429526,25.360898,0.706947,11.208800,0.963855,0.640000
2020-07-30,51,12.430000,57.449072,24.568106,0.581997,11.265200,0.647773,0.650000
2020-07-31,49,12.400000,56.802558,23.831943,0.441922,11.317200,-0.241352,-0.960000
2020-08-03,54,12.670000,61.050913,24.019669,0.341956,11.375800,1.360000,2.340000
2020-08-04,55,12.730000,61.946543,24.193987,0.284522,11.436200,0.315209,1.270000
2020-08-05,57,12.960000,65.245682,24.976828,0.276739,11.492800,1.013250,4.260000
2020-08-06,62,12.710000,59.234265,25.339842,0.258234,11.529400,-2.004630,2.500000
2020-08-07,63,12.800000,60.640198,25.358259,0.245815,11.571000,0.787402,1.030000
2020-08-10,58,12.390000,51.864771,24.442135,0.246424,11.607000,-3.729600,-2.670000
2020-08-11,59,12.450000,52.938092,23.591449,0.251513,11.642600,-0.080257,-3.940000
2020-08-12,64,12.800000,58.720428,23.391058,0.208405,11.684000,1.587300,0.710000
2020-08-13,62,12.690000,56.376000,23.204980,0.194831,11.718200,-0.470588,-0.860000
2020-08-14,66,13.040000,61.625849,23.865833,0.209473,11.761800,2.435190,5.250000
2020-08-17,68,12.980000,60.286456,24.698695,0.216529,11.804000,-0.460123,4.260000
2020-08-18,67,12.980000,60.286456,24.787338,0.224528,11.838400,0.077101,1.410000
2020-08-19,66,13.120000,62.492481,25.365290,0.241207,11.880200,0.690714,3.390000
2020-08-20,64,13.070000,61.185277,25.333344,0.252083,11.930000,0.693374,0.230000
2020-08-21,62,12.880000,56.360669,24.762898,0.241315,11.981400,-0.770416,-0.770000
2020-08-24,63,12.990000,58.405576,24.233199,0.242747,12.033400,0.386399,0.080000
2020-08-25,62,12.950000,57.353117,23.876493,0.230553,12.080200,-0.993884,-1.300000
2020-08-26,64,13.170000,61.465966,23.973204,0.240052,12.127200,1.542020,0.770000
2020-08-27,65,13.260000,63.036455,24.372209,0.242417,12.180400,0.378501,2.950000
2020-08-28,65,13.320000,64.087279,24.804684,0.239554,12.235200,-0.075019,2.540000
2020-08-31,64,13.260000,62.183500,25.303210,0.245904,12.292600,-0.450450,2.390000
2020-09-01,68,13.330000,63.544142,24.817715,0.256357,12.352800,0.832073,1.210000
2020-09-02,67,13.320000,63.194336,24.666447,0.268262,12.409200,-0.149925,0.450000
2020-09-03,62,13.210000,59.325582,23.366934,0.265640,12.468400,-0.900225,-0.830000
2020-09-04,59,12.970000,51.865033,22.145660,0.261780,12.518000,-3.353200,-2.190000
2020-09-08,41,12.100000,34.786982,23.160166,0.300790,12.558800,-5.616220,-9.230000
2020-09-09,38,11.970000,33.036472,24.352862,0.357148,12.591600,-1.724140,-10.140000
2020-09-10,36,11.780000,30.611905,25.819916,0.440868,12.618400,-1.669450,-10.830000
2020-09-11,37,11.840000,32.301577,27.182181,0.498188,12.644000,-0.504202,-8.710000
2020-09-14,39,11.920000,34.588723,28.347646,0.538070,12.667400,0.505902,-1.490000
2020-09-15,38,11.810000,32.940803,29.628496,0.579602,12.678400,-0.922819,-1.340000
2020-09-16,40,11.910000,35.929304,30.444060,0.605846,12.682200,0.761421,1.100000
2020-09-17,41,11.920000,36.235332,31.335983,0.621393,12.677000,1.619780,0.680000
2020-09-18,42,12.020000,39.354806,31.662878,0.627927,12.673200,1.093360,0.840000
2020-09-21,42,11.980000,38.542562,32.359794,0.638164,12.666600,0.251046,1.440000
2020-09-22,44,12.190000,44.964626,31.686439,0.634486,12.662400,1.837930,2.350000
2020-09-23,39,11.770000,36.703765,31.525177,0.645731,12.642600,-3.603600,-1.260000
2020-09-24,39,11.730000,36.024948,31.606568,0.641985,12.611000,-0.085179,-2.410000
2020-09-25,41,11.870000,40.194025,31.785435,0.617794,12.588800,2.063630,-0.920000
2020-09-28,42,12.090000,46.134473,30.616798,0.573955,12.573800,0.666112,-0.820000
2020-09-29,42,12.030000,44.826722,29.563837,0.526304,12.557000,-0.824402,2.210000
2020-09-30,42,12.080000,46.195465,28.094490,0.456579,12.541800,0.000000,2.980000
2020-10-01,43,12.150000,48.135356,26.685088,0.365692,12.527000,0.164880,2.360000
2020-10-02,46,12.230000,50.339046,24.802234,0.259492,12.521800,2.086810,1.160000
2020-10-05,49,12.400000,54.739906,23.183204,0.168833,12.522800,0.895037,3.080000
2020-10-06,50,12.520000,57.596456,22.917710,0.203776,12.522800,1.130860,3.640000
2020-10-07,58,12.650000,60.504629,22.769210,0.246444,12.528200,0.079114,4.120000
2020-10-08,60,12.860000,64.714547,22.957285,0.295927,12.534000,0.704777,5.150000
2020-10-09,57,12.670000,58.625706,23.292349,0.314388,12.538800,-1.015630,2.180000
2020-10-12,58,12.860000,62.432264,23.888459,0.346599,12.548000,0.390320,2.720000
2020-10-13,55,12.690000,57.348302,24.026869,0.351766,12.548400,-1.321930,0.320000
2020-10-14,44,12.400000,49.885511,22.676402,0.345564,12.541800,-2.362200,-3.580000
2020-10-15,46,12.520000,52.632335,21.123343,0.341152,12.533000,1.871440,-1.180000
2020-10-16,55,12.610000,54.640422,20.047247,0.342425,12.531000,0.718850,-1.940000
2020-10-19,44,12.340000,48.058183,18.982836,0.333693,12.521800,-2.141160,-2.760000
2020-10-20,46,12.450000,50.665672,17.818790,0.332932,12.523000,0.403226,0.400000
2020-10-21,46,12.380000,48.980597,17.650489,0.305586,12.521600,2.653400,-1.120000
2020-10-22,46,12.420000,50.003866,17.599076,0.267187,12.514000,0.566802,-1.510000
2020-10-23,46,12.350000,48.182629,17.551336,0.237413,12.507200,-0.563607,0.080000
2020-10-26,43,12.070000,41.648249,18.661966,0.238902,12.487800,-1.549760,-3.050000
2020-10-27,43,12.010000,40.384371,19.693266,0.240626,12.468400,0.083333,-2.990000
2020-10-28,43,12.020000,40.707328,21.298508,0.245337,12.449200,1.434600,-3.220000
2020-10-29,42,11.940000,38.892155,22.789091,0.261084,12.425600,0.929839,-3.320000
2020-10-30,42,11.890000,37.758892,24.371024,0.283017,12.402000,0.168492,-1.490000
2020-11-02,43,11.960000,40.378211,23.978828,0.299006,12.383600,-0.166945,-0.420000
2020-11-03,45,12.190000,48.105779,23.614645,0.299957,12.367600,0.660611,1.410000
2020-11-04,44,12.070000,44.840322,23.937518,0.298940,12.350000,-0.494641,1.090000
2020-11-05,47,12.310000,51.876251,23.453911,0.273603,12.332800,1.819690,3.530000
2020-11-06,46,12.180000,48.283591,23.004847,0.261727,12.311200,-1.535970,1.840000
2020-11-09,56,12.370000,53.366810,22.116981,0.227228,12.292200,-2.136080,1.480000
2020-11-10,61,12.740000,61.336531,21.134641,0.232183,12.281800,3.074430,5.550000
2020-11-11,62,12.880000,63.853759,20.858568,0.267442,12.272800,1.337530,4.630000
2020-11-12,62,12.940000,64.908231,20.146296,0.299623,12.265200,1.172790,6.240000
2020-11-13,66,13.400000,71.719783,20.759775,0.378728,12.269000,3.235750,8.330000
2020-11-16,67,13.670000,74.810451,21.963425,0.476158,12.283000,1.184310,7.300000
2020-11-17,68,13.810000,76.259263,23.436015,0.565464,12.317200,1.918820,7.220000
2020-11-18,60,13.190000,59.843626,23.574482,0.585504,12.341600,-5.176130,1.930000
2020-11-19,62,13.350000,62.110348,23.703058,0.612006,12.373000,0.830816,-0.370000
2020-11-20,60,13.250000,59.836936,23.822450,0.627293,12.401200,-0.823353,-3.070000
2020-11-23,59,13.160000,57.786858,24.079806,0.625182,12.426000,-0.828937,-4.710000
2020-11-24,59,13.190000,58.299724,23.850333,0.616056,12.453600,-0.226929,0.000000
2020-11-25,59,13.160000,57.546785,23.637251,0.600690,12.478600,-0.303030,-1.420000
2020-11-27,63,13.530000,63.762837,24.508751,0.589030,12.510800,2.811550,2.110000
2020-11-30,62,13.190000,55.692976,25.318002,0.548517,12.534200,-2.296300,0.230000
2020-12-01,65,13.500000,60.590404,26.333882,0.514397,12.564600,0.671141,2.350000
2020-12-02,65,13.700000,63.401120,27.682467,0.499995,12.594800,0.292826,4.100000
2020-12-03,65,13.680000,62.917876,28.934725,0.458901,12.633000,-0.436681,1.110000
2020-12-04,67,13.770000,64.238823,30.532845,0.433291,12.673800,0.000000,4.400000
2020-12-07,62,13.370000,54.881568,30.114968,0.360137,12.703800,-1.401180,-0.960000
2020-12-08,65,13.540000,57.701571,29.565272,0.294600,12.732800,1.804510,-1.170000
2020-12-09,70,13.930000,63.359497,30.228830,0.285210,12.770800,1.382820,1.830000
2020-12-10,71,13.990000,64.153926,30.844992,0.284577,12.809000,1.156910,1.600000
2020-12-11,69,13.770000,59.094649,30.952586,0.264667,12.841400,-1.006470,2.990000
2020-12-14,66,13.600000,55.455347,30.758477,0.264195,12.868800,-2.158270,0.440000
2020-12-15,74,14.180000,63.674815,31.066435,0.299885,12.904400,2.828140,1.790000
