date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-29,28,44.360000,41.143379,16.688809,1.662947,45.972600,0.818180,-2.800000
2020-06-30,29,44.680000,43.127840,17.137545,1.712472,45.935600,0.971750,0.070000
2020-07-01,30,44.820000,44.017174,16.804580,1.717007,45.924400,-0.244830,-0.240000
2020-07-02,30,44.880000,44.418322,16.495398,1.704345,45.908400,-0.905280,3.010000
2020-07-06,31,45.230000,46.812523,16.371866,1.577924,45.911600,0.199380,1.960000
2020-07-07,32,45.210000,46.688761,15.986780,1.311778,45.907200,0.466670,1.190000
2020-07-08,32,45.070000,45.776434,15.937537,1.086140,45.873000,-0.155070,0.560000
2020-07-09,29,43.910000,38.979818,16.448218,0.890048,45.816400,-2.530000,-2.160000
2020-07-10,34,45.150000,47.887086,16.658482,0.889385,45.777000,2.890000,-0.180000
2020-07-13,34,45.250000,48.539485,16.299477,0.886848,45.764200,-0.614980,0.090000
2020-07-14,44,45.870000,52.509111,16.250632,0.867032,45.769600,2.140000,1.780000
2020-07-15,45,46.400000,55.658016,15.403416,0.838212,45.794800,0.215980,5.670000
2020-07-16,44,46.150000,53.844434,14.338495,0.808755,45.809800,-0.237790,2.210000
2020-07-17,46,46.820000,57.811964,13.583357,0.790866,45.851200,0.753170,3.470000
2020-07-20,43,46.120000,52.713648,12.663729,0.796222,45.881600,-1.280000,0.550000
2020-07-21,46,47.200000,58.756901,12.869331,0.900430,45.903400,-0.673400,1.720000
2020-07-22,49,48.480000,64.540965,13.503998,1.136542,45.962200,1.150000,5.050000
2020-07-23,48,48.280000,63.053003,14.134789,1.277407,46.031400,-0.392000,3.120000
2020-07-24,48,48.490000,63.991717,14.917149,1.410135,46.122400,0.185950,5.140000
2020-07-27,49,48.480000,63.908452,15.643626,1.428341,46.218000,0.622670,2.710000
2020-07-28,48,48.180000,61.330150,16.965507,1.445885,46.316400,-0.330990,-0.620000
2020-07-29,46,48.020000,59.941208,17.759566,1.449691,46.377400,-0.249270,-0.540000
2020-07-30,45,47.690000,57.070427,17.606220,1.428025,46.440400,0.041955,-1.650000
2020-07-31,43,47.240000,53.320266,16.855807,1.382428,46.467400,-0.421590,-2.560000
2020-08-03,32,46.300000,46.453425,15.739746,1.346204,46.490000,-1.780000,-3.900000
2020-08-04,41,46.690000,49.366958,14.715205,1.301343,46.523200,0.864120,-2.770000
2020-08-05,43,47.220000,53.101554,14.062508,1.242325,46.545800,0.682300,-0.990000
2020-08-06,45,47.480000,54.860483,13.759003,1.040382,46.560800,1.760000,0.510000
2020-08-07,46,47.800000,56.998142,14.074493,0.951686,46.575000,0.695180,3.240000
2020-08-10,47,47.720000,56.280573,14.572236,0.843726,46.595800,-0.707450,2.210000
2020-08-11,49,47.930000,57.783039,15.402442,0.782544,46.614600,-1.090000,1.500000
2020-08-12,49,48.430000,61.201866,16.213096,0.773378,46.645200,0.269150,2.000000
2020-08-13,50,48.380000,60.672740,16.856902,0.724740,46.654800,0.248650,1.210000
2020-08-14,50,48.450000,61.178790,17.397139,0.718727,46.665400,0.227550,1.530000
2020-08-17,49,48.210000,58.403993,17.972618,0.622714,46.647800,-0.227650,0.580000
2020-08-18,50,48.420000,60.108897,18.008450,0.617402,46.619200,0.456430,-0.020000
2020-08-19,46,47.370000,49.241326,16.722173,0.612143,46.586600,-1.560000,-2.090000
2020-08-20,46,47.350000,49.059383,15.732370,0.612200,46.561200,0.169240,-2.270000
2020-08-21,46,47.280000,48.385510,15.005432,0.599947,46.596000,-0.126740,-1.930000
2020-08-24,48,47.970000,54.953786,14.340470,0.578051,46.643400,1.140000,-0.930000
2020-08-25,47,47.910000,54.306615,13.833911,0.569931,46.675600,-0.187500,1.140000
2020-08-26,48,48.160000,56.600041,13.029485,0.574743,46.703400,0.837520,1.710000
2020-08-27,48,48.230000,57.247093,13.278234,0.586209,46.736400,-0.041451,2.010000
2020-08-28,53,49.830000,68.724837,14.694188,0.732218,46.793200,2.220000,3.880000
2020-08-31,52,49.530000,65.190860,16.217865,0.727294,46.863400,-0.542170,3.380000
2020-09-01,50,49.120000,60.604168,16.659927,0.697664,46.931000,-0.385320,1.990000
2020-09-02,57,51.190000,71.504871,18.700817,0.932918,47.042000,3.710000,6.140000
2020-09-03,53,50.480000,64.874317,21.024205,1.020018,47.158600,-1.790000,1.300000
2020-09-04,55,51.040000,67.438958,23.181637,1.147240,47.280800,0.196310,3.050000
2020-09-08,51,49.810000,57.507206,23.777985,1.152942,47.405600,-2.200000,1.400000
2020-09-09,52,50.190000,59.492016,24.331737,1.177093,47.522200,1.190000,-1.950000
2020-09-10,51,50.000000,58.032431,24.845935,1.197474,47.628600,-0.695130,-0.950000
2020-09-11,54,51.060000,63.423875,25.735236,1.274135,47.753400,1.310000,0.040000
2020-09-14,53,50.710000,60.653163,26.584326,1.312879,47.870000,-0.510100,1.810000
2020-09-15,54,51.050000,62.372798,27.494228,1.351886,47.986400,0.098039,1.710000
2020-09-16,53,50.790000,60.205874,28.148104,1.370235,48.098000,-0.314030,1.580000
2020-09-17,52,50.550000,58.196021,27.370126,1.302048,48.207600,0.657110,-1.000000
