date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,83,7.238750,59.153962,123.905222,1.371337,5.229708,-10.500120,-13.210000
2020-07-21,85,7.326410,59.955453,118.225675,1.313509,5.288636,1.287240,-11.300000
2020-07-22,86,7.485270,61.432415,112.951810,1.250288,5.350221,2.248430,-6.090000
2020-07-23,88,7.913330,65.161171,108.448334,1.175051,5.418851,5.719400,-2.150000
2020-07-24,86,7.444530,58.491534,104.214093,1.069314,5.479096,-5.826120,2.840000
2020-07-27,83,7.118000,53.130579,91.524942,0.735647,5.663918,-5.228670,-10.050000
2020-07-28,85,7.250000,54.593005,86.658084,0.706378,5.719239,1.921900,-2.610000
2020-07-29,84,7.100010,52.585202,82.257239,0.638556,5.772380,-2.023830,-7.510000
2020-07-30,86,7.424750,56.329976,78.366842,0.557296,5.832355,4.573800,-1.100000
2020-07-31,89,7.810000,60.332535,75.114999,0.443327,5.909467,5.292960,9.720000
2020-08-03,94,9.275440,71.667167,66.082903,0.559729,6.184750,11.945970,24.930000
2020-08-04,94,9.858800,74.928313,64.096568,0.695409,6.302968,6.289640,26.230000
2020-08-05,91,9.532530,70.070502,62.252114,0.778093,6.412625,-3.491410,14.550000
2020-08-06,94,10.240000,74.005871,60.935754,0.924193,6.534157,7.355640,23.590000
2020-08-07,91,10.149970,72.695905,59.077566,1.031448,6.654360,-0.975900,9.430000
2020-08-10,93,13.490000,81.014529,60.461849,2.077664,7.206461,-2.481480,31.740000
2020-08-11,91,12.968230,75.480932,60.169099,2.214022,7.376186,-3.853570,27.770000
2020-08-12,95,16.491020,83.617198,60.922561,2.685209,7.609952,27.164770,29.550000
2020-08-13,94,17.209130,84.729597,61.903630,3.084183,7.860001,4.354550,24.400000
2020-08-14,93,16.979920,82.797118,62.814622,3.356058,8.103391,-1.259670,25.870000
2020-08-17,86,16.853930,69.771527,62.634711,3.960487,8.928619,-10.405570,-2.060000
2020-08-18,86,16.206170,66.032459,60.319487,3.855091,9.160373,-3.907860,-4.560000
2020-08-19,85,16.188320,65.927611,58.169637,3.716444,9.392812,-0.109900,-15.780000
2020-08-20,84,16.050690,65.069700,56.173347,3.546341,9.619626,-0.894380,-14.730000
2020-08-21,80,13.826690,53.055125,52.291317,3.330276,9.800215,-13.857280,-17.960000
2020-08-24,84,15.132620,56.981358,42.568653,2.659355,10.435894,-0.153930,-5.720000
2020-08-25,83,14.135440,52.286897,40.070464,2.373573,10.611329,-6.632180,2.230000
2020-08-26,84,15.204690,56.431788,37.530856,2.098755,10.800925,7.705740,-3.750000
2020-08-27,81,14.528040,53.277586,35.215559,1.746664,10.961388,-4.597100,-4.100000
2020-08-28,83,15.117290,55.604726,33.065640,1.628000,11.142081,4.072430,-0.100000
2020-08-31,82,15.589950,55.870825,28.793453,1.333555,11.718574,-5.353520,7.310000
2020-09-01,83,16.090420,57.840739,26.993338,1.330048,11.897180,3.208820,6.440000
2020-09-02,77,14.779200,51.370538,25.568227,1.329372,12.029934,-8.149070,-9.720000
2020-09-03,56,12.076810,41.153070,25.850938,1.546745,12.098735,-18.454040,-26.700000
2020-09-04,66,12.447290,42.831816,26.113455,1.474261,12.180880,3.626470,-20.160000
2020-09-07,69,12.494710,45.300831,27.808029,1.619541,12.412837,-2.512800,3.460000
2020-09-08,56,11.733390,42.850374,28.156077,1.683142,12.502730,-6.125900,-5.740000
2020-09-09,63,12.338300,45.378578,28.479265,1.686853,12.602968,5.058940,16.270000
2020-09-10,60,12.503590,46.080494,28.181251,1.723215,12.703334,1.388710,-2.390000
2020-09-11,60,12.440070,45.836722,27.988283,1.710184,12.793869,-0.548180,-0.440000
2020-09-14,57,12.130000,44.759924,26.416176,1.738394,13.079751,0.458320,-2.990000
2020-09-15,50,10.949290,39.934705,26.497854,1.779916,13.156377,-9.733800,-11.980000
2020-09-16,50,10.733190,39.103816,26.723392,1.841574,13.226040,-1.851020,-15.640000
2020-09-17,51,11.009750,40.801370,26.464367,1.836878,13.304235,2.584230,-8.780000
