date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-07,81,166.750000,64.252013,142.534344,7.698133,155.776000,0.379240,1.570000
2020-07-08,83,169.130000,67.029188,138.519758,7.752629,155.932800,1.370000,3.570000
2020-07-09,79,166.450000,61.258104,134.412331,7.665423,156.115800,-2.020000,1.570000
2020-07-10,76,163.360000,55.341744,130.476378,6.764410,156.279800,-1.670000,-2.120000
2020-07-13,75,162.080000,53.055835,126.597619,5.460284,156.428600,-1.540000,-2.800000
2020-07-14,80,163.880000,55.819501,122.995914,2.838145,156.633600,0.613950,-3.100000
2020-07-15,82,165.450000,58.134607,119.685494,2.885146,156.877000,0.157390,-0.600000
2020-07-16,82,165.000000,57.209262,116.408353,2.821841,157.019200,0.030312,1.000000
2020-07-17,83,165.960000,58.718872,113.409641,2.827360,157.204800,-0.048181,2.390000
2020-07-20,80,167.040000,60.410974,110.636579,2.794397,157.486200,0.330350,1.930000
2020-07-21,78,165.300000,56.399874,107.882642,2.690520,157.722000,-0.940850,-0.090000
2020-07-22,81,164.840000,55.353502,104.867293,2.453309,157.847800,-0.422860,-0.100000
2020-07-23,78,161.520000,48.377365,101.773782,1.909593,157.923800,-2.260000,-2.680000
2020-07-24,76,159.540000,44.754761,98.451079,2.184306,157.956000,-1.200000,-4.490000
2020-07-27,77,160.500000,46.833539,95.381129,2.327923,157.998400,0.563910,-2.900000
2020-07-28,79,162.650000,51.257134,92.740238,2.330480,158.066800,0.606170,-1.330000
2020-07-29,78,161.750000,49.404076,90.233498,2.400273,158.142600,-0.479910,0.140000
2020-07-30,60,153.000000,35.838576,85.868396,3.434017,158.068600,-3.440000,-4.100000
2020-07-31,55,150.290000,32.831720,81.535286,4.515150,158.011800,-1.850000,-6.360000
2020-08-03,57,152.840000,38.094854,77.563239,4.939098,158.023000,0.026178,-6.030000
2020-08-04,57,154.850000,41.955681,74.096979,5.089676,158.096800,0.958400,-4.270000
2020-08-05,59,154.340000,41.252666,71.032268,5.041024,158.224400,-1.890000,0.880000
2020-08-06,57,152.880000,39.226300,67.736061,5.177507,158.368000,-0.630480,1.720000
2020-08-07,57,152.930000,39.336203,64.675297,5.370110,158.413600,-0.019613,0.060000
2020-08-10,57,153.000000,39.501149,61.822363,5.541941,158.414600,0.045773,-1.190000
