date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,28,41.970000,43.501822,113.161975,1.280770,43.842800,-1.686580,-0.260000
2020-07-21,41,43.830000,53.285126,109.205641,1.258607,43.754000,4.531360,4.630000
2020-07-22,44,45.020000,58.264507,105.709882,1.228267,43.733800,2.832340,6.000000
2020-07-23,44,44.980000,58.040558,102.558329,1.171061,43.690800,-0.177540,5.460000
2020-07-24,42,44.160000,53.500689,99.252302,1.133935,43.625200,-1.779360,5.220000
2020-07-27,60,53.380000,74.154576,93.471755,2.686738,43.837200,10.907960,18.670000
2020-07-28,62,55.860000,77.337298,92.315443,3.623249,44.024200,4.626330,26.490000
2020-07-29,59,55.200000,74.700860,91.241725,4.213304,44.209600,-1.181530,12.130000
2020-07-30,62,56.820000,76.792172,90.397806,4.831479,44.411800,2.934780,18.030000
2020-07-31,62,58.230000,78.461056,89.619702,5.452989,44.712600,2.445460,9.090000
2020-08-03,61,58.540000,68.183730,83.423205,6.739903,45.578000,3.063380,3.030000
2020-08-04,59,57.650000,65.673414,80.885948,6.824983,45.855800,-1.537150,-1.000000
2020-08-05,60,58.970000,67.579888,78.585904,6.834041,46.158000,2.289680,-4.460000
2020-08-06,61,59.080000,67.740677,76.603076,6.730281,46.458800,0.237530,4.070000
2020-08-07,59,57.230000,62.157263,73.293682,6.478580,46.735400,-3.131350,-2.240000
2020-08-10,61,58.280000,62.328012,64.551452,5.222236,47.623800,2.227680,-1.350000
2020-08-11,52,54.120000,51.672402,60.331879,4.729167,47.819200,-7.153890,-5.430000
2020-08-12,54,54.550000,52.574934,56.126055,4.116408,48.027000,0.831790,-6.690000
2020-08-13,60,57.180000,57.769676,52.953198,3.164430,48.319200,4.840480,0.370000
2020-08-14,59,56.850000,56.927083,50.180338,2.714749,48.610000,-0.646630,-2.450000
2020-08-17,81,67.300000,71.991655,47.583800,3.000784,49.923800,5.254930,17.700000
2020-08-18,78,65.400000,67.065811,47.557176,3.270531,50.394400,-2.808740,15.040000
2020-08-19,73,62.120000,59.497452,45.816790,3.306071,50.813600,-5.087850,3.710000
2020-08-20,74,62.800000,60.492848,44.200717,3.390640,51.233600,1.078380,-1.740000
2020-08-21,66,59.090000,52.859940,41.942547,3.348463,51.593800,-5.937600,-12.200000
2020-08-24,70,62.040000,57.809543,36.096017,3.321158,52.754400,2.359350,-1.210000
2020-08-25,61,58.380000,50.275736,33.639971,3.330628,53.041400,-5.914590,-1.200000
2020-08-26,60,58.090000,49.722804,31.359357,3.347207,53.335800,-0.445590,-3.630000
2020-08-27,55,56.150000,46.072384,29.861474,3.394648,53.550800,-3.339650,-7.370000
2020-08-28,58,57.430000,48.746052,28.470581,3.419645,53.812400,2.261400,-7.430000
2020-08-31,66,60.930000,54.588412,25.089489,3.232475,54.752600,-3.131960,8.510000
2020-09-01,69,62.710000,57.442835,23.969552,3.007892,55.129200,2.921390,9.190000
2020-09-02,58,58.120000,48.906096,22.541792,2.961834,55.414000,-7.245450,2.050000
2020-09-03,31,50.070000,38.187359,23.535420,3.673887,55.549400,-13.850650,-20.400000
2020-09-04,34,50.760000,39.413096,24.458075,4.218312,55.723000,1.398320,-16.690000
2020-09-07,35,48.880000,38.253875,27.563382,5.098214,56.075800,2.067240,-2.380000
2020-09-08,30,47.490000,36.514680,28.475789,5.382115,56.186200,-2.843700,-6.440000
2020-09-09,32,47.860000,37.331439,29.323025,5.487877,56.266800,0.821570,0.060000
2020-09-10,34,48.710000,39.264586,29.835313,5.634077,56.340600,1.882450,1.610000
2020-09-11,35,48.980000,39.898789,30.388217,5.663533,56.420600,0.492410,0.200000
2020-09-14,35,49.100000,41.970781,30.006676,5.337460,56.552600,1.888360,0.800000
2020-09-15,34,48.300000,40.610164,29.685682,5.296654,56.451000,-1.589240,-1.390000
2020-09-16,31,47.740000,39.641394,29.703521,5.324506,56.288600,-1.200330,-6.120000
2020-09-17,35,48.880000,42.641162,29.292995,5.220540,56.162200,2.409390,1.450000
2020-09-18,33,48.550000,41.990592,28.958339,5.114802,55.996800,-0.675120,-1.120000
2020-09-21,25,43.130000,32.135296,30.272687,2.625782,55.236400,-8.428870,-11.760000
2020-09-22,29,44.490000,36.260699,31.522113,1.755003,54.955400,3.105450,-8.360000
2020-09-23,27,42.950000,33.758231,32.792332,2.032736,54.661400,-3.461450,-11.410000
2020-09-24,33,44.940000,39.562603,33.901983,2.005932,54.380800,4.584590,-4.570000
2020-09-25,35,46.040000,42.558805,34.105702,2.029827,54.120000,2.447710,6.750000
2020-09-28,33,45.210000,40.678208,34.592330,2.076652,53.413600,-1.930590,0.600000
2020-09-29,35,45.690000,42.277934,34.564026,2.089738,53.161800,1.084070,-0.760000
2020-09-30,36,46.320000,44.397325,33.916707,2.054981,53.005800,1.423250,0.560000
2020-10-01,35,46.160000,43.955906,32.184783,2.000183,52.838000,-0.366930,0.200000
2020-10-02,32,44.940000,40.638096,31.433774,1.792753,52.593200,-2.621890,-0.600000
2020-10-05,35,46.350000,46.036404,28.216441,1.562098,51.752200,-0.770710,0.410000
2020-10-06,34,46.000000,44.899390,26.408711,1.514247,51.326200,-0.755120,2.360000
2020-10-07,36,46.580000,47.225514,25.007684,1.370159,50.949800,1.371060,2.240000
2020-10-08,38,47.240000,49.821457,23.362570,1.267746,50.652200,1.460480,1.160000
2020-10-09,39,47.820000,52.053472,21.979371,1.204571,50.352600,1.206350,3.170000
2020-10-12,52,50.610000,61.401424,22.273137,1.767679,49.752600,0.277390,7.130000
2020-10-13,50,49.940000,58.165177,22.227292,1.715350,49.510600,-1.304350,4.430000
2020-10-14,50,49.840000,57.676555,22.335534,1.769761,49.339800,-0.240190,1.920000
2020-10-15,50,49.580000,56.351086,22.119248,1.828398,49.169600,-0.461750,-1.780000
2020-10-16,38,47.630000,47.528936,21.152043,1.806945,48.999200,-3.874870,-5.890000
2020-10-19,39,48.010000,49.729285,17.949450,1.659941,48.304000,0.903740,-3.170000
2020-10-20,37,46.960000,45.315621,16.860484,1.639876,48.024600,-2.207410,-1.410000
2020-10-21,61,53.130000,64.983002,18.347121,1.982430,47.833000,13.162940,13.210000
2020-10-22,56,54.420000,67.606219,20.023043,2.293692,47.759000,2.505180,14.380000
2020-10-23,59,55.460000,69.584459,21.760303,2.644433,47.866800,1.911060,15.520000
2020-10-26,66,56.890000,66.233438,27.023870,3.991070,48.437000,-3.379760,4.540000
2020-10-27,69,58.140000,68.432493,27.921894,4.170041,48.622200,2.305120,4.830000
2020-10-28,63,55.840000,60.610785,28.755775,4.163798,48.789200,-3.407710,-5.830000
2020-10-29,60,54.940000,57.825572,28.695266,4.111010,48.930800,-1.611750,-6.640000
2020-10-30,59,54.080000,55.214595,27.938375,4.059594,49.038200,-1.547420,-4.940000
2020-11-02,58,53.850000,53.094071,26.110536,4.057173,49.381600,-3.269270,-1.980000
2020-11-03,58,54.020000,53.554763,24.335050,3.988989,49.480000,0.315690,-0.110000
2020-11-04,58,54.750000,55.572626,22.973735,3.903090,49.609000,1.238910,-1.670000
2020-11-05,68,59.040000,65.153910,23.383865,3.820995,49.835000,7.796240,6.090000
2020-11-06,75,63.290000,71.671817,24.738705,3.931781,50.123200,7.234840,17.530000
2020-11-09,65,59.250000,58.398787,25.281744,2.678039,50.824400,-2.837000,0.360000
2020-11-10,61,57.990000,55.457695,24.897996,2.549081,51.121600,-2.192610,-8.370000
2020-11-11,65,59.330000,57.886777,24.860836,2.518439,51.418400,2.310740,0.660000
2020-11-12,67,60.740000,60.337789,24.826330,2.586087,51.774200,2.376540,-0.410000
2020-11-13,77,66.010000,67.865666,26.279356,3.159423,52.195600,8.676330,11.410000
2020-11-16,84,73.830000,71.889631,30.911177,4.857248,53.433200,18.450180,21.550000
2020-11-17,85,76.410000,73.856663,33.359678,6.060900,54.057200,3.508530,15.760000
2020-11-18,83,73.480000,68.034223,34.371120,6.573895,54.613000,-3.784210,15.080000
2020-11-19,91,81.620000,74.134820,36.015880,7.726321,55.319000,11.062730,30.860000
2020-11-20,90,82.640000,74.784231,37.762334,8.699848,56.048600,1.262100,11.930000
2020-11-23,92,89.180000,74.029005,41.518264,10.793935,58.490000,7.510550,9.260000
2020-11-24,92,89.340000,74.124906,42.796217,11.185831,59.349800,0.235610,8.110000
2020-11-25,86,81.750000,62.360952,41.764763,11.125548,60.064800,-8.505880,-6.170000
2020-11-26,79,71.110000,50.307611,39.197606,10.964457,60.555400,-12.962060,-14.280000
2020-11-27,73,69.200000,48.495550,36.813817,10.577116,60.994600,-2.699660,-22.400000
2020-11-30,90,87.660000,63.541991,31.980264,9.509759,62.839600,10.947980,23.270000
2020-12-01,88,85.170000,60.822687,31.805712,8.961951,63.530800,-2.873760,23.080000
2020-12-02,90,88.990000,63.409773,31.643627,8.533530,64.311800,4.472880,22.260000
2020-12-03,89,89.030000,63.437000,31.570977,8.359101,65.095600,0.078687,12.700000
2020-12-04,80,79.580000,53.338997,30.119119,7.563467,65.695600,-10.624440,-9.220000
2020-12-07,82,83.410000,56.310460,26.845729,6.059924,67.858000,-0.203400,-6.310000
2020-12-08,75,76.700000,49.356819,24.975743,5.870044,68.431800,-8.077660,-3.620000
2020-12-09,76,77.420000,50.069319,23.664008,5.961646,69.041000,0.938720,-6.960000
2020-12-10,72,74.710000,47.368029,22.445969,6.165806,69.472600,-3.500390,-10.680000
2020-12-11,67,72.180000,44.930890,21.803824,6.353321,69.827800,-3.386430,-13.460000
2020-12-14,81,82.400000,55.365944,19.076972,5.755516,71.181600,0.243310,10.290000
2020-12-15,80,81.400000,54.165088,18.654823,5.750219,71.671800,-1.213590,12.770000
2020-12-16,88,93.020000,63.949779,19.353687,6.064053,72.369400,14.275180,21.280000
2020-12-17,89,101.170000,68.955549,21.413089,6.917452,73.276000,8.855180,23.080000
2020-12-18,89,109.460000,73.054156,23.508196,8.720529,74.366400,8.311890,32.840000
2020-12-21,82,104.440000,61.457813,29.060386,13.589375,77.840400,-8.905360,3.230000
2020-12-22,87,114.310000,66.265880,29.284140,14.690676,79.049600,9.398030,4.430000
2020-12-23,79,102.350000,56.988597,29.034024,14.932341,80.016200,-10.439270,-14.720000
2020-12-24,84,111.200000,61.305541,28.801774,15.344962,81.145200,8.530160,-3.010000
2020-12-25,90,127.670000,67.785586,29.813969,17.007646,82.517800,14.842130,22.240000
2020-12-28,90,129.690000,67.743541,33.897502,19.723459,86.590400,1.582200,16.630000
2020-12-29,88,128.690000,66.888864,34.140365,19.744990,87.979200,-0.755760,0.800000
2020-12-30,88,130.110000,67.515596,34.519705,19.298595,89.421600,1.095570,0.420000
2020-12-31,86,124.410000,62.409057,34.773360,17.901335,90.723200,-4.366210,-2.500000
2021-01-01,87,126.530000,63.514382,35.293453,16.574005,92.039000,1.695870,-2.440000
2021-01-04,92,155.430000,71.599698,40.314925,16.703488,97.276000,-3.722750,24.930000
2021-01-05,93,159.030000,72.706499,42.252403,17.079958,98.980000,2.283250,25.690000
2021-01-06,94,169.410000,75.652790,44.240551,18.579409,100.840000,6.540470,23.540000
2021-01-07,91,169.750000,75.745149,46.368498,19.976914,102.765400,0.177040,5.100000
2021-01-08,92,172.460000,76.510023,46.744995,21.586085,104.582200,1.596470,10.960000
2021-01-11,81,139.430000,51.460394,44.579258,21.812095,109.277800,-18.088360,-17.860000
2021-01-12,80,133.390000,48.620519,41.684027,19.922336,110.162000,-4.277000,-22.650000
2021-01-13,84,147.510000,54.888097,39.133995,18.445313,111.325400,10.610380,-17.070000
2021-01-14,84,152.380000,56.843495,36.466460,18.007224,112.738000,3.273470,-10.480000
2021-01-15,82,143.630000,52.444927,34.534317,17.577739,114.188400,-5.742220,3.010000
2021-01-18,83,151.880000,56.348472,29.275042,15.813426,118.532200,6.388340,-0.330000
2021-01-19,83,151.900000,56.357837,27.687754,15.111728,119.817000,0.059285,5.760000
2021-01-20,81,149.770000,55.004478,25.990173,13.790982,121.109000,-1.395750,4.370000
2021-01-21,69,129.750000,44.248969,25.173847,13.499345,121.924200,-13.396080,-9.140000
2021-01-22,75,137.760000,48.581167,24.585583,13.463109,122.898800,6.255300,-9.300000
2021-01-25,74,137.130000,48.208426,22.429363,14.056642,126.290600,-2.861800,5.690000
2021-01-26,71,134.790000,46.890533,22.087445,13.682917,127.318200,-1.656210,-2.160000
2021-01-27,56,122.630000,40.668682,22.366622,13.832248,128.236800,-9.082150,-10.980000
