date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-02,30,87.800000,47.057928,104.192248,8.399244,90.019000,-2.120000,8.480000
2020-07-06,31,89.830000,49.735939,100.837985,7.628022,90.193600,0.189610,3.730000
2020-07-07,29,87.430000,46.726578,97.717433,5.853783,90.328000,-1.350000,1.980000
2020-07-08,32,89.990000,50.188723,94.864405,4.370750,90.422400,3.090000,3.890000
2020-07-09,27,86.250000,45.533097,92.133184,3.210776,90.399000,-4.400000,-1.770000
2020-07-10,30,88.510000,48.633874,89.508328,3.146493,90.249400,3.090000,-1.470000
2020-07-13,29,87.500000,47.336893,87.172665,3.031539,90.180600,-1.760000,0.080000
2020-07-14,28,87.120000,46.830865,84.748499,2.984090,90.228000,0.137930,-3.190000
2020-07-15,44,94.030000,56.034627,82.885853,2.988058,90.457000,4.210000,9.020000
2020-07-16,42,93.110000,54.677539,81.156253,3.117230,90.646000,1.060000,5.200000
2020-07-17,40,91.480000,52.262486,79.408318,3.035485,90.853400,-1.670000,4.550000
2020-07-20,30,88.480000,48.055424,77.235283,3.015913,90.903400,-2.380000,1.560000
2020-07-21,31,89.960000,50.185851,75.217466,3.008564,90.959200,0.323410,-4.330000
2020-07-22,32,90.810000,51.418222,73.343778,3.016946,91.129200,1.950000,-2.470000
2020-07-23,30,88.970000,48.614480,71.379025,2.938569,91.322000,-1.050000,-2.740000
2020-07-24,29,87.500000,46.435968,69.206995,2.782754,91.566800,-1.560000,-1.110000
2020-07-27,28,86.270000,44.633658,66.835807,2.258180,91.707200,0.185810,-4.100000
2020-07-28,29,86.550000,45.155508,64.725665,2.260529,91.843000,0.278070,-4.690000
2020-07-29,30,87.140000,46.303980,62.805129,2.187711,91.713400,0.068902,-2.060000
2020-07-30,28,85.510000,43.588305,60.593329,2.254546,91.610200,0.058507,-2.270000
2020-07-31,26,83.830000,40.924233,57.845145,2.488711,91.433200,-0.828110,-2.830000
2020-08-03,25,83.520000,40.433153,55.086040,2.693369,91.276600,0.312270,-3.500000
2020-08-04,28,86.100000,46.217496,52.901594,2.727710,91.177600,3.210000,-1.190000
2020-08-05,30,87.270000,48.652607,51.160313,2.699317,91.024600,-0.513000,2.060000
2020-08-06,34,90.390000,54.560885,50.064418,2.716212,90.873200,4.550000,7.830000
2020-08-07,45,93.780000,59.952816,49.442756,2.976420,90.916000,3.930000,12.280000
2020-08-10,47,97.130000,64.443046,49.360747,3.511954,91.088600,3.060000,12.810000
2020-08-11,46,97.010000,64.165510,49.647358,3.895189,91.128200,-4.120000,11.160000
2020-08-12,45,96.030000,61.823823,49.443170,4.034860,91.136600,-3.210000,6.240000
2020-08-13,45,96.500000,62.530086,49.253566,4.246825,91.068600,0.594180,2.900000
2020-08-14,44,96.010000,61.257704,49.077506,4.450999,90.892400,-1.280000,-1.150000
2020-08-17,44,95.720000,60.473412,48.618684,4.609299,90.647600,-1.540000,-1.330000
2020-08-18,43,94.440000,57.004264,47.565364,4.695388,90.273600,-1.130000,-1.660000
2020-08-19,43,94.000000,55.818859,46.587281,4.756182,90.007200,-0.958800,-2.590000
2020-08-20,43,94.020000,55.863790,45.086769,4.792423,89.835200,1.690000,-2.070000
2020-08-21,44,95.270000,58.691189,43.986588,4.813030,89.911800,1.560000,-0.470000
2020-08-24,48,97.890000,63.909824,43.272988,4.868838,90.024400,1.960000,3.650000
2020-08-25,48,98.770000,65.486940,42.949941,4.924862,90.184000,-0.060710,5.070000
2020-08-26,47,97.380000,60.955810,42.169064,4.871290,90.251800,-0.976210,3.570000
2020-08-27,51,101.790000,68.421250,42.282022,4.907002,90.465000,2.560000,6.840000
2020-08-28,56,106.260000,73.874104,42.845152,5.051546,90.735200,3.210000,8.550000
2020-08-31,51,102.910000,64.838021,43.368057,4.602920,90.999800,-2.220000,4.190000
2020-09-01,52,103.090000,65.085143,43.025857,4.265104,91.258000,1.590000,5.860000
2020-09-02,52,104.390000,66.894771,42.753209,3.978296,91.533400,1.070000,2.550000
2020-09-03,50,103.090000,63.358318,43.000659,3.779138,91.895200,-1.810000,-2.980000
2020-09-04,52,104.820000,65.938923,43.230434,3.887143,92.310800,-0.066737,1.860000
2020-09-08,51,103.980000,63.596858,43.074018,4.022057,92.771600,0.951460,0.860000
2020-09-09,48,102.010000,58.361396,42.270559,4.035492,93.079800,-1.730000,-2.280000
2020-09-10,46,100.380000,54.372915,41.825097,3.963586,93.372800,-2.490000,-2.630000
2020-09-11,45,99.260000,51.755607,40.327420,3.899527,93.625600,-1.660000,-5.300000
2020-09-14,51,104.680000,61.431144,39.749206,3.938712,93.963200,3.770000,0.670000
2020-09-15,51,105.390000,62.492331,39.482240,3.951672,94.274400,0.390550,3.310000
2020-09-16,54,107.760000,65.868229,39.667867,3.964460,94.681000,1.550000,7.350000
2020-09-17,50,104.410000,57.931128,39.545820,3.633977,94.969400,-1.290000,5.190000
2020-09-18,44,99.880000,49.283019,37.972407,3.198816,95.242000,-3.380000,-4.590000
2020-09-21,28,93.020000,39.633915,36.028332,3.467781,95.332200,-3.060000,-11.740000
2020-09-22,38,95.500000,43.909460,34.223120,3.645954,95.492200,2.130000,-11.380000
2020-09-23,27,92.940000,40.704559,31.964388,4.093249,95.608600,-3.540000,-10.990000
2020-09-24,25,91.350000,38.809860,30.339245,4.588555,95.555000,-0.997070,-8.540000
2020-09-25,28,92.990000,41.818127,28.876372,4.933769,95.552600,2.940000,-0.030000
2020-09-28,42,96.000000,46.971068,27.101144,4.883500,95.643000,0.999470,0.520000
