date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-01,73,739.400000,51.763616,124.201388,15.180418,715.168000,-0.350400,0.460000
2020-07-02,78,763.400000,60.318073,120.649992,14.475013,716.984000,2.220000,3.470000
2020-07-03,76,750.600000,54.742077,117.366086,11.671572,717.976000,-1.680000,1.240000
2020-07-06,80,770.600000,60.834420,114.333100,11.731475,719.900000,0.784720,3.600000
2020-07-07,79,766.600000,59.120301,111.534943,11.859051,721.520000,-0.104250,3.680000
2020-07-08,79,767.600000,59.428082,108.936655,11.910181,723.336000,0.787820,0.550000
2020-07-09,78,766.400000,58.855435,106.554734,12.612038,725.040000,-0.776800,2.100000
2020-07-10,79,770.000000,60.097663,104.075466,13.254626,727.084000,0.970360,-0.080000
2020-07-13,79,775.000000,61.821741,101.804470,13.640451,729.660000,-0.513480,1.100000
2020-07-14,73,753.400000,51.474640,98.828260,13.584270,731.412000,-1.520000,-1.850000
2020-07-15,76,763.400000,55.212041,96.111446,13.795140,733.680000,0.845440,-0.390000
2020-07-16,72,747.000000,48.600935,93.203831,13.828879,735.176000,-1.710000,-2.990000
2020-07-17,73,750.800000,50.092128,90.444562,13.493476,736.596000,-0.345100,-3.120000
2020-07-20,75,759.200000,53.316343,87.747835,13.334538,738.552000,1.630000,0.770000
2020-07-21,74,758.400000,52.965396,85.324535,13.348543,740.312000,-0.758960,-0.650000
2020-07-22,73,749.000000,48.892990,82.703312,11.847612,741.820000,-0.925930,0.270000
2020-07-23,74,752.000000,50.208792,80.269318,11.015530,743.520000,-0.185820,0.160000
2020-07-24,64,741.600000,45.805998,77.352279,10.723880,745.048000,-0.456380,-2.320000
2020-07-27,72,747.600000,48.606036,74.791521,10.367155,746.000000,0.537920,-1.420000
2020-07-28,61,731.200000,42.189588,71.777739,11.462391,746.824000,-1.160000,-2.380000
2020-07-29,62,736.000000,44.498928,68.948275,11.731748,747.672000,0.628930,-2.130000
2020-07-30,55,711.000000,36.353536,65.224610,15.140314,748.072000,-1.850000,-4.130000
2020-07-31,48,686.200000,30.407363,60.928786,21.072909,747.840000,-3.760000,-8.210000
2020-08-03,49,690.600000,32.516356,56.658464,24.175763,747.648000,1.530000,-5.550000
2020-08-04,48,687.600000,31.808559,52.693165,26.820887,747.200000,-1.120000,-6.580000
2020-08-05,50,692.000000,34.075147,49.011101,28.263326,746.800000,0.435410,-2.670000
2020-08-06,49,686.400000,32.590400,45.691624,29.647523,745.596000,-0.087336,0.030000
2020-08-07,51,692.800000,36.021440,42.470363,29.789099,744.496000,0.932400,0.320000
2020-08-10,48,683.400000,33.337519,39.487448,29.645769,743.244000,-1.410000,-0.610000
2020-08-11,49,691.200000,37.498993,36.832604,29.867861,741.976000,0.435920,-0.120000
2020-08-12,52,704.600000,43.970125,34.928532,28.600719,740.604000,2.200000,2.650000
2020-08-13,52,708.600000,45.774942,33.398288,28.001677,739.296000,0.653410,2.280000
2020-08-14,50,702.000000,43.296738,31.507329,27.151374,737.612000,-0.425530,2.720000
2020-08-17,50,701.200000,42.992906,29.751438,25.375837,736.236000,-0.085494,1.450000
2020-08-18,48,695.000000,40.614172,27.944710,23.343821,734.836000,-0.572250,-1.360000
2020-08-19,47,693.600000,40.074980,26.224484,21.723009,733.368000,-0.316180,-2.120000
2020-08-20,47,690.200000,38.730201,24.491220,19.327038,732.280000,0.028986,-1.680000
2020-08-21,50,699.000000,43.970797,22.864887,17.263427,731.492000,0.691440,-0.310000
2020-08-24,52,705.600000,47.591411,22.299585,13.719982,730.976000,0.085106,1.530000
2020-08-25,54,708.800000,49.302016,21.774661,11.868526,730.224000,0.425050,2.190000
2020-08-26,58,723.000000,56.142871,21.934465,9.993318,729.596000,2.260000,4.750000
2020-08-27,56,719.800000,54.362679,22.432443,10.737858,729.012000,-0.799340,2.980000
2020-08-28,56,719.800000,54.362679,22.247141,11.358275,728.624000,0.055602,2.010000
2020-08-31,56,719.400000,54.113936,22.519622,11.917550,728.156000,-0.332500,1.500000
2020-09-01,55,716.600000,52.309573,22.481239,11.938823,727.468000,-0.885200,-0.890000
2020-09-02,67,739.400000,63.099306,23.246015,14.098780,727.720000,2.410000,2.720000
2020-09-03,67,740.200000,63.412100,24.514822,15.365087,727.804000,-0.510750,2.830000
2020-09-04,66,738.200000,61.997221,25.147114,16.318689,727.812000,0.846990,2.610000
2020-09-07,67,739.400000,62.537332,25.734242,16.322120,727.772000,-0.188980,3.180000
2020-09-08,64,732.200000,57.277339,24.956054,16.055563,727.540000,-1.050000,-0.970000
2020-09-09,65,735.800000,59.128406,24.233451,16.495512,727.468000,0.656630,-0.590000
2020-09-10,64,733.200000,57.200795,23.264733,16.783432,726.864000,-0.027270,-0.680000
2020-09-11,67,743.200000,62.292521,23.012608,17.261448,726.716000,1.560000,0.510000
2020-09-14,66,739.800000,59.692301,22.987441,17.245228,726.100000,-0.804510,1.040000
2020-09-15,68,750.600000,64.728754,23.281940,17.212957,725.780000,1.240000,2.010000
2020-09-16,70,758.600000,67.925765,24.036454,17.228999,725.600000,0.824030,3.460000
2020-09-17,70,756.800000,66.465979,24.359662,16.067890,725.408000,1.040000,1.830000
2020-09-18,67,744.000000,57.072910,24.266439,14.508604,724.888000,-1.590000,0.570000
2020-09-21,64,727.800000,47.855133,22.586849,13.137469,723.944000,-1.600000,-3.040000
2020-09-22,55,722.000000,45.049786,21.152783,12.131360,723.316000,-1.260000,-4.820000
2020-09-23,65,731.800000,50.346327,19.927607,11.844708,722.684000,0.494370,-3.300000
2020-09-24,64,728.000000,48.398297,18.604182,11.431290,722.304000,0.413790,-2.150000
2020-09-25,65,731.000000,50.041750,17.471533,10.893484,721.908000,0.329400,0.440000
2020-09-28,65,733.400000,51.375944,16.720559,10.206762,721.392000,-0.569410,1.580000
2020-09-29,67,738.000000,53.916276,16.023226,9.058758,720.984000,0.874790,0.850000
2020-09-30,66,736.200000,52.754822,15.533640,9.063879,720.728000,0.190530,1.130000
2020-10-01,69,748.800000,59.355197,15.930173,9.356837,720.664000,1.050000,2.440000
2020-10-02,69,746.400000,57.701619,16.298381,9.515645,720.760000,0.864860,1.770000
2020-10-05,70,752.600000,60.744152,17.238041,9.977470,720.860000,0.534330,1.980000
2020-10-06,69,748.600000,57.852876,17.694059,10.016841,721.208000,-0.557920,1.680000
2020-10-07,71,756.800000,61.860601,18.576740,10.572209,721.624000,1.040000,1.070000
2020-10-08,70,755.800000,61.097603,19.446197,10.841859,722.520000,-0.474060,1.260000
2020-10-09,71,761.600000,63.880309,20.253549,11.614521,724.028000,0.740740,1.200000
2020-10-12,74,775.000000,69.337405,21.932452,13.452654,725.716000,1.650000,3.530000
2020-10-13,74,779.800000,71.026078,23.590517,15.403620,727.560000,0.931920,3.040000
2020-10-14,72,775.000000,67.049436,25.171340,16.420874,729.220000,0.597090,2.540000
2020-10-15,71,772.000000,64.614469,25.951396,17.169773,730.932000,0.103730,1.370000
2020-10-16,75,790.000000,71.339794,28.041681,19.386931,732.876000,-0.050607,1.940000
2020-10-19,76,798.200000,73.784218,27.755697,21.242681,735.172000,0.833750,2.360000
2020-10-20,76,805.800000,75.840879,27.932411,22.720880,737.464000,0.725000,3.970000
2020-10-21,75,800.400000,71.546008,27.929443,23.630343,739.380000,-0.645480,3.680000
2020-10-22,76,813.600000,75.237532,28.704733,24.864181,741.480000,1.700000,2.990000
2020-10-23,78,825.000000,77.903755,29.440054,26.634705,743.940000,1.330000,3.360000
2020-10-26,77,826.200000,78.170202,30.274478,27.799099,746.440000,0.829880,2.530000
2020-10-27,76,825.400000,77.499259,31.098487,28.455516,749.048000,-0.096829,3.120000
2020-10-28,70,798.200000,58.967367,29.784891,26.885952,751.140000,-1.800000,-1.890000
2020-10-29,73,809.600000,62.964608,28.565123,26.305285,753.528000,1.810000,-1.870000
2020-10-30,70,799.000000,57.368457,27.432482,24.822270,755.528000,-0.349210,-3.290000
2020-11-02,70,801.400000,58.272739,26.120982,23.545978,757.444000,0.074925,-2.910000
2020-11-03,72,810.000000,61.429885,25.457887,21.770356,759.468000,0.247520,1.480000
2020-11-04,77,833.400000,68.429292,25.973624,21.637123,761.676000,3.790000,2.940000
2020-11-05,78,845.400000,71.305143,27.063155,21.758941,764.188000,0.786840,5.810000
2020-11-06,76,834.400000,65.422114,27.413780,20.718637,766.480000,-1.280000,4.120000
2020-11-09,77,838.600000,66.556690,28.111452,20.614003,768.864000,-0.757400,3.530000
2020-11-10,75,833.000000,63.561990,27.840081,20.091219,771.192000,0.096131,-0.050000
2020-11-11,78,851.600000,68.613430,27.893774,20.025344,773.436000,1.910000,0.730000
2020-11-12,75,833.000000,59.700453,27.786567,17.664821,775.292000,-1.610000,-0.170000
2020-11-13,75,835.000000,60.297670,27.637414,16.717907,777.228000,0.264170,-0.430000
2020-11-16,76,842.800000,62.624012,27.886999,16.519985,779.296000,0.000000,1.180000
2020-11-17,76,843.000000,62.684388,28.367038,16.562714,781.512000,-0.118480,-1.010000
2020-11-18,77,847.200000,63.999573,28.623049,16.231633,783.740000,0.498220,1.700000
2020-11-19,77,848.400000,64.385795,29.039860,16.533273,786.044000,0.879900,1.600000
2020-11-20,78,857.200000,67.167545,29.771097,17.596090,788.324000,0.918300,1.710000
2020-11-23,73,835.800000,55.761280,29.273287,17.599364,790.244000,-2.810000,-0.850000
2020-11-24,71,827.400000,52.026551,27.541924,17.572239,791.780000,-1.380000,-2.340000
2020-11-25,71,827.400000,52.026553,25.934231,15.901748,793.156000,-0.552880,-2.480000
2020-11-26,71,826.000000,51.361613,24.128595,15.092713,794.540000,-0.409930,-3.640000
2020-11-27,70,823.400000,50.081453,22.494043,13.110667,796.128000,-0.651540,-1.480000
2020-11-30,69,817.400000,47.160235,21.020102,11.434054,797.920000,-0.317070,-1.210000
2020-12-01,70,822.400000,49.788646,19.520604,10.314863,799.928000,-0.169940,-0.600000
2020-12-02,71,827.200000,52.244550,18.264020,10.484326,801.836000,0.779730,0.150000
2020-12-03,73,839.800000,58.045543,18.093462,10.298131,804.072000,1.470000,1.990000
2020-12-04,70,826.400000,50.956364,17.407578,10.488637,805.980000,-1.740000,1.100000
2020-12-07,71,831.800000,53.424994,16.732879,10.481503,807.948000,0.750970,1.140000
2020-12-08,70,829.800000,52.373507,16.123597,10.532212,809.784000,-0.120370,0.310000
2020-12-09,70,830.200000,52.574554,15.284368,9.818737,811.664000,-0.383970,-1.140000
2020-12-10,69,828.000000,51.292120,14.642412,9.893690,813.248000,-0.576370,0.190000
2020-12-11,70,835.000000,55.049253,13.645872,9.893690,815.020000,1.210000,0.380000
2020-12-14,72,844.600000,59.646490,14.063304,9.987172,816.860000,1.150000,1.780000
2020-12-15,74,853.600000,63.423260,14.708193,10.734780,818.960000,0.803020,2.820000
2020-12-16,75,862.000000,66.568260,15.952737,12.051967,821.064000,0.536510,4.110000
2020-12-17,75,862.000000,66.568275,17.653084,13.140818,823.188000,-0.714120,3.230000
2020-12-18,74,859.800000,64.873950,18.257862,13.367049,825.152000,-0.440020,1.800000
2020-12-21,72,853.000000,59.806942,17.695020,13.901309,826.712000,0.282150,-0.070000
2020-12-22,73,856.000000,61.245099,17.362796,14.369200,828.236000,-0.233100,-0.700000
2020-12-23,71,851.600000,57.968928,17.054301,14.461950,829.768000,-0.884540,-1.210000
2020-12-24,71,851.400000,57.817547,16.559113,14.379607,831.356000,-0.140750,-0.980000
2020-12-28,74,869.200000,66.262709,17.004991,15.137582,832.940000,1.590000,1.900000
2020-12-29,76,882.600000,70.973926,18.271345,16.340979,834.628000,1.100000,3.110000
2020-12-30,76,884.000000,71.422931,19.665999,17.406953,836.192000,0.158620,3.800000
2020-12-31,75,879.600000,67.869533,20.820948,17.880649,837.776000,-0.204220,3.310000
2021-01-04,75,884.400000,69.643831,22.029720,19.024497,839.192000,-0.472650,1.750000
2021-01-05,72,870.000000,59.099901,21.456677,18.247770,840.092000,-1.200000,-1.430000
2021-01-06,72,868.000000,57.791236,20.885999,17.546407,840.928000,-0.663770,-1.810000
2021-01-07,73,875.400000,61.213513,20.641723,16.710464,841.928000,0.505170,-0.480000
2021-01-08,75,887.400000,66.024282,21.283839,16.250588,843.712000,0.271190,0.340000
2021-01-11,75,888.200000,66.324183,22.032478,15.041473,845.284000,0.135290,2.090000
2021-01-12,75,884.600000,63.603635,22.634031,13.780025,846.996000,-0.293060,1.910000
2021-01-13,75,887.400000,64.812598,23.539102,13.235026,848.716000,0.271190,1.370000
2021-01-14,76,897.000000,68.656706,24.404187,13.829158,850.456000,0.470430,1.080000
2021-01-15,72,881.000000,57.401230,23.722228,13.714995,851.408000,-1.280000,-0.810000
2021-01-18,75,887.600000,60.292953,23.088981,13.764371,852.252000,0.932450,0.340000
2021-01-19,68,862.400000,47.136030,21.965697,13.632696,852.812000,-3.210000,-2.820000
2021-01-20,70,868.200000,49.848608,20.922647,12.779828,853.404000,-0.138030,-3.210000
2021-01-21,71,875.600000,53.151591,19.737718,11.948372,854.256000,0.091449,-0.610000
2021-01-22,71,875.600000,53.151594,18.821116,10.473376,854.736000,0.183070,-1.350000
2021-01-25,71,869.600000,50.051803,18.138839,8.777807,855.468000,-0.480660,0.830000
2021-01-26,70,870.000000,50.260067,17.505296,8.735279,856.168000,-0.068918,0.210000
2021-01-27,60,854.200000,42.688488,18.632292,10.207541,856.396000,-2.600000,-2.440000
2021-01-28,69,861.600000,46.735727,19.678789,10.653164,856.768000,1.390000,-1.600000
2021-01-29,58,842.600000,39.100732,21.234034,12.908927,856.676000,-1.270000,-3.100000
2021-02-01,60,854.200000,45.007542,22.293712,13.423304,856.792000,0.494120,-1.820000
2021-02-02,73,884.800000,56.886997,20.841545,13.642034,857.344000,2.810000,3.580000
2021-02-03,74,890.600000,58.707762,20.015132,14.047277,858.440000,0.179980,3.370000
2021-02-04,74,890.000000,58.432839,19.368672,14.428482,859.692000,0.067461,5.630000
2021-02-05,75,900.600000,61.833310,19.360727,15.231346,861.156000,0.964130,5.430000
2021-02-08,74,900.200000,61.628433,19.559498,15.909931,862.640000,-0.662110,1.740000
2021-02-09,75,915.600000,66.263263,20.247934,17.963140,864.484000,1.690000,2.810000
2021-02-10,73,906.400000,61.485253,21.039477,18.890365,866.264000,-1.310000,1.840000
2021-02-11,75,919.000000,65.187590,21.819510,20.459176,868.196000,1.170000,2.040000
2021-02-12,75,924.400000,66.666493,22.971095,22.588944,870.140000,0.653310,2.690000
2021-02-15,76,930.400000,68.278971,24.341340,24.867971,871.952000,0.237020,1.620000
2021-02-16,76,937.000000,69.998211,25.886434,26.751768,874.164000,0.687730,3.380000
2021-02-17,74,930.400000,66.137887,26.475713,27.802417,876.136000,0.215420,1.240000
2021-02-18,75,934.600000,67.371079,27.419943,29.046272,878.232000,0.429830,1.100000
2021-02-19,78,963.600000,74.324121,30.347663,32.317393,880.900000,-1.670000,3.570000
2021-02-22,76,951.000000,67.585333,31.867866,33.465092,883.360000,-0.293560,1.490000
2021-02-23,75,943.200000,63.732989,32.048575,33.651591,885.524000,-0.945180,1.380000
2021-02-24,74,937.800000,61.134947,32.216376,32.020899,887.388000,-0.021322,0.340000
2021-02-25,73,935.400000,59.964964,32.422072,30.334962,889.024000,-0.932010,-2.930000
2021-02-26,72,923.200000,54.278373,31.665356,25.466598,890.248000,-0.280840,-2.920000
2021-03-01,73,928.800000,56.325726,31.264092,20.792294,891.584000,-0.236310,-1.530000
2021-03-02,73,925.600000,54.815231,30.878742,18.925800,892.900000,-1.130000,-1.300000
2021-03-03,74,928.000000,55.773183,30.165429,17.269986,894.400000,-0.833510,-0.790000
2021-03-04,71,909.600000,47.464826,28.711394,15.666218,895.472000,-1.580000,-1.470000
2021-03-05,58,890.000000,40.537444,27.035369,16.703470,896.240000,-1.400000,-4.180000
2021-03-08,67,899.600000,44.787860,26.080226,16.751525,897.204000,0.603890,-2.810000
2021-03-09,68,909.200000,48.734249,24.561392,17.019119,898.004000,0.865320,-2.030000
2021-03-10,72,925.200000,54.563392,22.933463,16.398598,898.856000,1.650000,1.720000
2021-03-11,77,954.200000,62.816078,22.633153,17.278669,900.260000,2.450000,7.210000
2021-03-12,75,954.200000,62.816078,22.433420,18.078924,901.752000,0.000000,6.070000
2021-03-15,77,963.000000,65.050108,22.468356,19.412357,903.324000,0.690090,5.920000
2021-03-16,77,975.000000,67.883733,22.998968,21.534753,905.424000,1.040000,5.380000
2021-03-17,77,981.800000,69.397854,23.730471,23.881447,907.700000,0.800820,2.890000
