date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,66,0.873090,49.687882,41.515571,0.155145,0.756093,-5.152120,0.070000
2020-07-21,76,0.977170,54.692938,39.993745,0.155106,0.764087,11.941190,-0.070000
2020-07-22,80,1.044090,57.612688,39.138075,0.154782,0.773675,6.844980,8.020000
2020-07-23,80,1.049840,57.863952,38.343526,0.152893,0.782939,0.352620,14.070000
2020-07-24,76,0.995350,54.563094,37.368870,0.149036,0.791100,-5.191060,14.000000
2020-07-27,90,1.778640,76.683419,41.475743,0.239863,0.845016,13.643750,69.420000
2020-07-28,89,1.784070,76.774549,43.338237,0.277311,0.867331,-0.002466,79.240000
2020-07-29,86,1.658290,69.954207,45.403540,0.293774,0.887337,-7.133100,32.430000
2020-07-30,86,1.686810,70.592140,47.321320,0.309375,0.908176,1.719720,7.780000
2020-07-31,79,1.538180,63.075966,48.097994,0.311177,0.927465,-8.811260,-13.520000
2020-08-03,87,1.802610,69.553109,48.759053,0.347532,0.993108,4.059420,6.870000
2020-08-04,89,1.871640,71.100706,49.178267,0.367949,1.019128,3.979250,21.680000
2020-08-05,84,1.754550,65.059898,48.896410,0.361571,1.042507,-6.210710,14.930000
2020-08-06,89,2.206350,74.176723,49.442463,0.389869,1.075003,25.750080,26.600000
2020-08-07,85,2.085900,69.007104,49.949511,0.396776,1.104302,-5.322480,15.720000
2020-08-10,90,3.131790,81.847271,54.072691,0.526292,1.229693,17.505630,41.940000
2020-08-11,89,3.303420,83.164389,55.805007,0.594163,1.281225,5.505420,58.370000
2020-08-12,90,3.769750,86.112767,57.674915,0.689145,1.342454,13.960060,52.400000
2020-08-13,89,3.755970,85.635514,59.529726,0.742556,1.402833,-0.390700,40.920000
2020-08-14,83,3.409390,74.458305,60.268799,0.758251,1.456757,-9.328840,8.860000
2020-08-17,78,3.098610,63.342692,59.514270,0.781338,1.605055,-8.478280,-17.500000
2020-08-18,83,3.329980,66.343105,59.534521,0.775949,1.654605,7.263950,-2.330000
2020-08-19,77,2.899040,56.987081,59.279927,0.750253,1.695384,-12.907610,-8.940000
2020-08-20,82,3.208270,61.213966,59.043519,0.714301,1.742897,10.666490,-5.240000
2020-08-21,78,2.943670,56.131000,58.823997,0.659580,1.786166,-8.288890,-5.000000
2020-08-24,82,3.344990,61.675955,56.975732,0.520757,1.935130,0.989180,4.260000
