date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-29,55,443.760000,52.616748,115.844026,20.715318,394.770000,2.870000,-3.150000
2020-06-30,55,442.050000,52.104564,111.935883,20.235419,397.283000,0.779700,1.880000
2020-07-01,53,439.590000,51.330457,108.358315,20.416766,399.919800,-0.504730,0.820000
2020-07-02,54,442.330000,52.182598,105.058496,19.770131,402.681200,-1.740000,5.040000
2020-07-06,51,435.480000,49.833506,101.606344,18.308732,405.105200,-3.410000,-1.870000
2020-07-07,46,419.490000,44.767354,98.014165,16.710784,407.396600,-2.990000,-5.100000
2020-07-08,49,426.900000,47.434300,94.666142,15.669727,409.585600,1.430000,-2.890000
2020-07-09,36,410.980000,42.667523,91.092093,16.902455,411.072200,-2.770000,-7.090000
2020-07-10,47,420.880000,46.282654,87.773333,16.881541,412.066200,1.950000,-3.350000
2020-07-13,45,414.370000,44.304322,84.850462,17.934516,413.092000,-2.860000,-1.220000
2020-07-14,47,422.660000,47.388372,81.983006,17.833960,414.556200,2.890000,-0.990000
2020-07-15,51,434.210000,51.424194,79.572438,16.834886,416.391800,0.957940,5.650000
2020-07-16,49,431.470000,50.435773,77.147420,16.103915,418.529400,0.395560,2.520000
2020-07-17,50,432.870000,50.954499,74.895617,14.628609,420.797400,0.157340,4.460000
2020-07-20,49,430.850000,50.139134,72.841117,13.118839,422.923400,-0.113600,1.940000
2020-07-21,53,440.880000,54.069271,71.139476,11.120431,424.688800,0.777180,1.540000
2020-07-22,55,445.570000,55.822760,69.597079,9.899258,426.621000,2.180000,3.270000
2020-07-23,52,437.470000,52.121791,68.090353,9.977016,428.780200,-1.130000,1.060000
2020-07-24,41,425.560000,47.169799,66.040743,9.998131,430.890400,-3.050000,-1.230000
2020-07-27,41,424.180000,46.617140,63.799614,9.868017,432.765200,-0.192940,-3.790000
2020-07-28,42,426.950000,47.935758,61.808658,9.459432,434.804200,0.458820,-4.180000
2020-07-29,43,433.370000,50.959285,60.036488,9.099776,436.061200,1.240000,-0.940000
2020-07-30,43,433.340000,50.944399,58.480575,8.862535,437.504000,1.260000,1.830000
2020-07-31,43,431.580000,50.021093,56.734695,8.380411,438.829000,0.304460,1.740000
2020-08-03,44,436.010000,52.361469,55.269105,8.401819,440.042200,1.400000,2.120000
2020-08-04,55,448.740000,58.391144,54.432980,9.136355,441.401000,2.990000,3.550000
2020-08-05,59,471.610000,66.576083,54.196921,12.751018,442.772000,4.310000,8.830000
2020-08-06,57,472.070000,66.717897,54.010605,14.398189,443.505800,1.280000,9.380000
2020-08-07,57,475.390000,67.780436,53.955298,16.355068,444.391000,-0.978980,9.030000
2020-08-10,58,482.570000,70.010293,54.133018,18.004039,445.546000,0.983530,7.540000
2020-08-11,61,490.230000,72.219262,54.663227,20.278839,446.574800,-0.797300,3.950000
2020-08-12,61,498.490000,74.408297,55.155564,23.163722,447.895800,-0.232160,5.600000
2020-08-13,60,495.150000,71.939823,55.591152,24.919570,448.400800,0.540110,4.160000
2020-08-14,61,498.790000,72.991420,55.864009,26.526128,448.742000,1.550000,3.360000
2020-08-17,58,489.970000,66.489198,55.923296,26.967317,448.725800,-2.010000,-0.050000
2020-08-18,56,483.000000,61.803724,55.244503,27.199895,448.487000,-1.030000,-3.110000
2020-08-19,56,482.810000,61.676129,54.593464,27.421950,448.559200,-0.719710,-2.490000
2020-08-20,56,482.830000,61.685096,53.378438,27.185379,448.994200,0.930220,-3.200000
2020-08-21,55,479.280000,59.044321,52.250199,25.863359,450.168600,-0.500320,-2.180000
2020-08-24,58,488.500000,63.423928,51.485758,24.314115,450.990800,1.530000,1.140000
2020-08-25,57,486.050000,61.540698,50.902042,22.415580,451.517000,-0.990000,0.670000
2020-08-26,56,484.890000,60.622866,50.117106,20.601478,451.910800,0.204590,0.430000
2020-08-27,60,498.320000,66.797057,50.004897,18.724499,452.683400,2.000000,3.970000
2020-08-28,62,506.770000,69.985856,50.123816,16.247996,453.503800,1.230000,3.740000
2020-08-31,61,499.670000,64.390130,49.712786,12.651973,454.237200,-1.250000,2.800000
2020-09-01,63,503.780000,66.080803,49.331115,10.011503,455.018200,1.530000,3.900000
2020-09-02,63,505.150000,66.649219,49.076088,9.848191,455.957000,0.415460,1.370000
2020-09-03,60,493.820000,57.993785,47.936880,8.947409,457.155400,-2.640000,-2.560000
2020-09-04,63,503.320000,62.402675,46.678440,8.529299,458.501800,0.782920,0.730000
2020-09-08,63,501.930000,61.387436,45.922094,8.426135,460.118600,-0.487720,-0.370000
2020-09-09,63,500.930000,60.623298,44.755396,8.531823,461.262000,-0.401630,-0.840000
2020-09-10,63,499.470000,59.459557,44.018009,8.559249,462.410400,-0.147940,1.140000
2020-09-11,64,505.750000,62.770109,42.748746,8.920877,463.733600,1.230000,0.480000
2020-09-14,63,507.300000,63.561035,41.904581,9.298321,465.033000,-0.842440,1.070000
2020-09-15,63,507.300000,63.561035,41.120714,9.576046,466.469400,0.059172,1.270000
2020-09-16,66,518.890000,69.229876,41.318281,10.299122,468.457400,2.120000,3.890000
2020-09-17,65,519.010000,69.283159,41.663128,10.673165,470.299600,-1.170000,2.620000
2020-09-18,61,505.500000,57.261167,40.755457,10.010079,472.190000,-1.700000,-0.350000
2020-09-21,64,487.810000,46.004572,38.511155,9.236722,473.528600,-1.230000,-3.840000
2020-09-22,67,502.030000,53.857079,35.846235,8.764617,475.281800,2.330000,-3.250000
2020-09-23,59,479.280000,43.066249,34.130150,9.471828,476.414200,-4.310000,-7.650000
2020-09-24,59,479.600000,43.238525,33.173191,9.992787,477.322000,0.549290,-5.120000
2020-09-25,63,494.780000,50.838027,31.551138,10.074692,478.588200,4.150000,1.430000
2020-09-28,63,498.600000,52.559333,29.505458,10.002063,479.902800,-0.744520,-0.680000
2020-09-29,60,489.080000,48.044601,27.794435,10.317696,481.067400,-2.430000,2.040000
2020-09-30,48,475.120000,42.305871,27.112008,11.623891,481.752200,-2.840000,-0.930000
2020-10-01,49,481.340000,45.433307,26.478325,12.114688,482.467600,-0.039458,-2.720000
2020-10-02,57,485.580000,47.521630,26.218406,12.371684,483.429800,3.630000,-2.610000
2020-10-05,57,487.000000,48.236149,25.549457,12.474349,484.658600,-0.612240,-0.430000
2020-10-06,48,480.540000,45.219804,24.320857,12.858136,485.785800,-2.540000,1.140000
2020-10-07,57,488.500000,49.417171,23.180014,12.868753,487.016800,-0.063419,1.490000
2020-10-08,57,490.970000,50.680003,22.393037,12.842024,488.168800,-0.227600,1.110000
2020-10-09,48,485.000000,47.587591,21.635647,12.704369,489.202000,-1.800000,-0.410000
2020-10-12,48,486.000000,48.158218,21.053991,12.362696,490.290400,-0.160240,1.140000
2020-10-13,45,473.390000,41.955205,21.342462,12.486027,491.038000,-1.380000,-3.090000
2020-10-14,49,483.730000,47.883107,20.997927,10.698330,491.737800,1.940000,-1.470000
2020-10-15,52,491.320000,51.776286,20.225782,8.172393,492.132000,2.380000,1.300000
2020-10-16,52,491.990000,52.116327,19.236053,7.128355,492.530400,-0.798470,1.230000
2020-10-19,50,484.160000,47.868275,18.694266,7.141317,492.705800,-1.660000,2.280000
2020-10-20,60,493.390000,52.756820,18.191178,6.406276,492.922200,0.691840,2.000000
2020-10-21,50,482.910000,47.329857,18.336768,6.264052,492.775800,-1.810000,-1.710000
2020-10-22,60,493.070000,52.437922,18.241015,6.247715,492.667400,1.770000,0.220000
2020-10-23,62,501.970000,56.424625,17.365949,6.870970,492.803800,0.829580,3.680000
2020-10-26,49,483.200000,47.400672,17.421119,6.394775,492.492000,-2.630000,-2.070000
2020-10-27,44,464.020000,40.306913,18.476886,8.002488,491.973000,-3.890000,-3.910000
2020-10-28,43,458.140000,38.409160,19.917251,9.735654,491.475800,0.291150,-7.080000
2020-10-29,48,476.540000,46.843349,20.145337,9.864251,491.350400,4.440000,-5.070000
2020-10-30,48,477.410000,47.211438,19.998936,9.961986,491.242000,0.727910,-1.200000
2020-11-02,60,494.430000,53.932193,18.852393,10.214850,491.545000,2.500000,6.550000
2020-11-03,63,508.560000,58.640072,18.270454,11.482429,491.946200,0.776790,11.010000
2020-11-04,63,512.050000,59.734605,18.099993,12.861099,492.466200,0.329170,7.450000
2020-11-05,63,519.290000,61.982273,18.067746,14.691643,493.154200,1.280000,8.770000
2020-11-06,63,520.460000,62.348053,18.159631,16.273671,493.597000,0.225310,5.260000
2020-11-09,74,568.320000,73.556112,20.957928,23.567479,494.828000,-1.070000,11.750000
2020-11-10,75,574.380000,74.587620,23.324306,28.854296,496.322200,-0.040027,12.170000
2020-11-11,70,560.810000,68.174610,24.829256,31.580637,497.462800,-2.860000,8.000000
2020-11-12,70,556.530000,66.240130,25.110502,33.530955,498.490400,2.120000,6.930000
2020-11-13,71,566.780000,68.542290,25.371659,35.841707,499.949600,1.440000,-0.270000
2020-11-16,72,573.960000,70.081369,26.210501,37.910870,501.362400,-2.440000,-0.070000
2020-11-17,73,577.970000,70.936602,26.591278,40.001108,502.883200,1.780000,3.060000
2020-11-18,76,587.870000,72.989428,27.376432,41.825886,504.622000,-0.344130,5.630000
2020-11-19,76,590.650000,73.554307,27.784873,43.611314,506.445600,1.130000,4.210000
2020-11-20,71,574.130000,64.872119,27.859053,44.233887,507.813200,-2.770000,0.030000
2020-11-23,76,594.940000,69.720691,28.039520,44.736445,509.566000,2.300000,2.940000
2020-11-24,81,615.410000,73.583223,28.813973,44.408386,511.728200,1.680000,4.680000
2020-11-25,77,603.850000,68.285616,29.516034,41.336086,513.427400,-1.150000,2.230000
2020-11-27,74,591.540000,63.077724,29.513837,38.220727,514.878000,-2.840000,3.030000
2020-11-30,70,579.190000,58.275808,28.634740,33.584019,516.351800,-2.000000,-2.650000
2020-12-01,73,593.600000,61.918593,27.972628,30.158109,518.467600,0.979860,-3.540000
2020-12-02,73,594.840000,62.224236,27.389723,27.309805,520.323800,0.787880,-1.490000
2020-12-03,74,598.640000,63.198999,27.408388,23.993566,522.711000,0.117070,1.200000
2020-12-04,75,605.670000,64.998396,27.425719,20.742442,525.232400,0.777040,4.570000
2020-12-07,75,601.010000,62.806185,26.970139,15.714685,527.357000,-0.420840,1.250000
2020-12-08,75,602.100000,63.119516,26.753590,15.591786,529.427000,1.000000,1.220000
2020-12-09,73,595.500000,59.832716,25.956013,15.402249,531.555400,-1.300000,-0.520000
2020-12-10,74,601.010000,61.629126,25.324615,14.271803,534.073200,2.010000,-0.770000
2020-12-11,75,601.790000,61.888970,24.908420,12.178952,536.482200,1.340000,0.130000
2020-12-14,73,595.820000,58.617133,24.521953,10.659663,538.687000,-1.890000,-1.040000
2020-12-15,78,613.740000,64.657098,24.770395,10.448782,541.221800,2.380000,3.060000
2020-12-16,75,603.530000,59.342705,25.001092,9.706598,543.681600,-1.660000,0.420000
2020-12-17,73,598.350000,56.792288,24.640583,9.466449,545.878600,-1.060000,-0.570000
2020-12-18,76,608.330000,60.329803,24.568651,9.585464,548.225800,1.670000,2.100000
2020-12-21,74,600.710000,56.524593,23.765681,7.763174,550.540000,1.550000,-2.120000
2020-12-22,72,596.230000,54.353941,23.091111,7.726315,552.744600,-0.492340,-1.210000
2020-12-23,76,611.900000,60.122371,23.274148,7.408599,555.514800,2.190000,2.260000
2020-12-24,74,606.710000,57.529265,23.444111,7.510983,557.974400,-0.387480,-0.270000
2020-12-28,75,609.860000,58.693806,23.711587,7.539163,560.345200,0.164240,1.520000
2020-12-29,75,607.830000,57.597781,23.478449,5.792020,562.662000,-1.000000,1.950000
2020-12-30,77,616.140000,60.822937,23.596501,6.159406,565.301600,1.460000,0.690000
2020-12-31,77,618.850000,61.842232,23.947457,6.675571,567.810800,0.626020,2.000000
2021-01-04,68,587.670000,46.766148,22.984880,7.543998,569.906000,-3.970000,-3.640000
2021-01-05,71,599.220000,51.484340,22.091058,7.609176,572.029000,1.070000,-1.420000
2021-01-06,70,598.900000,51.348564,20.937160,7.661781,573.967600,-0.332830,-2.800000
2021-01-07,71,605.180000,53.917345,19.446732,7.658836,576.407200,0.076068,-2.210000
2021-01-08,73,613.260000,57.058871,18.062763,7.667237,579.392000,1.510000,4.350000
2021-01-11,72,612.920000,56.883161,16.777649,7.814613,582.487600,0.945350,2.290000
2021-01-12,73,617.910000,58.884528,16.016806,8.226626,585.315000,0.965690,3.170000
2021-01-13,70,611.010000,55.077498,15.129079,7.933569,587.987000,-0.834210,0.960000
2021-01-14,69,606.070000,52.462339,14.334880,7.778123,590.219800,-0.678450,-1.170000
2021-01-15,55,584.990000,43.065528,15.057394,9.076706,591.748400,-3.400000,-4.560000
2021-01-19,52,573.410000,38.939393,16.401077,11.402555,592.975600,-3.510000,-7.200000
2021-01-20,53,577.490000,41.081326,17.679947,12.764673,594.139600,0.711530,-5.490000
2021-01-21,52,573.980000,39.788234,19.131744,14.230130,595.210000,-0.052239,-5.290000
