date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,55,0.017215,50.362658,114.620511,0.000556,0.016860,-1.987020,0.290000
2020-07-21,58,0.017575,54.442508,109.915773,0.000538,0.016871,2.049700,2.240000
2020-07-22,61,0.018023,58.962868,105.734545,0.000509,0.016904,2.119100,3.330000
2020-07-23,62,0.017942,57.845302,101.851976,0.000462,0.016924,-0.432850,2.400000
2020-07-24,63,0.017971,58.151129,97.823767,0.000421,0.016947,0.357400,4.390000
2020-07-27,67,0.018806,64.605127,87.768310,0.000495,0.017030,1.303600,4.820000
2020-07-28,69,0.019176,67.592948,84.661697,0.000568,0.017058,1.832090,6.710000
2020-07-29,67,0.019150,67.163899,81.948852,0.000618,0.017090,-0.710320,2.070000
2020-07-30,68,0.019303,68.433689,79.113724,0.000680,0.017124,1.062830,4.020000
2020-07-31,69,0.019620,70.941027,76.736867,0.000760,0.017203,2.304720,4.330000
2020-08-03,70,0.019884,62.992661,67.687640,0.000975,0.017408,3.540930,3.010000
2020-08-04,72,0.020454,66.386564,64.785101,0.001047,0.017493,2.357000,4.250000
2020-08-05,70,0.020345,65.156005,62.097799,0.001063,0.017577,-0.401430,-0.860000
2020-08-06,71,0.020279,64.377860,59.427614,0.001053,0.017660,-0.490700,6.180000
2020-08-07,67,0.019922,60.190474,55.766363,0.001022,0.017738,-1.852400,0.190000
2020-08-10,78,0.021544,70.635396,46.127494,0.000962,0.018032,5.092680,6.240000
2020-08-11,67,0.020122,56.191500,43.085127,0.000908,0.018106,-6.317800,1.000000
2020-08-12,68,0.020199,56.707735,40.558828,0.000831,0.018180,0.995000,-0.670000
2020-08-13,80,0.022345,68.018890,39.128112,0.000913,0.018308,10.777850,9.730000
2020-08-14,85,0.024793,75.789658,39.141441,0.001361,0.018483,10.068810,15.080000
2020-08-17,95,0.030436,85.457757,41.705079,0.003060,0.019220,7.799110,36.210000
2020-08-18,90,0.028797,75.530495,41.157522,0.003377,0.019473,-5.329080,16.150000
2020-08-19,84,0.026281,63.362320,39.460976,0.003431,0.019671,-8.749700,4.120000
2020-08-20,86,0.027589,66.393477,37.885611,0.003541,0.019885,4.023080,-2.510000
2020-08-21,76,0.024196,53.929243,35.264821,0.003511,0.020037,-12.523500,-20.500000
2020-08-24,77,0.025089,55.855258,28.728631,0.003268,0.020523,3.776470,-9.060000
2020-08-25,68,0.022995,49.208950,27.484136,0.003179,0.020621,-8.601300,-4.960000
2020-08-26,72,0.023700,51.309615,26.328533,0.003068,0.020751,3.110720,-5.700000
2020-08-27,68,0.023040,49.255776,25.576922,0.002929,0.020852,-4.000000,-5.480000
2020-08-28,73,0.023920,52.013856,24.878997,0.002791,0.020962,3.814940,-4.660000
2020-08-31,88,0.029308,65.562852,22.807986,0.002495,0.021495,8.287460,27.200000
2020-09-01,94,0.034767,74.018763,24.387707,0.002958,0.021839,19.003940,45.350000
2020-09-02,93,0.034504,73.087646,26.322831,0.003345,0.022175,-0.998510,37.870000
