date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-29,89,67.290000,61.634592,132.940654,3.139156,57.137400,4.160000,0.750000
2020-06-30,92,71.990000,68.260287,128.864485,3.339536,57.582000,7.290000,12.380000
2020-07-01,92,74.640000,71.272729,125.183460,3.704040,58.159200,3.380000,13.560000
2020-07-02,93,80.580000,76.627552,121.946936,4.542738,58.794600,-1.040000,25.950000
2020-07-06,94,91.440000,82.902516,119.176206,6.767205,59.682600,7.440000,35.890000
2020-07-07,93,92.660000,83.440380,116.672289,8.492578,60.569000,-1.080000,28.710000
2020-07-08,93,91.060000,79.890766,113.961528,9.504633,61.325200,-2.790000,22.000000
2020-07-09,93,92.950000,80.923143,111.444393,10.589823,62.158800,-0.193280,15.350000
2020-07-10,94,102.980000,85.250662,109.347979,12.346160,63.151000,10.650000,12.620000
2020-07-13,90,99.800000,79.122334,107.695913,13.201257,64.104400,-9.760000,7.710000
2020-07-14,92,101.120000,79.772346,105.645813,14.042316,65.191800,-2.520000,11.050000
2020-07-15,92,103.070000,80.726975,103.742148,14.747922,66.238200,0.194420,10.890000
2020-07-16,90,100.040000,74.818305,101.974459,15.023813,67.214800,1.580000,-2.850000
2020-07-17,90,100.060000,74.831400,100.343579,15.151200,68.172600,-0.832510,0.260000
2020-07-20,93,109.530000,80.106523,99.018486,15.691973,69.323200,8.160000,8.320000
2020-07-21,89,104.560000,71.622286,97.826495,15.589850,70.321800,-4.360000,1.450000
2020-07-22,90,106.160000,72.627385,96.719646,15.370398,71.363200,-0.412760,6.120000
2020-07-23,87,100.870000,64.493993,94.389776,14.426551,72.301400,-9.880000,0.810000
2020-07-24,85,94.470000,56.281980,90.682804,13.215920,73.136200,0.074153,-13.750000
2020-07-27,85,102.640000,62.794694,87.623916,11.642185,74.117800,7.290000,-1.840000
2020-07-28,82,98.430000,57.999864,84.857159,9.858736,75.020800,-1.840000,-7.280000
2020-07-29,87,99.940000,59.203117,82.288028,8.205279,75.934800,-0.129910,-0.920000
2020-07-30,88,99.170000,58.286117,79.674513,6.340404,76.840800,-0.030242,4.980000
2020-07-31,85,95.380000,53.863748,76.542232,4.895948,77.661000,-5.560000,-7.070000
2020-08-03,88,99.000000,57.203770,73.633685,4.553072,78.537600,2.470000,0.580000
2020-08-04,87,99.130000,57.323256,71.056770,4.262339,79.431000,-0.541790,-0.810000
2020-08-05,87,99.000000,57.151417,68.663920,3.748260,80.319200,-0.532500,-0.170000
2020-08-06,88,99.310000,57.478759,66.575300,3.350085,81.211800,-0.080491,4.120000
2020-08-07,85,96.850000,53.956150,63.607480,3.410361,82.074400,-3.120000,-2.170000
2020-08-10,83,94.570000,50.845885,60.410331,3.641083,82.852400,-2.030000,-4.600000
