date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,21,25.490000,43.055950,113.142868,2.183996,26.911000,-1.280000,-0.820000
2020-07-07,18,24.460000,39.095035,108.824375,1.832726,26.861800,-2.940000,-4.450000
2020-07-08,19,24.550000,39.617746,104.687403,1.404406,26.784600,0.450080,-2.150000
2020-07-09,18,24.040000,37.646047,100.668734,1.332998,26.688000,-1.880000,-5.130000
2020-07-10,23,25.470000,45.792381,97.068148,1.344116,26.597400,5.330000,-0.080000
2020-07-13,23,25.410000,45.523644,93.814941,1.302377,26.524600,-1.590000,3.880000
2020-07-14,19,24.250000,40.566815,89.934205,1.281765,26.457800,1.380000,-1.220000
2020-07-15,23,25.350000,46.514185,86.581663,1.149041,26.417800,1.480000,5.450000
2020-07-16,23,25.460000,47.084436,83.583761,1.089776,26.400600,2.210000,-0.040000
2020-07-17,21,24.950000,44.704643,80.799995,1.018687,26.387400,-2.120000,-1.810000
2020-07-20,20,24.570000,42.962245,77.934249,0.932947,26.374200,-0.606800,1.320000
2020-07-21,27,26.200000,51.664812,75.619869,0.845881,26.389600,5.860000,3.350000
2020-07-22,27,26.260000,51.955400,73.487867,0.763314,26.419200,0.497510,3.140000
2020-07-23,28,26.350000,52.417502,71.549524,0.776433,26.465400,0.726300,5.610000
2020-07-24,28,26.260000,51.880126,69.841069,0.662224,26.540000,-0.793350,6.880000
2020-07-27,24,25.490000,47.402606,67.548249,0.663404,26.568600,-2.040000,-2.710000
2020-07-28,25,25.530000,47.655339,65.419201,0.659488,26.612000,0.789580,-2.780000
2020-07-29,26,25.780000,49.295217,63.183686,0.664647,26.619400,1.300000,-2.160000
2020-07-30,21,24.650000,42.772512,60.713962,0.678860,26.633400,-2.140000,-6.130000
2020-07-31,19,24.260000,40.767541,58.091230,0.714968,26.628200,-0.979590,-4.830000
2020-08-03,19,24.290000,40.996660,55.511638,0.741255,26.624800,0.164950,-4.860000
2020-08-04,19,24.220000,40.602011,53.116301,0.754620,26.625800,0.082645,-6.050000
2020-08-05,20,24.400000,42.144304,51.148608,0.761429,26.588600,0.000000,-1.010000
2020-08-06,20,24.240000,41.122179,49.113735,0.747853,26.514400,0.165290,-0.080000
2020-08-07,24,25.070000,48.147663,47.641113,0.744892,26.471400,3.900000,3.210000
2020-08-10,22,24.700000,45.539013,46.419299,0.748541,26.436000,-2.060000,1.980000
