date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-22,58,40.560000,50.579700,135.908234,0.692113,41.413000,0.595240,1.710000
2020-06-23,57,40.360000,48.531080,132.044519,0.664818,41.384800,-1.370000,1.710000
2020-06-24,56,40.100000,45.926853,128.211826,0.660425,41.326800,-0.372670,1.960000
2020-06-25,55,39.900000,43.972159,124.431740,0.636714,41.266400,-0.050100,-0.130000
2020-06-26,52,39.440000,39.778671,120.940427,0.615008,41.173000,-1.080000,-2.760000
2020-06-29,54,39.690000,42.962329,117.698494,0.568061,41.086000,0.481010,-1.660000
2020-06-30,56,39.930000,45.918183,114.702060,0.499414,41.019000,0.478110,-0.420000
2020-07-01,56,39.900000,45.600070,111.919657,0.430735,40.955600,0.200900,0.000000
2020-07-02,56,39.740000,43.855051,109.369530,0.401613,40.873200,-0.724460,0.760000
2020-07-06,55,39.630000,42.646742,106.831675,0.384199,40.809000,-0.751310,-0.150000
2020-07-07,75,42.320000,66.763453,104.756350,0.646912,40.792400,7.190000,5.990000
2020-07-08,70,41.480000,58.492228,102.848132,0.718195,40.766600,-2.790000,3.960000
2020-07-09,74,42.580000,64.665654,101.078326,0.904961,40.764800,1.700000,7.150000
2020-07-10,78,43.560000,69.078116,99.546666,1.168994,40.812000,1.510000,9.920000
2020-07-13,74,43.170000,65.568943,98.199399,1.293177,40.865000,-1.390000,2.010000
2020-07-14,77,44.000000,69.159667,96.948366,1.467314,40.925600,2.110000,6.080000
2020-07-15,76,44.000000,69.159666,95.843630,1.611438,40.981000,-0.204130,3.330000
2020-07-16,76,44.070000,69.471080,94.817804,1.716859,41.030800,0.113580,1.170000
2020-07-17,75,43.910000,67.786230,93.890551,1.759024,41.087000,-1.240000,1.710000
2020-07-20,75,43.820000,66.804772,92.897125,1.799668,41.150800,-0.386450,-0.410000
2020-07-21,76,44.110000,68.392795,92.030865,1.861554,41.213400,0.592930,0.250000
2020-07-22,76,44.220000,68.998612,91.107594,1.903385,41.273400,0.067889,0.340000
2020-07-23,74,43.880000,64.860464,90.256819,1.895125,41.325800,-1.020000,-0.070000
2020-07-24,74,43.750000,63.297315,89.071188,1.850022,41.376000,0.229100,-0.160000
2020-07-27,74,43.740000,63.171199,87.970245,1.745066,41.428000,0.275100,-0.840000
2020-07-28,74,43.920000,64.540763,86.982276,1.635485,41.466800,0.205340,-0.680000
2020-07-29,72,43.560000,59.754671,85.466555,1.504595,41.487000,-0.661350,-0.730000
2020-07-30,72,43.370000,57.337955,83.460577,1.330847,41.521400,0.533150,-0.870000
2020-07-31,72,43.130000,54.347907,81.017498,1.078851,41.547600,-0.208240,-1.390000
2020-08-03,74,43.100000,53.969049,78.754363,0.677167,41.576400,-0.461890,-1.870000
2020-08-04,78,43.880000,61.486403,76.938366,0.626489,41.625200,1.530000,0.730000
2020-08-05,76,43.270000,54.051991,75.182311,0.414628,41.664800,-0.482980,-0.230000
2020-08-06,75,43.120000,52.374972,73.551688,0.357602,41.710600,0.185870,-0.020000
2020-08-07,76,43.320000,54.406192,72.087096,0.365337,41.752400,0.301000,0.510000
2020-08-10,79,43.960000,60.248781,71.090547,0.351927,41.804600,1.270000,0.180000
2020-08-11,76,43.400000,53.757490,70.263174,0.351202,41.846200,-1.810000,0.300000
2020-08-12,79,43.960000,58.565146,69.044348,0.349464,41.899200,1.080000,1.950000
2020-08-13,78,43.950000,58.448288,67.912582,0.343603,41.955000,0.480110,1.450000
2020-08-14,79,44.200000,60.566694,67.086382,0.359251,42.025000,0.204040,0.550000
2020-08-17,81,45.200000,67.667451,66.907503,0.488289,42.118600,0.937920,4.150000
2020-08-18,79,44.900000,63.947226,66.962660,0.544383,42.208400,-1.080000,2.140000
2020-08-19,76,44.140000,55.606703,66.097142,0.541506,42.282200,-1.340000,0.430000
2020-08-20,73,43.520000,49.889973,64.175854,0.544109,42.344800,-0.502970,-1.540000
2020-08-21,74,43.880000,52.916765,62.543815,0.544614,42.421800,0.827210,-2.920000
2020-08-24,74,43.780000,51.977572,61.028351,0.544551,42.512400,-0.680580,-2.490000
2020-08-25,73,43.540000,49.697778,59.189624,0.545893,42.596000,-0.137610,-1.360000
2020-08-26,73,43.570000,49.993042,57.482236,0.545715,42.669800,0.391710,0.110000
2020-08-27,80,45.540000,64.661761,57.692847,0.661026,42.787000,4.230000,3.780000
2020-08-28,81,46.770000,70.483473,58.108823,0.893129,42.935800,-0.489360,6.830000
2020-08-31,79,46.280000,65.830724,57.305046,0.987886,43.062400,0.981890,6.290000
2020-09-01,84,49.200000,75.998608,57.836287,1.464669,43.235200,4.530000,12.920000
2020-09-02,82,49.230000,76.077373,58.470005,1.764752,43.412600,-2.360000,8.100000
2020-09-03,78,48.180000,67.703024,57.674712,1.869252,43.574200,-1.470000,3.010000
2020-09-04,76,47.610000,63.609584,56.376557,1.906941,43.728400,-0.833160,2.870000
2020-09-08,70,46.150000,54.517221,54.595683,1.893095,43.862600,-2.100000,-6.200000
2020-09-09,71,46.630000,56.708175,53.058974,1.857289,44.001400,-0.149890,-5.280000
2020-09-10,67,45.600000,51.027839,50.753613,1.822864,44.114800,-2.330000,-5.350000
2020-09-11,67,45.570000,50.868016,48.307791,1.783604,44.228200,-0.240810,-4.280000
2020-09-14,68,45.770000,51.948538,46.557842,1.751237,44.348800,0.859410,-0.820000
2020-09-15,68,45.790000,52.062074,44.932888,1.746636,44.472000,-0.629340,-1.800000
