date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,82,0.094320,60.772892,124.043404,0.013069,0.077940,-5.774230,-7.440000
2020-07-21,84,0.096645,62.942464,119.496342,0.012631,0.078356,2.422660,-7.010000
2020-07-22,85,0.097655,63.877122,115.274071,0.011983,0.078720,1.143440,-3.140000
2020-07-23,86,0.098336,64.526784,111.541920,0.011064,0.079032,0.817110,-1.710000
2020-07-24,84,0.095858,60.278565,107.632211,0.009856,0.079309,-2.420700,1.630000
2020-07-27,82,0.094859,55.719033,96.668253,0.004607,0.080464,-4.381790,-3.540000
2020-07-28,86,0.097257,58.376388,92.418834,0.003970,0.080805,2.403820,1.460000
2020-07-29,82,0.095140,55.225530,88.579353,0.003764,0.081145,-2.184750,-5.740000
2020-07-30,84,0.096356,56.672156,84.979283,0.003339,0.081494,1.278120,-2.790000
2020-07-31,84,0.097026,57.487182,81.636361,0.003277,0.082008,0.666090,2.280000
2020-08-03,87,0.105230,62.595524,76.638951,0.003726,0.083966,2.643390,9.210000
2020-08-04,90,0.110140,66.520898,75.494289,0.004281,0.084747,4.596390,13.520000
2020-08-05,86,0.107610,62.860255,74.431388,0.004591,0.085472,-2.297080,-0.140000
2020-08-06,86,0.106320,61.016512,72.937148,0.004719,0.086163,-1.116070,3.580000
2020-08-07,83,0.102930,56.339862,70.428969,0.004755,0.086811,-3.197590,-2.190000
2020-08-10,87,0.106390,60.035638,64.482127,0.004711,0.088956,1.083140,0.070000
2020-08-11,79,0.100180,51.187189,61.347431,0.004640,0.089519,-5.783880,-2.670000
2020-08-12,81,0.101410,52.674997,58.291473,0.004579,0.090129,1.318810,-1.850000
2020-08-13,80,0.101310,52.534800,55.483384,0.004376,0.090778,-0.098610,-3.660000
2020-08-14,85,0.104950,57.019120,53.515895,0.004412,0.091527,3.654320,-1.350000
2020-08-17,90,0.113830,64.798184,50.996259,0.005122,0.094372,-1.369030,12.360000
2020-08-18,83,0.108260,56.644224,49.619016,0.004704,0.095236,-4.909970,3.150000
2020-08-19,76,0.102140,49.303125,47.079736,0.004316,0.095940,-5.661770,-4.630000
2020-08-20,81,0.107350,54.687048,44.721833,0.003873,0.096719,5.100840,-6.850000
2020-08-21,73,0.099636,46.767688,42.799461,0.004083,0.097359,-7.185840,-12.470000
2020-08-24,75,0.103020,50.242258,37.362080,0.004022,0.099475,0.136080,-4.030000
2020-08-25,60,0.097272,44.240398,34.993577,0.004315,0.099987,-5.579500,-2.370000
2020-08-26,60,0.098152,45.317400,32.794252,0.004510,0.100483,0.899490,-4.020000
2020-08-27,53,0.093798,41.088676,31.120605,0.005041,0.100648,-4.441820,-8.830000
2020-08-28,57,0.095701,43.567298,29.566504,0.005333,0.100748,2.010340,-7.100000
2020-08-31,59,0.096744,45.204610,24.944508,0.005673,0.101001,-1.487700,3.140000
2020-09-01,61,0.098826,48.115810,23.164321,0.005720,0.101175,2.147850,3.270000
2020-09-02,53,0.092481,40.971707,22.557224,0.006096,0.101180,-6.420380,-3.930000
2020-09-03,42,0.085328,34.714115,23.061238,0.007006,0.101001,-7.632690,-13.110000
2020-09-04,40,0.081534,31.928652,24.287166,0.007989,0.100594,4.130270,-15.720000
2020-09-07,42,0.078622,32.685536,28.136758,0.009148,0.099129,1.670760,-7.860000
2020-09-08,40,0.077385,31.764126,29.106282,0.009646,0.098791,-1.770750,-5.090000
2020-09-09,42,0.078251,33.184195,29.933947,0.009554,0.098423,1.119080,3.550000
2020-09-10,45,0.081145,37.839783,29.751812,0.009613,0.098092,3.754040,4.850000
2020-09-11,48,0.083803,41.847567,29.229372,0.009325,0.097802,3.173900,6.590000
2020-09-14,43,0.080175,38.107328,28.802950,0.008259,0.096766,0.256350,-1.200000
2020-09-15,42,0.077821,35.650015,29.081787,0.008031,0.096425,-2.936080,-7.140000
2020-09-16,43,0.079946,39.446062,29.733697,0.007894,0.096079,2.705550,-4.710000
2020-09-17,44,0.080388,40.235780,30.051249,0.007550,0.095784,0.493790,0.420000
2020-09-18,40,0.078256,37.682936,30.496834,0.007118,0.095422,-2.653350,-2.390000
2020-09-21,34,0.069945,29.102637,33.150087,0.004338,0.093780,-8.977930,-12.990000
2020-09-22,38,0.071742,32.763063,34.565198,0.003618,0.093110,2.466610,-8.320000
2020-09-23,35,0.067295,28.800266,36.169959,0.004102,0.092253,-6.198600,-14.270000
2020-09-24,40,0.070513,34.933355,37.690061,0.004315,0.091511,4.665280,-8.290000
2020-09-25,45,0.074752,42.018554,37.213631,0.004336,0.090880,6.011660,6.870000
2020-09-28,42,0.073206,40.218101,35.426010,0.004529,0.089063,-0.219440,3.820000
2020-09-29,42,0.074111,41.955343,34.751679,0.004548,0.088417,1.298510,-0.860000
2020-09-30,42,0.074818,43.340561,34.101637,0.004431,0.087910,0.959420,1.260000
2020-10-01,40,0.073111,40.808328,33.023938,0.004112,0.087344,-2.388520,-0.450000
2020-10-02,38,0.070941,37.785940,32.620915,0.003766,0.086736,-3.026450,-3.090000
2020-10-05,40,0.073303,43.163184,30.276739,0.003350,0.084534,0.492160,0.260000
2020-10-06,40,0.072433,41.643720,28.788394,0.003065,0.083706,-1.194940,2.100000
2020-10-07,39,0.072253,41.319625,27.733180,0.002645,0.082986,-0.225090,1.740000
2020-10-08,40,0.073237,43.890412,26.855349,0.002374,0.082408,1.246980,0.510000
2020-10-09,44,0.075076,48.436972,25.062566,0.002069,0.081763,2.701740,2.420000
2020-10-12,47,0.077510,53.823644,22.063847,0.002379,0.080306,0.349560,5.830000
2020-10-13,46,0.076463,51.027202,20.822449,0.002012,0.079774,-1.469020,1.850000
2020-10-14,43,0.074098,45.301667,19.745260,0.001859,0.079311,-3.093000,-4.110000
2020-10-15,43,0.074039,45.165514,19.310669,0.001852,0.078829,-0.014855,-4.010000
2020-10-16,59,0.079293,57.434159,18.647026,0.002180,0.078539,7.002320,2.300000
2020-10-19,60,0.085177,64.941210,21.291161,0.003605,0.077660,7.184020,15.040000
2020-10-20,51,0.080918,55.936097,22.675773,0.003783,0.077344,-5.013560,2.050000
2020-10-21,56,0.083896,60.102109,23.941707,0.004108,0.077045,3.681550,2.810000
2020-10-22,59,0.085586,62.281516,25.342948,0.004367,0.076907,2.100810,7.700000
2020-10-23,56,0.083795,58.626605,26.205607,0.004360,0.076876,-2.150940,-1.620000
2020-10-26,51,0.081144,52.455899,26.370552,0.004247,0.077185,-2.425420,-5.190000
2020-10-27,52,0.081770,53.490639,25.627713,0.003949,0.077248,0.690810,-2.420000
2020-10-28,47,0.078369,47.448707,23.983716,0.003670,0.077268,-4.132260,-8.460000
2020-10-29,46,0.077573,46.135232,23.060807,0.003538,0.077254,-0.994230,-6.740000
2020-10-30,38,0.076819,44.868225,22.477884,0.003558,0.077168,-1.068910,-5.330000
2020-11-02,36,0.075672,43.240047,20.166256,0.003543,0.076856,-3.815750,-2.450000
2020-11-03,37,0.075476,42.900188,20.404019,0.003435,0.076762,-0.156100,-1.750000
2020-11-04,34,0.074718,41.540368,20.762453,0.003376,0.076700,-0.988550,-3.990000
2020-11-05,51,0.080430,53.501334,19.894354,0.003368,0.076710,7.666360,2.230000
2020-11-06,57,0.084048,59.196112,19.821933,0.003453,0.076783,4.437290,11.070000
2020-11-09,49,0.079779,50.910106,17.331174,0.003291,0.076926,-2.109250,-0.810000
2020-11-10,47,0.079662,50.704275,16.542262,0.003186,0.077120,-0.286640,-5.220000
2020-11-11,48,0.080465,52.134623,15.809701,0.002926,0.077295,0.943380,1.170000
