date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-22,41,46.420000,48.162773,109.567468,2.755574,45.414200,1.600000,-3.690000
2020-06-23,42,46.700000,49.017034,106.224512,2.730001,45.493000,-0.426440,0.150000
2020-06-24,29,44.500000,43.018402,102.461328,2.814328,45.534400,-3.070000,-5.160000
2020-06-25,31,45.170000,45.217206,98.802810,2.807595,45.628200,2.540000,-1.760000
2020-06-26,27,43.620000,41.251397,95.346864,2.918374,45.717600,-2.810000,-6.030000
2020-06-29,29,44.320000,43.654854,92.137770,3.003713,45.739600,1.160000,-5.100000
2020-06-30,30,44.720000,45.038557,89.203162,3.078227,45.810400,2.970000,0.490000
2020-07-01,27,43.710000,42.219246,86.528038,3.174343,45.865400,-1.750000,-3.230000
2020-07-02,29,44.080000,43.611799,84.043994,3.229840,45.904400,-1.210000,1.050000
2020-07-06,29,44.390000,44.811904,81.698163,2.980816,45.923200,-0.626820,0.160000
2020-07-07,27,43.240000,41.300308,79.189008,2.442302,45.913400,-1.500000,-3.310000
2020-07-08,27,43.140000,40.999440,76.732862,1.856377,45.897400,-0.023175,-1.300000
2020-07-09,22,41.360000,35.975607,73.734717,1.701471,45.825200,-3.590000,-6.170000
2020-07-10,26,42.650000,41.564070,70.863386,1.770232,45.729000,3.720000,-3.920000
2020-07-13,26,42.660000,41.606624,68.334659,1.767076,45.652800,-0.744530,-1.340000
2020-07-14,30,44.070000,47.420256,66.199390,1.686699,45.671400,3.620000,2.160000
2020-07-15,32,44.630000,49.567816,64.424908,1.474349,45.666400,-0.888300,7.910000
2020-07-16,31,44.280000,48.241607,62.542416,1.386602,45.655400,-0.067705,3.820000
2020-07-17,30,43.520000,45.401018,60.564686,1.261145,45.646000,-1.830000,2.020000
2020-07-20,27,42.500000,41.840181,58.208232,1.237608,45.611200,-1.640000,-3.560000
2020-07-21,33,44.650000,50.629879,56.521514,1.117727,45.580600,3.480000,0.040000
2020-07-22,31,43.610000,46.934786,54.955276,0.914472,45.538000,-1.220000,-1.510000
2020-07-23,32,43.700000,47.293279,53.280919,0.897741,45.529600,0.691240,0.410000
2020-07-24,32,43.430000,46.283104,51.924440,0.833153,45.559600,-1.030000,2.190000
2020-07-27,33,44.070000,49.060598,50.513745,0.839067,45.595000,1.940000,-1.300000
2020-07-28,32,43.550000,46.937036,49.262860,0.824358,45.626000,-0.819860,-0.140000
2020-07-29,34,44.030000,49.126058,48.008717,0.790419,45.599800,0.732100,0.760000
2020-07-30,28,41.870000,40.941117,45.746449,0.870990,45.558400,-2.920000,-3.590000
2020-07-31,28,42.080000,41.953694,43.054812,0.909353,45.492600,2.240000,-4.520000
2020-08-03,29,42.250000,42.808543,40.731012,0.909118,45.446400,0.475620,-2.990000
2020-08-04,32,43.470000,48.652765,39.132906,0.910189,45.423800,2.670000,-1.270000
2020-08-05,33,43.850000,50.354468,37.983566,0.918005,45.382600,-0.679500,4.730000
2020-08-06,33,43.640000,49.380506,36.707243,0.802941,45.330600,0.553000,3.710000
2020-08-07,32,43.440000,48.419946,35.190042,0.783004,45.298600,0.485770,2.820000
2020-08-10,34,44.510000,53.618180,34.341591,0.791668,45.279400,1.180000,2.390000
2020-08-11,35,44.970000,55.685822,34.343352,0.843409,45.253200,-1.160000,2.550000
2020-08-12,32,44.090000,51.001766,33.521738,0.818355,45.188800,-0.832210,1.030000
2020-08-13,29,43.010000,45.898990,32.265090,0.810460,45.064200,-1.130000,-0.990000
2020-08-14,29,43.200000,46.905427,30.752801,0.813298,44.946200,1.410000,-2.940000
2020-08-17,31,42.640000,44.290220,29.348534,0.805258,44.737400,-1.230000,-5.180000
2020-08-18,31,42.430000,43.314921,27.911361,0.792405,44.491200,-0.375680,-3.770000
2020-08-19,25,41.960000,41.131844,26.261049,0.849267,44.260000,-0.920900,-2.440000
2020-08-20,23,41.320000,38.301034,24.460030,0.947299,44.073400,-0.887500,-4.350000
2020-08-21,22,41.010000,36.973671,23.201922,1.057164,43.970000,-0.702180,-3.820000
2020-08-24,26,42.220000,44.987686,21.904611,1.046456,43.871000,2.280000,-0.490000
2020-08-25,22,40.880000,39.063804,20.411854,1.131681,43.745800,-1.870000,-2.570000
2020-08-26,19,40.010000,35.770467,19.380521,1.253535,43.582000,-1.550000,-3.170000
2020-08-27,18,39.740000,34.790196,18.881817,1.396923,43.444200,-0.650000,-3.100000
2020-08-28,20,40.690000,40.924633,17.920763,1.451397,43.319600,2.130000,-3.620000
2020-08-31,19,39.940000,37.893857,17.028356,1.552427,43.198800,-1.720000,-2.300000
2020-09-01,22,39.430000,35.944488,16.806092,1.653248,43.059000,-0.805030,-1.450000
2020-09-02,21,39.190000,35.031203,16.668850,1.723965,42.908800,-0.101960,-1.380000
2020-09-03,17,39.110000,34.714576,16.244485,1.779276,42.801000,-0.229590,-3.880000
2020-09-04,17,39.080000,34.588320,16.029605,1.818121,42.679200,-0.963000,-2.150000
2020-09-08,15,38.180000,30.951550,16.735242,1.812585,42.570400,-0.183010,-3.170000
2020-09-09,15,37.950000,30.081088,17.219679,1.717019,42.443000,-1.040000,-3.160000
2020-09-10,13,37.000000,26.736434,18.299638,1.733815,42.288600,-3.320000,-5.400000
2020-09-11,14,36.900000,26.403636,19.532289,1.793021,42.152400,-0.619450,-5.580000
2020-09-14,13,36.660000,25.580660,20.676894,1.802207,42.004000,-0.677320,-3.980000
2020-09-15,13,36.270000,24.257515,21.280664,1.837690,41.841600,-1.440000,-4.430000
2020-09-16,18,37.810000,37.913776,20.955363,1.742587,41.733000,3.700000,2.190000
2020-09-17,18,37.800000,37.866037,20.653297,1.654855,41.626200,1.200000,2.440000
2020-09-18,16,37.190000,34.972980,20.596416,1.617146,41.542800,-0.905940,1.450000
2020-09-21,15,36.430000,31.721184,21.302981,1.619764,41.418400,0.000000,0.440000
2020-09-22,12,35.530000,28.358483,22.100940,1.530956,41.275800,-2.550000,-6.030000
2020-09-23,10,34.390000,24.775765,23.521840,1.631960,41.082200,-3.530000,-9.020000
2020-09-24,10,34.320000,24.570500,25.148066,1.742858,40.876000,-0.232560,-7.720000
2020-09-25,12,34.640000,27.526540,26.491353,1.795184,40.683200,1.880000,-4.910000
2020-09-28,14,35.310000,33.410684,26.495677,1.685599,40.519000,0.483780,-0.620000
2020-09-29,12,34.280000,29.451878,27.186084,1.669573,40.354600,-2.060000,-0.320000
2020-09-30,13,34.330000,29.886189,27.827176,1.648979,40.148200,-0.894920,0.030000
2020-10-01,11,33.130000,25.783632,29.060462,1.704457,39.938600,-1.950000,-4.360000
2020-10-02,11,32.980000,25.315823,30.537489,1.725413,39.724200,2.260000,-6.600000
2020-10-05,14,33.740000,32.043491,31.400398,1.640618,39.530400,1.260000,-1.580000
2020-10-06,13,33.390000,30.673135,31.396867,1.616684,39.316800,-2.140000,-2.740000
2020-10-07,14,33.500000,31.662290,31.455076,1.570080,39.115800,-0.416170,1.120000
2020-10-08,19,35.260000,45.147629,29.831236,1.519763,38.940400,4.070000,6.910000
2020-10-09,16,34.740000,42.480367,27.795398,1.470573,38.797800,-2.630000,2.960000
2020-10-12,16,34.630000,41.916228,26.243229,1.427796,38.648800,0.260570,3.710000
2020-10-13,14,34.220000,39.794930,24.673616,1.405165,38.488200,-1.470000,2.150000
2020-10-14,14,34.150000,39.428054,23.277915,1.240470,38.301800,0.264240,-3.150000
2020-10-15,16,34.450000,41.900231,22.629493,1.016201,38.113800,2.230000,-0.830000
2020-10-16,17,34.100000,39.856438,21.833282,0.815116,37.923000,-0.785570,-1.530000
2020-10-19,16,33.420000,36.165475,21.506250,0.690300,37.722600,-1.990000,-2.340000
2020-10-20,17,33.700000,38.683459,21.252969,0.629971,37.506400,0.118840,-1.320000
2020-10-21,16,33.160000,35.754285,21.183348,0.661240,37.270200,-1.040000,-3.740000
2020-10-22,22,34.860000,48.878279,19.739711,0.681509,37.085600,5.060000,2.230000
2020-10-23,19,34.160000,44.818410,18.517696,0.670414,36.908600,-2.320000,2.210000
2020-10-26,17,33.350000,40.614543,17.889336,0.624475,36.711600,-0.773580,-1.040000
2020-10-27,16,32.820000,38.096552,17.527582,0.668622,36.515200,-0.995480,-1.030000
2020-10-28,11,31.570000,32.913711,18.118043,0.831536,36.298000,-1.650000,-9.440000
2020-10-29,16,32.970000,42.370246,17.835900,0.838363,36.118200,4.970000,-3.480000
2020-10-30,15,32.620000,40.821048,17.563101,0.858507,35.944200,0.647950,-2.190000
2020-11-02,20,33.990000,48.724132,16.598486,0.860227,35.803800,2.560000,3.560000
2020-11-03,18,33.410000,45.927750,15.729260,0.859816,35.627600,-3.130000,5.830000
2020-11-04,17,33.230000,45.063376,14.862614,0.865797,35.474600,-0.120230,0.790000
2020-11-05,17,33.170000,44.760967,14.057871,0.799696,35.337800,-0.599340,1.690000
2020-11-06,16,32.780000,42.752661,13.804379,0.778207,35.198600,-0.966770,-3.560000
2020-11-09,35,36.930000,62.192055,15.165628,1.052635,35.123400,1.400000,10.540000
2020-11-10,34,36.860000,61.810790,16.356448,1.260470,35.061800,-0.512820,10.920000
2020-11-11,34,36.480000,59.672179,17.462210,1.389857,35.002800,-1.640000,9.980000
2020-11-12,30,35.230000,53.156813,17.277841,1.415410,34.923600,-1.760000,7.470000
2020-11-13,32,36.080000,56.624985,17.106642,1.490364,34.863000,1.920000,-2.300000
2020-11-16,38,38.160000,63.706313,18.031610,1.730535,34.844600,1.520000,3.530000
2020-11-17,40,38.670000,65.206232,19.146466,1.970159,34.854400,2.270000,6.000000
2020-11-18,35,37.210000,57.837188,20.376726,2.026775,34.839600,-4.640000,5.620000
2020-11-19,36,37.400000,58.494569,20.902990,2.109010,34.847600,1.470000,3.660000
2020-11-20,34,36.940000,56.209591,21.391663,2.149873,34.848400,-1.100000,-3.200000
2020-11-23,41,39.360000,64.144842,22.815745,2.312988,34.902400,4.960000,1.780000
2020-11-24,49,41.980000,70.398878,25.017623,2.658805,35.016600,3.630000,12.820000
2020-11-25,45,40.810000,64.950580,27.062225,2.694534,35.076600,-2.060000,9.120000
2020-11-27,44,40.190000,62.203327,28.227118,2.719273,35.124400,-1.250000,8.800000
2020-11-30,41,38.130000,54.026523,27.780828,2.580183,35.143200,-4.200000,-3.120000
2020-12-01,41,38.500000,55.166489,27.366416,2.516628,35.184600,-1.180000,-8.290000
2020-12-02,42,39.940000,59.387274,27.346811,2.442327,35.272800,4.040000,-2.130000
2020-12-03,42,40.210000,60.144914,27.431538,2.316630,35.389200,0.349390,0.050000
2020-12-04,47,41.680000,64.074436,28.009302,2.215372,35.536400,2.230000,9.310000
2020-12-07,45,40.900000,60.657027,28.545796,1.912431,35.661600,-1.260000,6.230000
2020-12-08,48,42.240000,64.190538,29.486520,2.029523,35.800200,4.220000,5.760000
2020-12-09,50,42.800000,65.581759,30.780531,2.147968,35.970600,0.210720,6.440000
