date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-20,37,0.195070,52.359400,24.808765,0.009732,0.192394,-2.047280,0.530000
2020-07-21,40,0.198990,56.795208,23.485403,0.009181,0.192169,2.112680,2.420000
2020-07-22,42,0.203340,61.121293,22.892255,0.008651,0.192180,2.167020,2.010000
2020-07-23,45,0.207580,64.819001,23.230635,0.008015,0.192259,2.088710,4.240000
2020-07-24,43,0.204050,59.725957,23.544845,0.007014,0.192240,-1.811720,4.600000
2020-07-27,55,0.223670,73.243615,28.931583,0.007343,0.193082,4.058660,7.750000
2020-07-28,59,0.230280,76.352648,31.254583,0.009513,0.193612,2.853200,12.850000
2020-07-29,64,0.243100,80.970984,34.121235,0.012787,0.194434,5.627250,13.550000
2020-07-30,65,0.244520,81.404198,36.783126,0.015181,0.195265,0.521270,13.740000
2020-07-31,70,0.258900,85.102860,39.609776,0.018670,0.196640,5.826720,15.750000
2020-08-03,80,0.309940,90.027472,49.198355,0.034730,0.202797,7.808970,26.750000
2020-08-04,77,0.300490,82.369941,52.024518,0.037694,0.204945,-3.046450,16.060000
2020-08-05,76,0.303310,82.839032,54.459747,0.039854,0.207185,0.840470,4.760000
2020-08-06,76,0.303580,82.885984,56.745448,0.041217,0.209388,0.145810,5.750000
2020-08-07,73,0.294660,75.533431,57.301194,0.041570,0.211462,-2.899850,-4.930000
2020-08-10,82,0.294660,72.586623,56.910924,0.038626,0.217791,2.110410,-2.940000
2020-08-11,79,0.284450,64.841994,54.872610,0.036615,0.219694,-3.472880,-3.470000
2020-08-12,79,0.284930,65.030893,52.935671,0.034410,0.221619,0.194810,-3.090000
2020-08-13,83,0.297810,69.730570,51.629592,0.031588,0.223890,4.519360,3.170000
2020-08-14,84,0.300370,70.576978,50.845219,0.029019,0.226226,0.953840,1.940000
2020-08-17,86,0.314770,75.008831,49.613896,0.019090,0.233840,3.664200,5.690000
2020-08-18,83,0.303310,65.851519,49.847042,0.015965,0.236347,-3.472430,0.980000
2020-08-19,79,0.290250,57.270655,47.927023,0.011530,0.238635,-4.371150,-3.140000
2020-08-20,82,0.292570,58.309922,46.144148,0.008037,0.240947,0.782640,-3.600000
2020-08-21,75,0.280680,51.408836,43.928003,0.008649,0.243015,-4.029840,-10.830000
2020-08-24,78,0.289220,55.575286,37.487269,0.008412,0.249612,1.380060,-1.150000
2020-08-25,70,0.277930,48.987069,34.919892,0.008904,0.251399,-3.846130,-0.980000
2020-08-26,69,0.277490,48.744545,32.535899,0.009215,0.253253,-0.072742,-3.160000
2020-08-27,61,0.264510,42.119826,31.485166,0.010964,0.254449,-4.632610,-7.320000
2020-08-28,65,0.272050,46.655217,30.509485,0.011640,0.255832,2.791530,-5.940000
2020-08-31,69,0.281770,52.048642,25.615792,0.012123,0.260610,-0.458910,6.530000
2020-09-01,76,0.295700,59.009749,24.782089,0.012213,0.262553,5.001210,8.690000
2020-09-02,64,0.276460,48.530488,23.158801,0.012290,0.264106,-6.478420,0.710000
2020-09-03,41,0.246580,37.417283,22.980623,0.014804,0.265095,-10.864820,-12.880000
2020-09-04,47,0.255880,41.878454,22.878580,0.015657,0.266332,3.711400,-9.190000
2020-09-07,43,0.242170,38.590217,24.447048,0.017875,0.268888,0.565590,-1.790000
2020-09-08,38,0.236750,36.860735,24.889061,0.018995,0.269722,-2.179900,-7.480000
2020-09-09,41,0.239610,38.428813,25.299502,0.019336,0.270534,1.219150,0.810000
2020-09-10,43,0.243530,40.606096,24.980009,0.019735,0.271338,1.602490,1.160000
2020-09-11,42,0.243290,40.511640,24.835869,0.019667,0.272052,-0.097729,0.460000
2020-09-14,43,0.246330,43.360498,22.212031,0.018237,0.274109,1.870520,1.150000
2020-09-15,43,0.243850,42.194120,21.305907,0.017853,0.274512,-0.980650,0.230000
2020-09-16,44,0.247850,44.774467,21.120921,0.017811,0.274864,1.572480,0.020000
2020-09-17,46,0.252190,47.512127,20.050181,0.017374,0.275045,1.796620,4.300000
2020-09-18,44,0.250710,46.662623,19.069677,0.016723,0.275169,-0.625090,1.780000
2020-09-21,35,0.232140,36.814194,18.734605,0.008920,0.273071,-5.947700,-7.950000
2020-09-22,38,0.233420,37.806799,19.586368,0.006106,0.271541,0.676740,-6.900000
2020-09-23,32,0.221220,32.557074,21.038772,0.007835,0.269956,-5.172170,-12.120000
2020-09-24,40,0.232910,41.009614,22.440958,0.007506,0.268548,5.065970,-5.610000
2020-09-25,45,0.241920,46.567983,22.220037,0.007451,0.267314,3.861280,4.210000
2020-09-28,45,0.241860,46.554116,20.782162,0.007354,0.264303,-0.604930,3.840000
2020-09-29,45,0.243180,47.508028,20.354862,0.007333,0.263274,0.790820,0.520000
2020-09-30,44,0.241780,46.558876,19.979132,0.007329,0.262420,-0.529070,-0.160000
2020-10-01,42,0.238250,44.163032,20.062005,0.007376,0.261487,-1.537390,-1.860000
2020-10-02,40,0.234120,41.474022,20.652887,0.007443,0.260213,-1.754110,-3.200000
2020-10-05,49,0.250820,54.537959,18.993307,0.007992,0.256772,1.058060,5.280000
2020-10-06,46,0.245340,50.414392,18.726935,0.007907,0.255383,-2.189890,4.790000
2020-10-07,48,0.248540,52.665053,18.389383,0.007691,0.254288,1.264690,6.700000
2020-10-08,48,0.251450,54.679594,18.250374,0.007739,0.253512,1.031390,1.520000
2020-10-09,57,0.253490,56.090426,18.528988,0.007869,0.252730,0.812090,1.060000
2020-10-12,58,0.256450,58.275463,19.474488,0.008776,0.251007,0.304300,1.990000
2020-10-13,59,0.256320,58.128078,19.552223,0.007491,0.250349,-0.010923,1.120000
2020-10-14,47,0.249450,50.814180,18.539889,0.006937,0.249779,-2.835310,-1.900000
2020-10-15,46,0.245940,47.524062,17.220069,0.006862,0.249148,-1.389700,-3.820000
2020-10-16,42,0.240440,42.842977,16.729440,0.006927,0.248667,-2.281980,-6.240000
2020-10-19,46,0.245960,48.961644,14.935665,0.006938,0.246658,1.508820,0.010000
2020-10-20,45,0.243570,46.567675,14.195250,0.006886,0.245894,-0.957190,1.300000
2020-10-21,58,0.251610,54.608175,14.326172,0.006679,0.245012,3.339010,4.430000
2020-10-22,61,0.256810,58.914434,15.373596,0.006246,0.244619,2.177170,6.020000
2020-10-23,61,0.254880,56.762052,16.250436,0.005267,0.244785,-0.950930,3.630000
2020-10-26,56,0.248690,49.556850,16.693127,0.005393,0.245265,-1.787030,-3.160000
2020-10-27,59,0.252900,53.664502,15.852894,0.005405,0.245480,1.693290,-0.780000
2020-10-28,54,0.245870,46.809834,14.943228,0.005494,0.245662,-2.781730,-4.120000
2020-10-29,45,0.242300,43.753442,14.737707,0.005702,0.245716,-1.452020,-4.310000
2020-10-30,44,0.239180,41.220329,15.473349,0.006035,0.245629,-1.282750,-3.820000
2020-11-02,42,0.235420,38.122777,17.926541,0.006244,0.245270,-1.827740,-2.840000
2020-11-03,45,0.239510,43.316991,19.433845,0.006366,0.245134,1.737320,0.140000
2020-11-04,44,0.237790,41.730519,20.833485,0.006598,0.245013,-0.716880,-0.810000
2020-11-05,56,0.245780,50.753548,20.714724,0.006501,0.244971,3.354510,2.490000
2020-11-06,62,0.258440,61.046300,19.918571,0.006971,0.245096,5.157260,9.780000
2020-11-09,57,0.250750,53.103331,19.292428,0.007078,0.245198,-1.256600,2.020000
2020-11-10,59,0.253910,55.493197,19.815491,0.007160,0.245634,1.259410,-1.750000
2020-11-11,60,0.256260,57.238419,20.301193,0.007126,0.246091,0.924730,2.680000
2020-11-12,59,0.254900,55.872950,20.752201,0.007127,0.246764,-0.528760,0.380000
2020-11-13,64,0.265190,63.054480,21.921506,0.007879,0.247410,4.036050,5.760000
2020-11-16,74,0.285520,73.443202,27.947842,0.012692,0.249343,5.888940,12.010000
2020-11-17,82,0.302410,78.894248,30.746911,0.016751,0.250554,3.636790,14.040000
2020-11-18,78,0.294220,71.256465,32.223008,0.018593,0.251575,-2.703400,9.640000
2020-11-19,82,0.303770,74.372052,33.593670,0.020704,0.252815,3.243810,12.660000
2020-11-20,89,0.328070,80.240918,35.752581,0.024863,0.254611,8.000240,14.900000
2020-11-23,95,0.613980,92.029167,46.349161,0.092126,0.270636,38.376970,102.120000
