date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,51.0,39.449153,14.787258,3.942236,227.1338,-4.49,222.91,0.0,0.0,0.0,,
2024-11-04,51.0,38.295334,15.46651,3.907196,227.0372,-4.99,222.01,-0.0717948717948786,-0.0143589743589757,-0.0574358974359029,,
2024-11-05,52.0,41.255863,15.760831,4.075328,226.9626,-2.89,223.45,-0.0123544451749637,-0.0139580685221733,0.0016036233472095,,
2024-11-06,51.0,40.202806,15.441309,4.400136,226.8564,-1.41,222.72,-0.0238771371944039,-0.0159418822566194,-0.0079352549377845,,
2024-11-07,62.0,49.291775,14.667798,4.430116,226.8762,2.05,227.48,0.347082316490571,0.0566629574928186,0.2904193589977523,,
2024-11-08,61.0,48.425834,13.747162,4.447715,226.8196,2.23,226.96,0.5922832295886167,0.1637870119119782,0.4284962176766384,,
2024-11-11,51.0,44.050495,13.980584,4.59984,226.7242,0.35,224.23,0.559864762875236,0.2430025621046298,0.3168622007706062,,
2024-11-12,51.0,44.050495,14.197333,4.626376,226.7534,0.68,224.23,0.5280854540499433,0.3000191404936925,0.2280663135562508,,
2024-11-13,52.0,45.898655,14.086114,4.65776,226.8388,-1.04,225.12,0.5681662183144454,0.3536485560578431,0.2145176622566022,,
2024-11-14,62.0,51.863197,13.357155,4.591379,226.9556,0.56,228.22,0.8403871450936151,0.4509962738649975,0.3893908712286176,SELL,"[-2.418377637863159, -2.154315233230591, -1.211759090423584]"
2024-11-15,52.0,46.169396,12.864268,4.399462,227.0392,0.34,225.0,0.7872224906317911,0.5182415172183562,0.2689809734134348,BUY,"[-2.773019552230835, -2.3509902954101562, -6.391123294830322]"
2024-11-18,62.0,51.54266,12.246968,3.949881,227.1814,1.69,228.02,0.9775097557613606,0.6100951649269571,0.3674145908344034,SELL,"[-2.6289637088775635, -2.2926652431488037, -1.6275514364242554]"
2024-11-19,62.0,51.987003,11.782088,3.474306,227.3448,1.4,228.28,1.136196248318555,0.7153153816052767,0.4208808667132783,BUY,"[-2.442600965499878, -1.9394338130950928, -2.890921115875244]"
2024-11-20,63.0,53.265045,11.121451,3.405192,227.4716,0.34,229.0,1.305011064443761,0.8332545181729736,0.4717565462707873,SELL,"[-2.762237787246704, -2.4415011405944824, -1.8828744888305664]"
2024-11-21,62.0,52.266198,10.575237,3.330267,227.5866,1.56,228.52,1.384110865516874,0.9434257876417538,0.4406850778751201,SELL,"[-2.650379180908203, -2.3775439262390137, -1.181247353553772]"
