date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,71.0,61.604862,26.096895,5.303785,194.1962,5.82,200.47,0.0,0.0,0.0,,
2024-11-05,71.0,63.225329,26.308836,5.627638,194.281,0.09,201.68,0.0965242165242159,0.0193048433048431,0.0772193732193727,,
2024-11-06,70.0,62.105545,27.196459,5.870822,194.3866,-1.31,201.2,0.1327580133277877,0.041995477309432,0.0907625360183556,,
2024-11-07,69.0,60.448174,27.423175,6.050384,194.4888,-1.49,200.51,0.1045906687912463,0.0545145156057949,0.0500761531854514,,
2024-11-08,68.0,58.007929,27.633697,6.16356,194.5752,-0.48,199.5,0.0007605194388133,0.0437637163723986,-0.0430031969335852,,
2024-11-11,40.0,27.90029,28.469212,7.528052,194.1376,-13.51,174.43,-2.0804825949477674,-0.3810855458916346,-1.6993970490561328,,
2024-11-12,38.0,25.966623,29.395248,8.95442,193.6056,-14.97,171.09,-3.953815717672825,-1.0956315802478729,-2.858184137424952,,
2024-11-13,38.0,25.544212,30.380311,10.15092,193.0724,-15.04,170.35,-5.435500463766033,-1.9636053569515048,-3.471895106814528,,
2024-11-14,38.0,25.1161,31.393029,11.188986,192.6078,-14.97,169.63,-6.591857453283296,-2.8892557762178632,-3.702601677065433,,
2024-11-15,36.0,22.499118,32.676872,12.479936,192.0396,-5.41,164.99,-7.792856719106993,-3.869975964795689,-3.922880754311304,BUY,"[-4.218311786651611, -3.622758388519287, -22.113767623901367]"
2024-11-18,38.0,24.843726,33.869011,13.434706,191.4368,-2.81,166.28,-8.54209709296768,-4.804400190430087,-3.737696902537593,BUY,"[-3.7579569816589355, -2.3206136226654053, -20.268775939941406]"
2024-11-19,39.0,25.390179,35.066725,14.228531,190.7812,-2.22,166.57,-9.00862904293868,-5.645245960931805,-3.363383082006874,BUY,"[-4.103185176849365, -3.2458441257476807, -24.027851104736328]"
2024-11-20,41.0,27.71282,35.9462,14.829778,190.2446,-1.1,167.76,-9.176554313794128,-6.35150763150427,-2.825046682289858,BUY,"[-3.7223827838897705, -3.2197163105010986, -26.16275405883789]"
2024-11-21,45.0,34.984449,35.545005,15.120711,189.7988,4.09,171.73,-8.886848422711722,-6.858575789745761,-2.028272632965961,BUY,"[-3.8369479179382324, -3.4784069061279297, -27.109214782714844]"
2024-11-22,49.0,43.090671,33.78435,15.208116,189.4536,6.42,176.95,-8.14218599040828,-7.115297829878266,-1.0268881605300135,BUY,"[-3.65566086769104, -3.1234984397888184, -21.195941925048828]"
2024-11-25,48.0,43.251242,31.893657,15.244336,189.0802,6.3,177.06,-7.457197634724253,-7.183677790847463,-0.2735198438767892,BUY,"[-3.742703914642334, -3.4809248447418213, -21.778554916381836]"
2024-11-26,51.0,48.99916,29.856139,15.201367,188.834,7.98,181.14,-6.510073451385239,-7.048956922955019,0.5388834715697799,BUY,"[-3.31903076171875, -3.2066292762756348, -18.851411819458008]"
2024-11-27,51.0,51.513925,27.967611,14.630998,188.6368,6.61,183.08,-5.539077883796125,-6.74698111512324,1.2079032313271147,BUY,"[-3.3792786598205566, -2.89985990524292, -18.881925582885742]"
2024-11-29,50.0,51.303288,26.213979,13.796301,188.423,3.38,182.93,-4.727168788006424,-6.343018649699877,1.6158498616934531,BUY,"[-3.4013752937316895, -3.0986437797546387, -20.118701934814453]"
2024-12-02,48.0,49.613747,24.811438,12.843035,188.189,2.66,181.77,-4.129722416228077,-5.900359403005518,1.7706369867774407,BUY,"[-3.2226293087005615, -2.7970309257507324, -18.69854164123535]"
2024-12-03,48.0,49.207542,23.336748,12.002932,187.9424,0.2,181.5,-3.6361137498350615,-5.447510272371427,1.8113965225363653,BUY,"[-3.306325674057007, -2.404961585998535, -18.18855094909668]"
2024-12-04,43.0,42.253223,22.950184,10.879505,187.6014,-3.62,176.46,-3.609997401523316,-5.080007698201805,1.4700102966784891,BUY,"[-3.5265915393829346, -2.57901930809021, -20.840211868286133]"
2024-12-05,43.0,41.886406,22.954541,9.52207,187.2996,-3.7,176.17,-3.5715302066748507,-4.778312199896414,1.206781993221563,BUY,"[-3.3606972694396973, -2.488288164138794, -19.70608901977539]"
2024-12-06,42.0,41.923854,22.953661,7.847025,186.9854,-3.07,176.19,-3.4990954505208838,-4.522468850021308,1.023373399500425,BUY,"[-3.4663593769073486, -2.3550221920013428, -19.711458206176758]"
2024-12-09,42.0,42.679598,22.59927,5.670831,186.621,-2.72,176.57,-3.3721554512490286,-4.292406170266853,0.9202507190178242,BUY,"[-3.5260698795318604, -2.712054491043091, -20.341197967529297]"
2024-12-10,42.0,41.308532,22.368998,5.675055,186.1848,-0.45,175.67,-3.306066785708424,-4.095138293355167,0.7890715076467432,BUY,"[-3.47383975982666, -2.6510672569274902, -18.6962833404541]"
2024-12-11,41.0,39.342526,22.155174,5.615604,185.733,-1.02,174.37,-3.320315645632945,-3.940173763810723,0.6198581181777776,BUY,"[-3.371959686279297, -2.34930682182312, -19.201433181762695]"
2024-12-12,39.0,37.593555,22.312167,5.535134,185.2604,-1.7,173.19,-3.3877719815209844,-3.8296934073527753,0.4419214258317909,BUY,"[-3.362929344177246, -2.4513118267059326, -20.692094802856445]"
2024-12-13,40.0,38.045998,22.457946,5.412351,184.8188,-1.81,173.37,-3.3876563246637943,-3.7412859908149794,0.3536296661511851,BUY,"[-3.2208242416381836, -2.4457197189331055, -20.337377548217773]"
2024-12-16,39.0,35.376034,22.956172,4.961518,184.3656,-2.3,171.63,-3.48776335903878,-3.69058146445974,0.2028181054209596,BUY,"[-3.3419189453125, -2.5156185626983643, -22.195363998413086]"
2024-12-17,44.0,44.427586,22.407177,4.488006,184.001,0.58,175.38,-3.227302906095673,-3.5979257527869266,0.3706228466912535,BUY,"[-3.2420148849487305, -2.40775728225708, -17.57170867919922]"
2024-12-18,42.0,40.575801,21.897397,4.006546,183.6012,-0.1,173.02,-3.174722176227448,-3.513285037475031,0.338562861247583,BUY,"[-3.433417558670044, -2.416335105895996, -18.730928421020508]"
2024-12-19,41.0,38.302781,21.972198,3.676144,183.1366,-1.07,171.52,-3.217005397256884,-3.454029109431402,0.2370237121745182,BUY,"[-3.3054471015930176, -2.507331609725952, -20.180028915405273]"
2024-12-20,46.0,46.963101,21.13699,3.519578,182.7612,2.3,175.58,-2.8895976029379824,-3.3411428081327186,0.4515452051947362,BUY,"[-2.99733304977417, -2.2857632637023926, -14.554245948791504]"
2024-12-23,48.0,51.986492,19.844136,3.539091,182.4452,1.72,178.39,-2.375992093395382,-3.148112665185252,0.7721205717898694,BUY,"[-3.1524930000305176, -2.159619092941284, -15.115222930908203]"
2024-12-24,49.0,54.637551,18.613944,3.609297,182.1322,4.03,180.0,-1.8180847330028485,-2.8821070787487715,1.064022345745923,BUY,"[-2.9818360805511475, -2.3044168949127197, -13.455621719360352]"
2024-12-26,49.0,53.069544,17.519998,3.518885,181.879,4.48,179.2,-1.4240765761938403,-2.590500978237785,1.166424402043945,BUY,"[-2.5940732955932617, -1.961533546447754, -10.630836486816406]"
2024-12-27,47.0,50.737023,16.422628,3.227898,181.63,1.38,178.01,-1.1940807088797385,-2.3112169243661764,1.117136215486438,BUY,"[-2.908249855041504, -1.8523633480072021, -12.919134140014648]"
2024-12-30,46.0,47.32958,15.894565,2.876509,181.3826,-1.23,176.2,-1.144664223560909,-2.077906384205123,0.9332421606442138,BUY,"[-2.7800588607788086, -1.9734913110733032, -13.805768013000488]"
2024-12-31,47.0,50.308013,15.242177,2.6073,181.1594,-1.28,177.7,-0.9732448778146932,-1.856974082927037,0.8837292051123438,BUY,"[-2.6703250408172607, -1.579103946685791, -13.013683319091797]"
2025-01-02,49.0,53.586744,14.280482,2.422359,181.0174,0.13,179.44,-0.6890474430811651,-1.6233887549578627,0.9343413118766976,BUY,"[-2.518857002258301, -1.3131428956985474, -9.943769454956055]"
2025-01-03,58.0,56.731904,13.904042,2.684993,180.8666,1.8,181.22,-0.3165389407334658,-1.3620187921129836,1.0454798513795178,BUY,"[-0.7739232778549194, 0.006616925820708275, -3.450685977935791]"
2025-01-06,49.0,54.241252,13.670424,2.820322,180.711,2.21,180.1,-0.1104249979740643,-1.1117000332851998,1.0012750353111357,BUY,"[-1.742505669593811, -1.2840917110443115, -6.493751525878906]"
2025-01-07,48.0,52.966778,13.143986,2.90428,180.5086,1.03,179.53,0.006848603879888,-0.8879903058521823,0.8948389097320704,BUY,"[-1.887415885925293, -1.359960675239563, -7.505003929138184]"
2025-01-08,47.0,50.650803,12.489913,2.936736,180.3216,-0.52,178.5,0.0164863420403094,-0.707094976273684,0.7235813183139934,BUY,"[-2.1916630268096924, -1.305199146270752, -9.285033226013184]"
2025-01-10,43.0,43.958643,12.695086,2.946667,180.0314,-3.34,175.17,-0.2417916276862968,-0.6140343065562066,0.3722426788699098,BUY,"[-2.7761096954345703, -1.5019395351409912, -13.469528198242188]"
2025-01-13,45.0,47.481808,12.726423,2.902899,179.7772,-1.87,176.74,-0.3161485369856507,-0.5544571526420955,0.2383086156564448,BUY,"[-2.5283889770507812, -1.3475513458251953, -10.488977432250977]"
2025-01-14,45.0,45.164157,12.828006,2.804339,179.2582,-2.22,175.55,-0.4657313173542832,-0.536711985584533,0.0709806682302498,BUY,"[-2.621715784072876, -1.4231243133544922, -10.364555358886719]"
2025-01-15,34.0,38.096262,14.226938,2.958635,178.6078,-4.01,171.35,-0.9126610590407722,-0.6119018002757809,-0.3007592587649913,BUY,"[-3.09414005279541, -1.6813161373138428, -16.460893630981445]"
2025-01-16,36.0,43.430605,15.525946,2.811616,178.0108,-0.84,173.7,-1.0649546052733283,-0.7025123612752904,-0.3624422439980381,BUY,"[-2.570657968521118, -1.5805327892303467, -12.054417610168457]"
2025-01-17,33.0,40.046391,16.719149,3.024317,177.4326,-2.93,171.56,-1.3428489266204906,-0.8305796743443304,-0.5122692522761602,BUY,"[-2.8492965698242188, -1.5054614543914795, -15.831066131591797]"
2025-01-21,35.0,42.417313,17.107134,3.049958,176.8512,-1.67,172.61,-1.4615085923298636,-0.9567654579414372,-0.5047431343884264,BUY,"[-2.8864870071411133, -1.8265587091445923, -16.311893463134766]"
2025-01-22,32.0,37.263459,18.215047,3.276779,176.2112,-1.25,169.2,-1.8098429903377,-1.1273809644206898,-0.6824620259170098,BUY,"[-2.8870067596435547, -1.6185842752456665, -15.979667663574219]"
2025-01-23,33.0,40.613313,19.243823,3.511125,175.6144,-1.74,170.67,-1.9448646071206213,-1.2908776929606762,-0.653986914159945,BUY,"[-2.8130850791931152, -1.5424290895462036, -17.066801071166992]"
2025-01-24,33.0,40.033882,20.006777,3.701223,175.0304,-0.73,170.3,-2.0580027444049733,-1.4443027032495357,-0.6137000411554376,BUY,"[-2.7624847888946533, -1.7980711460113525, -15.708761215209961]"
2025-01-27,48.0,52.933398,18.743261,3.586802,175.0798,2.49,176.9,-1.596694985930867,-1.474781159785802,-0.1219138261450649,BUY,"[-2.131814479827881, -1.5531604290008545, -9.582158088684082]"
2025-01-28,38.0,49.315643,17.569997,3.498055,175.1542,3.32,174.81,-1.3837992209049617,-1.456584772009634,0.0727855511046724,BUY,"[-2.942213296890259, -1.729643702507019, -13.126507759094238]"
2025-01-29,46.0,50.106334,16.480537,3.44894,175.2524,2.69,175.26,-1.1653333170139035,-1.398334481010488,0.2330011639965845,BUY,"[-2.225137710571289, -1.7788292169570923, -10.179129600524902]"
2025-01-30,46.0,50.822371,15.356323,3.444046,175.3728,3.14,175.65,-0.9497793089281856,-1.3086234465940276,0.358844137665842,BUY,"[-2.0536060333251953, -1.4259566068649292, -7.9674835205078125]"
2025-01-31,54.0,62.938994,17.487961,3.895715,175.751,3.96,183.9,-0.1119546096139743,-1.069289679198017,0.9573350695840428,HOLD,"[3.848034620285034, 3.675353527069092, 1.9647386074066162]"
2025-02-03,60.0,69.133628,19.003203,4.971429,176.2282,8.77,190.14,1.0435143668813396,-0.6467288699821458,1.6902432368634854,SELL,"[9.584213256835938, 8.94582748413086, 9.860708236694336]"
2025-02-04,58.0,68.756779,20.410213,5.724286,176.6958,8.38,189.95,1.9217477317494056,-0.1330335496358355,2.054781281385241,SELL,"[10.811850547790527, 9.8307523727417, 12.797892570495605]"
2025-02-05,59.0,70.402807,22.02653,6.581462,177.1756,9.17,191.75,2.73151178990247,0.4398755182718255,2.291636271630644,SELL,"[16.581594467163086, 15.605246543884277, 21.32748031616211]"
2025-02-06,59.0,71.498811,23.676078,7.421478,177.6004,4.93,192.97,3.4321359176303474,1.03832759814353,2.3938083194868174,SELL,"[19.876615524291992, 17.6129150390625, 24.54893684387207]"
2025-02-07,56.0,66.358044,25.163887,7.927085,177.8734,0.24,190.6,3.7528854659341846,1.581239171701661,2.171646294232524,SELL,"[11.49693489074707, 11.056451797485352, 12.370911598205566]"
2025-02-10,56.0,65.799113,26.041505,8.295223,178.139,0.21,190.34,3.940676303312557,2.0531265980238405,1.887549705288717,SELL,"[14.340822219848633, 13.364806175231934, 17.256296157836914]"
2025-02-11,58.0,67.489131,26.549015,8.713121,178.3528,0.04,191.83,4.16175828355702,2.4748529351304764,1.686905348426544,SELL,"[17.95005226135254, 17.453882217407227, 22.51198387145996]"
2025-02-12,59.0,68.793164,27.450958,9.094002,178.5512,0.02,193.0,4.380876549747853,2.856057658053952,1.5248188916939012,SELL,"[18.759031295776367, 17.586095809936523, 24.067180633544922]"
