date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,69.0,56.701222,24.202228,1.677024,115.0222,3.75,117.65,0.0,0.0,0.0,,
2024-11-05,69.0,56.910676,24.074716,1.67198,115.1228,2.87,117.73,0.0063817663817644,0.0012763532763528,0.0051054131054115,,
2024-11-06,67.0,53.660926,24.924033,1.673041,115.1968,3.03,116.8,-0.0628790350727683,-0.0115547243934713,-0.051324310679297,,
2024-11-07,64.0,48.818794,25.114383,1.681497,115.2448,-2.78,115.3,-0.2360847452143986,-0.0564607285576568,-0.1796240166567417,,
2024-11-08,66.0,52.766222,25.291136,1.681564,115.3214,-0.9,116.59,-0.2661908173172094,-0.0984067463095673,-0.167784071007642,,
2024-11-11,67.0,53.396373,25.672827,1.672517,115.392,-0.79,116.8,-0.2699925454055574,-0.1327239061287653,-0.137268639276792,,
2024-11-12,66.0,52.112867,26.027254,1.671302,115.4276,-0.31,116.44,-0.2986122178917867,-0.1659015684813696,-0.1327106494104171,,
2024-11-13,65.0,49.615492,25.730175,1.641604,115.4544,0.38,115.74,-0.3734725058181283,-0.2074157559487213,-0.1660567498694069,,
2024-11-14,55.0,47.14751,25.027949,1.617339,115.493,-1.34,115.03,-0.4845058082582198,-0.262833766410621,-0.2216720418475988,,
2024-11-15,65.0,50.40307,24.038093,1.431893,115.5338,-0.77,115.9,-0.4965745687653111,-0.309581926881559,-0.1869926418837521,SELL,"[3.290357828140259, 3.655306577682495, 4.600334644317627]"
2024-11-18,67.0,55.371214,23.896857,1.447675,115.5524,0.79,117.36,-0.3839039444473258,-0.3244463303947124,-0.0594576140526134,SELL,"[3.856166124343872, 4.198720932006836, 5.331517696380615]"
2024-11-19,67.0,54.445954,23.722485,1.46996,115.5528,1.2,117.13,-0.3096018434067815,-0.3214774329971262,0.0118755895903446,SELL,"[4.047859191894531, 4.31953239440918, 5.156734943389893]"
2024-11-20,64.0,49.772802,23.560568,1.451829,115.5394,0.78,115.93,-0.3435862161709622,-0.3258991896318934,-0.0176870265390687,SELL,"[3.9910433292388916, 4.257138729095459, 4.975111484527588]"
