date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,49.0,36.262447,33.506866,10.14415,352.3692,-5.27,343.9,0.0,0.0,0.0,,
2024-11-05,50.0,38.37435,33.055269,10.810171,352.5434,-0.31,345.49,0.1268376068376255,0.0253675213675251,0.1014700854701004,,
2024-11-06,62.0,50.253171,30.863401,10.85589,352.8584,3.28,356.13,1.0735412861908458,0.2350022743321892,0.8385390118586565,,
2024-11-07,63.0,54.333699,29.167468,10.856866,353.3248,4.35,360.71,2.168382729716143,0.62167836540898,1.5467043643071627,,
2024-11-08,60.0,49.398415,27.409795,10.933491,353.6312,3.38,355.53,2.5882341999457594,1.014989532316336,1.5732446676294234,,
2024-11-11,60.0,51.035067,25.613755,10.936061,353.9382,3.42,357.3,3.0288786942858223,1.4177673647102331,1.611111329575589,,
2024-11-12,61.0,54.029479,24.17899,10.788145,354.3128,1.26,360.61,3.603641432651557,1.854942178298498,1.7486992543530588,,
2024-11-13,66.0,61.408492,23.995999,10.685077,354.8374,2.64,370.22,4.779496667181377,2.439853076075074,2.3396435911063027,,
2024-11-14,62.0,53.556974,23.985517,10.145245,355.2602,1.84,362.07,4.996141119679862,2.951110684796032,2.0450304348838304,,
2024-11-15,51.0,46.831686,22.474923,9.417691,355.5348,-1.04,353.57,4.430878042638199,3.2470641563644653,1.1838138862737333,BUY,"[9.094803810119629, 9.573577880859375, 5.196262836456299]"
2024-11-18,51.0,46.257649,21.072228,8.582411,355.7544,-2.17,352.79,3.8752915515926247,3.3727096354100974,0.5025819161825273,SELL,"[8.442375183105469, 9.485394477844238, 10.608049392700195]"
2024-11-19,51.0,47.292365,20.020877,7.939231,355.8794,-4.39,353.95,3.488375736082901,3.3958428555446583,0.0925328805382426,BUY,"[8.131230354309082, 8.898686408996582, 3.8294575214385986]"
2024-11-20,61.0,50.076501,18.644283,7.249899,356.0146,-1.38,357.07,3.3943718836341645,3.39554866116256,-0.001176777528395,SELL,"[10.192994117736816, 10.150238037109375, 13.965038299560547]"
2024-11-21,63.0,53.45413,18.192994,7.096287,356.2378,2.12,361.05,3.599532718511796,3.4363454726324068,0.163187245879389,SELL,"[11.314948081970215, 11.859354019165039, 17.181137084960938]"
2024-11-22,62.0,51.213404,17.915999,7.033388,356.4194,1.66,358.66,3.5285956778203627,3.4547955136699984,0.0738001641503642,SELL,"[9.778006553649902, 10.440129280090332, 15.946128845214844]"
2024-11-25,63.0,53.522256,17.658788,7.032155,356.5628,2.07,361.29,3.6426068775314207,3.492357786442283,0.1502490910891376,SELL,"[11.000840187072754, 12.43145751953125, 20.04227066040039]"
2024-11-26,63.0,55.164392,17.473156,7.039701,357.0856,1.71,363.18,3.841189932831753,3.5621242157201776,0.2790657171115756,SELL,"[12.694869995117188, 12.789412498474121, 19.882770538330078]"
2024-11-27,63.0,54.054407,17.466528,6.8655,357.6052,0.31,362.16,3.87163318205188,3.6240260089865184,0.2476071730653619,SELL,"[12.79918384552002, 12.52276611328125, 17.55447006225586]"
2024-11-29,63.0,54.25848,17.274194,6.450031,358.1478,1.03,362.37,3.868115691474429,3.6728439454841006,0.1952717459903286,SELL,"[13.080753326416016, 13.277247428894043, 19.18792724609375]"
2024-12-02,62.0,53.061978,16.470014,5.935862,358.651,0.02,361.38,3.7423043733128902,3.686736031049859,0.0555683422630317,SELL,"[11.183629035949707, 11.595436096191406, 15.429408073425293]"
2024-12-03,51.0,43.778529,16.518135,5.159703,358.9176,-2.93,352.54,2.895901723775296,3.5285691695949466,-0.6326674458196506,BUY,"[7.450057506561279, 8.055418014526367, 2.8042705059051514]"
2024-12-04,62.0,51.518143,15.370721,4.229463,359.3258,-0.59,360.03,2.7972568932399327,3.382306714323944,-0.5850498210840112,SELL,"[9.804167747497559, 10.71349048614502, 15.09151840209961]"
2024-12-05,53.0,49.650902,14.305265,4.1807,359.7474,-1.17,358.13,2.5365265343505143,3.213150678329258,-0.6766241439787435,BUY,"[8.128610610961914, 8.70231819152832, 4.945327281951904]"
2024-12-06,63.0,53.972145,14.918862,4.238016,359.8852,0.37,362.7,2.667902731410379,3.104101088945482,-0.4361983575351029,SELL,"[10.45334529876709, 10.519685745239258, 14.614775657653809]"
2024-12-09,55.0,50.691422,14.956516,4.147387,360.0812,1.97,359.5,2.4851586951306786,2.980312610182521,-0.4951539150518429,SELL,"[8.451436996459961, 8.690994262695312, 10.139922142028809]"
2024-12-10,64.0,53.897943,14.836843,4.176417,360.2696,0.8,362.9,2.5848873425453576,2.9012275566550887,-0.3163402141097311,SELL,"[10.160453796386719, 10.792715072631836, 14.777626037597656]"
2024-12-11,64.0,54.773606,14.755301,4.265784,360.5068,1.59,363.84,2.7085506720862327,2.862692179741318,-0.1541415076550851,SELL,"[11.4171781539917, 11.752474784851074, 18.846078872680664]"
2024-12-12,54.0,50.733015,13.915462,3.562862,360.5846,-0.69,360.18,2.482605409793962,2.786674825751847,-0.3040694159578851,BUY,"[8.298962593078613, 8.74661922454834, 2.5093183517456055]"
2024-12-13,54.0,49.133293,13.135611,3.515364,360.5334,-0.23,358.68,2.1576328491969434,2.6608664304408665,-0.503233581243923,HOLD,"[8.35302734375, 8.13894271850586, 6.790034294128418]"
2024-12-16,52.0,47.395117,12.371124,3.307127,360.4298,-1.61,357.06,1.7492055399063702,2.4785342523339677,-0.7293287124275971,BUY,"[7.355424404144287, 8.195639610290527, 1.4540252685546875]"
2024-12-17,52.0,47.690362,12.164895,2.981478,360.4398,-1.8,357.3,1.4284239666456529,2.2685121951963043,-0.8400882285506515,BUY,"[7.442726135253906, 7.695580959320068, 2.346689224243164]"
2024-12-18,48.0,38.335191,12.736756,3.800402,360.1844,-3.49,347.61,0.3878295834169307,1.8923756728404295,-1.504546089423499,BUY,"[6.720212459564209, 7.390172958374023, -5.614712238311768]"
2024-12-19,68.0,59.833285,12.737873,4.665955,360.326,3.76,372.16,1.5265339317884925,1.8192073246300424,-0.2926733928415501,SELL,"[16.548330307006836, 17.66676902770996, 23.4399356842041]"
2024-12-20,64.0,54.966188,12.580594,4.858163,360.432,2.61,366.37,1.939404473312777,1.8432467543665891,0.0961577189461877,SELL,"[9.936922073364258, 10.421791076660156, 12.45030403137207]"
2024-12-23,52.0,49.297629,11.721699,4.856249,360.3926,0.41,358.77,1.634509262560471,1.8014992560053655,-0.166989993444895,BUY,"[8.343892097473145, 8.607169151306152, -1.020341157913208]"
2024-12-24,61.0,51.331675,10.924155,4.859903,360.3332,4.03,361.63,1.6051525104034,1.7622299068849727,-0.1570773964815728,SELL,"[9.626168251037598, 10.510687828063965, 15.800616264343262]"
2024-12-26,60.0,50.417746,10.183577,4.818725,360.1686,-3.15,360.43,1.4681333739794695,1.7034106003038725,-0.2352772263244027,BUY,"[8.716212272644043, 9.333001136779785, 3.5886476039886475]"
2024-12-27,51.0,47.211682,10.149524,4.878389,359.847,-2.78,356.18,1.00501999502643,1.563732479248384,-0.558712484221954,HOLD,"[7.44429874420166, 7.3213210105896, 0.9179509878158569]"
2024-12-30,49.0,44.56213,10.667935,5.107048,359.3938,-1.75,352.49,0.336369683937562,1.3182599201862195,-0.9818902362486576,BUY,"[7.676886081695557, 8.118385314941406, -7.298638820648193]"
2024-12-31,49.0,44.057005,11.077278,5.351799,358.8924,-2.72,351.79,-0.2471753710059374,1.0051728619477882,-1.2523482329537257,BUY,"[7.236528396606445, 7.884894371032715, -2.9326891899108887]"
2025-01-02,47.0,41.887511,11.944443,5.63095,358.3482,-3.22,348.82,-0.9384750536995056,0.6164432788183295,-1.5549183325178353,BUY,"[6.7962517738342285, 7.735252380371094, -3.035385847091675]"
2025-01-03,51.0,46.676666,12.747879,5.725313,357.9894,-0.65,353.85,-1.0681431805540456,0.2795259869438545,-1.3476691674979,BUY,"[7.30564022064209, 7.588003635406494, -0.9512297511100769]"
2025-01-06,49.0,44.689595,13.493926,5.936368,357.6034,-0.33,351.33,-1.358588087000726,-0.0480968278450615,-1.3104912591556643,BUY,"[7.042745590209961, 7.414434432983398, -2.9395992755889893]"
2025-01-07,52.0,49.352003,12.684695,5.854852,357.4466,1.31,356.39,-1.1670154286669003,-0.2718805480094293,-0.895134880657471,BUY,"[7.465103626251221, 8.03681755065918, 1.5567370653152466]"
2025-01-08,60.0,50.541025,11.875339,5.842819,357.3852,2.55,357.73,-0.8967289820673159,-0.3968502348210067,-0.4998787472463092,SELL,"[8.263673782348633, 8.481840133666992, 9.933707237243652]"
2025-01-10,48.0,43.956188,12.035916,5.965253,357.1546,-1.15,349.79,-1.3081372762462706,-0.5791076431060596,-0.7290296331402111,BUY,"[7.086296081542969, 7.2493743896484375, -7.481822967529297]"
2025-01-13,48.0,43.457034,12.702658,5.997509,356.8766,-0.62,349.14,-1.6674100164008223,-0.7967681177650121,-0.8706418986358102,BUY,"[6.844360828399658, 6.935797691345215, -3.0953826904296875]"
2025-01-14,49.0,43.334736,13.040917,6.137693,356.925,-2.08,348.99,-1.941855496391952,-1.0257855934904,-0.9160699029015518,BUY,"[6.702596187591553, 7.3642354011535645, -6.052579402923584]"
2025-01-15,50.0,44.169484,12.894587,6.238699,357.0232,-2.24,349.73,-2.0757161374518205,-1.2357717022826842,-0.8399444351691363,BUY,"[6.9497246742248535, 7.164581298828125, -5.390165328979492]"
2025-01-16,49.0,45.145555,13.035021,6.311493,357.121,0.22,350.56,-2.0907269971145865,-1.4067627612490647,-0.6839642358655218,BUY,"[6.826643943786621, 7.374354362487793, -5.1468505859375]"
2025-01-17,49.0,47.560298,12.521283,6.311129,357.2948,0.99,352.59,-1.9167243715271525,-1.5087550833046826,-0.4079692882224699,BUY,"[7.254049777984619, 7.505931377410889, -5.101670742034912]"
2025-01-21,52.0,51.865606,12.589121,6.096499,357.5134,2.13,356.42,-1.4530274498102358,-1.4976095566057932,0.0445821067955574,BUY,"[7.482974052429199, 8.001787185668945, 1.9711426496505737]"
2025-01-22,61.0,54.679919,12.094645,4.816593,357.573,2.68,359.11,-0.8585865288090417,-1.369804951046443,0.5112184222374012,BUY,"[8.706355094909668, 9.25841236114502, 7.81568717956543]"
