date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,50.0,45.491371,11.962654,3.565472,226.9728,-4.69,224.19,0.0,0.0,0.0,,
2024-11-05,45.0,39.007791,12.516844,4.321201,226.8126,-5.44,217.6,-0.5256980056980467,-0.1051396011396093,-0.4205584045584373,,
2024-11-06,52.0,49.235167,11.7774,4.184473,226.7008,1.41,226.25,-0.2415503120916753,-0.1324217433300225,-0.1091285687616527,,
2024-11-07,60.0,50.796512,11.416447,4.135106,226.7128,1.02,227.77,0.1050787961422941,-0.0849216354355592,0.1900004315778533,,
2024-11-08,51.0,48.70567,10.916439,3.983224,226.611,0.72,225.8,0.2183058319820929,-0.0242761419520287,0.2425819739341217,,
2024-11-11,48.0,43.489864,10.815357,3.68302,226.3236,1.32,220.47,-0.1206565283369229,-0.0435522192290076,-0.0771043091079153,,
2024-11-12,46.0,42.641045,11.070401,3.991109,226.3404,-2.96,219.55,-0.4582406393750489,-0.1264899032582159,-0.331750736116833,,
2024-11-13,41.0,36.973023,11.759213,4.936589,226.1612,-6.55,212.84,-1.2527781549818826,-0.3517475536029492,-0.9010306013789332,,
2024-11-14,39.0,36.505743,12.523686,5.702047,226.0248,-6.01,212.24,-1.9088656312552248,-0.6631711691334043,-1.2456944621218202,,
2024-11-15,34.0,32.203061,13.942615,6.907584,225.879,-6.4,206.35,-2.870998376127432,-1.1047366105322098,-1.7662617655952215,HOLD,"[8.697366714477539, 8.690494537353516, -6.26859712600708]"
2024-11-18,36.0,36.704332,15.260191,7.533897,225.7008,-4.51,209.65,-3.3288402887637574,-1.5495573461785193,-1.779282942585238,BUY,"[8.198683738708496, 8.83842945098877, -5.400069236755371]"
2024-11-19,38.0,37.75626,16.27298,7.993194,225.535,-1.13,210.43,-3.5873906158860507,-1.9571240001200256,-1.630266615766025,BUY,"[8.782845497131348, 9.340483665466309, -6.483731269836426]"
2024-11-20,38.0,38.573752,17.133034,8.272679,225.2538,-0.58,211.01,-3.70280878538776,-2.3062609571735724,-1.396547828214187,BUY,"[8.097168922424316, 9.044241905212402, -6.954673767089844]"
2024-11-21,41.0,42.696162,17.052994,8.195455,225.1024,3.69,213.96,-3.5157112397222647,-2.548151013683311,-0.9675602260389536,BUY,"[8.522229194641113, 8.914383888244629, -4.601607799530029]"
2024-11-22,41.0,43.567199,16.978672,7.988331,224.8858,2.36,214.59,-3.278803347936247,-2.6942814805338986,-0.5845218674023482,BUY,"[8.611801147460938, 9.402247428894043, -2.900000810623169]"
2024-11-25,48.0,54.253154,16.514838,7.687658,224.8918,6.25,223.58,-2.3386754743382028,-2.62316027929476,0.2844848049565569,BUY,"[9.929314613342285, 10.19862174987793, 4.807656764984131]"
2024-11-26,45.0,49.19781,17.172674,6.789836,224.7658,3.81,219.05,-1.936824001013946,-2.485893023638597,0.5490690226246513,BUY,"[9.113883018493652, 10.022032737731934, 3.655052900314331]"
2024-11-27,44.0,47.230848,17.39479,6.26749,224.6564,1.5,217.17,-1.749882544694259,-2.3386909278497297,0.5888083831554707,BUY,"[7.970963954925537, 8.567055702209473, 0.004118193872272968]"
2024-11-29,45.0,48.273344,17.876393,6.159507,224.3484,1.61,218.05,-1.5132773291196315,-2.17360820810371,0.6603308789840785,BUY,"[8.856082916259766, 9.595564842224121, 2.2319204807281494]"
2024-12-02,49.0,53.921453,18.677927,6.032574,224.2752,-0.21,223.12,-0.9062131023404164,-1.9201291869510515,1.013916084610635,BUY,"[9.571846961975098, 10.50161075592041, 7.348971366882324]"
2024-12-03,48.0,52.01532,19.422208,5.91619,224.1858,1.14,221.54,-0.5463056528428467,-1.6453644801294105,1.0990588272865638,BUY,"[8.903071403503418, 9.958365440368652, 4.556927680969238]"
2024-12-04,45.0,48.248715,19.663409,5.918446,224.0052,0.52,218.3,-0.5165627148849978,-1.4196041270805282,0.9030414121955304,BUY,"[7.941983222961426, 9.05897045135498, 2.924726963043213]"
2024-12-05,43.0,44.254367,19.085903,5.602981,223.7634,-1.61,214.55,-0.786518387825339,-1.2929869792294904,0.5064685914041513,BUY,"[8.10521125793457, 8.79174518585205, -1.418532133102417]"
2024-12-06,46.0,48.705564,18.52424,5.043585,223.4782,-2.21,218.2,-0.6978908565070299,-1.1739677546849985,0.4760768981779684,BUY,"[8.680278778076172, 9.687788009643555, 3.2103383541107178]"
2024-12-09,47.0,49.700963,18.737118,4.619177,223.218,-1.13,219.04,-0.5534916128074485,-1.0498725263094884,0.4963809135020398,BUY,"[8.917733192443848, 10.101737022399902, 2.5596327781677246]"
2024-12-10,44.0,45.793211,18.793102,4.513975,222.9268,-1.23,215.61,-0.7076689391076911,-0.981431808869129,0.2737628697614378,BUY,"[7.881705284118652, 9.12081527709961, 0.6131656765937805]"
2024-12-11,46.0,47.741209,18.845088,4.447425,222.7958,1.2,217.12,-0.6999426968744729,-0.9251339864701976,0.2251912895957248,BUY,"[8.100342750549316, 9.157978057861328, 1.503206729888916]"
2024-12-12,46.0,48.53267,18.673834,4.410956,222.5956,-0.22,217.72,-0.6380495703741076,-0.8677171032509798,0.2296675328768722,BUY,"[8.819416999816895, 9.842351913452148, 3.049152374267578]"
2024-12-13,45.0,47.11117,18.297804,4.323488,222.3966,-1.11,216.61,-0.6708335929692453,-0.828340401194633,0.1575068082253877,BUY,"[8.370535850524902, 9.381670951843262, 0.7629491686820984]"
2024-12-16,45.0,46.712946,17.925682,3.675847,222.1582,0.32,216.31,-0.7128058774187878,-0.8052334964394641,0.0924276190206763,BUY,"[8.238067626953125, 9.22824764251709, 0.9234175682067871]"
2024-12-17,43.0,43.431419,17.239164,3.371114,221.9044,-1.52,213.82,-0.9361994805924212,-0.8314266932700556,-0.1047727873223656,BUY,"[8.098517417907715, 8.998514175415039, -0.5167878270149231]"
2024-12-18,38.0,36.687694,16.584848,3.666769,221.4718,-4.57,207.77,-1.5831751015336692,-0.9817763749227784,-0.6013987266108909,BUY,"[7.861713409423828, 8.506312370300293, -5.1434431076049805]"
2024-12-19,38.0,36.705186,15.983557,3.978569,220.9626,-4.08,207.78,-2.0712252307436927,-1.199666146086961,-0.8715590846567314,BUY,"[8.043804168701172, 8.724002838134766, -4.6917901039123535]"
2024-12-20,42.0,43.437695,14.925985,4.080548,220.5842,-2.09,211.78,-2.110908662680373,-1.3819146494056436,-0.7289940132747295,BUY,"[8.67564868927002, 9.361238479614258, -0.7790392637252808]"
2024-12-23,44.0,48.063304,14.437054,4.073731,220.2248,0.5,214.89,-1.8698525633409704,-1.479502232192709,-0.3903503311482612,BUY,"[8.641422271728516, 9.753152847290039, 2.242542266845703]"
2024-12-24,47.0,52.378664,14.520322,3.767651,219.858,4.97,218.09,-1.4044114306580582,-1.4644840718857788,0.0600726412277206,BUY,"[8.9002685546875, 9.859445571899414, 5.152524948120117]"
2024-12-26,47.0,52.334769,14.766495,3.737924,219.7018,4.95,218.06,-1.0261380482921538,-1.3768148671670537,0.3506768188748999,BUY,"[9.073628425598145, 9.757734298706055, 5.5071892738342285]"
2024-12-27,46.0,50.70243,14.950984,3.735978,219.4918,2.46,216.99,-0.803432258138912,-1.2621383453614254,0.4587060872225135,BUY,"[8.871722221374512, 9.454058647155762, 4.551916122436523]"
2024-12-30,42.0,44.512235,13.97743,3.796128,219.1962,-1.08,212.56,-0.9731820549346536,-1.204347087276071,0.2311650323414174,BUY,"[8.297863960266113, 8.924447059631348, 0.7549797296524048]"
2024-12-31,42.0,44.380516,13.073415,3.49441,218.8788,-2.58,212.46,-1.103063724162837,-1.1840904146534244,0.0810266904905874,BUY,"[8.382368087768555, 8.819379806518555, 0.8889369964599609]"
2025-01-02,34.0,42.864265,12.883995,3.308715,218.5924,-3.08,211.35,-1.2807993484964584,-1.2034322014220311,-0.0773671470744272,BUY,"[8.4672269821167, 9.008045196533203, -0.3266070783138275]"
2025-01-03,38.0,49.582417,12.708106,3.220865,218.4074,-0.75,215.37,-1.084771141367554,-1.1796999894111355,0.0949288480435817,BUY,"[8.434881210327148, 9.4574556350708, 3.576831340789795]"
2025-01-06,40.0,53.439624,13.675729,3.294194,218.2304,2.56,218.0,-0.7090251541142152,-1.0855650223517517,0.3765398682375365,BUY,"[8.798788070678711, 9.981961250305176, 5.445847511291504]"
2025-01-07,39.0,50.096829,14.424732,3.218464,217.9542,1.61,215.87,-0.5764717435412194,-0.9837463665896452,0.4072746230484259,BUY,"[8.11406135559082, 9.279397964477539, 2.9541397094726562]"
2025-01-08,50.0,56.398672,14.601575,3.322169,217.7596,4.3,220.44,-0.1014914732228646,-0.8072953879162892,0.7058039146934245,BUY,"[9.623356819152832, 10.03974437713623, 9.037895202636719]"
2025-01-10,36.0,45.477328,14.509389,3.363796,217.4042,-1.39,212.37,-0.3719600195749137,-0.7202283142480141,0.3482682946731004,BUY,"[8.262185096740723, 9.062607765197754, 0.44183579087257385]"
2025-01-13,37.0,46.282456,13.551236,3.340706,216.9586,-2.32,212.95,-0.5333589089438817,-0.6828544331871876,0.1494955242433059,BUY,"[7.99452543258667, 8.261381149291992, 0.34749749302864075]"
2025-01-14,38.0,48.67479,12.875197,3.261552,216.6492,-0.57,214.65,-0.5181203304273367,-0.6499076126352175,0.1317872822078807,BUY,"[8.979727745056152, 9.626194953918457, 3.5481982231140137]"
2025-01-15,48.0,53.371181,13.292361,3.334021,216.5514,-1.01,218.22,-0.2154904432086368,-0.5630241787499014,0.3475337355412645,BUY,"[9.361226081848145, 10.185297012329102, 8.952898025512695]"
