date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,28.0,41.43443,16.166055,9.581891,191.341,-4.37,181.82,0.0,0.0,0.0,,
2024-11-05,32.0,46.913293,15.664114,9.281228,191.146,0.64,186.48,0.3717378917378937,0.0743475783475787,0.2973903133903149,,
2024-11-06,32.0,48.080667,14.660531,8.558887,190.981,3.27,187.52,0.7417121614272446,0.2078204949635119,0.5338916664637327,,
2024-11-07,44.0,54.837165,14.38803,7.91374,191.005,5.84,194.09,1.547228046096393,0.4757020051900882,1.0715260409063048,,
2024-11-08,42.0,52.528945,14.134993,6.962544,190.986,5.62,192.03,1.9963675221637232,0.7798351085848152,1.216532413578908,,
2024-11-11,34.0,48.802526,13.311915,3.428074,190.812,1.12,188.56,2.0486976812231603,1.0336076231124842,1.015090058110676,,
2024-11-12,33.0,46.793576,12.9046,3.240782,190.8768,-0.49,186.61,1.910794555913867,1.209045009672761,0.7017495462411061,,
2024-11-13,30.0,43.054543,12.865395,3.299609,190.885,-5.82,182.79,1.4762460155044437,1.2624852108390976,0.213760804665346,,
2024-11-14,32.0,46.894605,12.36963,3.247695,191.0002,-3.14,186.0,1.3750328170012835,1.284994732071535,0.0900380849297486,,
2024-11-15,20.0,33.802461,14.183436,4.928785,190.8828,-10.44,168.88,-0.0856331683445148,1.010869151988325,-1.09650232033284,BUY,"[-3.234750747680664, -1.60761559009552, -40.424922943115234]"
2024-11-18,21.0,35.885496,15.911048,5.835456,190.7464,-8.51,170.73,-1.081475371469054,0.5924002472968493,-1.6738756187659032,HOLD,"[-2.37984299659729, -3.0969860553741455, -41.31804656982422]"
2024-11-19,21.0,34.975743,17.515259,6.694524,190.5716,-7.37,169.31,-1.9626454693988649,0.0813911039577064,-2.0440365733565717,BUY,"[-2.40018892288208, -1.4696558713912964, -40.77790069580078]"
2024-11-20,22.0,36.418242,18.873868,7.286236,190.2626,-8.34,170.49,-2.536523517983227,-0.4421918204304802,-2.0943316975527466,BUY,"[-1.7767667770385742, -0.9298891425132751, -41.86835861206055]"
2024-11-21,27.0,42.537676,18.762856,7.455282,190.1134,4.07,175.75,-2.537635681199049,-0.861280592584194,-1.676355088614855,HOLD,"[-0.8113453984260559, -1.8297408819198608, -38.13327407836914]"
2024-11-22,26.0,41.820731,18.659773,7.584838,189.8416,2.43,174.88,-2.5789898184057733,-1.20482243774851,-1.3741673806572634,HOLD,"[-1.144863486289978, -1.7268732786178589, -34.66897964477539]"
2024-11-25,26.0,41.53477,18.770312,7.71658,189.581,3.09,174.55,-2.608324372417826,-1.4855228246823733,-1.1228015477354527,HOLD,"[-1.2234933376312256, -2.205721855163574, -37.10364532470703]"
2024-11-26,25.0,40.320148,19.017057,7.657204,189.2732,1.59,173.2,-2.7092750985250973,-1.7302732794509184,-0.9790018190741788,BUY,"[-0.5295382142066956, -0.5156457424163818, -38.75065231323242]"
2024-11-27,23.0,38.626127,19.556106,7.84104,188.9768,-2.52,171.32,-2.9074641278282343,-1.9657114491263816,-0.9417526787018526,HOLD,"[-0.5804868936538696, -1.596048355102539, -36.99064636230469]"
2024-11-29,26.0,43.255759,18.940009,7.914371,188.5368,-0.1,174.71,-2.7591795880761936,-2.124405076916344,-0.6347745111598497,HOLD,"[-0.7447439432144165, -1.225588321685791, -37.68795394897461]"
2024-12-02,32.0,52.914273,17.855565,7.911818,188.359,5.0,183.27,-1.928709597238253,-2.0852659809807257,0.1565563837424726,HOLD,"[-0.4316311180591583, -1.4256255626678467, -28.839860916137695]"
2024-12-03,31.0,52.789924,16.848581,7.935553,188.1414,5.75,183.16,-1.2648518027386046,-1.9211831453323016,0.656331342593697,HOLD,"[-1.210692048072815, -2.2824978828430176, -29.804443359375]"
2024-12-04,30.0,50.467694,16.328004,7.792252,187.829,5.74,181.16,-0.8898651910623414,-1.7149195544783096,0.8250543634159682,HOLD,"[-0.8409589529037476, -1.7683345079421997, -31.91798210144043]"
2024-12-05,23.0,41.494103,16.110614,7.721184,187.3234,-1.53,172.03,-1.314250436147205,-1.6347857308120888,0.3205352946648838,HOLD,"[-1.0621423721313477, -1.6585161685943604, -36.7818717956543]"
2024-12-06,24.0,42.68419,15.908752,6.94455,186.5916,-5.59,173.02,-1.5527944266137297,-1.618387469972417,0.0655930433586873,HOLD,"[-0.8299331665039062, -1.2735213041305542, -38.64167785644531]"
2024-12-09,22.0,41.616007,15.494606,6.204129,185.9304,-6.17,171.86,-1.8145278159921645,-1.6576155391763665,-0.156912276815798,BUY,"[-1.458829402923584, -1.1775437593460083, -40.12618637084961]"
2024-12-10,20.0,38.329992,15.534716,5.820786,185.2528,-7.17,168.17,-2.29327018298676,-1.7847464679384453,-0.5085237150483144,BUY,"[-1.8704131841659546, -1.7912663221359253, -40.379329681396484]"
2024-12-11,23.0,42.267994,15.571962,5.311496,184.7314,-0.52,171.13,-2.4060937447861197,-1.90901592330798,-0.497077821478139,HOLD,"[-1.6486105918884277, -2.5517308712005615, -36.97332000732422]"
2024-12-12,22.0,40.346436,16.020804,5.119971,184.09,-2.28,169.08,-2.6306011650586925,-2.053332971658123,-0.5772681934005695,HOLD,"[-1.8644708395004272, -1.9271199703216553, -37.224361419677734]"
2024-12-13,23.0,40.72863,16.107465,4.430231,183.4852,-1.46,169.35,-2.7549804696590456,-2.193662471258308,-0.5613179984007379,HOLD,"[-1.549686312675476, -1.6916073560714722, -38.58173751831055]"
2024-12-16,23.0,40.819369,16.137658,4.405213,182.834,0.74,169.41,-2.8162465291646583,-2.3181792828395777,-0.4980672463250806,HOLD,"[-0.9099297523498535, -1.25628662109375, -37.891265869140625]"
2024-12-17,24.0,42.29402,16.252528,4.41752,182.2382,-0.46,170.34,-2.7579649914079027,-2.406136424553243,-0.3518285668546599,HOLD,"[-0.9237224459648132, -1.8662269115447998, -34.89392852783203]"
2024-12-18,21.0,37.064324,17.011186,4.665407,181.5296,-2.15,165.45,-3.070958487565349,-2.5391008371556643,-0.5318576504096848,HOLD,"[-1.6577508449554443, -1.7322224378585815, -38.65254592895508]"
2024-12-19,18.0,33.415408,18.233798,5.294655,180.6572,-4.67,161.44,-3.601070674155181,-2.751494804555568,-0.8495758695996134,HOLD,"[-1.5626850128173828, -1.676199197769165, -39.99599075317383]"
2024-12-20,20.0,36.996779,19.6472,5.595035,179.8498,-3.44,163.59,-3.80385292092322,-2.9619664278290987,-0.8418864930941208,HOLD,"[-1.0932643413543701, -1.7555816173553467, -37.2867546081543]"
2024-12-23,23.0,42.945499,20.137124,5.641293,179.0978,-1.69,167.46,-3.610661200631228,-3.0917053823895246,-0.5189558182417029,HOLD,"[-0.6744435429573059, -0.864793062210083, -35.81354522705078]"
2024-12-24,24.0,44.277805,20.318104,5.645153,178.1874,1.76,168.37,-3.34556043743234,-3.142476393398088,-0.2030840440342523,HOLD,"[-0.5750167369842529, -1.1336612701416016, -33.84956741333008]"
2024-12-26,24.0,43.29668,20.512295,5.688015,177.718,3.78,167.55,-3.165147469827133,-3.147010608683897,-0.0181368611432359,HOLD,"[-0.6579576730728149, -1.3625893592834473, -32.41032028198242]"
2024-12-27,23.0,42.408108,21.061972,5.762761,177.3628,1.98,166.83,-3.0451641194831325,-3.1266413108437443,0.0814771913606118,HOLD,"[-0.5724062919616699, -1.4526896476745605, -32.45653533935547]"
2024-12-30,21.0,38.62579,21.999192,5.897314,176.9708,-2.28,163.64,-3.170930279532911,-3.135499104581578,-0.0354311749513329,HOLD,"[-0.609935462474823, -0.7718748450279236, -36.187225341796875]"
2024-12-31,21.0,37.485826,22.802121,5.317488,176.4962,-3.41,162.63,-3.313898863280912,-3.171179056321445,-0.1427198069594668,HOLD,"[-0.33905234932899475, -0.669854998588562, -36.182010650634766]"
2025-01-02,23.0,39.833584,23.050422,4.379824,176.0844,-2.2,163.87,-3.289228678316732,-3.194788980720502,-0.09443969759623,HOLD,"[-0.3896580934524536, -0.8681774139404297, -32.830753326416016]"
