date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,23.0,35.465829,17.689567,8.811104,154.594,-15.36,140.71,0.0,0.0,0.0,,
2024-11-05,26.0,36.704406,18.185577,8.650244,154.4274,-4.67,141.66,0.0757834757834814,0.0151566951566962,0.0606267806267851,,
2024-11-06,29.0,41.111793,18.087806,8.163326,154.3194,0.71,145.1,0.4087103189097547,0.0938674199073079,0.3148428990024468,,
2024-11-07,32.0,46.605587,17.110138,7.885455,154.3886,5.61,149.82,1.0414169872404957,0.2833773333739455,0.7580396538665499,,
2024-11-08,30.0,44.821513,16.091801,7.241802,154.4378,5.15,147.95,1.3760855508928955,0.5019189768777356,0.87416657401516,,
2024-11-11,29.0,44.236382,15.605395,6.699429,154.4136,4.02,147.35,1.5747451315220644,0.7164842078066014,0.858260923715463,,
2024-11-12,25.0,40.689682,15.696357,6.813256,154.5474,-1.01,143.63,1.4156921518836612,0.8563257966220134,0.5593663552616478,,
2024-11-13,22.0,36.973748,16.151357,7.157341,154.516,-7.02,139.3,0.9295316447381196,0.8709669662452346,0.058564678492885,,
2024-11-14,22.0,36.59144,16.649748,7.416598,154.504,-6.16,138.84,0.5013485505957647,0.7970432831153407,-0.295694732519576,,
2024-11-15,19.0,33.405319,17.792528,7.873848,154.515,-8.45,134.9,-0.1541379026564584,0.6068070459609809,-0.7609449486174393,BUY,"[5.235565662384033, 6.279715538024902, -41.604515075683594]"
2024-11-18,23.0,39.233597,18.020397,7.793603,154.5306,-3.27,138.93,-0.3444576263993326,0.4165541114889182,-0.7610117378882508,BUY,"[5.646204948425293, 6.20164680480957, -40.71260070800781]"
2024-11-19,24.0,39.880374,18.24251,7.809666,154.4616,0.06,139.39,-0.4529479213386196,0.2426537049234106,-0.6956016262620303,BUY,"[6.015196323394775, 6.843138694763184, -43.788150787353516]"
2024-11-20,22.0,38.177517,18.704761,7.8979,154.2164,-0.89,137.6,-0.6755776632843435,0.0590074312818598,-0.7345850945662034,BUY,"[5.247574329376221, 6.37754487991333, -43.32612991333008]"
2024-11-21,23.0,38.069934,19.219795,7.889186,153.9508,1.92,137.49,-0.8510787128055313,-0.1230097975356184,-0.7280689152699129,BUY,"[5.335422515869141, 6.084911823272705, -49.06774139404297]"
2024-11-22,24.0,39.505183,19.698042,7.570319,153.6716,-0.42,138.35,-0.9102766437659398,-0.2804631667816827,-0.629813476984257,BUY,"[5.9023823738098145, 6.487634181976318, -40.09926223754883]"
2024-11-25,26.0,44.02144,19.262995,6.657942,153.4526,1.25,141.13,-0.7245168843330134,-0.3692739102919489,-0.3552429740410645,BUY,"[5.57771110534668, 6.218420505523682, -40.88347625732422]"
2024-11-26,24.0,40.069848,19.313162,4.132439,153.1906,0.09,137.72,-0.8427448006253826,-0.4639680883586357,-0.3787767122667469,BUY,"[5.557110786437988, 6.776525974273682, -43.312713623046875]"
2024-11-27,23.0,38.456354,19.96939,3.978684,152.9496,-0.91,136.24,-1.0438322586820732,-0.5799409224233232,-0.46389133625875,BUY,"[5.205538749694824, 6.336559772491455, -39.94328308105469]"
2024-11-29,24.0,40.105987,20.395281,4.004984,152.5584,-0.85,137.18,-1.1144981331289898,-0.6868523645644565,-0.4276457685645333,BUY,"[5.588647365570068, 6.328649044036865, -42.47795104980469]"
2024-12-02,28.0,47.911794,19.68551,4.007973,152.2806,0.66,142.06,-0.76787455176256,-0.7030568020040773,-0.0648177497584827,BUY,"[6.34523868560791, 6.75177526473999, -34.82992172241211]"
2024-12-03,28.0,47.801809,18.87395,4.01661,151.9852,3.09,141.98,-0.4939344290195038,-0.6612323274071625,0.1672978983876587,BUY,"[5.986717224121094, 7.050745964050293, -39.19667053222656]"
2024-12-04,30.0,50.854384,17.952802,4.072369,151.6986,5.69,143.99,-0.1133382140040453,-0.5516535047265391,0.4383152907224937,BUY,"[6.556625843048096, 7.361750602722168, -33.110164642333984]"
