date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,50.0,44.706918,14.363023,3.551557,324.1304,0.29,316.91,0.0,0.0,0.0,,
2024-11-05,52.0,48.674189,14.55881,3.524419,323.9806,1.19,319.29,0.1898575498575496,0.0379715099715099,0.1518860398860397,,
2024-11-06,52.0,52.527308,13.821516,3.503267,323.8778,0.51,321.79,0.5358729231093662,0.1375517925990811,0.398321130510285,,
2024-11-07,52.0,52.710819,13.136887,3.525681,323.7262,0.84,321.91,0.8104334243965923,0.2721281189585834,0.5383053054380089,,
2024-11-08,62.0,57.660729,13.593825,3.19881,323.6116,2.64,325.28,1.2851411285458312,0.4747307208760329,0.8104104076697982,,
2024-11-11,53.0,51.664084,14.018125,3.031631,323.3712,0.79,321.81,1.3656085192207,0.6529062805449664,0.7127022386757338,,
2024-11-12,38.0,29.668366,15.838285,5.204302,322.7378,-7.13,298.84,-0.4192743914382504,0.4384701461483229,-0.8577445375865733,,
2024-11-13,40.0,33.13832,17.528435,6.274702,322.1538,-6.36,301.44,-1.6055014651290094,0.0296758238928565,-1.635177289021866,,
2024-11-14,36.0,29.784595,19.613607,7.701521,321.5852,-9.02,295.93,-2.9561294976202817,-0.5674852404097711,-2.3886442572105104,,
2024-11-15,28.0,23.948536,22.306739,10.293773,320.8462,-11.87,283.61,-4.96341779090983,-1.4466717505097828,-3.5167460404000472,HOLD,"[5.42488956451416, 5.406428813934326, -23.648405075073242]"
2024-11-18,27.0,22.111723,24.95701,12.800722,319.903,-6.72,278.76,-6.866410980342835,-2.5306195964763933,-4.335791383866441,BUY,"[5.19989013671875, 5.425899028778076, -27.994409561157227]"
2024-11-19,28.0,23.658886,27.467162,14.440198,318.9234,-7.13,279.95,-8.18418158767247,-3.6613319947156087,-4.522849592956861,BUY,"[5.263352394104004, 6.528651714324951, -25.714197158813477]"
2024-11-20,34.0,33.173202,28.521061,15.17032,318.0812,-2.72,287.87,-8.491561048256415,-4.6273778054237695,-3.864183242832645,BUY,"[5.368619441986084, 6.257125377655029, -17.835927963256836]"
2024-11-21,36.0,35.395673,29.053216,15.611666,317.278,2.22,289.9,-8.473678163548584,-5.396637877048732,-3.077040286499852,BUY,"[5.0258331298828125, 5.513041973114014, -18.779619216918945]"
