date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-24,68.0,67.087762,19.134049,7.553519,178.8764,4.04,193.96,,
2024-09-25,66.0,64.231903,19.799873,7.636099,178.8666,1.4,192.53,,
2024-09-26,65.0,61.529524,19.624564,7.33792,178.9312,-0.23,191.16,,
2024-09-27,62.0,55.65767,18.853776,6.888568,179.0156,-3.05,187.97,,
2024-09-30,60.0,52.864525,17.553901,6.759179,179.0796,-3.93,186.33,,
2024-10-01,60.0,50.853525,16.632153,6.463829,179.1312,-3.84,185.13,,
2024-10-02,59.0,50.219185,15.667283,5.856071,179.0982,-3.35,184.76,,
2024-10-03,58.0,45.585086,15.51819,5.641619,179.1208,-3.2,181.96,,
2024-10-04,62.0,53.150588,14.516409,4.52418,179.254,0.1,186.51,,
2024-10-07,58.0,44.743281,14.121099,3.959188,179.22,-2.34,180.8,BUY,"[-1.3100991249084473, -0.7842141389846802, -2.7150118350982666]"
2024-10-08,60.0,47.736883,13.754026,3.708862,179.2104,-1.1,182.72,BUY,"[-1.292675495147705, -1.0501079559326172, -1.5467708110809326]"
2024-10-09,62.0,51.358216,12.828804,3.687412,179.2796,1.76,185.17,BUY,"[-0.40789419412612915, -0.3915371000766754, -0.8806992173194885]"
2024-10-10,63.0,53.456261,12.49368,3.689633,179.273,0.08,186.65,SELL,"[-0.8058351874351501, -0.525606095790863, -0.23022833466529846]"
2024-10-11,65.0,56.424067,12.570654,3.69948,179.368,4.44,188.82,SELL,"[-0.2290869802236557, -0.4417731463909149, 0.25424855947494507]"
2024-10-14,63.0,54.227578,12.642131,3.654354,179.7608,2.64,187.54,HOLD,"[-0.6074284911155701, -0.6686413884162903, -0.6402948498725891]"
2024-10-15,63.0,54.45135,11.931284,3.651374,180.2942,1.36,187.69,SELL,"[-0.5831128358840942, -0.795137345790863, 0.14466577768325806]"
2024-10-16,62.0,52.964159,11.271211,3.64554,180.7934,0.13,186.89,SELL,"[-0.7324095964431763, -0.9479019641876221, -0.6458263993263245]"
2024-10-17,62.0,54.045496,10.966272,3.60807,181.2886,-0.68,187.53,SELL,"[-0.7804506421089172, -1.1287792921066284, -0.7539297938346863]"
2024-10-18,64.0,56.502223,11.14107,3.502346,181.7524,0.77,188.99,SELL,"[-0.8304538130760193, -1.2528773546218872, -0.5702484846115112]"
2024-10-21,64.0,56.639019,11.303382,3.197533,182.195,0.74,189.07,SELL,"[-1.1767828464508057, -1.5053596496582031, -1.08841073513031]"
2024-10-22,65.0,57.765403,11.97259,2.85792,182.653,1.5,189.7,SELL,"[-1.2282289266586304, -1.5389989614486694, -0.9349880814552307]"
2024-10-23,61.0,47.287422,11.507791,2.581987,182.9426,-1.5,184.71,BUY,"[-1.849596619606018, -1.3962295055389404, -2.48718523979187]"
2024-10-24,62.0,50.522039,11.076192,2.350928,183.2682,-1.38,186.38,SELL,"[-1.6196317672729492, -1.5162928104400635, -1.488037347793579]"
2024-10-25,64.0,53.206926,11.547855,2.346048,183.473,-0.66,187.83,HOLD,"[-1.1194775104522705, -1.2963839769363403, -1.2386131286621094]"
2024-10-28,63.0,54.239707,11.985828,2.391681,183.6996,-0.69,188.39,SELL,"[-0.772970974445343, -1.1075369119644165, -0.6274425387382507]"
2024-10-29,65.0,58.534115,12.704756,2.561478,183.9518,3.31,190.83,SELL,"[-0.08895036578178406, -0.5844001770019531, 0.098761186003685]"
2024-10-30,66.0,61.559315,14.26075,2.841562,184.2288,3.41,192.73,SELL,"[0.4947458803653717, -0.030650030821561813, 1.168617844581604]"
2024-10-31,61.0,48.788574,13.501772,2.598636,184.3546,-0.76,186.4,BUY,"[-1.0506373643875122, -0.6807832717895508, -0.9959123730659485]"
2024-11-01,70.0,63.600897,14.54419,3.476007,184.7906,5.06,197.93,SELL,"[1.0883722305297852, 0.5416327714920044, 2.4923102855682373]"
2024-11-04,68.0,60.109545,14.875159,3.492559,185.1654,2.59,195.78,SELL,"[0.35027456283569336, 0.0904943123459816, 0.8945541381835938]"
2024-11-05,70.0,63.811183,15.554547,3.965703,185.6454,3.51,199.5,SELL,"[0.7332370281219482, 0.5466769933700562, 3.034325122833252]"
2024-11-06,73.0,69.940244,17.142829,5.405521,186.3248,11.1,207.09,SELL,"[5.7580180168151855, 4.067098617553711, 9.378779411315918]"
2024-11-07,72.0,71.936416,19.0798,6.794638,187.1098,6.12,210.05,SELL,"[6.659496784210205, 4.227391242980957, 12.320490837097168]"
2024-11-08,71.0,68.826825,20.878415,7.642605,187.831,6.33,208.18,SELL,"[5.695764064788818, 4.008308410644531, 11.151395797729492]"
2024-11-11,69.0,66.604998,22.081512,8.137574,188.3978,3.68,206.84,SELL,"[5.022517204284668, 3.385509490966797, 7.440552234649658]"
2024-11-12,70.0,68.307022,23.198673,8.661044,189.051,0.88,208.91,SELL,"[8.481003761291504, 4.731941223144531, 15.16947078704834]"
2024-11-13,73.0,72.140859,24.841997,9.432266,189.8664,1.93,214.1,SELL,"[8.388653755187988, 5.254842758178711, 15.232967376708984]"
2024-11-14,71.0,67.68933,26.448483,9.788542,190.5382,1.59,211.48,SELL,"[7.393293380737305, 5.658400535583496, 12.628094673156738]"
2024-11-15,64.0,55.257706,25.424938,9.66356,191.1626,-2.05,202.61,SELL,"[2.8707056045532227, 2.5080056190490723, 3.6184232234954834]"
2024-11-18,62.0,54.158756,24.474504,9.475069,191.6886,-3.45,201.7,SELL,"[4.132211685180664, 3.148886203765869, 4.762052059173584]"
2024-11-19,64.0,57.097139,23.186179,9.334387,192.1898,-4.43,204.61,HOLD,"[3.464780807495117, 2.5618627071380615, 3.267432689666748]"
2024-11-20,63.0,54.846337,21.989877,8.734889,192.557,-4.07,202.88,HOLD,"[2.869589328765869, 2.3525373935699463, 2.827345848083496]"
2024-11-21,60.0,49.392128,20.651704,8.157272,192.7846,-2.09,198.38,BUY,"[0.7943659424781799, 0.8208945393562317, -0.947888970375061]"
2024-11-22,58.0,47.954151,19.409114,7.653835,192.9972,-2.27,197.12,BUY,"[0.8013296723365784, 1.070543885231018, -0.36489638686180115]"
2024-11-25,61.0,53.016407,18.316178,7.060771,193.3284,-1.54,201.45,HOLD,"[2.1623315811157227, 1.8452473878860474, 1.6680729389190674]"
2024-11-26,67.0,59.323839,18.310131,6.68803,193.748,2.45,207.86,SELL,"[3.0208561420440674, 2.423065423965454, 3.304816246032715]"
2024-11-27,65.0,56.616683,18.304517,6.300361,194.1342,3.71,205.74,HOLD,"[1.4428417682647705, 1.356703519821167, 1.076070785522461]"
2024-11-29,69.0,58.67623,18.390212,5.003244,194.4946,5.46,207.89,SELL,"[0.8941971659660339, 0.858957052230835, 1.9939132928848267]"
2024-12-02,70.0,61.273132,19.190789,4.938391,194.8768,4.6,210.71,SELL,"[3.2573394775390625, 2.5335803031921387, 5.120743274688721]"
2024-12-03,72.0,63.65439,20.076088,4.760774,195.268,2.68,213.44,SELL,"[3.043613910675049, 2.5434787273406982, 5.713636875152588]"
2024-12-04,75.0,67.388051,21.631058,5.198546,195.752,6.04,218.16,SELL,"[6.0606560707092285, 4.541902542114258, 10.36493968963623]"
2024-12-05,75.0,69.117986,23.302935,5.983771,196.3124,6.09,220.55,SELL,"[7.8440446853637695, 5.5028181076049805, 13.990403175354004]"
2024-12-06,76.0,73.259704,25.329805,7.32153,197.0298,7.75,227.03,SELL,"[11.45915699005127, 7.983820915222168, 22.256359100341797]"
2024-12-09,75.0,71.75631,27.45646,8.264406,197.7922,5.93,226.09,SELL,"[10.207036018371582, 7.294597625732422, 18.522005081176758]"
2024-12-10,75.0,70.027598,29.022711,8.911568,198.5664,3.15,225.04,SELL,"[9.16950511932373, 6.514458179473877, 16.22201919555664]"
2024-12-11,78.0,73.451828,30.674663,9.90589,199.469,4.4,230.26,SELL,"[12.002645492553711, 8.10660457611084, 21.180952072143555]"
2024-12-12,77.0,71.284429,32.208619,10.616568,200.3532,0.85,228.97,SELL,"[9.900923728942871, 6.923492431640625, 16.914663314819336]"
2024-12-13,75.0,68.727948,33.091681,11.128916,201.2632,0.61,227.46,SELL,"[9.549884796142578, 7.452479362487793, 17.12200927734375]"
2024-12-16,79.0,72.566168,34.22135,11.675956,202.1916,3.51,232.93,SELL,"[11.757868766784668, 8.671390533447266, 19.93082046508789]"
2024-12-17,77.0,69.573659,35.219376,11.83569,203.1986,0.39,231.15,SELL,"[9.757046699523926, 7.332514762878418, 16.285266876220703]"
2024-12-18,68.0,54.989564,34.032031,11.583049,203.9546,-3.69,220.52,HOLD,"[4.823668479919434, 4.745255947113037, 4.107946395874023]"
2024-12-19,70.0,57.490227,32.929497,11.215398,204.717,-1.83,223.29,HOLD,"[7.170689105987549, 6.1013593673706055, 5.968625545501709]"
2024-12-20,71.0,58.935983,30.961863,10.390486,205.4824,-3.44,224.92,HOLD,"[4.954070091247559, 4.397084712982178, 4.173877716064453]"
2024-12-23,70.0,59.064759,29.262005,9.15582,206.2072,-2.63,225.06,SELL,"[5.546103000640869, 4.681621074676514, 7.133342742919922]"
2024-12-24,72.0,62.658819,28.10802,8.224286,207.0374,3.87,229.05,SELL,"[5.484442234039307, 4.731253147125244, 5.743563175201416]"
2024-12-26,70.0,59.823509,27.036463,7.639939,207.8246,1.68,227.05,HOLD,"[3.830322742462158, 3.631641149520874, 3.7397754192352295]"
2024-12-27,68.0,55.371326,25.456373,6.566037,208.5618,-0.52,223.75,SELL,"[2.816389799118042, 2.862499952316284, 3.021564483642578]"
2024-12-30,67.0,52.261611,24.453886,5.522596,209.2372,-1.67,221.3,HOLD,"[3.123880386352539, 2.594325542449951, 1.1625481843948364]"
2024-12-31,66.0,49.908397,23.468766,4.716993,209.8452,-4.22,219.39,HOLD,"[2.6477842330932617, 2.4419314861297607, 0.6812617778778076]"
2025-01-02,67.0,50.942149,22.097685,4.092853,210.4682,-3.01,220.22,HOLD,"[2.716550827026367, 2.166649103164673, 2.0432162284851074]"
2025-01-03,70.0,55.656077,20.774233,3.779952,211.158,0.2,224.19,HOLD,"[2.3089241981506348, 2.054906129837036, 2.026862859725952]"
2025-01-06,73.0,59.285545,19.831174,3.636447,212.016,2.85,227.61,SELL,"[1.3702751398086548, 1.5306090116500854, 1.9055867195129395]"
2025-01-07,68.0,51.925047,18.650933,3.70819,212.7306,1.24,222.11,BUY,"[0.023743096739053726, 0.8465921878814697, -0.29008886218070984]"
2025-01-08,68.0,51.948408,17.82447,3.777438,213.4166,0.87,222.13,BUY,"[0.02768712490797043, 0.749754011631012, -0.24145616590976715]"
2025-01-10,65.0,47.946207,17.786028,4.025831,214.0276,-2.34,218.94,HOLD,"[1.6044398546218872, 1.4682127237319946, 0.13050369918346405]"
2025-01-13,64.0,47.355017,17.755992,4.078249,214.5802,-4.02,218.46,HOLD,"[2.0826029777526855, 1.903271198272705, 1.0514376163482666]"
2025-01-14,63.0,46.455413,17.083936,4.184043,215.0808,-1.96,217.76,HOLD,"[2.1218771934509277, 1.7784371376037598, 0.7956522703170776]"
2025-01-15,67.0,53.974758,16.022925,4.102541,215.8198,0.55,223.35,BUY,"[1.4542896747589111, 1.6798654794692993, 1.4696094989776611]"
2025-01-16,65.0,50.313155,14.983264,3.550575,216.2744,0.79,220.66,BUY,"[0.48514315485954285, 1.2629965543746948, 0.05351181700825691]"
2025-01-17,69.0,56.544623,14.4603,3.110223,216.8776,3.42,225.94,BUY,"[0.37210220098495483, 1.160729169845581, 0.6950088739395142]"
2025-01-21,72.0,61.270287,15.036209,3.506803,217.5018,5.95,230.71,SELL,"[1.7714653015136719, 1.9254984855651855, 2.229800224304199]"
2025-01-22,74.0,64.968662,16.165563,4.337847,218.0602,5.22,235.01,SELL,"[2.9873781204223633, 2.675309658050537, 4.95817756652832]"
2025-01-23,74.0,65.308824,17.226709,5.014505,218.5676,6.69,235.42,SELL,"[3.3024046421051025, 2.6566219329833984, 5.11937952041626]"
2025-01-24,73.0,64.372976,18.355027,5.50805,219.101,3.94,234.85,SELL,"[3.780270576477051, 3.0139219760894775, 5.6400465965271]"
2025-01-27,73.0,64.91442,17.495993,5.908701,219.6726,2.04,235.42,SELL,"[4.435993671417236, 3.1268110275268555, 7.311245441436768]"
2025-01-28,73.0,67.46475,17.758541,6.542457,220.2574,1.34,238.15,SELL,"[5.310497760772705, 3.2993431091308594, 8.66598129272461]"
2025-01-29,71.0,65.438267,18.002335,6.967257,220.7168,0.7,237.07,SELL,"[5.138092994689941, 3.5472631454467773, 8.72441577911377]"
2025-01-30,69.0,60.998552,17.320429,7.081393,221.18,-0.09,234.64,SELL,"[2.8570973873138428, 2.1436448097229004, 4.103538513183594]"
2025-01-31,71.0,64.264954,17.099497,7.206365,221.8814,0.96,237.68,SELL,"[3.2244763374328613, 2.3789613246917725, 4.699056148529053]"
2025-02-03,69.0,63.773029,16.140172,7.25086,222.5958,-0.31,237.42,SELL,"[2.728550434112549, 1.9449363946914673, 3.3760828971862793]"
2025-02-04,71.0,68.41914,15.833323,7.705167,223.3448,2.1,242.06,SELL,"[3.669609785079956, 2.814678430557251, 5.978414535522461]"
2025-02-05,66.0,58.213041,14.96281,7.810349,224.0106,0.65,236.17,BUY,"[1.408630132675171, 1.537734866142273, -0.10819315910339355]"
2025-02-06,67.0,61.039593,14.402452,7.79476,224.8196,0.48,238.83,SELL,"[1.746997356414795, 1.6932519674301147, 1.9196323156356812]"
2025-02-07,60.0,48.249192,14.297053,7.539817,225.4602,-3.48,229.15,BUY,"[2.5276241302490234, 2.7408082485198975, 0.9507599472999573]"
2025-02-10,63.0,52.653178,14.199184,6.982518,226.094,-3.69,233.14,HOLD,"[2.0572710037231445, 1.690725564956665, 1.5384016036987305]"
2025-02-11,64.0,52.197587,14.108304,6.242715,226.592,-1.44,232.76,HOLD,"[2.5004918575286865, 1.7231913805007935, 0.5742684602737427]"
2025-02-12,62.0,47.716172,14.3644,5.299785,227.0558,-4.15,228.93,BUY,"[1.5091968774795532, 1.928210973739624, 1.1461650133132935]"
2025-02-13,64.0,49.472639,14.712688,4.836932,227.5054,0.53,230.37,BUY,"[0.9048868417739868, 1.4735264778137207, -0.8378481864929199]"
2025-02-14,63.0,47.457584,15.088519,3.997225,227.8648,-1.91,228.68,BUY,"[1.7648162841796875, 3.0758578777313232, 1.614755392074585]"
2025-02-18,54.0,45.082266,16.042868,3.926955,228.129,-2.63,226.65,HOLD,"[4.90205192565918, 4.7677836418151855, 2.3481898307800293]"
2025-02-19,54.0,45.058341,16.93071,4.197314,228.2984,-1.0,226.63,HOLD,"[4.912532806396484, 4.885077476501465, 2.407851219177246]"
