date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-24,74.0,62.484708,15.725759,9.658099,157.0792,8.15,174.84,,
2024-09-25,74.0,62.947112,16.373987,10.267858,157.202,4.84,175.52,,
2024-09-26,75.0,64.717161,17.354174,10.964377,157.6442,4.09,178.09,,
2024-09-27,71.0,58.403947,17.583908,11.19277,157.8876,-0.14,172.69,,
2024-09-30,71.0,58.188865,17.372776,11.42495,158.1906,-1.34,172.5,,
2024-10-01,66.0,52.659802,16.46338,11.249237,158.3188,-4.59,167.47,,
2024-10-02,69.0,55.544777,15.715987,11.158113,158.4566,-4.17,170.66,,
2024-10-03,70.0,56.641964,15.369676,10.972002,158.8676,-0.46,171.89,,
2024-10-04,73.0,60.678097,15.363089,9.168679,159.4152,2.4,176.64,,
2024-10-07,72.0,58.744012,15.580366,7.086311,159.8842,4.54,175.08,HOLD,"[-10.294978141784668, -10.460559844970703, -10.48841381072998]"
2024-10-08,76.0,63.305932,16.276856,5.818923,160.4944,5.9,180.73,HOLD,"[-9.94902229309082, -10.017155647277832, -10.005739212036133]"
2024-10-09,79.0,66.942848,17.553534,6.076174,161.343,8.18,185.95,SELL,"[-10.191906929016113, -10.099029541015625, -10.07589054107666]"
2024-10-10,78.0,66.588834,18.73902,6.561107,161.8432,5.12,185.69,BUY,"[-10.173335075378418, -10.144262313842773, -10.254340171813965]"
2024-10-11,75.0,60.966622,18.620602,6.715582,162.5324,3.66,181.48,HOLD,"[-10.404153823852539, -10.702997207641602, -10.50688648223877]"
2024-10-14,75.0,61.654017,18.86186,6.61477,163.3022,0.87,182.31,HOLD,"[-10.343561172485352, -10.790535926818848, -10.61062240600586]"
2024-10-15,69.0,53.863359,17.738352,6.030385,163.9802,-5.36,175.98,HOLD,"[-10.728996276855469, -11.297059059143066, -11.363581657409668]"
2024-10-16,70.0,54.681723,16.695095,5.198431,164.6382,-4.78,176.82,HOLD,"[-10.642578125, -11.215886116027832, -11.48556137084961]"
2024-10-17,74.0,59.066117,16.711802,4.966939,165.5434,0.03,181.53,HOLD,"[-10.48714828491211, -11.10147762298584, -11.046205520629883]"
2024-10-18,72.0,56.998329,16.335297,4.857765,166.2264,-1.33,179.89,HOLD,"[-10.633109092712402, -11.030014038085938, -11.199483871459961]"
2024-10-21,73.0,57.096956,15.90053,4.810642,166.861,2.28,179.99,HOLD,"[-10.593153953552246, -11.062946319580078, -11.215413093566895]"
2024-10-22,72.0,56.249448,15.323488,4.796891,167.4762,1.45,179.38,HOLD,"[-10.803027153015137, -10.864526748657227, -11.111794471740723]"
2024-10-23,67.0,48.750459,14.595705,4.858288,167.8232,-4.42,173.51,HOLD,"[-10.961380004882812, -11.134758949279785, -11.457635879516602]"
2024-10-24,65.0,46.304187,14.433921,5.030423,168.0964,-4.75,171.35,HOLD,"[-10.803180694580078, -11.17818832397461, -11.694255828857422]"
2024-10-25,66.0,48.432886,13.783219,5.017342,168.2338,-3.88,173.0,HOLD,"[-10.573212623596191, -11.08077335357666, -11.337839126586914]"
2024-10-28,65.0,47.235137,13.419094,5.040347,168.3598,-4.1,172.02,HOLD,"[-10.59148120880127, -11.078306198120117, -11.29185676574707]"
2024-10-29,72.0,55.889965,12.994789,4.548404,168.5904,3.3,179.24,HOLD,"[-10.455695152282715, -10.773462295532227, -10.85054874420166]"
2024-10-30,70.0,52.547358,12.600792,4.266426,168.8042,3.09,176.64,BUY,"[-10.884048461914062, -10.624672889709473, -10.81816577911377]"
2024-10-31,64.0,44.905197,12.587038,4.438679,168.884,-1.87,169.77,BUY,"[-10.88617992401123, -10.878268241882324, -11.175434112548828]"
2024-11-01,56.0,44.05156,12.574267,4.844266,169.0156,-1.8,168.92,HOLD,"[-10.58975601196289, -10.709473609924316, -11.25516128540039]"
2024-11-04,54.0,43.662473,12.33485,5.200876,169.0594,-5.96,168.55,HOLD,"[-10.672065734863281, -10.886224746704102, -11.215373992919922]"
2024-11-05,66.0,50.474232,11.718875,5.177958,169.345,-1.55,173.9,HOLD,"[-10.515286445617676, -10.947419166564941, -11.125594139099121]"
2024-11-06,71.0,56.461327,11.648988,4.785216,169.7082,5.76,179.55,BUY,"[-10.482271194458008, -10.425331115722656, -10.458547592163086]"
2024-11-07,74.0,60.35304,12.269037,4.618868,170.2208,8.81,183.81,SELL,"[-10.369627952575684, -10.072455406188965, -9.710128784179688]"
2024-11-08,74.0,60.122091,12.870115,4.759909,170.755,8.95,183.64,SELL,"[-10.729146003723145, -10.307490348815918, -10.139601707458496]"
2024-11-11,69.0,53.937488,12.413954,4.60728,171.0768,2.88,178.91,BUY,"[-11.084722518920898, -10.786044120788574, -10.865049362182617]"
2024-11-12,67.0,50.740725,11.702096,4.606691,171.5454,-1.85,176.22,HOLD,"[-10.916729927062988, -11.166197776794434, -11.120002746582031]"
2024-11-13,64.0,47.749657,11.143871,4.643504,171.9346,-5.57,173.58,HOLD,"[-10.896358489990234, -11.404422760009766, -11.439155578613281]"
2024-11-14,53.0,44.33792,11.088295,4.635844,172.2858,-7.22,170.38,HOLD,"[-10.634278297424316, -11.474248886108398, -11.444317817687988]"
2024-11-15,49.0,39.125815,11.972785,5.080579,172.8426,-7.86,164.84,HOLD,"[-10.392498970031738, -11.451849937438965, -11.665513038635254]"
2024-11-18,47.0,40.258902,12.951168,5.310987,173.3396,-5.99,165.67,HOLD,"[-10.11178207397461, -11.113404273986816, -11.44027328491211]"
2024-11-19,46.0,39.950152,13.757539,5.496401,173.6824,-4.74,165.35,HOLD,"[-10.60014820098877, -10.930144309997559, -11.699914932250977]"
2024-11-20,48.0,37.896186,14.970986,5.928016,173.782,-4.18,163.25,HOLD,"[-10.825819969177246, -10.926249504089355, -11.84911060333252]"
2024-11-21,49.0,39.005816,15.901702,6.238583,173.7696,-0.55,163.94,HOLD,"[-10.742880821228027, -10.78757095336914, -11.569631576538086]"
2024-11-22,50.0,39.495127,16.765939,6.495115,173.7004,-0.87,164.23,BUY,"[-10.835533142089844, -10.691082954406738, -11.318558692932129]"
2024-11-25,50.0,40.540226,16.965465,6.687397,173.7164,-0.32,164.82,BUY,"[-10.862842559814453, -10.751274108886719, -11.422141075134277]"
2024-11-26,50.0,40.43823,17.185704,6.622906,173.7618,0.91,164.74,BUY,"[-10.931746482849121, -10.790417671203613, -11.403580665588379]"
2024-11-27,47.0,34.512121,18.214784,6.93045,173.7218,-2.6,159.67,HOLD,"[-10.8167142868042, -10.874356269836426, -11.275933265686035]"
2024-11-29,50.0,39.082123,19.170359,7.152676,173.615,-1.31,162.08,HOLD,"[-10.546930313110352, -10.820150375366211, -11.167439460754395]"
2024-12-02,53.0,46.476045,18.590149,7.186748,173.5232,1.03,166.51,HOLD,"[-10.806008338928223, -10.851395606994629, -11.250336647033691]"
2024-12-03,51.0,48.94652,18.051382,7.190426,173.4274,2.07,168.15,HOLD,"[-10.780845642089844, -10.84072494506836, -11.206552505493164]"
2024-12-04,56.0,52.421861,17.438123,7.128578,173.3418,6.82,170.56,HOLD,"[-10.678438186645508, -10.734842300415039, -10.912277221679688]"
2024-12-05,56.0,52.278739,16.868667,6.752991,173.2408,5.18,170.47,BUY,"[-10.825411796569824, -10.82064437866211, -10.83290958404541]"
2024-12-06,70.0,63.177529,17.629673,6.336551,173.2696,7.82,179.53,SELL,"[-10.601012229919434, -10.698128700256348, -10.503625869750977]"
2024-12-09,69.0,62.181582,18.351052,5.851414,173.3946,6.42,178.94,BUY,"[-11.09157657623291, -10.820610046386719, -10.984621047973633]"
2024-12-10,56.0,51.596051,17.660628,5.413662,173.3808,0.73,171.81,HOLD,"[-11.2000093460083, -11.301847457885742, -11.284107208251953]"
2024-12-11,71.0,62.560753,17.931783,6.098696,173.6954,7.47,183.2,SELL,"[-10.324589729309082, -10.916604995727539, -10.091925621032715]"
2024-12-12,68.0,59.33296,18.094238,6.565885,173.8954,0.63,180.66,HOLD,"[-11.105897903442383, -11.18834114074707, -11.252828598022461]"
2024-12-13,86.0,79.310408,21.326508,13.842699,174.9536,25.63,224.8,SELL,"[-7.5236430168151855, -7.454775810241699, -4.179188251495361]"
2024-12-16,89.0,84.109752,24.914895,21.863517,176.4208,45.51,250.0,SELL,"[-6.469719886779785, -5.732956886291504, 0.8703926205635071]"
2024-12-17,87.0,76.682872,28.246968,25.800359,177.7238,31.13,240.23,SELL,"[-7.024202823638916, -6.977478504180908, -1.6631594896316528]"
2024-12-18,82.0,66.011096,29.618511,27.2696,178.5816,23.78,223.62,SELL,"[-9.559941291809082, -8.564352989196777, -5.821667671203613]"
2024-12-19,78.0,62.998378,30.715761,27.952489,179.229,-2.88,218.32,HOLD,"[-10.198027610778809, -10.744009017944336, -10.767757415771484]"
2024-12-20,78.0,63.826954,31.829089,28.519235,179.931,-11.68,220.79,HOLD,"[-10.978108406066895, -11.594820976257324, -11.899073600769043]"
2024-12-23,83.0,67.495555,32.995946,29.508903,180.9484,-3.28,232.35,HOLD,"[-9.988215446472168, -10.26044750213623, -10.098348617553711]"
2024-12-24,86.0,69.600824,34.360186,30.60673,182.0958,7.18,239.68,SELL,"[-8.46934986114502, -10.42221736907959, -7.715944766998291]"
2024-12-26,89.0,71.159642,35.892964,31.608276,183.4834,12.39,245.36,SELL,"[-8.084676742553711, -9.407888412475586, -6.655294418334961]"
2024-12-27,87.0,68.746801,37.153476,31.520057,184.782,9.49,241.75,HOLD,"[-10.35491943359375, -10.518059730529785, -10.40722942352295]"
2024-12-30,85.0,64.70832,37.707075,30.759083,185.863,1.39,235.58,HOLD,"[-11.3954496383667, -11.634527206420898, -12.108773231506348]"
2024-12-31,83.0,62.318562,38.180202,29.725004,186.902,-3.27,231.84,HOLD,"[-11.532669067382812, -12.273226737976074, -12.59652042388916]"
2025-01-02,83.0,62.374578,38.727929,28.417192,187.9418,-5.45,231.98,HOLD,"[-11.603187561035156, -12.458844184875488, -12.875066757202148]"
2025-01-03,83.0,62.618237,39.053896,26.896602,189.0052,-3.81,232.55,HOLD,"[-11.57133674621582, -12.519474029541016, -12.967586517333984]"
2025-01-06,85.0,64.304068,39.656928,25.005971,190.2632,0.35,236.41,HOLD,"[-11.334861755371094, -12.244173049926758, -12.464661598205566]"
2025-01-07,82.0,58.577384,39.377834,23.26495,191.409,-1.38,228.64,HOLD,"[-12.008596420288086, -12.49009895324707, -12.990381240844727]"
2025-01-08,82.0,58.917138,38.899077,21.041279,192.5352,-1.15,229.31,HOLD,"[-12.052382469177246, -12.487990379333496, -13.103543281555176]"
2025-01-10,78.0,55.273594,37.7837,17.166939,193.581,-3.54,224.31,HOLD,"[-12.517533302307129, -12.941450119018555, -13.668547630310059]"
2025-01-13,78.0,55.849906,36.511676,13.860165,194.502,-4.7,225.29,HOLD,"[-12.445306777954102, -12.960281372070312, -13.541417121887207]"
2025-01-14,77.0,55.387194,35.423899,8.268977,195.4632,-1.72,224.7,HOLD,"[-12.649798393249512, -13.24263858795166, -13.810810089111328]"
2025-01-15,78.0,57.507728,34.421724,8.160774,196.6278,-0.57,228.0,HOLD,"[-12.454593658447266, -12.805010795593262, -13.25723934173584]"
2025-01-16,79.0,58.417199,34.25006,7.053145,197.8376,2.27,229.41,HOLD,"[-12.5773344039917, -12.91501522064209, -13.340094566345215]"
2025-01-17,84.0,63.24232,34.090658,6.895151,199.2154,5.39,237.44,BUY,"[-12.269189834594727, -12.229796409606934, -12.943964958190918]"
2025-01-21,85.0,64.813837,34.336416,6.977113,200.5436,6.95,240.31,BUY,"[-12.647562026977539, -12.409846305847168, -12.855842590332031]"
2025-01-22,85.0,65.149297,34.893729,6.533916,201.7708,5.66,240.91,BUY,"[-12.588363647460938, -12.563031196594238, -12.941145896911621]"
2025-01-23,85.0,64.454449,34.61057,6.104792,202.9002,4.74,240.28,HOLD,"[-12.850737571716309, -12.9841947555542, -13.049201965332031]"
2025-01-24,86.0,67.105236,35.067312,6.535777,204.1214,3.06,244.7,HOLD,"[-12.671297073364258, -12.975542068481445, -13.113225936889648]"
2025-01-27,52.0,37.837964,34.049758,9.484176,204.5858,-15.89,202.13,HOLD,"[-13.878148078918457, -14.673890113830566, -15.124155044555664]"
2025-01-28,63.0,41.22929,33.104887,10.480581,205.2086,-13.93,207.36,HOLD,"[-11.362070083618164, -13.375893592834473, -13.474210739135742]"
2025-01-29,62.0,40.766747,32.085764,11.404209,205.864,-14.12,206.35,HOLD,"[-12.371176719665527, -13.433696746826172, -13.983924865722656]"
2025-01-30,66.0,46.702413,30.203462,11.642505,206.7696,-11.87,215.66,HOLD,"[-12.312631607055664, -12.587593078613281, -13.809470176696777]"
2025-01-31,70.0,49.956641,28.064022,11.690513,207.8982,9.47,221.27,HOLD,"[-11.610771179199219, -12.433287620544434, -13.56596851348877]"
2025-02-03,67.0,47.966414,26.299581,11.820174,208.9394,5.0,217.73,BUY,"[-11.842286109924316, -11.35627269744873, -11.531599044799805]"
2025-02-04,69.0,50.770641,24.479997,11.772776,210.081,7.79,222.43,HOLD,"[-11.962305068969727, -12.365199089050293, -12.29990291595459]"
2025-02-05,73.0,55.973503,23.81421,11.618496,211.456,7.58,232.0,BUY,"[-12.39553165435791, -11.861841201782227, -13.09593677520752]"
2025-02-06,72.0,55.55068,23.19598,11.665463,212.8044,4.56,231.36,BUY,"[-13.198958396911621, -12.552742004394531, -12.68782901763916]"
2025-02-07,68.0,51.317268,22.193732,11.64349,214.0172,3.28,224.87,HOLD,"[-13.302966117858887, -13.430144309997559, -13.392651557922363]"
2025-02-10,74.0,56.864739,21.276939,11.807351,215.4216,5.67,235.04,SELL,"[-12.106829643249512, -12.991272926330566, -11.897626876831055]"
2025-02-11,73.0,56.864739,20.602112,11.953402,216.8276,1.31,235.04,HOLD,"[-13.035879135131836, -13.26889705657959, -13.221933364868164]"
2025-02-12,73.0,57.586746,19.975488,12.117197,218.3612,2.16,236.35,HOLD,"[-13.387221336364746, -13.543505668640137, -13.785292625427246]"
2025-02-13,72.0,57.154198,19.438506,12.253955,219.8356,4.86,235.8,SELL,"[-13.409154891967773, -13.722620010375977, -13.333285331726074]"
2025-02-14,70.0,54.924691,18.706801,12.302916,221.1662,-0.85,233.04,HOLD,"[-13.097916603088379, -13.82298469543457, -13.21402645111084]"
2025-02-18,67.0,51.396543,17.459336,12.113,222.3738,-2.77,228.53,HOLD,"[-13.645013809204102, -14.033764839172363, -14.408429145812988]"
2025-02-19,66.0,51.545189,16.300976,11.761272,223.5372,-3.22,228.73,HOLD,"[-13.785459518432617, -13.986968040466309, -14.34277057647705]"
2025-02-20,65.0,49.909583,15.260533,11.319221,224.6626,-3.84,226.74,HOLD,"[-13.541590690612793, -14.22506046295166, -14.085809707641602]"
2025-02-21,52.0,43.828384,15.138233,10.956226,225.4452,-6.17,218.66,HOLD,"[-13.541385650634766, -14.179950714111328, -14.787860870361328]"
2025-02-24,46.0,37.324507,15.816579,10.607561,226.025,-9.01,207.93,HOLD,"[-13.408673286437988, -14.39867115020752, -14.95108413696289]"
2025-02-25,43.0,34.55087,16.993067,10.566848,226.6396,-11.45,202.54,HOLD,"[-13.049419403076172, -14.327244758605957, -14.731410026550293]"
2025-02-26,50.0,43.305291,17.378001,10.207979,227.2344,-6.09,212.94,HOLD,"[-13.066938400268555, -13.45280647277832, -14.497566223144531]"
2025-02-27,41.0,35.798339,18.422797,11.066487,227.5772,-9.54,197.8,HOLD,"[-14.20541763305664, -14.443024635314941, -15.686661720275879]"
2025-02-28,44.0,37.06329,19.693588,12.134826,227.0698,-4.09,199.43,HOLD,"[-12.90247631072998, -13.757469177246094, -14.491609573364258]"
2025-03-03,35.0,32.034242,21.416236,14.342634,225.8172,-7.49,187.37,HOLD,"[-13.192034721374512, -13.995755195617676, -14.199222564697266]"
2025-03-04,37.0,32.124708,23.243952,16.068938,224.7622,-11.96,187.48,HOLD,"[-12.685725212097168, -13.553755760192871, -14.098058700561523]"
2025-03-05,40.0,35.567225,24.920526,17.130832,224.1214,-3.14,191.58,BUY,"[-13.443655967712402, -13.39681339263916, -15.08426570892334]"
2025-03-06,36.0,30.619318,26.985689,18.689247,223.344,-10.02,179.45,HOLD,"[-13.427412033081055, -13.915016174316406, -14.571154594421387]"
2025-03-07,44.0,41.773288,27.629717,18.782889,222.8274,4.05,194.96,HOLD,"[-11.795753479003906, -12.843182563781738, -12.499696731567383]"
2025-03-10,40.0,37.387094,28.30109,19.577736,221.8694,-1.62,184.45,BUY,"[-13.349367141723633, -13.235109329223633, -14.293682098388672]"
