date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,71.0,49.519704,11.4795,4.43036,266.2272,-0.09,270.19,0.0,0.0,0.0,,
2024-11-05,74.0,55.913626,11.217261,4.357321,266.6684,0.68,275.94,0.4586894586894345,0.0917378917378869,0.3669515669515476,,
2024-11-06,82.0,69.719823,13.848522,6.36373,267.471,9.29,295.16,2.346053684629169,0.5426010503161434,1.8034526343130253,,
2024-11-07,77.0,60.819426,15.796155,6.788118,268.0656,5.18,286.82,3.1327230504265917,1.0606254503382329,2.0720976000883584,,
2024-11-08,78.0,61.316811,17.60467,7.272545,268.6208,6.44,287.6,3.775581122770177,1.6036165848246218,2.171964537945555,,
2024-11-11,80.0,64.644475,19.675666,8.139422,269.3072,6.17,292.97,4.664594357537737,2.215812139367245,2.4487822181704924,,
2024-11-12,76.0,60.025967,20.913242,8.5157,269.9912,-2.25,288.51,4.95217345192782,2.76308440187936,2.18908905004846,,
2024-11-13,76.0,59.138385,22.028646,8.754393,270.7092,0.29,287.64,5.051647973721401,3.220797116247769,1.8308508574736324,,
2024-11-14,76.0,59.626116,23.043712,8.884182,271.4384,0.24,288.3,5.124664787391964,3.6015706504766083,1.523094136915356,,
2024-11-15,74.0,58.010467,23.493404,9.083868,272.2946,-2.08,286.87,5.009396880297516,3.8831358964407903,1.1262609838567252,BUY,"[12.545296669006348, 13.915045738220215, 12.322763442993164]"
2024-11-18,73.0,56.47766,23.430716,9.022359,272.987,-1.03,285.54,4.755903256445151,4.057689368441663,0.6982138880034885,BUY,"[11.626994132995605, 14.566096305847168, 11.730748176574707]"
2024-11-19,73.0,56.48697,22.811103,8.977338,273.7896,-0.73,285.55,4.503896533980253,4.146930801549381,0.3569657324308721,BUY,"[11.754483222961426, 13.806464195251465, 9.651803970336914]"
2024-11-20,74.0,58.549452,22.532989,8.897866,274.4602,-0.2,287.71,4.42743660573592,4.203031962386689,0.2244046433492315,BUY,"[12.164226531982422, 14.018362998962402, 11.820884704589844]"
2024-11-21,77.0,63.155516,23.143484,8.919894,275.2172,2.14,293.0,4.739071287530408,4.310239827415433,0.4288314601149743,SELL,"[12.579837799072266, 14.760887145996094, 14.847087860107422]"
2024-11-22,81.0,68.979901,24.601142,9.215902,276.0632,5.52,301.3,5.591331265716576,4.566458115075662,1.0248731506409143,SELL,"[13.786029815673828, 15.771188735961914, 17.496383666992188]"
2024-11-25,82.0,71.282935,26.308916,9.904794,276.9456,6.88,305.21,6.50724627693694,4.954615747447917,1.552630529489022,SELL,"[14.228059768676758, 16.32809066772461, 18.439727783203125]"
2024-11-26,82.0,71.492792,27.996724,10.226325,277.749,6.21,305.57,7.179404803939349,5.399573558746203,1.7798312451931455,SELL,"[14.115060806274414, 16.20856285095215, 18.076276779174805]"
2024-11-27,81.0,69.487644,29.639928,10.427073,278.5904,3.84,304.25,7.51890900824111,5.823440648645185,1.6954683595959246,SELL,"[13.888699531555176, 15.741305351257324, 16.702289581298828]"
2024-11-29,81.0,69.784939,31.165761,10.084644,279.309,1.12,304.68,7.733518752258249,6.205456269367798,1.5280624828904503,SELL,"[13.941451072692871, 15.419273376464844, 16.55612564086914]"
2024-12-02,79.0,65.893711,31.275047,9.551674,279.9744,-0.97,302.26,7.620480588713178,6.488461133236875,1.1320194554763034,BUY,"[12.876618385314941, 14.519781112670898, 13.533426284790039]"
2024-12-03,80.0,65.649359,31.376527,8.414327,280.6706,-1.13,302.11,7.433109029369234,6.677390712463348,0.7557183169058863,BUY,"[13.193546295166016, 14.840107917785645, 14.486629486083984]"
2024-12-04,80.0,66.091711,31.351884,7.625487,281.3984,-0.54,302.6,7.240688473992918,6.790050264769262,0.4506382092236558,BUY,"[13.036744117736816, 15.034509658813477, 14.980267524719238]"
2024-12-05,79.0,62.433972,31.215736,7.73138,282.0856,-1.36,300.53,6.842288455119785,6.800497902839368,0.0417905522804176,BUY,"[12.468860626220703, 14.611595153808594, 12.758172988891602]"
2024-12-06,81.0,65.837331,31.300676,7.734127,282.8024,0.57,303.99,6.728188286998488,6.786035979671192,-0.0578476926727038,BUY,"[12.669258117675781, 14.927569389343262, 14.216327667236328]"
2024-12-09,76.0,54.636755,30.119064,7.502029,283.3156,-1.78,296.72,5.982176038048806,6.625263991346715,-0.6430879532979095,BUY,"[11.327873229980469, 13.62463092803955, 6.886877059936523]"
2024-12-10,79.0,60.061716,29.021852,7.56548,283.9338,-0.16,302.11,5.75949207048933,6.452109607175239,-0.6926175366859093,BUY,"[12.493152618408203, 14.594879150390625, 12.411676406860352]"
2024-12-11,79.0,60.280001,28.003013,7.413762,284.6086,0.6,302.34,5.537736915615255,6.269235068863242,-0.731498153247987,BUY,"[11.830410957336426, 14.561564445495605, 11.15656852722168]"
2024-12-12,77.0,57.289148,27.12881,7.085413,285.1962,-1.21,300.3,5.138153966176958,6.0430188483259855,-0.9048648821490276,BUY,"[12.04918384552002, 13.93178653717041, 9.3071928024292]"
2024-12-13,78.0,59.25292,26.31705,6.76843,285.8672,1.83,302.14,4.913316567429831,5.817078392146756,-0.9037618247169243,BUY,"[11.875476837158203, 14.845707893371582, 10.857087135314941]"
2024-12-16,78.0,60.762839,25.417339,6.264,286.4192,0.48,303.57,4.795243772771187,5.612711468271643,-0.8174676955004561,BUY,"[12.724434852600098, 14.952768325805664, 13.309684753417969]"
2024-12-17,77.0,57.20301,24.186728,5.377906,286.9702,-0.33,301.34,4.47019820689593,5.3842088159965,-0.9140106091005702,BUY,"[11.776087760925293, 13.844968795776367, 8.476729393005371]"
2024-12-18,69.0,41.34223,24.817666,5.084738,287.3436,-4.17,287.78,3.0828810460888576,4.923943262014971,-1.8410622159261132,BUY,"[10.353194236755371, 13.248181343078613, -1.5399174690246582]"
2024-12-19,73.0,47.472675,25.403538,4.51323,287.7768,-3.0,293.08,2.3836111218544147,4.4158768339828605,-2.0322657121284458,BUY,"[11.134963989257812, 13.730402946472168, 6.540482521057129]"
2024-12-20,76.0,53.028684,24.39662,4.184519,288.3404,-1.62,298.65,2.2529168949259883,3.9832848461714874,-1.730367951245498,BUY,"[11.187845230102539, 14.184663772583008, 9.861351013183594]"
2024-12-23,76.0,53.172335,23.461624,4.211734,288.7932,-0.84,298.8,2.136812678444471,3.6139904126260833,-1.477177734181612,BUY,"[11.145339012145996, 13.570358276367188, 7.431678295135498]"
2024-12-24,79.0,57.518875,21.859674,4.138863,289.332,5.45,303.46,2.39323458657492,3.3698392474158507,-0.9766046608409308,BUY,"[11.958480834960938, 15.497785568237305, 11.581734657287598]"
2024-12-26,79.0,57.99641,20.639359,4.061689,289.8656,3.72,303.99,2.6091408156050875,3.2176995610536983,-0.6085587454486108,BUY,"[12.70318603515625, 15.528151512145996, 13.800371170043945]"
2024-12-27,76.0,54.34688,19.337887,3.982325,290.253,0.8,301.05,2.5140344045533998,3.076966529753639,-0.5629321252002395,BUY,"[11.686237335205078, 13.863581657409668, 7.53241491317749]"
2024-12-30,74.0,50.054855,19.023953,3.925278,290.484,-0.49,297.33,2.11411873316473,2.8843969704358576,-0.7702782372711274,BUY,"[10.989668846130371, 13.887746810913086, 5.952006816864014]"
2024-12-31,74.0,49.444418,18.732443,3.963122,290.884,-2.2,296.79,1.7336250449466777,2.654242585338022,-0.9206175403913446,BUY,"[11.561266899108887, 13.673468589782715, 6.227922439575195]"
2025-01-02,74.0,51.383576,18.087398,3.9432,291.4378,-1.83,298.43,1.546587254520034,2.4327115191744246,-0.8861242646543905,BUY,"[11.857938766479492, 14.374256134033203, 9.09487533569336]"
2025-01-03,76.0,56.480633,16.835587,3.96189,292.0514,0.67,303.08,1.753362920088648,2.2968417993572694,-0.5434788792686214,BUY,"[12.147109985351562, 15.09468936920166, 12.034598350524902]"
2025-01-06,75.0,54.881533,16.050394,3.985625,292.6644,1.53,301.88,1.7996588071285942,2.1974052009115344,-0.3977463937829402,BUY,"[12.059221267700195, 14.67641830444336, 9.47049617767334]"
2025-01-07,75.0,55.041459,15.238216,3.905418,293.3052,1.76,302.02,1.8265896723920605,2.1232420952076394,-0.2966524228155789,BUY,"[12.3247652053833, 15.165849685668945, 10.916071891784668]"
2025-01-08,75.0,56.036391,14.48405,3.896677,294.0152,1.48,302.85,1.893084342642396,2.0772105446945908,-0.1841262020521945,BUY,"[12.169744491577148, 15.032712936401367, 10.550742149353027]"
2025-01-10,62.0,43.977188,14.907202,4.129838,294.4518,-3.23,293.3,1.1617843339480487,1.8941253025452824,-0.7323409685972337,BUY,"[10.481136322021484, 13.016998291015625, -0.5080166459083557]"
2025-01-13,73.0,48.615949,15.634345,4.116677,294.9836,-1.61,297.02,0.8723409159231323,1.6897684252208525,-0.8174275092977201,BUY,"[11.469415664672852, 14.350507736206055, 6.977766513824463]"
2025-01-14,71.0,52.424892,15.574947,4.117395,295.5092,-0.55,300.36,0.9020665466338756,1.5322280495034573,-0.6301615028695817,BUY,"[11.66631031036377, 14.742973327636719, 9.365921974182129]"
2025-01-15,75.0,63.001182,15.830004,4.971899,296.354,3.13,312.32,1.8691499718729008,1.599612433977346,0.2695375378955544,SELL,"[13.05347728729248, 15.505356788635254, 15.999320030212402]"
2025-01-16,78.0,61.959365,16.07232,5.534467,297.1298,6.2,311.48,2.5385270147596657,1.78739535013381,0.7511316646258557,BUY,"[12.62453556060791, 15.88786792755127, 12.928899765014648]"
2025-01-17,78.0,62.810879,16.496447,6.150808,297.9772,5.23,312.56,3.1201924812406787,2.053954776355184,1.066237704885495,BUY,"[13.643778800964355, 16.060102462768555, 15.32329273223877]"
2025-01-21,80.0,66.804533,17.461022,6.4616,298.8174,5.86,317.95,3.970327049210198,2.437229230926187,1.533097818284011,SELL,"[13.876480102539062, 16.692922592163086, 16.959205627441406]"
2025-01-22,80.0,69.608489,18.727312,7.430775,299.3592,3.18,322.25,4.934160946631209,2.936615574067192,1.997545372564017,SELL,"[14.790472030639648, 16.717910766601562, 18.194734573364258]"
2025-01-23,81.0,71.770327,20.278635,8.743612,300.1402,4.62,325.87,5.921846638950967,3.533661787043947,2.3881848519070203,BUY,"[14.615471839904785, 16.39455795288086, 16.195274353027344]"
2025-01-24,78.0,65.492142,19.984059,9.289454,300.815,2.81,321.34,6.266821507418626,4.080293731118883,2.1865277762997435,BUY,"[14.279667854309082, 16.584932327270508, 15.550677299499512]"
2025-01-27,73.0,59.334896,19.371376,9.516754,301.2826,-0.5,316.35,6.067621515392773,4.477759287973662,1.5898622274191112,BUY,"[13.843502044677734, 15.670855522155762, 12.081963539123535]"
2025-01-28,73.0,59.89635,18.600144,9.738895,301.8532,-1.62,317.04,5.897449196678622,4.761697269714654,1.1357519269639678,BUY,"[13.339988708496094, 16.207637786865234, 13.802511215209961]"
2025-01-29,71.0,57.671787,18.131291,9.755757,302.4054,-3.26,315.25,5.55412388490339,4.920182592752401,0.6339412921509888,BUY,"[12.686810493469238, 14.772614479064941, 8.962959289550781]"
2025-01-30,73.0,60.90407,18.057407,9.680786,303.0184,-0.74,318.95,5.516998653342739,5.039545804870469,0.4774528484722697,BUY,"[13.120820999145508, 15.736045837402344, 11.874654769897461]"
2025-01-31,73.0,58.939091,17.884748,9.382646,303.63,0.35,317.45,5.305382034275567,5.09271305075149,0.2126689835240771,BUY,"[12.885283470153809, 15.806700706481934, 10.98049259185791]"
2025-02-03,72.0,57.709286,16.707132,9.052759,304.2498,-0.16,316.53,5.005735030342351,5.075317446669663,-0.0695824163273126,BUY,"[13.158587455749512, 15.576299667358398, 10.343938827514648]"
2025-02-04,71.0,56.739196,15.548755,8.89962,304.8554,0.18,315.83,4.658082989877869,4.991870555311305,-0.3337875654334361,BUY,"[12.57578182220459, 15.455101013183594, 8.905594825744629]"
2025-02-05,73.0,61.427626,14.994386,8.773913,305.5118,0.5,320.53,4.707551243190608,4.935006692887166,-0.2274554496965581,BUY,"[13.226162910461426, 15.78985595703125, 12.041674613952637]"
2025-02-06,73.0,60.853392,14.894702,8.540328,306.0548,0.85,320.15,4.662347723783853,4.880474899066504,-0.2181271752826505,BUY,"[12.849769592285156, 15.264119148254395, 9.678584098815918]"
2025-02-07,71.0,55.852116,14.60746,8.1818,306.3642,0.08,316.77,4.304170063578795,4.765213931968962,-0.461043868390167,BUY,"[12.695396423339844, 15.519713401794434, 8.822392463684082]"
2025-02-10,68.0,47.717722,14.561611,6.686478,306.4652,-1.76,310.26,3.4551799302149107,4.503207131618152,-1.048027201403241,BUY,"[11.902676582336426, 14.620711326599121, 3.6247305870056152]"
2025-02-11,68.0,46.937429,14.519038,5.406722,306.5452,-3.42,309.57,2.695598715411677,4.141685448376857,-1.4460867329651803,BUY,"[11.83205795288086, 14.777405738830566, 5.592341899871826]"
2025-02-12,60.0,43.424215,14.835092,4.642725,306.5882,-4.29,306.4,1.8168886614728308,3.676726090996052,-1.8598374295232207,BUY,"[10.423624038696289, 13.758115768432617, -1.2333860397338867]"
2025-02-13,67.0,44.963625,14.779673,4.954703,306.6446,-2.93,307.5,1.1954846173729834,3.1804777962714383,-1.984993178898455,BUY,"[11.119710922241211, 14.474961280822754, 3.572779893875122]"
2025-02-14,70.0,49.706388,14.275836,4.975663,306.8202,0.25,311.04,0.9773990031366112,2.7398620376444733,-1.7624630345078622,BUY,"[11.728250503540039, 14.99678897857666, 6.6396589279174805]"
2025-02-18,70.0,51.984732,13.444634,4.96609,307.035,1.06,312.85,0.9397832198672518,2.379846274089029,-1.4400630542217772,BUY,"[12.056305885314941, 15.212903022766113, 8.578716278076172]"
2025-02-19,68.0,48.179799,13.064576,5.114121,307.1814,1.15,309.92,0.6658701905836324,2.03705105738795,-1.3711808668043175,BUY,"[11.395979881286621, 14.410701751708984, 4.186371326446533]"
2025-02-20,57.0,41.4262,13.937742,5.474962,307.248,-1.18,303.86,-0.0397411023375298,1.621692625442854,-1.661433727780384,BUY,"[10.515913963317871, 13.878149032592773, -0.6988785862922668]"
2025-02-21,52.0,34.21552,15.316251,6.32123,307.0762,-5.03,295.4,-1.26698936770498,1.0439562268132874,-2.3109455945182678,BUY,"[9.915251731872559, 12.693580627441406, -8.561063766479492]"
2025-02-24,52.0,34.404464,16.75243,7.103568,307.0524,-5.54,295.53,-2.20369966828963,0.3944250477927038,-2.598124716082334,BUY,"[9.868561744689941, 13.179543495178223, -4.911364555358887]"
2025-02-25,51.0,32.70054,18.392851,8.079371,306.877,-5.35,293.34,-3.0871769730976557,-0.301895356385368,-2.785281616712288,BUY,"[9.571185111999512, 12.618599891662598, -7.576345443725586]"
2025-02-26,53.0,36.939344,19.691226,8.53499,306.7522,-2.55,296.1,-3.5240076025273765,-0.9463178056137698,-2.5776897969136066,BUY,"[9.996664047241211, 13.60809326171875, -1.0609345436096191]"
2025-02-27,52.0,35.291446,20.491877,9.06254,306.6302,-0.41,294.2,-3.9776611429350055,-1.552586473078017,-2.4250746698569885,BUY,"[9.925933837890625, 13.326086044311523, -3.73478627204895]"
2025-02-28,56.0,44.737484,21.217743,8.882515,306.6066,1.84,300.96,-3.748498974958807,-1.991768973454175,-1.7567300015046317,BUY,"[10.470720291137695, 14.067461013793945, 5.097769260406494]"
2025-03-03,52.0,39.688775,21.287829,8.967464,306.445,0.73,295.49,-3.962591305177341,-2.385933439798809,-1.5766578653785324,BUY,"[10.125359535217285, 12.587419509887695, -6.93230676651001]"
2025-03-04,45.0,31.32348,23.085076,9.977005,306.0876,-4.27,283.47,-5.044030124520361,-2.9175527767431197,-2.126477347777242,BUY,"[9.54257583618164, 11.660195350646973, -13.966931343078613]"
2025-03-05,46.0,32.232088,24.753949,10.616692,306.0156,-3.41,284.18,-5.777191249367206,-3.4894804712679366,-2.2877107780992696,BUY,"[9.736902236938477, 12.405376434326172, -8.536524772644043]"
2025-03-06,42.0,27.516412,26.779209,11.46419,305.6668,-8.41,275.64,-6.967021860009368,-4.184988749016223,-2.7820331109931447,BUY,"[9.03064250946045, 11.549141883850098, -14.959419250488281]"
2025-03-07,41.0,26.335727,29.253775,12.116707,305.158,-7.54,273.21,-8.013675223218911,-4.95072604385676,-3.0629491793621506,BUY,"[9.067756652832031, 10.775273323059082, -16.062294006347656]"
2025-03-10,37.0,21.479246,31.892497,13.897243,304.4084,-7.81,261.32,-9.690868881309427,-5.898754611347294,-3.792114269962133,BUY,"[8.617788314819336, 11.12249755859375, -18.32905387878418]"
2025-03-11,35.0,19.54355,34.504401,16.061247,303.447,-10.13,255.39,-11.36752067746221,-6.992507824570278,-4.375012852891932,BUY,"[8.376333236694336, 10.656142234802246, -19.637548446655273]"
2025-03-12,39.0,26.032218,36.383257,17.076032,302.5822,-5.4,260.75,-12.124014014306056,-8.018809062517434,-4.105204951788622,BUY,"[8.91053581237793, 10.794825553894043, -16.852798461914062]"
2025-03-13,38.0,24.329175,38.204307,18.231364,301.6898,-6.14,256.43,-12.923158206826884,-8.999678891379325,-3.9234793154475582,BUY,"[8.67630672454834, 10.822547912597656, -21.912357330322266]"
2025-03-14,44.0,34.201499,38.822474,18.31354,301.0558,1.65,265.63,-12.668092737071674,-9.733361660517795,-2.934731076553879,BUY,"[9.329838752746582, 11.106427192687988, -11.302163124084473]"
2025-03-17,44.0,33.560837,39.396486,17.973949,300.4076,3.52,264.38,-12.423604488835338,-10.271410226181304,-2.1521942626540334,BUY,"[9.464265823364258, 12.306257247924805, -10.252963066101074]"
2025-03-18,43.0,32.685209,39.992669,17.242892,299.6934,0.76,262.72,-12.22289598108506,-10.661707377162056,-1.5611886039230036,BUY,"[9.58953857421875, 11.34799575805664, -14.409377098083496]"
