date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,57.0,56.88799,21.235536,0.746953,40.8596,1.09,42.53,0.0,0.0,0.0,,
2024-11-05,57.0,57.110655,21.735985,0.726437,40.9058,0.76,42.56,0.0023931623931616,0.0004786324786323,0.0019145299145293,,
2024-11-06,67.0,70.988184,23.510451,0.986955,41.0038,3.37,45.14,0.2100528404801878,0.0423934740789434,0.1676593664012443,,
2024-11-07,61.0,62.915649,25.15817,1.04737,41.089,1.45,44.19,0.2945719291183977,0.0928291650868342,0.2017427640315634,,
2024-11-08,61.0,60.723844,26.028647,1.071663,41.178,3.24,43.91,0.3350974609105179,0.141282824251571,0.1938146366589469,,
2024-11-11,62.0,62.192925,26.980873,1.129634,41.2706,3.85,44.2,0.3861633623327236,0.1902589318678015,0.195904430464922,,
2024-11-12,61.0,60.840809,27.779635,1.168125,41.3614,-2.44,44.04,0.4090080046169788,0.234008746417637,0.1749992581993417,,
2024-11-13,60.0,59.705034,28.030106,1.194368,41.4662,-0.63,43.91,0.4118747983768145,0.2695819568094725,0.1422928415673419,,
2024-11-14,58.0,55.982335,27.812287,1.198326,41.5398,-0.98,43.48,0.3751251376658402,0.2906905929807461,0.084434544685094,,
2024-11-15,55.0,51.186446,26.808819,1.181188,41.6052,-2.99,42.88,0.2941944902408266,0.2913913724327622,0.0028031178080644,SELL,"[-1.20429265499115, -1.4352009296417236, 0.04605317860841751]"
2024-11-18,56.0,52.070838,25.877027,1.053557,41.6708,-2.36,43.0,0.2370072936515299,0.2805145566765158,-0.0435072630249858,SELL,"[-1.4751179218292236, -1.3976013660430908, 0.3665744364261627]"
2024-11-19,53.0,46.886931,24.444301,1.013864,41.7344,-3.62,42.32,0.1352565579345324,0.2514629569281191,-0.1162063989935867,HOLD,"[-0.8827762603759766, -0.9956339597702026, -1.1032007932662964]"
2024-11-20,56.0,51.961538,22.721926,0.956418,41.8206,-1.13,42.99,0.1074432287211166,0.2226590112867186,-0.115215782565602,SELL,"[-1.11113703250885, -1.3157292604446411, 0.6405649185180664]"
2024-11-21,59.0,55.450707,21.907502,0.900297,41.9044,1.45,43.5,0.1251114952493992,0.2031495080792548,-0.0780380128298555,SELL,"[-1.2931057214736938, -1.4006280899047852, 1.4885698556900024]"
2024-11-22,59.0,55.196741,21.151251,0.830792,41.9828,1.09,43.47,0.1351352197915076,0.1895466504217053,-0.0544114306301977,SELL,"[-1.2190495729446411, -1.332787275314331, 1.123326063156128]"
2024-11-25,58.0,52.850614,20.783961,0.763486,42.0596,2.08,43.2,0.1199101011872585,0.175619340574816,-0.0557092393875575,SELL,"[-1.1709129810333252, -1.1986292600631714, 0.7799946665763855]"
2024-11-26,55.0,48.268061,19.510762,0.725109,42.1268,-0.81,42.64,0.0619427279083026,0.1528840180415133,-0.0909412901332106,SELL,"[-0.8894797563552856, -1.0235226154327393, -0.6987940669059753]"
2024-11-27,55.0,47.632663,18.328505,0.703163,42.1816,-2.16,42.56,0.0094390282976277,0.1241950200927362,-0.1147559917951084,SELL,"[-0.9385981559753418, -1.0726040601730347, -0.5741762518882751]"
2024-11-29,57.0,52.891874,17.519568,0.701301,42.24,-0.64,43.19,0.0184524940921377,0.1030465148926165,-0.0845940208004787,SELL,"[-1.1199357509613037, -1.2095820903778076, 0.7690985798835754]"
2024-12-02,57.0,53.686944,16.819859,0.699986,42.3036,0.21,43.29,0.0332812494115799,0.0890934617964092,-0.0558122123848292,SELL,"[-1.0518451929092407, -1.3361233472824097, 0.9926620125770569]"
2024-12-03,55.0,49.795135,16.357085,0.684173,42.3462,0.52,42.86,0.0102179523038827,0.0733183598979039,-0.0631004075940211,SELL,"[-0.9452581405639648, -1.141463279724121, 0.190033957362175]"
2024-12-04,53.0,47.141946,15.222708,0.684766,42.3702,-0.02,42.55,-0.0326973710973419,0.0521152136988547,-0.0848125847961967,SELL,"[-0.7645138502120972, -1.0004361867904663, -0.29268917441368103]"
2024-12-05,55.0,49.390219,14.184535,0.560654,42.4142,-0.93,42.79,-0.0468025689632938,0.032331657166425,-0.0791342261297188,SELL,"[-0.8408786058425903, -1.0285522937774658, 0.053617797791957855]"
2024-12-06,56.0,52.644006,13.547264,0.517487,42.4568,-0.32,43.15,-0.0286023385851876,0.0201448580161025,-0.0487471966012901,SELL,"[-0.9450699090957642, -1.0629262924194336, 0.8279961943626404]"
2024-12-09,28.0,29.43414,15.842335,1.021255,42.405,-8.89,39.05,-0.341082473319318,-0.0521006082509816,-0.2889818650683364,HOLD,"[-0.3154758810997009, -0.33591267466545105, -2.79069447517395]"
2024-12-10,31.0,33.150064,18.087194,1.223426,42.3602,-7.1,39.53,-0.543725513657229,-0.1504255893322311,-0.3932999243249979,HOLD,"[-0.14168471097946167, -0.19912375509738922, -2.648192882537842]"
