date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,39.0,55.19876,16.381076,2.90832,107.8338,6.39,108.86,0.0,0.0,0.0,,
2024-11-05,39.0,56.014824,16.317982,2.81542,107.7468,6.05,109.21,0.0279202279202337,0.0055840455840467,0.0223361823361869,,
2024-11-06,46.0,64.747759,17.649019,3.069123,107.7708,3.73,113.63,0.4020694637219009,0.0848811292116175,0.3171883345102833,,
2024-11-07,44.0,61.111581,18.884981,3.115941,107.7758,4.23,112.4,0.5925046830682277,0.1864058399829396,0.4060988430852881,,
2024-11-08,43.0,58.770882,19.388846,3.189758,107.7202,2.51,111.59,0.6703384910111652,0.2831923701885847,0.3871461208225804,,
2024-11-11,43.0,59.714572,20.067493,3.342201,107.6854,2.6,112.05,0.7603753662825739,0.3786289694073825,0.3817463968751913,,
2024-11-12,40.0,55.519707,20.451605,3.4085,107.7012,-2.63,110.64,0.7097731988595228,0.4448578152978106,0.2649153835617122,,
2024-11-13,42.0,58.16816,20.315743,3.513092,107.7664,-0.52,111.82,0.7561700967604423,0.507120271590337,0.2490498251701053,,
2024-11-14,44.0,60.527625,20.381844,3.682102,107.8758,1.19,112.92,0.8716529074034867,0.580026798752967,0.2916261086505196,,
2024-11-15,43.0,58.586528,20.795127,3.764329,108.0018,0.24,112.32,0.9043342786206524,0.6448882947265041,0.2594459838941482,HOLD,"[0.1899915337562561, 0.018882067874073982, -0.7034993767738342]"
2024-11-18,45.0,61.756445,21.307625,3.869477,108.165,2.82,113.76,1.0345053326669102,0.7228117023145854,0.3116936303523249,HOLD,"[0.36233609914779663, 0.17636638879776, -0.20720839500427246]"
2024-11-19,44.0,59.475367,21.485489,3.886557,108.3468,1.14,113.09,1.071254673214085,0.7925002964944854,0.2787543767195997,HOLD,"[0.27565422654151917, 0.1502661257982254, -0.8995177149772644]"
2024-11-20,44.0,60.277215,21.65065,3.847748,108.564,0.45,113.43,1.114961368250036,0.8569925108455956,0.2579688574044403,HOLD,"[0.2937464118003845, 0.2536015808582306, -0.8566473126411438]"
2024-11-21,41.0,55.003074,22.32176,3.689628,108.744,-0.37,111.9,1.0144471108764748,0.8884834308517714,0.1259636800247033,HOLD,"[0.49153923988342285, 0.30083954334259033, -2.050976276397705]"
2024-11-22,41.0,54.499603,22.696471,3.496447,108.909,-1.77,111.75,0.9121701615282234,0.8932207769870618,0.0189493845411615,HOLD,"[0.41821494698524475, 0.25295230746269226, -2.2288100719451904]"
2024-11-25,24.0,39.742863,21.854495,3.258634,108.92,-6.18,106.1,0.3709312962379698,0.7887628808372434,-0.4178315845992736,BUY,"[0.8219806551933289, 1.131785273551941, -7.300865173339844]"
2024-11-26,27.0,41.785874,21.300829,2.820731,108.8898,-5.86,106.78,-0.0030983708269189,0.630390630504411,-0.63348900133133,BUY,"[1.1063765287399292, 1.1735461950302124, -6.652283668518066]"
2024-11-27,29.0,43.632159,20.052886,2.34658,108.8652,-4.03,107.39,-0.2474452795435411,0.4548234484948206,-0.7022687280383617,BUY,"[0.473861962556839, 0.7802758812904358, -5.408811569213867]"
2024-11-29,30.0,46.479066,18.894082,2.394193,108.821,-3.05,108.34,-0.360281800281129,0.2918023987396307,-0.6520841990207598,HOLD,"[0.9487881660461426, 0.3799562454223633, -4.187752723693848]"
2024-12-02,27.0,41.279582,18.531418,2.524105,108.7464,0.04,106.14,-0.620079281767488,0.1094260626382069,-0.729505344405695,HOLD,"[1.0992192029953003, 1.0820974111557007, -4.36461877822876]"
2024-12-03,26.0,41.077137,18.194659,2.695347,108.6736,-0.68,106.05,-0.8237373737380835,-0.0772066246370511,-0.7465307491010323,BUY,"[1.2122176885604858, 1.2773460149765015, -4.463765621185303]"
2024-12-04,21.0,35.748604,18.867382,3.095288,108.5656,-3.61,103.51,-1.1765323190285812,-0.2970717635153572,-0.879460555513224,BUY,"[0.9150523543357849, 1.5109384059906006, -6.864652156829834]"
2024-12-05,23.0,38.875113,19.492053,3.242573,108.5398,-3.6,104.44,-1.365342805292883,-0.5107259718708623,-0.8546168334220208,BUY,"[1.1484743356704712, 1.5153093338012695, -7.036015033721924]"
2024-12-06,21.0,36.374558,20.558269,3.485641,108.558,-2.75,103.22,-1.5950337241006167,-0.7275875223168132,-0.8674462017838035,BUY,"[0.5687211155891418, 1.4234670400619507, -6.795302867889404]"
2024-12-09,21.0,36.251059,21.278359,3.694195,108.5268,-2.73,103.16,-1.7616002989602322,-0.934390077645497,-0.8272102213147352,BUY,"[1.1396225690841675, 1.485846996307373, -6.299820423126221]"
2024-12-10,20.0,34.565922,22.188971,3.885104,108.4684,-1.11,102.36,-1.9358436234347352,-1.1346807868033446,-0.8011628366313905,BUY,"[0.7863544821739197, 1.633156180381775, -6.293096542358398]"
2024-12-11,20.0,34.202088,23.161312,4.079237,108.3248,-2.15,102.19,-2.0638594061605176,-1.3205165106747794,-0.7433428954857382,BUY,"[0.876405656337738, 1.7544323205947876, -7.179686069488525]"
2024-12-12,19.0,31.512471,24.31535,4.2618,108.1358,-2.24,100.91,-2.242745168624765,-1.5049622422647766,-0.7377829263599884,BUY,"[0.5973007678985596, 1.623347520828247, -7.56025505065918]"
2024-12-13,20.0,32.007314,25.475524,4.292474,107.9078,-2.07,101.02,-2.3485645532491617,-1.6736827044616538,-0.6748818487875079,BUY,"[0.6334908604621887, 1.7843972444534302, -7.69838809967041]"
2024-12-16,19.0,29.029762,26.893595,4.384932,107.6084,-2.73,99.57,-2.52037672578112,-1.843021508725547,-0.6773552170555723,BUY,"[0.33748486638069153, 1.5231757164001465, -7.91847038269043]"
2024-12-17,18.0,26.620345,28.865086,4.359762,107.2792,-3.85,98.26,-2.730766584878438,-2.0205705239561254,-0.7101960609223128,BUY,"[0.32314547896385193, 1.7089296579360962, -8.763644218444824]"
2024-12-18,17.0,22.861133,30.900914,4.472872,106.9802,-5.01,95.85,-3.0567328096996675,-2.227802981104834,-0.8289298285948337,BUY,"[-0.11632117629051208, 1.6345629692077637, -9.413912773132324]"
2024-12-19,18.0,21.933787,32.920178,4.443654,106.6644,-5.78,95.18,-3.330732184591511,-2.448388821802169,-0.8823433627893418,BUY,"[-0.103775255382061, 1.657322645187378, -9.689547538757324]"
2024-12-20,18.0,21.848317,34.962857,4.401253,106.3296,-4.47,95.12,-3.5122333223604443,-2.6611577219138245,-0.8510756004466198,BUY,"[-0.29733607172966003, 1.5734257698059082, -9.041519165039062]"
