date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,50.0,50.385797,15.694793,6.544069,285.2788,-3.88,298.88,0.0,0.0,0.0,,
2024-11-05,55.0,55.705576,15.00094,5.909582,286.113,0.04,307.58,0.6940170940171129,0.1388034188034226,0.5552136752136902,,
2024-11-06,60.0,61.97396,15.80452,6.359072,287.1164,7.79,320.0,2.2206228845545297,0.555167311953644,1.6654555726008855,,
2024-11-07,63.0,66.416347,17.140286,8.042671,288.448,9.12,330.78,4.251318328598927,1.2943975152827008,2.956920813316226,,
2024-11-08,62.0,65.840049,18.380641,9.016434,289.6152,10.42,330.03,5.734041900672423,2.182326392360645,3.551715508311778,,
2024-11-11,65.0,70.408232,20.129046,11.67208,290.918,11.33,342.42,7.8187507745115,3.309611268790816,4.509139505720684,,
2024-11-12,65.0,70.775105,21.815545,13.600305,292.456,7.34,343.5,9.44912096598648,4.537513208229949,4.911607757756531,,
2024-11-13,65.0,72.276282,24.146416,15.585582,294.2272,5.17,347.88,10.9681959482989,5.823649756243739,5.144546192055159,,
2024-11-14,63.0,69.199917,26.230014,16.876045,295.9858,4.34,344.36,11.752563003406353,7.009432405676262,4.743130597730089,,
2024-11-15,60.0,62.960596,26.721449,17.411191,297.793,-1.66,336.75,11.626097727454578,7.932765470031926,3.693332257422652,SELL,"[54.680850982666016, 49.912315368652344, 91.8199234008789]"
2024-11-18,62.0,65.684039,27.433227,18.181833,299.7208,-0.15,342.97,11.89070644028493,8.724353664082527,3.1663527762024035,SELL,"[56.505126953125, 50.18269729614258, 92.6833267211914]"
2024-11-19,66.0,69.668927,28.484577,19.477054,301.8318,1.56,353.29,12.785762196031952,9.536635370472412,3.249126825559541,SELL,"[57.78871536254883, 52.22772979736328, 98.70808410644531]"
2024-11-20,65.0,67.115195,29.616777,19.778452,303.7642,1.68,350.15,13.090825683343326,10.247473433046595,2.8433522502967303,SELL,"[54.378849029541016, 50.115535736083984, 93.27237701416016]"
2024-11-21,68.0,69.914094,30.927027,20.569561,305.7732,6.18,357.55,13.77096572971726,10.95217189238073,2.818793837336532,SELL,"[60.629058837890625, 54.33130645751953, 108.90406036376953]"
2024-11-22,74.0,74.550991,32.60013,21.971589,308.0358,8.54,372.26,15.320352196480655,11.825807953200714,3.4945442432799414,SELL,"[61.12372970581055, 54.34821319580078, 107.05509185791016]"
2024-11-25,70.0,67.970696,34.347715,22.118049,309.9532,2.94,363.68,15.67522361976853,12.59569108651428,3.079532533254252,SELL,"[53.46631622314453, 48.75791931152344, 86.58131408691406]"
2024-11-26,70.0,68.189199,35.748658,22.508149,311.8648,4.04,364.3,15.824080448614891,13.241368958934403,2.5827114896804897,SELL,"[58.322784423828125, 52.87328338623047, 104.85413360595703]"
2024-11-27,70.0,56.918929,34.77573,21.674601,313.4742,-2.79,347.59,14.427383315105716,13.478571830168669,0.948811484937048,SELL,"[50.86100387573242, 45.765907287597656, 80.51457977294922]"
2024-11-29,66.0,55.953413,33.872298,19.591679,314.846,-7.06,345.97,13.039459540246924,13.39074937218432,-0.3512898319373967,SELL,"[52.8981819152832, 47.982391357421875, 86.2593002319336]"
2024-12-02,66.0,56.361853,32.208263,17.684401,315.785,-4.64,346.8,11.869667870027117,13.08653307175288,-1.2168652017257653,SELL,"[43.111995697021484, 38.72304153442383, 60.17935562133789]"
2024-12-03,67.0,57.955316,30.663088,14.652304,316.9212,-3.94,349.95,11.06917960566659,12.683062378535624,-1.613882772869033,SELL,"[45.89900588989258, 43.65985870361328, 79.20487976074219]"
2024-12-04,73.0,64.290111,30.269684,12.475928,318.4336,4.77,364.16,11.449433192214144,12.436336541271327,-0.9869033490571848,SELL,"[52.38667297363281, 48.13178634643555, 88.55020904541016]"
2024-12-05,73.0,64.565248,29.904379,11.263182,320.001,5.45,364.84,11.67111981196257,12.283293195409575,-0.6121733834470078,SELL,"[46.0637092590332, 44.11259078979492, 79.98531341552734]"
2024-12-06,73.0,64.91205,29.893847,10.850319,321.6844,5.44,365.65,11.776417080290116,12.181917972385683,-0.4055008920955689,SELL,"[44.83888626098633, 41.738525390625, 80.5909194946289]"
2024-12-09,67.0,56.113609,28.879188,9.645197,323.0392,1.04,353.6,10.763457195586229,11.898225817025793,-1.1347686214395658,SELL,"[38.11191940307617, 34.96620178222656, 63.49088668823242]"
2024-12-10,64.0,51.831511,27.249143,9.453608,324.3654,-4.77,346.78,9.303121591381284,11.379204971896892,-2.076083380515607,SELL,"[36.37071990966797, 34.007694244384766, 63.10292053222656]"
2024-12-11,70.0,59.694687,26.320598,9.417161,326.1218,-0.51,362.97,9.344475501575346,10.972259077832582,-1.6277835762572366,SELL,"[45.54985046386719, 41.852840423583984, 71.65746307373047]"
2024-12-12,70.0,60.772366,25.528332,9.61844,327.827,-0.04,365.5,9.472208901282102,10.672249042522486,-1.2000401412403845,SELL,"[46.49742126464844, 43.86947250366211, 77.01661682128906]"
2024-12-13,71.0,61.86607,25.125826,9.697141,329.5124,4.08,368.02,9.66536516713461,10.47087226744491,-0.8055071003103009,SELL,"[50.785186767578125, 47.76541519165039, 91.39311218261719]"
2024-12-16,79.0,69.257829,25.893302,10.955159,331.4316,11.94,388.2,11.316352382065986,10.639968290369126,0.6763840916968604,SELL,"[60.472042083740234, 54.45830535888672, 108.0402603149414]"
2024-12-17,72.0,61.735079,26.605959,10.977616,333.2206,3.71,376.42,11.541184503370404,10.82021153296938,0.7209729704010215,SELL,"[42.06351089477539, 40.0509033203125, 68.51731872558594]"
2024-12-18,60.0,48.591478,24.787318,11.145675,334.344,-4.47,349.18,9.412820102644616,10.538733246904428,-1.1259131442598118,SELL,"[31.25778579711914, 29.014549255371094, 45.72157669067383]"
2024-12-19,61.0,49.379712,23.09858,11.107671,335.3978,-4.62,351.03,7.785607878684004,9.988108173260343,-2.202500294576339,SELL,"[34.59333801269531, 33.65469741821289, 59.69255065917969]"
2024-12-20,66.0,54.002524,21.712019,11.098684,336.3452,-6.67,362.29,7.320235248758308,9.454533588359936,-2.134298339601628,SELL,"[38.84637451171875, 37.530479431152344, 60.421844482421875]"
2024-12-23,65.0,53.632457,20.401063,10.769535,337.171,-3.96,361.5,6.809185635582878,8.925463997804526,-2.116278362221648,SELL,"[36.155948638916016, 35.92279052734375, 51.52409744262695]"
2024-12-24,67.0,55.41908,19.160399,10.816072,338.2764,4.76,365.79,6.673415304626758,8.475054259168973,-1.801638954542215,SELL,"[41.15512466430664, 41.68608093261719, 80.4500961303711]"
2024-12-26,66.0,55.04109,17.949416,10.832802,339.5318,4.0,365.08,6.4343540447081295,8.066914216276803,-1.6325601715686735,SELL,"[37.307010650634766, 38.60615921020508, 69.92581176757812]"
2024-12-27,62.0,49.838555,17.803544,10.522284,340.5068,-2.01,354.99,5.368829079874956,7.527297188996434,-2.158468109121478,SELL,"[21.294095993041992, 21.97701644897461, 27.598695755004883]"
2024-12-30,60.0,47.137484,18.054538,10.315848,341.2862,-3.37,349.31,4.019727422756375,6.825783235748423,-2.806055812992048,SELL,"[16.55977439880371, 17.3326358795166, 26.35719108581543]"
2024-12-31,57.0,43.911297,18.596177,10.669768,341.9264,-6.46,342.16,2.34655971506794,5.929938531612327,-3.5833788165443874,SELL,"[15.427827835083008, 16.530424118041992, 29.5052433013916]"
2025-01-02,59.0,46.754534,19.099129,10.811448,342.6822,-4.86,347.34,1.4221512863654198,5.028381082562946,-3.6062297961975274,SELL,"[22.825456619262695, 23.782995223999023, 33.33414077758789]"
2025-01-03,64.0,52.590371,18.557253,10.776257,343.6924,1.14,359.02,1.613430707907753,4.345391007631908,-2.7319602997241548,SELL,"[25.267080307006836, 25.858909606933594, 40.14493942260742]"
2025-01-06,66.0,55.864157,17.235018,10.815528,345.0336,4.88,366.36,2.330433893356428,3.942399584776812,-1.6119656914203837,SELL,"[27.659610748291016, 28.72591781616211, 53.90762710571289]"
2025-01-07,63.0,52.447454,16.176338,10.739274,346.1428,5.19,359.93,2.352696401689684,3.6244589481593863,-1.2717625464697029,SELL,"[21.767192840576172, 22.927350997924805, 38.94847869873047]"
2025-01-08,62.0,51.805345,15.114298,10.649712,347.3048,3.28,358.72,2.246802966318967,3.3489277517913028,-1.102124785472336,SELL,"[21.058809280395508, 22.007713317871094, 37.21923065185547]"
2025-01-10,57.0,46.770234,14.778134,10.530363,348.2552,-2.84,348.84,1.350085283720091,2.9491592581770605,-1.5990739744569695,SELL,"[12.597748756408691, 13.770378112792969, 14.120513916015625]"
2025-01-13,46.0,43.37871,15.12341,11.25888,348.8656,-6.8,341.46,0.043425158792445,2.3680124383001373,-2.3245872795076923,BUY,"[7.730382919311523, 9.179590225219727, 5.166175365447998]"
2025-01-14,49.0,47.064471,14.74479,11.401463,349.6774,-3.3,348.04,-0.4559059950259438,1.8032287516349208,-2.259134746660865,SELL,"[13.203699111938477, 14.273826599121094, 19.29584503173828]"
2025-01-15,61.0,53.926668,14.143411,11.216138,350.9804,0.92,362.02,0.2732893231508342,1.4972408659381038,-1.2239515427872696,SELL,"[25.60440444946289, 26.625202178955078, 42.49098587036133]"
2025-01-16,63.0,54.544007,13.870959,8.934147,352.1854,4.17,363.38,0.9499718166152888,1.387787056073541,-0.4378152394582522,SELL,"[21.975801467895508, 23.254762649536133, 35.88358688354492]"
2025-01-17,61.0,51.085879,13.088055,7.702339,353.3478,4.55,357.0,0.9603644047527382,1.3023025258093806,-0.3419381210566423,SELL,"[19.14724349975586, 20.741092681884766, 36.06068420410156]"
2025-01-21,64.0,55.561074,12.361073,7.889346,354.5244,5.28,366.41,1.708217692840492,1.383485559215603,0.3247321336248889,SELL,"[21.57077407836914, 22.54039764404297, 37.66108703613281]"
2025-01-22,67.0,60.362916,12.195137,9.050371,355.684,4.41,377.98,3.197638728318509,1.7463161930361843,1.451322535282325,SELL,"[25.35997772216797, 24.944494247436523, 37.38745880126953]"
2025-01-23,66.0,60.193402,12.041054,9.999161,356.6224,3.94,377.7,4.305787531290491,2.258210460687046,2.0475770706034453,SELL,"[31.157649993896484, 30.26067352294922, 51.25981140136719]"
2025-01-24,65.0,58.438703,12.377517,10.600023,357.5202,5.02,374.92,4.903160097364946,2.787200388022626,2.11595970934232,SELL,"[39.01679611206055, 38.41885757446289, 68.63398742675781]"
2025-01-27,64.0,57.676659,11.552856,10.978082,358.1468,2.0,373.75,5.221977234917688,3.2741557574016387,1.9478214775160487,SELL,"[40.578216552734375, 40.561336517333984, 67.08126831054688]"
2025-01-28,74.0,70.179172,12.471468,15.302984,359.4504,8.12,408.68,8.198691775907207,4.259062961102753,3.939628814804454,SELL,"[52.173095703125, 50.143436431884766, 86.85152435302734]"
2025-01-29,68.0,63.468118,13.324465,17.006217,360.4342,5.13,397.07,9.511289302028274,5.309508229287857,4.201781072740417,SELL,"[43.83220291137695, 42.948909759521484, 69.53839111328125]"
2025-01-30,68.0,63.355723,14.116533,18.076703,361.4844,5.85,396.87,10.415332499963256,6.330673083422937,4.084659416540319,SELL,"[52.08941650390625, 50.65840148925781, 97.7162857055664]"
2025-01-31,69.0,63.770289,15.130641,18.434228,362.7108,6.51,398.07,11.100661700624984,7.284670806863346,3.815990893761637,SELL,"[57.02428436279297, 53.32890701293945, 94.77196502685547]"
2025-02-03,68.0,63.448198,14.910697,18.707579,363.8028,-2.72,397.57,11.471211225922616,8.121978890675202,3.3492323352474145,SELL,"[52.03173065185547, 49.64138412475586, 85.89817810058594]"
2025-02-04,72.0,67.018262,15.217194,20.006457,364.8874,2.63,407.52,12.424533945447308,8.982489901629624,3.4420440438176847,SELL,"[56.963600158691406, 52.19705581665039, 89.84808349609375]"
2025-02-05,74.0,70.085723,16.086766,21.992932,366.2288,5.13,417.22,13.803638253388897,9.94671957198148,3.856918681407418,SELL,"[67.45068359375, 63.468788146972656, 123.53907012939453]"
2025-02-06,75.0,71.068568,17.007504,23.593979,367.488,5.64,420.51,14.98927680515635,10.955231018616454,4.034045786539897,SELL,"[70.73112487792969, 64.06505584716797, 120.25597381591797]"
2025-02-07,75.0,71.400758,18.331437,24.750954,368.4746,6.04,421.59,15.833531775285792,11.93089116995032,3.9026406053354714,SELL,"[69.88836669921875, 64.355224609375, 121.65142822265625]"
2025-02-10,76.0,73.614995,19.587581,25.397364,369.7794,5.25,428.92,16.899275335640368,12.924568003088332,3.974707332552036,SELL,"[69.90013122558594, 64.07859802246094, 125.81122589111328]"
2025-02-11,76.0,74.406847,20.894413,24.942612,371.1262,3.46,431.64,17.75865532924422,13.89138546831951,3.8672698609247096,SELL,"[73.84097290039062, 66.16939544677734, 127.76470947265625]"
2025-02-12,77.0,75.284932,22.246924,24.562574,372.867,3.36,434.63,18.468099423044976,14.806728259264606,3.6613711637803696,SELL,"[77.45819854736328, 69.95648193359375, 137.87440490722656]"
2025-02-13,80.0,80.012393,24.212553,26.35178,375.023,7.63,453.77,20.3403066256177,15.913443932535229,4.426862693082473,SELL,"[83.42150115966797, 74.49467468261719, 148.74925231933594]"
2025-02-14,79.0,78.30169,26.037779,27.191918,377.1218,5.32,451.74,21.41339994244112,17.013435134516406,4.399964807924711,SELL,"[81.15982818603516, 72.35992431640625, 140.52975463867188]"
2025-02-18,80.0,79.157474,27.813099,27.018278,379.23,5.5,455.36,22.298890148585485,18.070526137330223,4.228364011255263,SELL,"[83.40560913085938, 73.96958923339844, 147.43487548828125]"
2025-02-19,78.0,74.589092,29.371658,26.483954,380.9496,3.57,450.14,22.322121618942678,18.920845233652717,3.401276385289961,SELL,"[79.82872009277344, 70.7294921875, 138.7834014892578]"
2025-02-20,72.0,63.932165,28.093962,25.570399,382.3756,-3.89,436.14,20.969130644220343,19.33050231576624,1.6386283284541037,SELL,"[73.5899429321289, 66.30562591552734, 127.3533706665039]"
2025-02-21,63.0,48.295265,26.268823,24.098615,383.1962,-9.97,406.68,17.320045058392566,18.928410864291507,-1.6083658058989414,SELL,"[55.32761001586914, 51.645469665527344, 84.06574249267578]"
2025-02-24,57.0,42.597568,25.822039,22.83727,383.9586,-13.98,391.72,13.070305125810876,17.75678971659538,-4.686484590784506,SELL,"[46.271202087402344, 46.4608268737793, 78.57063293457031]"
2025-02-25,46.0,38.666774,25.988688,22.273599,384.618,-15.64,379.75,8.636915661528178,15.932814905581942,-7.295899244053764,SELL,"[26.21829605102539, 28.58241081237793, 39.2811164855957]"
2025-02-26,59.0,45.382222,25.259853,22.815564,385.2498,-9.53,394.56,6.24646048966531,13.995544022398615,-7.749083532733305,SELL,"[26.56915855407715, 29.70785903930664, 43.231815338134766]"
2025-02-27,47.0,40.73763,24.268555,23.87875,385.5446,-6.5,380.24,3.1600758337652337,11.82845038467194,-8.668374550906705,SELL,"[4.525642395019531, 10.193717002868652, 19.222219467163086]"
2025-02-28,58.0,44.743851,23.485633,24.242637,385.9774,-0.53,389.66,1.4574089286153935,9.75424209346063,-8.296833164845237,SELL,"[13.699929237365723, 19.9855899810791, 42.13334655761719]"
2025-03-03,49.0,42.46929,21.854385,25.069731,385.868,0.78,382.73,-0.4460185204748086,7.714189970673543,-8.160208491148353,BUY,"[-2.4500644207000732, 2.3180551528930664, -2.840797185897827]"
2025-03-04,59.0,45.65887,20.780984,25.400869,386.1428,-1.12,390.16,-1.339518447591331,5.903448287020569,-7.2429667346119,SELL,"[3.6899867057800293, 7.5120439529418945, 19.12446403503418]"
2025-03-05,44.0,38.092063,21.063827,27.676383,386.468,-3.89,365.44,-3.9962546474964142,3.923507700117173,-7.919762347613587,BUY,"[-3.658229112625122, 0.20206859707832336, -15.858720779418945]"
2025-03-06,38.0,33.773686,21.041554,31.20706,386.402,-10.76,347.73,-7.444965292464872,1.649813101600764,-9.094778394065637,BUY,"[-3.6996591091156006, 0.6933013796806335, -19.36661720275879]"
2025-03-07,34.0,30.75655,22.031789,35.323459,385.8262,-12.86,333.5,-11.197260352853618,-0.9196015892901126,-10.277658763563506,BUY,"[-3.6856372356414795, -2.306600570678711, -54.83147430419922]"
2025-03-10,28.0,26.364602,23.368817,40.976474,384.7734,-20.84,308.86,-15.975072604122827,-3.930695792256656,-12.044376811866172,BUY,"[-3.1232268810272217, -1.8813220262527466, -66.13584899902344]"
2025-03-11,35.0,34.857698,23.678691,43.19779,384.0526,-9.77,329.75,-17.86988194509877,-6.71853302282508,-11.151348922273687,BUY,"[-2.6500790119171143, -0.8860045671463013, -52.76278305053711]"
2025-03-12,40.0,40.841123,23.467267,43.626762,383.6862,-0.28,346.76,-17.793850722842308,-8.933596562828525,-8.860254160013783,BUY,"[-3.968456268310547, -2.440340995788574, -47.3901252746582]"
2025-03-13,36.0,37.719781,23.496318,44.246462,383.237,-0.29,332.53,-18.66665987095655,-10.88020922445413,-7.78645064650242,BUY,"[-5.993788242340088, -3.2585854530334473, -52.46792984008789]"
2025-03-14,44.0,44.525269,23.130227,41.937361,383.3256,14.53,353.74,-17.445793421519454,-12.193326063867197,-5.252467357652257,BUY,"[-6.412261486053467, -0.9337594509124756, -39.14429473876953]"
2025-03-17,47.0,47.740765,21.901148,38.805275,383.779,10.64,364.83,-15.405789298211005,-12.83581871073596,-2.5699705874750443,BUY,"[-4.404125213623047, -3.1006762981414795, -46.57432556152344]"
2025-03-18,45.0,47.293549,20.759859,34.457196,384.0952,4.73,363.15,-13.765948013018146,-13.0218445711924,-0.7441034418257466,BUY,"[-2.281554937362671, -0.26143980026245117, -49.79676055908203]"
2025-03-19,49.0,50.808658,19.512529,29.519555,384.4158,12.79,375.05,-11.375007427604828,-12.692477142474884,1.3174697148700574,BUY,"[-3.4522671699523926, -0.31048181653022766, -23.80842399597168]"
2025-03-20,46.0,49.027318,18.354294,25.14757,384.4692,4.32,369.03,-9.852361585157324,-12.124454031011377,2.272092445854049,BUY,"[-4.09044075012207, -2.089937686920166, -35.15595626831055]"
2025-03-21,44.0,47.024722,17.418344,23.287058,384.5154,-0.71,362.24,-9.088780237539936,-11.517319272317089,2.4285390347771525,BUY,"[-0.7131650447845459, 2.255147933959961, -49.80404281616211]"
2025-03-24,46.0,50.368674,16.465777,22.470379,384.7938,2.61,372.64,-7.557327270175392,-10.72532087188875,3.1679936017133574,BUY,"[-0.21478427946567535, 1.938941240310669, -28.729841232299805]"
2025-03-25,50.0,54.064757,16.013892,22.701789,385.516,2.64,384.95,-5.28935326702458,-9.638127350915916,4.348774083891335,BUY,"[0.8948853015899658, 3.2115585803985596, -15.375446319580078]"
2025-03-26,45.0,49.682159,15.210657,21.594561,386.115,0.64,371.41,-4.532286988008707,-8.616959278334473,4.084672290325766,BUY,"[0.05425196513533592, 3.284914255142212, -22.370559692382812]"
2025-03-27,44.0,48.175715,14.336107,21.19422,386.4854,1.19,366.56,-4.274388484642884,-7.748445119596156,3.474056634953272,BUY,"[-0.033844321966171265, 4.256548881530762, -11.415709495544434]"
2025-03-28,40.0,45.293889,13.876878,20.117721,386.3872,-4.17,357.11,-4.777466426625267,-7.1542493810019785,2.3767829543767114,BUY,"[-3.708552598953247, -0.9823933243751526, -41.91798400878906]"
2025-03-31,39.0,43.937077,14.184966,19.392768,386.1712,-8.41,352.58,-5.478539270894999,-6.819107358980583,1.3405680880855844,BUY,"[-1.4860162734985352, 0.5399633049964905, -40.44671630859375]"
2025-04-01,42.0,47.594468,13.892977,17.936891,386.2788,-2.43,362.38,-5.183612989101846,-6.492008485004836,1.3083954959029898,BUY,"[-1.1302944421768188, 0.11773106455802917, -18.887897491455078]"
2025-04-02,46.0,50.807199,12.90318,18.14317,386.3804,1.34,371.49,-4.166749229986294,-6.026956634001128,1.860207404014834,BUY,"[1.074997067451477, 4.269360542297363, 3.2718372344970703]"
2025-04-03,38.0,43.252873,12.538088,18.151363,385.7686,-2.72,347.39,-5.245083900423083,-5.870582087285519,0.6254981868624361,BUY,"[-4.355545520782471, 0.055201202630996704, -24.87322425842285]"
