date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,63.0,47.121141,9.828406,1.09825,61.9654,-3.62,62.35,0.0,0.0,0.0,,
2024-11-05,66.0,52.321258,10.068265,1.094087,62.003,-1.29,63.67,0.1052991452991563,0.0210598290598312,0.084239316239325,,
2024-11-06,77.0,66.659101,11.933004,1.599745,62.15,7.57,69.03,0.614176832980263,0.1396832298439176,0.4744936031363454,,
2024-11-07,74.0,63.148896,13.297648,1.836326,62.2806,6.91,68.11,0.9324806984514424,0.2982427235654226,0.6342379748860199,,
2024-11-08,75.0,64.293414,14.631851,2.055939,62.4156,10.07,68.63,1.212718989650213,0.4811379767823807,0.7315810128678324,,
2024-11-11,77.0,66.792466,16.26012,2.357426,62.5588,9.63,69.8,1.5117920783142154,0.6872687970887477,0.8245232812254677,,
2024-11-12,74.0,63.596842,17.517589,2.512221,62.71,-0.01,69.02,1.666657978796664,0.883146633430331,0.783511345366333,,
2024-11-13,74.0,63.055361,18.636944,2.659887,62.8686,1.15,68.89,1.7586280378208556,1.058242914308436,0.7003851235124197,,
2024-11-14,71.0,59.927505,18.645854,2.730875,63.019,-0.7,68.15,1.751611667679441,1.196916664982637,0.554695002696804,,
2024-11-15,72.0,61.617709,18.654127,2.774699,63.2124,-1.49,68.76,1.7748140937204653,1.3124961507302029,0.4623179429902624,SELL,"[5.516006946563721, 5.0919342041015625, 7.367959022521973]"
2024-11-18,73.0,62.291612,18.830821,2.734517,63.4016,-0.03,69.0,1.791912130148944,1.4083793466139511,0.3835327835349928,SELL,"[4.954157829284668, 4.845866680145264, 6.770124912261963]"
2024-11-19,71.0,60.388546,18.461701,2.739212,63.6146,-0.42,68.6,1.7529785446709951,1.4772991862253602,0.2756793584456349,SELL,"[4.818484783172607, 4.6605000495910645, 6.376904010772705]"
2024-11-20,71.0,58.839837,18.464905,2.682412,63.8342,0.19,68.28,1.6769709942860231,1.5172335478374928,0.1597374464485303,SELL,"[4.549867153167725, 4.443863868713379, 5.873167037963867]"
