date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,62.0,46.211169,16.642184,3.365374,401.1488,-1.07,401.68,0.0,0.0,0.0,,
2024-11-05,54.0,44.777418,17.392003,3.357327,401.4944,-1.07,400.37,-0.1045014245013931,-0.0209002849002786,-0.0836011396011144,,
2024-11-06,64.0,51.397188,16.654963,3.354762,402.089,0.25,405.71,0.2407980454704557,0.0314393811738682,0.2093586642965874,,
2024-11-07,68.0,57.055351,15.970568,3.510156,402.7532,2.68,411.16,0.9433455157279697,0.2138206080846885,0.729524907643281,,
2024-11-08,50.0,40.947822,16.273504,4.299912,402.998,-1.9,394.06,0.1189215050666803,0.1948407874810869,-0.0759192824144066,,
2024-11-11,55.0,48.771735,16.622317,4.326756,403.3362,0.57,402.65,0.1568921918127443,0.1872510683474184,-0.030358876534674,,
2024-11-12,49.0,42.490294,16.952739,4.985033,403.4974,-2.95,393.75,-0.5251181498171036,0.044777224714514,-0.5698953745316176,,
2024-11-13,47.0,39.821749,18.001566,5.932874,403.4474,-5.28,389.45,-1.3964924271645032,-0.2434767056612894,-1.1530157215032135,,
2024-11-14,51.0,44.36355,18.286446,6.273055,403.6664,0.15,394.64,-1.6492615341784358,-0.5246336713647187,-1.1246278628137172,,
2024-11-15,53.0,47.881387,17.800225,6.233761,404.0142,-0.92,398.95,-1.484687341278402,-0.7166444053474554,-0.7680429359309466,BUY,"[8.297637939453125, 9.182437896728516, 8.17703914642334]"
2024-11-18,63.0,52.103787,16.864452,6.180661,404.3602,2.74,404.53,-0.8936997275673093,-0.7520554697914262,-0.141644257775883,BUY,"[9.610931396484375, 10.79504108428955, 10.496169090270996]"
2024-11-19,53.0,48.721428,15.99552,6.150738,404.616,2.73,400.09,-0.7746786657985467,-0.7565801089928503,-0.0180985568056963,BUY,"[7.361204624176025, 7.914937496185303, 7.4534687995910645]"
2024-11-20,63.0,52.373429,16.043188,6.022302,404.9434,2.62,404.96,-0.2841102707854475,-0.6620861413513698,0.3779758705659223,SELL,"[9.683978080749512, 10.643795013427734, 13.06058120727539]"
2024-11-21,74.0,68.52383,18.555461,9.609449,405.9542,9.67,437.54,2.7024502697038315,0.0108211408596704,2.691629128844161,SELL,"[8.655304908752441, 9.23671817779541, 28.27552604675293]"
2024-11-22,75.0,71.440198,21.126855,13.40196,406.9936,10.41,446.65,5.738274621714481,1.156311837030633,4.581962784683848,SELL,"[8.310942649841309, 9.66508674621582, 33.38774871826172]"
2024-11-25,78.0,75.707924,24.25623,18.258244,408.3542,15.65,462.69,9.330920200962623,2.791233509817031,6.539686691145592,SELL,"[9.638945579528809, 10.302082061767578, 38.80063247680664]"
2024-11-26,77.0,74.47506,27.162078,21.563232,409.6174,13.85,461.04,11.907711806345446,4.614529169122714,7.293182637222732,SELL,"[9.419939041137695, 9.477757453918457, 47.09492874145508]"
2024-11-27,79.0,75.753294,29.968281,24.595136,410.916,6.5,466.0,14.186534724450553,6.528930280188282,7.657604444262271,SELL,"[10.02210807800293, 10.897628784179688, 45.542545318603516]"
2024-11-29,79.0,75.671022,32.633229,26.936694,412.0394,4.31,465.9,15.802290176248505,8.383602259400327,7.418687916848178,SELL,"[9.328496932983398, 10.49043083190918, 38.54229736328125]"
2024-12-02,78.0,73.147083,34.329246,28.40661,413.1806,0.06,462.95,16.652784730491987,10.03743875361866,6.6153459768733285,SELL,"[8.8903169631958, 10.249358177185059, 30.353614807128906]"
2024-12-03,76.0,69.993727,35.954263,29.283505,414.1866,-0.39,459.25,16.8341945979991,11.396789922494747,5.437404675504354,SELL,"[11.619928359985352, 12.481697082519531, 27.447669982910156]"
2024-12-04,75.0,67.462719,36.642033,29.643989,415.094,-2.09,456.26,16.545963644074448,12.426624666810689,4.119338977263759,SELL,"[9.234399795532227, 10.79580020904541, 24.473806381225586]"
2024-12-05,71.0,60.996137,36.555966,29.639929,415.9178,-3.82,448.12,15.4822389520358,13.037747523855712,2.444491428180088,SELL,"[10.66243839263916, 11.83616828918457, 17.344717025756836]"
2024-12-06,69.0,57.967461,35.848892,29.569323,416.5684,-4.09,444.0,14.143739675344136,13.2589459541534,0.8847937211907375,SELL,"[9.571313858032227, 10.543420791625977, 12.255776405334473]"
2024-12-09,72.0,60.725177,35.490651,28.683505,417.1966,-2.14,449.41,13.365442638900843,13.28024529110289,0.0851973477979548,SELL,"[9.926745414733887, 11.161774635314941, 15.718735694885254]"
2024-12-10,69.0,56.690072,34.758988,27.941622,417.7292,-2.7,443.96,12.168595187113056,13.057915270304925,-0.8893200831918673,SELL,"[9.729203224182129, 10.835174560546875, 12.978734970092773]"
2024-12-11,71.0,58.887154,34.162478,26.447219,418.361,-0.02,448.03,11.41689310736922,12.729710837717782,-1.3128177303485629,SELL,"[9.72428035736084, 11.097468376159668, 13.150198936462402]"
2024-12-12,66.0,52.824653,32.647937,24.069683,418.8208,-1.02,439.48,10.015794405491649,12.186927551272555,-2.1711331457809084,SELL,"[9.27515697479248, 10.25463581085205, 13.005203247070312]"
2024-12-13,66.0,53.404694,31.070577,21.737288,419.4548,-2.0,440.44,8.880508591707326,11.525643759359513,-2.6451351676521853,BUY,"[9.642041206359863, 10.895929336547852, 10.478440284729004]"
2024-12-16,64.0,51.957065,29.480239,19.404673,420.0634,-1.25,438.42,7.728697671030659,10.76625454169374,-3.0375568706630816,BUY,"[9.108195304870605, 10.22453784942627, 9.87714958190918]"
2024-12-17,66.0,55.297003,28.369092,17.172541,420.8144,-0.99,443.59,7.1506270332237705,10.043129039999746,-2.892502006775976,SELL,"[8.984318733215332, 10.228917121887207, 10.645222663879395]"
2024-12-18,58.0,44.071068,26.584243,14.421841,421.3288,-3.07,426.0,5.213043177013617,9.077111867402522,-3.8640686903889048,BUY,"[9.693204879760742, 10.718167304992676, 5.382647514343262]"
2024-12-19,59.0,44.505609,25.189831,11.776507,421.7518,-3.14,426.63,3.685841658022525,7.998857825526523,-4.3130161675039975,BUY,"[8.59437370300293, 9.6000337600708, 1.8611558675765991]"
2024-12-20,62.0,48.512749,23.503849,12.05572,422.2864,-1.35,432.49,2.91477674533121,6.98204160948746,-4.06726486415625,BUY,"[9.51727294921875, 10.530179977416992, 9.52295970916748]"
2024-12-23,61.0,48.442037,21.938295,12.531275,422.7124,-2.53,432.38,2.268674300968144,6.039368147783597,-3.770693846815454,BUY,"[8.581289291381836, 9.70599365234375, 5.337231636047363]"
2024-12-24,62.0,48.778266,20.598894,12.392437,423.2148,1.61,432.84,1.7733100006727227,5.186156518361423,-3.4128465176887,BUY,"[9.555135726928711, 10.370485305786133, 6.373708248138428]"
2024-12-26,62.0,49.548531,19.582134,12.141826,423.8518,1.69,433.84,1.444767486188539,4.437878711926847,-2.993111225738308,SELL,"[8.705934524536133, 9.456786155700684, 10.88516902923584]"
2024-12-27,60.0,46.69035,18.183537,11.467611,424.2656,-0.56,430.06,0.8693593339722838,3.7241748363359344,-2.8548155023636506,BUY,"[9.885997772216797, 11.107932090759277, 9.523499488830566]"
2024-12-30,50.0,42.871602,17.552593,10.80077,424.6556,-1.79,424.64,-0.0237309201455673,2.974593685039634,-2.9983246051852013,BUY,"[7.895107746124268, 8.770980834960938, 0.8724806904792786]"
2024-12-31,50.0,42.226553,16.999389,10.112598,424.955,-2.11,423.7,-0.7981608238545164,2.220042783260804,-3.0182036071153204,BUY,"[8.43773078918457, 9.58165168762207, 3.073836326599121]"
2025-01-02,48.0,38.557705,16.918679,9.894024,425.1794,-3.61,418.18,-1.8361539299073115,1.408803440627181,-3.2449573705344923,BUY,"[8.855623245239258, 9.93129825592041, 0.9746382832527161]"
2025-01-03,50.0,42.495668,16.986074,9.27838,425.4908,-1.82,422.22,-2.306192358525209,0.6658042807967031,-2.971996639321912,BUY,"[8.696857452392578, 9.657011032104492, 0.8518009781837463]"
2025-01-06,48.0,39.637877,16.073915,9.456593,425.678,-1.56,418.0,-2.984812866889399,-0.0643191487405173,-2.9204937181488817,BUY,"[8.478960037231445, 9.35787296295166, 1.6350984573364258]"
2025-01-07,45.0,36.66187,15.915652,10.087457,425.722,-2.46,413.27,-3.859802577238668,-0.8234158344401474,-3.0363867427985203,BUY,"[8.469391822814941, 9.634016036987305, -1.0092018842697144]"
2025-01-08,44.0,34.721044,16.230593,10.317056,425.7634,-1.96,410.0,-4.762204172785914,-1.6111735021093008,-3.1510306706766134,BUY,"[8.215012550354004, 9.228079795837402, -1.5469446182250977]"
2025-01-10,44.0,33.876457,17.047655,10.779836,425.6878,-3.23,408.57,-5.529017910918014,-2.394742383871044,-3.1342755270469707,BUY,"[7.780142784118652, 8.917110443115234, -1.395063042640686]"
2025-01-13,62.0,52.460768,16.452647,9.785615,426.1652,2.85,429.91,-4.364452971723267,-2.7886845014414883,-1.575768470281779,SELL,"[9.234493255615234, 10.045282363891602, 10.306976318359375]"
2025-01-14,63.0,54.02574,16.010383,9.456166,426.7176,4.61,432.31,-3.210854196323055,-2.8731184404178016,-0.3377357559052534,SELL,"[8.303007125854492, 9.447774887084961, 13.3409423828125]"
2025-01-15,62.0,51.42044,16.024461,8.94902,427.2014,4.6,428.88,-2.544064794555709,-2.8073077112453837,0.2632429166896743,SELL,"[9.33960247039795, 10.479321479797363, 11.343388557434082]"
2025-01-16,66.0,57.935768,16.207707,8.996894,427.9752,7.47,439.11,-1.176590878133311,-2.4811643446229685,1.3045734664896576,SELL,"[9.0753173828125, 10.038168907165527, 18.52076530456543]"
2025-01-17,72.0,65.816911,17.664371,10.395484,429.0504,5.94,455.44,1.210878325652061,-1.7427558105679628,2.953634136220024,SELL,"[8.692710876464844, 10.274871826171875, 26.013519287109375]"
2025-01-21,74.0,68.790109,19.483836,13.045731,430.306,7.13,463.15,3.6826461824564944,-0.6576754119630714,4.340321594419565,SELL,"[9.260863304138184, 10.705283164978027, 24.554719924926758]"
2025-01-22,71.0,66.061343,21.173339,14.668721,431.3868,7.2,459.75,5.3060238915488185,0.5350644487393066,4.770959442809512,SELL,"[8.861852645874023, 10.330758094787598, 21.97147560119629]"
2025-01-23,75.0,71.434301,23.319512,17.565631,432.658,8.11,474.72,7.711621539509451,1.970375866893336,5.741245672616116,SELL,"[11.306050300598145, 11.639321327209473, 32.57353210449219]"
2025-01-24,75.0,72.693801,25.468735,20.248241,434.3522,5.12,478.77,9.83154423760385,3.542609541035439,6.288934696568411,SELL,"[10.00175666809082, 11.186847686767578, 34.28184509277344]"
2025-01-27,76.0,74.313974,27.672386,22.905013,435.9822,4.53,484.15,11.80958573340314,5.196004779508979,6.61358095389416,SELL,"[10.038766860961914, 11.0575532913208, 27.947202682495117]"
2025-01-28,75.0,70.815146,29.779426,24.682426,437.707,4.4,479.99,12.89289931862021,6.735383687331225,6.157515631288984,SELL,"[10.466087341308594, 11.242459297180176, 27.469959259033203]"
2025-01-29,74.0,69.270105,31.735963,25.933627,439.4812,0.72,478.16,13.448738745002572,8.078054698865495,5.370684046137077,SELL,"[10.688275337219238, 12.251958847045898, 26.196571350097656]"
2025-01-30,75.0,69.975569,33.0657,26.854783,441.1882,0.25,479.99,13.876946401057182,9.237833039303831,4.639113361753349,SELL,"[10.802767753601074, 12.221719741821289, 23.594938278198242]"
2025-01-31,74.0,66.876621,34.23874,27.235425,442.7404,-1.57,476.56,13.780676656928222,10.146401762828711,3.6342748940995104,SELL,"[9.504929542541504, 11.173325538635254, 18.66838836669922]"
2025-02-03,70.0,59.06614,33.148328,26.676742,443.9908,-2.7,467.05,12.789574416862251,10.67503629363542,2.114538123226831,SELL,"[11.088369369506836, 12.48824691772461, 14.225186347961426]"
2025-02-04,72.0,61.709574,32.529966,26.298237,445.4344,-1.23,472.27,12.283729933427535,10.996775021593844,1.2869549118336927,SELL,"[10.33655834197998, 11.362339973449707, 15.518745422363281]"
2025-02-05,69.0,58.153365,31.917804,25.247252,446.6888,-2.56,467.68,11.38127365799096,11.073674748873268,0.3075989091176918,SELL,"[10.536750793457031, 11.830570220947266, 14.765345573425293]"
2025-02-06,68.0,56.10516,31.177283,23.424754,447.2376,-2.43,464.98,10.329135280848448,10.924766855268304,-0.5956315744198566,BUY,"[10.144634246826172, 11.493158340454102, 9.09934139251709]"
2025-02-07,68.0,56.484187,30.423294,20.761945,447.6166,-0.31,465.6,9.436558087578987,10.62712510173044,-1.190567014151453,SELL,"[9.959513664245605, 11.092302322387695, 11.861418724060059]"
2025-02-10,70.0,59.166609,29.95757,17.093758,447.7624,-0.48,469.98,8.979108057666053,10.297521692917565,-1.3184136352515097,SELL,"[10.201265335083008, 11.556150436401367, 13.910150527954102]"
2025-02-11,72.0,61.675877,29.969545,15.395843,448.0276,1.42,474.3,8.862996403943214,10.010616635122696,-1.1476202311794808,SELL,"[10.43334674835205, 11.870765686035156, 14.16415786743164]"
2025-02-12,73.0,62.958303,29.215573,13.510953,448.2388,2.49,476.56,8.851307827334836,9.778754873565124,-0.927447046230288,SELL,"[9.54818344116211, 10.849928855895996, 14.996421813964844]"
2025-02-13,70.0,54.047233,27.338086,10.160864,448.2452,0.13,466.22,7.916437200905648,9.40629133903323,-1.4898541381275816,SELL,"[10.507302284240723, 11.739568710327148, 12.128229141235352]"
2025-02-14,76.0,61.908568,25.885722,7.594459,448.5906,2.18,480.22,8.210582012667317,9.167149473760048,-0.9565674610927316,SELL,"[10.258610725402832, 11.55869197845459, 15.141701698303223]"
2025-02-18,81.0,70.260238,26.156222,9.130424,449.4368,5.75,501.56,10.04980564566955,9.34368070814195,0.7061249375276013,SELL,"[9.733959197998047, 11.020862579345703, 25.37088966369629]"
