date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,46.0,54.151454,15.127417,1.296269,93.2662,-0.35,95.79,0.0,0.0,0.0,,
2024-11-05,47.0,57.876195,14.745433,1.1363,93.3632,1.63,96.63,0.067008547008541,0.0134017094017082,0.0536068376068328,,
2024-11-06,51.0,65.902366,16.556791,1.246261,93.523,2.8,98.89,0.2990293909951873,0.070527245720404,0.2285021452747833,,
2024-11-07,51.0,66.025757,18.139146,1.229345,93.7118,3.26,98.93,0.4805952443636982,0.1525408454490628,0.3280543989146354,,
2024-11-08,51.0,66.321068,18.963039,1.282635,93.896,3.37,99.02,0.6245503118819045,0.2469427387356312,0.3776075731462732,,
2024-11-11,53.0,71.730972,20.638167,1.561062,94.1056,4.38,100.86,0.8769988655000702,0.372953964088519,0.5040449014115511,,
2024-11-12,53.0,72.072304,22.376026,1.709629,94.3428,2.12,100.99,1.0751622751382257,0.5133956262984604,0.5617666488397653,,
2024-11-13,55.0,76.192088,24.734782,2.10542,94.6122,3.83,102.72,1.356171644226393,0.6819508298840469,0.674220814342346,,
2024-11-14,63.0,85.004805,28.689084,3.305254,95.0216,10.2,109.12,2.071422042865521,0.9598450724803418,1.1115769703851792,,
2024-11-15,72.0,89.064396,32.388154,4.97207,95.5644,14.1,115.08,3.083639055555849,1.3846038690954434,1.699035186460406,BUY,"[10.412263870239258, 11.50827693939209, 7.957496166229248]"
2024-11-18,70.0,82.824891,35.841666,5.874208,96.0684,12.43,113.54,3.718696383953585,1.851422372067072,1.8672740118865128,BUY,"[9.795577049255371, 10.982460021972656, 7.303056240081787]"
2024-11-19,68.0,78.516745,37.672256,6.442992,96.5488,9.44,112.42,4.084525386157495,2.2980429748851563,1.7864824112723383,BUY,"[9.260239601135254, 10.685532569885254, 6.558801651000977]"
2024-11-20,71.0,80.327177,39.6307,7.018022,97.0676,4.71,114.26,4.471376879210041,2.7327097557501334,1.7386671234599076,BUY,"[9.235682487487793, 10.844143867492676, 6.831768035888672]"
2024-11-21,71.0,80.763622,41.679513,7.441837,97.576,-0.31,114.72,4.7602049506419775,3.1382087947285022,1.6219961559134752,BUY,"[8.917491912841797, 9.753828048706055, 5.717416286468506]"
2024-11-22,72.0,81.649979,43.437474,7.77432,98.078,1.86,115.65,5.006435434520085,3.5118541226868194,1.494581311833266,BUY,"[8.61920166015625, 9.33487319946289, 5.67039680480957]"
2024-11-25,72.0,81.98638,45.101955,8.049969,98.561,3.18,116.0,5.170217888447127,3.843526875838881,1.3266910126082454,BUY,"[8.047635078430176, 9.249903678894043, 5.432582855224609]"
2024-11-26,70.0,79.519366,46.647545,8.15903,99.0128,1.04,115.45,5.195742969005963,4.113970094472298,1.081772874533665,BUY,"[7.433810710906982, 8.16614055633545, 4.046227931976318]"
2024-11-27,74.0,81.822058,48.327067,8.216652,99.4932,2.51,117.6,5.328040476919526,4.356784170961744,0.971256305957782,BUY,"[8.154629707336426, 8.8848295211792, 5.193680286407471]"
2024-11-29,73.0,81.227395,49.886623,8.193223,99.9736,1.57,117.47,5.360603590220222,4.55754805481344,0.8030555354067825,BUY,"[7.183247089385986, 7.792016506195068, 3.4166715145111084]"
2024-12-02,72.0,79.739107,51.45474,7.982538,100.4418,1.0,117.16,5.300297156592919,4.706097875169336,0.5941992814235828,BUY,"[6.409859657287598, 6.9744486808776855, 2.7420663833618164]"
