date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,70.0,44.54074,28.722553,5.204817,323.5914,-4.17,331.13,0.0,0.0,0.0,,
2024-11-05,73.0,51.697693,27.865442,5.111933,324.4028,-1.55,337.48,0.5065527065527249,0.1013105413105449,0.4052421652421799,,
2024-11-06,82.0,67.251003,27.892161,6.315413,325.6658,8.32,359.18,2.628705935828464,0.6067896202141287,2.0219163156143347,,
2024-11-07,81.0,67.992651,27.916972,7.278307,327.0064,7.65,360.63,4.377074352659065,1.360846566703116,3.016227785955949,,
2024-11-08,82.0,70.944427,28.400127,8.781005,328.318,10.73,366.67,6.178820840458911,2.3244414214542752,3.854379419004636,,
2024-11-11,83.0,73.265491,29.131254,10.552845,329.6184,10.21,371.95,7.941228250097481,3.4477987871829168,4.493429462914564,,
2024-11-12,79.0,69.894609,29.362097,11.440567,331.2036,2.73,368.99,8.99540809240574,4.557320648227481,4.438087444178258,,
2024-11-13,79.0,70.228506,29.576451,12.246647,332.8214,2.5,369.66,9.772267990597072,5.600310116701399,4.171957873895673,,
2024-11-14,74.0,61.6553,28.60806,12.539668,334.3442,-1.31,361.86,9.64733180837544,6.409714455036207,3.2376173533392336,,
2024-11-15,72.0,58.81047,26.999678,12.678457,335.8246,-3.48,358.99,9.21056036294965,6.969883636618896,2.2406767263307543,SELL,"[47.42136764526367, 47.402809143066406, 110.48388671875]"
2024-11-18,71.0,57.652585,25.507278,12.74463,337.1936,-3.02,357.83,8.670861249149482,7.310079159125014,1.3607820900244685,SELL,"[50.93116760253906, 49.180686950683594, 113.55448913574219]"
2024-11-19,73.0,61.749631,24.542469,12.898646,338.7014,-1.61,363.69,8.616671216979512,7.571397570695913,1.045273646283599,SELL,"[54.85956954956055, 54.36442565917969, 121.4601821899414]"
2024-11-20,72.0,58.395991,23.911145,12.908255,339.9678,-0.39,360.46,8.218355138020343,7.700789084160799,0.517566053859543,SELL,"[47.862159729003906, 48.57427215576172, 104.47671508789062]"
2024-11-21,76.0,65.037189,23.912261,13.351976,341.3192,3.33,370.95,8.64943678398663,7.890518624125965,0.7589181598606647,SELL,"[61.113529205322266, 61.3628044128418, 129.4669647216797]"
2024-11-22,78.0,68.3842,24.326128,14.061275,342.7514,5.47,377.41,9.403937369470327,8.193202373194838,1.2107349962754892,SELL,"[74.97988891601562, 77.88707733154297, 156.13780212402344]"
2024-11-25,77.0,67.596701,24.808293,14.546057,344.154,3.57,376.68,9.829669311151632,8.520495760786197,1.3091735503654365,SELL,"[74.95008850097656, 78.47068786621094, 160.25404357910156]"
2024-11-26,77.0,67.929053,25.335,14.89125,345.4652,4.67,377.29,10.099861922883065,8.836368993205571,1.2634929296774935,SELL,"[75.35212707519531, 78.24517822265625, 167.13658142089844]"
2024-11-27,74.0,61.970462,25.103616,14.65965,346.6118,0.28,371.98,9.772863405887676,9.023667875741992,0.7491955301456841,SELL,"[66.47874450683594, 67.17017364501953, 154.50906372070312]"
2024-11-29,75.0,64.163572,24.984903,13.39932,347.5418,-0.53,375.42,9.679712278260126,9.15487675624562,0.5248355220145058,SELL,"[60.961997985839844, 62.00617218017578, 136.1258087158203]"
2024-12-02,74.0,60.659177,24.589278,11.932521,348.3742,-1.18,372.22,9.24114985885666,9.17213137676783,0.0690184820888291,SELL,"[55.92539596557617, 54.522727966308594, 122.0557632446289]"
2024-12-03,76.0,61.735268,23.649671,9.292149,349.2534,-0.94,373.75,8.914285856658978,9.12056227274606,-0.206276416087082,SELL,"[39.70507049560547, 38.293731689453125, 86.01182556152344]"
2024-12-04,79.0,64.324722,23.170634,6.758802,350.256,1.49,377.52,8.857349263978051,9.067919670992458,-0.2105704070144067,SELL,"[39.07985305786133, 37.20640563964844, 73.91105651855469]"
2024-12-05,76.0,57.173919,21.891461,6.412909,351.106,-1.16,371.05,8.19567701314287,8.893471139422541,-0.6977941262796712,SELL,"[25.899930953979492, 23.56548309326172, 52.00568389892578]"
2024-12-06,76.0,57.308212,20.584734,6.109325,351.87,-0.27,371.22,7.597436052936985,8.63426412212543,-1.036828069188445,SELL,"[18.579753875732422, 17.97276496887207, 37.32783889770508]"
2024-12-09,72.0,50.172218,20.327964,6.201533,352.5822,-2.59,364.06,6.470980188924557,8.201607335485257,-1.7306271465606995,SELL,"[12.078008651733398, 10.885841369628906, 29.092994689941406]"
2024-12-10,69.0,45.432713,20.133366,6.6308,353.1232,-5.04,358.49,5.070355450009743,7.575356958390154,-2.505001508380412,SELL,"[5.8333306312561035, 6.7286858558654785, 14.035697937011719]"
2024-12-11,70.0,48.640782,20.472035,6.807247,353.8098,-2.46,361.91,4.188038569663263,6.897893280644777,-2.7098547109815136,SELL,"[6.637655258178711, 7.462936878204346, 18.28326416015625]"
2024-12-12,69.0,45.864318,20.786513,7.138848,354.4228,-3.39,358.64,3.188183024438388,6.155951229403499,-2.967768204965111,SELL,"[6.006946086883545, 6.95262336730957, 14.007930755615234]"
2024-12-13,67.0,43.703583,21.326813,7.498143,355.0038,-2.21,356.01,2.1586872779010378,5.356498439103007,-3.197811161201969,BUY,"[5.513083457946777, 7.687906265258789, 7.156428813934326]"
2024-12-16,59.0,42.990364,22.088273,7.765137,355.4458,-0.93,355.15,1.25889787787429,4.536978326857263,-3.2780804489829736,BUY,"[5.852413177490234, 8.439652442932129, 1.0277769565582275]"
2024-12-17,55.0,36.904198,23.626193,8.733545,355.6948,-4.1,347.08,-0.1041724255981648,3.608748176366178,-3.712920601964343,BUY,"[4.584624767303467, 8.069998741149902, -6.020018100738525]"
2024-12-18,48.0,30.102497,25.743837,11.164368,355.6856,-6.56,335.12,-2.124991923468656,2.4620001563992115,-4.586992079867867,BUY,"[5.944206237792969, 9.304121017456055, -10.432808876037598]"
2024-12-19,49.0,30.700537,27.734172,12.911739,355.6334,-5.72,335.64,-3.642557149168056,1.2410886952857585,-4.883645844453814,BUY,"[7.337004661560059, 10.63827133178711, -10.817729949951172]"
2024-12-20,51.0,33.617643,29.721362,14.012065,355.657,-4.8,338.12,-4.592187372731189,0.0744334816823688,-4.666620854413558,BUY,"[7.6606764793396, 12.449041366577148, -11.713335990905762]"
2024-12-23,52.0,33.367574,31.56661,14.592958,355.5834,-2.7,337.71,-5.316573589223935,-1.003767932498892,-4.312805656725043,BUY,"[8.986102104187012, 14.251411437988281, -10.568954467773438]"
2024-12-24,54.0,38.006751,32.555173,14.684715,355.502,1.92,341.54,-5.5179978489920245,-1.9066139157975184,-3.611383933194506,BUY,"[9.983461380004883, 16.658288955688477, -13.631096839904785]"
2024-12-26,54.0,37.006974,33.440996,14.601387,355.5444,1.35,340.16,-5.723011182440075,-2.66989336912603,-3.0531178133140453,BUY,"[9.338630676269531, 16.318683624267578, -16.976470947265625]"
2024-12-27,52.0,33.234214,34.856912,14.967792,355.415,-1.03,334.63,-6.259554264971314,-3.387825548295087,-2.871728716676227,BUY,"[8.62392807006836, 15.338871002197266, -15.62125015258789]"
2024-12-30,52.0,31.813115,36.422898,15.010289,355.0928,-1.58,332.38,-6.788076004675588,-4.067875639571187,-2.720200365104401,BUY,"[8.415902137756348, 14.394518852233887, -16.62333869934082]"
2024-12-31,52.0,31.484485,37.877028,15.019191,354.7666,-2.83,331.87,-7.16548675795184,-4.687397863247318,-2.4780888947045216,BUY,"[8.108014106750488, 14.429841041564941, -18.563173294067383]"
2025-01-02,52.0,31.618732,38.286582,14.624855,354.4644,-2.41,331.96,-7.372341487636049,-5.224386588125064,-2.147954899510985,BUY,"[8.626382827758789, 14.65378189086914, -17.006214141845703]"
2025-01-03,58.0,45.25053,37.5067,13.125209,354.445,2.38,342.58,-6.6032123842531405,-5.50015174735068,-1.1030606369024607,BUY,"[9.81652545928955, 17.238595962524414, -13.55315113067627]"
2025-01-06,59.0,51.155202,35.149547,11.950163,354.517,4.87,348.56,-5.448331036768025,-5.489787605234149,0.0414565684661241,BUY,"[11.193042755126953, 21.136457443237305, -13.182587623596191]"
2025-01-07,57.0,46.917888,33.623543,10.475888,354.4894,3.63,343.91,-4.852360396581446,-5.3623021635036086,0.5099417669221626,BUY,"[9.163139343261719, 17.15104866027832, -12.635360717773438]"
