date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2025-05-30,90.0,73.501046,45.545733,28.890293,370.8258,1.85,472.98,0.0,0.0,0.0,,
2025-06-02,91.0,76.190529,46.757011,29.35005,373.7924,2.89,485.16,0.9716239316239808,0.1943247863247961,0.7772991452991846,,
2025-06-03,91.0,77.749938,48.206963,30.090574,376.9744,1.64,492.97,2.3448150583194547,0.6244228407237279,1.7203922175957267,,
2025-06-04,91.0,74.493754,49.553347,29.795568,379.8656,3.6,488.13,3.00785864694609,1.1011100019682003,1.9067486449778897,,
2025-06-05,90.0,71.93316,50.044123,29.103052,382.8278,2.4,484.31,3.188330305876434,1.5185540627498475,1.6697762431265866,,
2025-06-06,90.0,72.119578,50.333166,26.563406,386.1738,-0.03,485.0,3.348433966794744,1.8845300435588268,1.463903923235917,,
2025-06-09,89.0,68.565644,50.712612,23.378726,389.7138,-2.63,480.0,3.036852117465287,2.114994458340119,0.921857659125168,,
2025-06-10,86.0,59.317113,48.989289,21.010541,392.9614,-4.67,465.31,1.58627543075454,2.0092506528230034,-0.4229752220684633,,
2025-06-11,90.0,65.510544,47.46956,20.203339,396.5252,-0.17,483.47,1.8803674804170212,1.9834740183418071,-0.1031065379247857,,
2025-06-12,90.0,66.770522,46.324007,19.172309,399.9658,0.55,487.67,2.424395525247576,2.071658319722961,0.3527372055246145,BUY,"[22.663911819458008, 22.839298248291016, 18.830947875976562]"
2025-06-13,88.0,61.462289,44.898702,16.641412,402.9188,-0.32,478.45,2.0875013093711914,2.074826917652607,0.0126743917185843,BUY,"[23.295120239257812, 23.62918472290039, 7.504141330718994]"
2025-06-16,92.0,64.565144,43.983802,13.654007,406.7232,4.85,487.88,2.552014373178963,2.170264408757878,0.3817499644210849,BUY,"[23.171401977539062, 23.438879013061523, 17.998336791992188]"
2025-06-17,91.0,64.817475,43.209608,12.357771,411.0668,1.07,488.66,2.9490885471231536,2.326029236430933,0.6230593106922204,BUY,"[22.869930267333984, 23.320486068725586, 11.815038681030273]"
2025-06-18,91.0,65.338866,42.490714,11.05684,415.1492,0.52,490.19,3.34862998201254,2.5305493855472543,0.8180805964652853,BUY,"[23.941768646240234, 24.3515682220459, 13.548808097839355]"
2025-06-20,91.0,63.209196,42.089255,9.477388,419.1506,1.78,486.96,3.365836177643644,2.6976067439665323,0.6682294336771113,HOLD,"[23.217737197875977, 22.902278900146484, 14.731890678405762]"
2025-06-23,93.0,67.738855,41.929376,9.015906,422.612,2.46,499.88,4.371614978464152,3.032408390866056,1.3392065875980954,BUY,"[23.31747817993164, 24.295936584472656, 12.338266372680664]"
2025-06-24,94.0,71.000587,42.377496,9.993035,426.6298,4.54,510.84,5.984101332628768,3.622746979218599,2.361354353410169,BUY,"[23.5664119720459, 24.81675910949707, 24.653989791870117]"
2025-06-25,91.0,65.670493,43.186363,10.229327,430.2546,2.55,502.67,6.527512563582491,4.203700096091378,2.3238124674911127,BUY,"[23.44215965270996, 24.106809616088867, 13.254372596740723]"
2025-06-26,92.0,67.021528,43.527943,11.150042,433.9448,4.08,506.81,7.209130906197686,4.80478625811264,2.404344648085046,BUY,"[23.83619499206543, 24.936742782592773, 15.056794166564941]"
2025-06-27,93.0,70.855454,44.650197,12.537397,437.7668,3.96,519.66,8.686078258318446,5.581044658153801,3.105033600164645,BUY,"[23.30406379699707, 24.5784912109375, 22.11272621154785]"
2025-06-30,92.0,73.322127,45.69229,14.570289,441.7866,3.58,529.15,10.501281132392364,6.565091953001513,3.9361891793908512,BUY,"[24.574737548828125, 25.3874568939209, 19.96176528930664]"
2025-07-01,86.0,59.984885,43.619387,14.740962,445.4356,0.66,506.0,9.957052260143826,7.243484014429976,2.7135682457138497,BUY,"[23.41809844970703, 24.392520904541016, 3.3032541275024414]"
2025-07-02,86.0,59.516519,41.694549,14.945452,449.2754,-0.34,505.07,9.343003402853356,7.6633878921146525,1.679615510738703,BUY,"[23.26735496520996, 24.80926513671875, 3.2123332023620605]"
2025-07-03,87.0,63.470075,40.316441,15.659281,453.0948,-0.5,517.04,9.710309814915265,8.072772276674774,1.6375375382404886,BUY,"[23.333005905151367, 25.500255584716797, 15.15473747253418]"
2025-07-07,89.0,67.276748,39.557963,17.117177,456.9786,0.21,530.28,10.94360902875394,8.646939627090607,2.2966694016633333,BUY,"[25.111257553100586, 25.56658935546875, 15.467458724975586]"
2025-07-08,88.0,67.117459,39.107271,18.178628,460.3688,4.74,530.0,11.76281942103492,9.27011558587947,2.4927038351554494,BUY,"[25.5888614654541, 25.647619247436523, 9.04920482635498]"
2025-07-09,89.0,68.758992,39.024949,19.10474,463.6358,6.08,535.77,12.7308866010722,9.962269788918016,2.768616812154184,BUY,"[24.70247459411621, 25.951515197753906, 7.128864765167236]"
2025-07-10,88.0,69.770159,38.132506,18.593188,467.0218,4.32,539.36,13.630644231003773,10.695944677335168,2.9346995536686027,BUY,"[24.524824142456055, 26.951335906982422, 15.110376358032227]"
2025-07-11,87.0,69.634937,37.496748,19.056498,470.3812,1.67,539.16,14.16429315210678,11.389614372289492,2.774678779817288,BUY,"[24.91457748413086, 25.542551040649414, 19.513818740844727]"
2025-07-14,85.0,73.95172,37.303266,20.764518,474.0656,4.72,555.04,15.687758339271682,12.249243165685929,3.4385151735857526,BUY,"[25.051843643188477, 25.813772201538086, 16.609750747680664]"
