date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,58.0,35.423226,32.427874,8.218482,180.1346,-1.32,171.76,0.0,0.0,0.0,,
2024-11-05,61.0,42.238856,32.079055,8.343607,180.2154,0.36,175.26,0.2792022792022806,0.0558404558404561,0.2233618233618244,,
2024-11-06,71.0,50.992204,29.821074,8.216217,180.4108,5.23,180.76,0.9335151500393692,0.2313753946802387,0.7021397553591304,,
2024-11-07,62.0,48.257212,28.126919,8.137668,180.5504,4.16,178.85,1.2831504175038615,0.4417303992449634,0.8414200182588983,,
2024-11-08,74.0,56.159077,26.893749,7.888994,180.775,7.6,184.81,2.017899981272308,0.7569643156504322,1.2609356656218755,,
2024-11-11,72.0,55.774315,25.954937,7.509201,180.9738,5.31,184.56,2.5506194402786377,1.1156953405760734,1.4349240997025643,,
2024-11-12,70.0,52.783325,24.322182,7.204324,181.3424,1.04,182.64,2.785762954425792,1.4497088633460171,1.336054091079775,,
2024-11-13,71.0,54.054755,22.938175,6.751229,181.6864,2.63,183.56,3.01163593041656,1.7620942767601258,1.249541653656434,,
2024-11-14,59.0,46.492869,22.092911,6.139378,181.9774,-3.47,178.4,2.742657368239321,1.958206895055965,0.7844504731833561,,
2024-11-15,58.0,44.579563,21.610421,5.383613,182.2914,-4.13,176.93,2.3833988666105483,2.0432452893668818,0.3401535772436665,BUY,"[12.23983383178711, 16.19474220275879, 4.3750762939453125]"
2024-11-18,60.0,45.548131,21.306213,4.06239,182.5348,-2.8,177.52,2.1218328169969998,2.058962794892905,0.0628700221040938,BUY,"[13.357707023620605, 15.97061538696289, 6.727964401245117]"
2024-11-19,60.0,45.617523,21.023733,4.052397,182.7464,-3.27,177.56,1.895912603573322,2.026352756628989,-0.1304401530556669,BUY,"[13.170928001403809, 17.118579864501953, 5.50597620010376]"
2024-11-20,61.0,46.390059,20.565351,3.964739,182.979,-0.24,177.98,1.7308080192262878,1.9672438091484488,-0.2364357899221609,BUY,"[13.443521499633789, 16.77420997619629, 5.319150447845459]"
2024-11-21,62.0,47.760088,19.45274,3.946361,183.159,1.0,178.7,1.6391641651740372,1.901627880353567,-0.2624637151795295,BUY,"[13.519765853881836, 17.04623031616211, 5.364287376403809]"
2024-11-22,63.0,52.23338,18.200297,4.005085,183.2164,2.04,181.15,1.744125086755048,1.8701273216338632,-0.1260022348788152,BUY,"[13.2118558883667, 17.35114860534668, 8.00756549835205]"
2024-11-25,62.0,50.448459,17.284705,3.990846,183.1918,1.49,180.21,1.7314976026745796,1.8424013778420063,-0.1109037751674268,BUY,"[12.872281074523926, 16.668506622314453, 5.468809127807617]"
2024-11-26,73.0,57.715727,16.746582,4.110683,183.2772,3.72,184.6,2.052071538478515,1.8843354099693084,0.1677361285092065,BUY,"[14.432662010192871, 17.936185836791992, 13.109029769897461]"
2024-11-27,62.0,50.454733,16.246897,4.022935,183.2182,1.06,180.6,1.9607597042681848,1.899620268829084,0.0611394354391008,BUY,"[12.845114707946777, 16.287738800048828, 6.02426815032959]"
2024-11-29,63.0,52.94125,15.782903,3.720521,183.1382,0.56,182.16,1.9913186979293869,1.9179599546491448,0.0733587432802422,BUY,"[13.111376762390137, 16.81129264831543, 7.988400936126709]"
2024-12-02,62.0,49.963871,14.770168,3.265909,182.9984,0.13,180.44,1.855359861647628,1.9054399360488412,-0.0500800744012135,BUY,"[12.885727882385254, 15.973006248474121, 7.493218898773193]"
2024-12-03,62.0,50.452385,14.021519,2.676926,182.8394,-2.1,180.72,1.7500318860805066,1.8743583260551744,-0.1243264399746679,BUY,"[12.925813674926758, 16.70499610900879, 6.52574348449707]"
2024-12-04,64.0,53.800602,13.350751,2.446089,182.6992,1.14,182.65,1.8015266985440803,1.859792000552956,-0.0582653020088754,BUY,"[13.665639877319336, 16.726444244384766, 10.641845703125]"
2024-12-05,56.0,39.349129,14.112493,2.982402,182.3708,-5.08,172.91,1.0443613613170442,1.6967058727057736,-0.6523445113887294,BUY,"[12.731700897216797, 16.085556030273438, -3.5334982872009277]"
2024-12-06,59.0,43.805258,14.879793,3.145205,182.1906,-2.69,175.58,0.6522305545286997,1.487810809070359,-0.8355802545416593,BUY,"[12.687261581420898, 16.76483917236328, 3.809962511062622]"
