date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,63.0,62.249214,20.884697,3.39549,162.4736,2.74,171.29,0.0,0.0,0.0,,
2024-11-04,60.0,57.089081,21.457538,3.43836,162.546,-0.26,169.24,-0.1635327635327712,-0.0327065527065542,-0.1308262108262169,,
2024-11-05,60.0,58.003491,21.989461,3.525147,162.6176,-2.71,169.74,-0.2499070624426451,-0.0761466546537724,-0.1737604077888727,,
2024-11-06,66.0,67.959333,23.500398,4.056933,162.8542,3.16,176.51,0.2253256898352447,-0.015852185755969,0.2411778755912137,,
2024-11-07,69.0,72.376168,25.399956,4.919894,163.2122,5.52,180.75,0.933324846863968,0.1739832207680184,0.7593416260959497,,
2024-11-08,66.0,66.765801,27.163832,5.316203,163.5436,5.38,178.35,1.2859358690731997,0.3963737504290546,0.8895621186441448,,
2024-11-11,68.0,68.92742,28.801717,5.838056,163.883,6.25,180.35,1.707087685686446,0.6585165374805328,1.048571148205913,,
2024-11-12,68.0,70.250632,30.560657,6.352209,164.3682,2.9,181.62,2.118906485760249,0.950594527136476,1.168311958623773,,
2024-11-13,66.0,63.925656,31.859191,6.52392,164.8168,-1.03,178.88,2.198833961763796,1.20024241406194,0.998591547701856,,
2024-11-14,63.0,57.24121,31.573392,6.345739,165.1836,-1.55,175.58,1.9731494035128776,1.3548238119521276,0.61832559156075,BUY,"[8.02754020690918, 8.104562759399414, 6.4908976554870605]"
2024-11-15,59.0,51.781221,30.39507,6.078868,165.615,-4.36,172.49,1.5273492578346293,1.389328901128628,0.1380203567060012,HOLD,"[7.942811965942383, 7.7510151863098145, 5.269519805908203]"
2024-11-18,62.0,55.900743,29.56293,5.849795,166.1468,-3.48,175.3,1.3848294940373194,1.3884290197103664,-0.0035995256730469,HOLD,"[8.8082275390625, 8.521568298339844, 6.791538238525391]"
2024-11-19,64.0,59.628385,29.424698,5.727193,166.736,-0.42,178.12,1.4823444426971264,1.4072121043077184,0.075132338389408,BUY,"[8.875638961791992, 9.073077201843262, 8.538311004638672]"
2024-11-20,63.0,55.77542,29.29634,5.246273,167.2324,0.23,175.98,1.3711399786249387,1.3999976791711626,-0.0288577005462238,BUY,"[8.403592109680176, 8.49017333984375, 7.416373252868652]"
2024-11-21,55.0,43.865206,27.704926,4.824252,167.4912,-2.82,167.63,0.6022915810911513,1.2404564595551604,-0.638164878464009,HOLD,"[7.683959484100342, 7.574576377868652, -0.47034594416618347]"
2024-11-22,44.0,40.652,26.227183,4.871203,167.6372,-6.01,164.76,-0.2358921102084252,0.9451867456024432,-1.1810788558108685,HOLD,"[8.185873985290527, 7.947597026824951, -3.168548583984375]"
2024-11-25,47.0,45.019459,24.369819,4.806179,167.829,-5.88,167.65,-0.6593591947284949,0.6242775575362556,-1.2836367522647505,BUY,"[8.388860702514648, 8.394707679748535, 2.768407106399536]"
2024-11-26,56.0,47.149913,22.87176,4.832674,168.025,-3.9,169.12,-0.8663563783869392,0.3261507703516166,-1.192507148738556,BUY,"[8.385790824890137, 8.50927448272705, 5.620254039764404]"
2024-11-27,56.0,47.314434,21.480706,4.938162,168.2134,0.95,169.23,-1.0098857230949818,0.0589434716622969,-1.0688291947572788,BUY,"[8.28032112121582, 8.537652969360352, 5.654828071594238]"
2024-11-29,56.0,46.914094,19.971937,5.0163,168.3496,2.54,168.95,-1.1331650020190125,-0.1794782230739649,-0.9536867789450476,HOLD,"[8.167011260986328, 8.152442932128906, 5.012523651123047]"
2024-12-02,58.0,50.967097,19.203435,5.011928,168.5076,2.29,171.49,-1.014216687762712,-0.3464259160117143,-0.6677907717509975,BUY,"[8.517075538635254, 8.576852798461914, 6.152905464172363]"
2024-12-03,58.0,50.720819,18.627363,4.941258,168.6974,1.31,171.34,-0.921431351091627,-0.4614270030276969,-0.4600043480639301,BUY,"[8.153982162475586, 8.554219245910645, 6.5578203201293945]"
2024-12-04,60.0,55.408183,18.589103,4.858447,168.939,3.04,174.37,-0.5965262428611311,-0.4884468509943838,-0.1080793918667473,SELL,"[8.70450496673584, 9.24744987487793, 9.605826377868652]"
2024-12-05,58.0,52.346635,18.797233,4.828554,169.162,2.18,172.64,-0.4731786367789539,-0.4853932081512978,0.0122145713723439,BUY,"[8.168831825256348, 8.464360237121582, 7.813138008117676]"
2024-12-06,61.0,55.514015,18.834278,4.561549,169.4016,1.88,174.71,-0.2060182201985583,-0.4295182105607499,0.2234999903621916,BUY,"[8.88480281829834, 8.893365859985352, 8.567886352539062]"
2024-12-09,61.0,56.506647,19.136141,4.445536,169.63,2.35,175.37,0.0582928551301904,-0.3319559974225619,0.3902488525527524,SELL,"[8.546367645263672, 8.86263656616211, 8.92780590057373]"
2024-12-10,69.0,67.944282,21.063043,4.926921,170.0164,6.19,185.17,1.0464762576797,-0.0562695464021095,1.1027458040818094,SELL,"[10.734768867492676, 11.459454536437988, 13.736734390258789]"
2024-12-11,75.0,75.25858,23.730298,6.667537,170.5846,13.18,195.4,2.6248367439201843,0.4799517116623492,2.144885032257835,SELL,"[10.838249206542969, 11.761249542236328, 15.333816528320312]"
2024-12-12,72.0,69.514633,26.207035,7.661091,171.1066,9.87,191.96,3.55711533862231,1.0953844370543413,2.461730901567969,SELL,"[8.975716590881348, 9.1227445602417, 9.951264381408691]"
2024-12-13,70.0,66.133102,27.874464,8.32738,171.5858,8.24,189.82,4.076283863376176,1.6915643223187082,2.384719541057468,BUY,"[8.404747009277344, 8.569255828857422, 7.775585174560547]"
2024-12-16,76.0,70.990508,29.978467,9.467724,172.1778,6.21,196.66,4.982227478344242,2.3496969535238152,2.632530524820427,SELL,"[8.936284065246582, 8.66259479522705, 8.972922325134277]"
2024-12-17,74.0,69.056823,32.11577,10.289882,172.8266,0.01,195.42,5.536317461828133,2.9870210551846794,2.549296406643454,HOLD,"[8.53132152557373, 8.462553977966309, 8.033973693847656]"
2024-12-18,68.0,59.221958,32.244101,10.547092,173.307,-1.85,188.4,5.347341608867311,3.4590851659212056,1.8882564429461048,HOLD,"[8.44312858581543, 8.094332695007324, 6.528891563415527]"
2024-12-19,68.0,59.319724,32.363265,10.760453,173.84,-0.69,188.51,5.14712016727276,3.7966921661915167,1.3504280010812435,HOLD,"[8.319841384887695, 8.24609661102295, 7.5473408699035645]"
2024-12-20,70.0,61.912316,31.746804,10.759956,174.4266,-2.67,191.41,5.162933907706957,4.069940514494605,1.0929933932123523,HOLD,"[8.917798042297363, 8.473641395568848, 7.1585001945495605]"
2024-12-23,72.0,64.609319,31.469381,10.596208,175.0544,-0.4,194.63,5.373352833600336,4.330622978315752,1.042729855284584,HOLD,"[9.479376792907715, 9.03953742980957, 7.925841331481934]"
2024-12-24,73.0,65.807756,31.345539,10.536413,175.6774,4.09,196.11,5.595038854358961,4.583506153524394,1.0115327008345671,SELL,"[9.001734733581543, 9.444063186645508, 10.122157096862793]"
