date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,70.0,48.913236,17.340804,8.575417,502.4478,-2.44,511.47,0.0,0.0,0.0,,
2024-11-05,76.0,58.726662,16.809083,7.172199,502.8296,0.49,526.96,1.2356695156695423,0.2471339031339084,0.9885356125356338,,
2024-11-06,88.0,78.523219,19.722454,17.616684,504.604,15.1,595.98,7.695573899562419,1.7368219024196103,5.958751997142809,,
2024-11-07,82.0,71.167806,22.427727,20.99879,506.1808,12.1,582.17,11.567401278400894,3.702937777615868,7.864463500785026,,
2024-11-08,84.0,72.587502,24.918437,24.628238,507.764,15.21,589.26,15.034646076312583,5.969279437355211,9.065366638957371,,
2024-11-11,87.0,75.030244,27.536732,28.888848,509.6058,14.3,602.34,18.62323221625684,8.500069993135536,10.123162223121302,,
2024-11-12,83.0,70.021359,29.500213,31.207187,511.7084,-0.57,592.59,20.44479420947528,10.889014836403486,9.55577937307179,,
2024-11-13,84.0,70.377396,31.366422,33.305653,513.78,2.07,594.22,21.768983301489925,13.065008529420776,8.703974772069149,,
2024-11-14,82.0,67.410051,32.438014,34.596166,515.7946,-0.11,588.61,22.11085243852142,14.874177311240906,7.236675127280513,,
2024-11-15,84.0,68.660584,33.433063,35.869812,518.0732,-1.46,593.54,22.519999455414904,16.403341740075707,6.116657715339198,SELL,"[37.13827896118164, 37.821388244628906, 59.07274627685547]"
2024-11-18,82.0,65.608464,34.096967,36.093486,520.0616,-0.78,587.99,22.14118302186512,17.55090999643359,4.590273025431529,SELL,"[41.80038833618164, 38.95094299316406, 59.4034538269043]"
2024-11-19,80.0,62.069581,33.752195,35.733989,522.3466,-2.16,581.38,21.064774898464407,18.253682976839755,2.8110919216246515,SELL,"[33.442047119140625, 33.68827438354492, 47.5957145690918]"
2024-11-20,80.0,62.252031,33.595887,35.042229,524.5618,-1.13,581.93,20.025255429720687,18.60799746741594,1.4172579623047454,SELL,"[35.964881896972656, 34.777076721191406, 51.614925384521484]"
2024-11-21,84.0,66.699448,34.081673,35.01849,527.0028,0.43,596.11,20.113777151591307,18.90915340425101,1.2046237473402923,SELL,"[40.203697204589844, 38.170528411865234, 60.00712585449219]"
2024-11-22,85.0,68.574986,34.676376,34.119534,529.4786,2.52,602.78,20.485994715431843,19.22452166648718,1.2614730489446622,SELL,"[40.658836364746094, 38.99260711669922, 62.22646713256836]"
2024-11-25,85.0,68.646265,35.542202,33.470944,531.836,3.72,603.03,20.564102553592647,19.49243784390828,1.07166470968437,SELL,"[39.9530029296875, 38.384281158447266, 60.05978775024414]"
2024-11-26,86.0,69.385121,35.705939,32.492126,534.2382,4.05,605.5,20.58798644327885,19.711547563782396,0.8764388794964582,SELL,"[38.9256706237793, 38.01341247558594, 55.70180892944336]"
2024-11-27,85.0,69.335255,36.097718,30.962206,536.6552,1.56,605.43,20.366493918750507,19.842536834776016,0.5239570839744907,SELL,"[38.53212356567383, 37.13090896606445, 52.28887939453125]"
