date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,57.0,41.33032,28.214605,8.641085,392.6222,-2.56,392.59,0.0,0.0,0.0,,
2024-11-04,66.0,45.201402,27.101851,8.939943,393.0218,0.13,395.57,0.2377207977207831,0.0475441595441566,0.1901766381766265,,
2024-11-05,68.0,50.532823,26.068579,8.798734,393.5414,1.93,400.09,0.7818300176134585,0.194401331158017,0.5874286864554414,,
2024-11-06,55.0,39.737261,26.660994,9.122168,393.8452,-1.37,388.37,0.26428789624606,0.2083786441756256,0.0559092520704343,,
2024-11-07,67.0,50.495088,26.13573,9.044397,394.3802,1.74,399.44,0.738871272425456,0.3144771698255917,0.4243941025998643,,
2024-11-08,69.0,55.488714,24.600934,8.844632,395.157,2.61,405.9,1.6176033047890996,0.5751023968182933,1.0425009079708063,,
2024-11-11,70.0,57.208506,23.213516,8.464037,395.9528,2.05,408.29,2.47828961727015,0.9557398409086646,1.5225497763614853,,
2024-11-12,68.0,52.450963,22.461253,7.914144,396.7196,3.79,403.08,2.708761347934569,1.3063441423138455,1.4024172056207236,,
2024-11-13,71.0,57.629449,21.762723,7.201233,397.63,2.69,410.19,3.425640779675234,1.7302034697861233,1.695437309889111,,
2024-11-14,69.0,53.671865,20.742612,6.515861,398.5074,-0.04,405.72,3.591678616170896,2.1024984990630777,1.4891801171078178,SELL,"[24.20746421813965, 25.50594139099121, 27.10401725769043]"
2024-11-15,70.0,55.483695,19.558864,5.920125,399.47,-0.03,408.18,3.8770737460045552,2.457413548451373,1.4196601975531815,SELL,"[25.592941284179688, 26.486473083496094, 35.05480194091797]"
2024-11-18,71.0,57.141991,18.971533,6.179315,400.3684,1.83,410.44,4.236775642643465,2.813285967289792,1.4234896753536734,SELL,"[27.12647819519043, 28.851167678833008, 35.20532989501953]"
2024-11-19,68.0,53.673947,17.691189,6.315702,401.087,-0.83,406.8,4.1799406540540645,3.0866169046426464,1.093323749411418,SELL,"[25.927982330322266, 26.45843505859375, 31.999374389648438]"
2024-11-20,58.0,47.833411,16.502299,6.312295,401.6772,-1.41,400.0,3.545327023061759,3.1783589283264693,0.3669680947352898,SELL,"[24.117534637451172, 25.118175506591797, 26.111846923828125]"
2024-11-21,70.0,55.794267,16.096008,6.633212,402.3976,0.56,410.45,3.841338257776556,3.310954794216487,0.530383463560069,SELL,"[26.50289535522461, 27.048362731933594, 33.581912994384766]"
2024-11-22,73.0,61.566566,16.773042,7.736224,403.1978,2.33,420.0,4.791303319074075,3.6070244991880047,1.18427881988607,SELL,"[32.527122497558594, 34.1621208190918, 43.39060974121094]"
2024-11-25,74.0,65.917671,18.309531,9.618137,404.131,5.38,428.67,6.172600124146811,4.120139624179767,2.0524604999670446,SELL,"[38.84178924560547, 40.300052642822266, 57.851322174072266]"
