date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-30,72.0,64.670407,23.326521,7.064715,215.918,0.89,230.5,,
2024-10-01,72.0,63.296698,22.986945,7.216924,216.1116,1.07,229.83,,
2024-10-02,73.0,65.231648,22.671624,7.319129,216.3276,-0.62,231.46,,
2024-10-03,72.0,63.939947,22.378827,7.384504,216.6532,-1.48,230.88,,
2024-10-04,74.0,67.349299,22.841003,7.3465,217.064,1.4,233.72,,
2024-10-07,73.0,64.526934,22.953033,7.236198,217.4018,1.16,232.5,,
2024-10-08,75.0,66.614088,23.057061,6.687852,217.7292,1.18,234.19,,
2024-10-09,77.0,69.775743,23.742637,6.172972,218.0936,2.64,236.98,,
2024-10-10,75.0,67.243991,24.379243,5.846895,218.5192,0.95,235.95,,
2024-10-11,77.0,69.74608,25.390769,5.553279,219.1076,2.42,238.13,SELL,"[10.265199661254883, 10.317821502685547, 11.893753051757812]"
2024-10-14,77.0,68.785708,26.330042,5.160588,219.7636,1.52,237.76,SELL,"[10.026042938232422, 9.900063514709473, 11.408610343933105]"
2024-10-15,76.0,64.543431,26.968628,4.730117,220.4496,-0.36,236.12,SELL,"[9.641552925109863, 9.479772567749023, 10.608436584472656]"
2024-10-16,77.0,66.407268,27.5616,4.266517,221.057,0.65,237.49,SELL,"[9.80286979675293, 10.049357414245605, 11.22602367401123]"
2024-10-17,78.0,67.71466,28.438043,4.191263,221.756,0.14,238.47,SELL,"[10.240377426147461, 10.303909301757812, 11.781704902648926]"
2024-10-18,79.0,68.177396,29.355766,3.938577,222.4314,0.44,238.81,SELL,"[10.36877155303955, 10.47506046295166, 11.92751407623291]"
2024-10-21,78.0,62.868766,29.46252,3.433218,223.044,0.35,236.95,SELL,"[9.463753700256348, 9.733518600463867, 10.233216285705566]"
2024-10-22,79.0,64.744301,29.631583,3.277022,223.6948,0.27,238.13,SELL,"[9.867325782775879, 10.317588806152344, 11.02445125579834]"
2024-10-23,74.0,53.356133,27.585101,2.844406,224.2616,-2.08,233.5,BUY,"[9.04925537109375, 9.223808288574219, 8.442204475402832]"
2024-10-24,75.0,56.405987,25.684797,2.806575,224.81,-1.51,235.21,BUY,"[8.898900032043457, 9.671640396118164, 8.991774559020996]"
2024-10-25,75.0,57.963882,24.04286,2.811068,225.3204,-0.35,236.11,BUY,"[9.212203979492188, 10.02747917175293, 9.480367660522461]"
2024-10-28,76.0,59.786642,22.725532,2.631372,225.8146,-0.4,237.17,SELL,"[9.195646286010742, 9.742255210876465, 10.000231742858887]"
2024-10-29,77.0,63.012915,22.18684,2.407377,226.3066,2.42,239.15,SELL,"[9.495467185974121, 10.355982780456543, 10.527623176574707]"
2024-10-30,76.0,61.041811,21.953553,2.231682,226.8266,1.36,238.41,SELL,"[9.361799240112305, 9.84998893737793, 9.946344375610352]"
2024-10-31,74.0,52.528851,20.411838,1.893317,227.195,-0.53,234.85,BUY,"[8.777636528015137, 9.170722961425781, 7.814523696899414]"
2024-11-01,75.0,55.565689,18.980245,1.78462,227.6078,-0.3,236.47,BUY,"[8.917450904846191, 9.65527629852295, 8.932293891906738]"
2024-11-04,72.0,49.148953,18.343956,1.689014,227.934,-2.4,233.4,BUY,"[8.381670951843262, 9.156352043151855, 7.1703410148620605]"
2024-11-05,73.0,53.396648,17.427163,1.61029,228.3412,-1.16,235.65,BUY,"[8.572589874267578, 9.527301788330078, 8.298550605773926]"
2024-11-06,79.0,67.432952,18.864807,2.658187,228.903,4.93,246.43,SELL,"[9.929051399230957, 11.735174179077148, 13.221362113952637]"
2024-11-07,78.0,67.029587,20.199763,3.285187,229.486,4.13,246.23,SELL,"[9.716805458068848, 10.211954116821289, 12.285499572753906]"
2024-11-08,79.0,68.471612,21.663062,3.935202,230.0858,6.11,247.65,SELL,"[9.839032173156738, 10.423980712890625, 11.836061477661133]"
2024-11-11,79.0,71.07196,23.477406,4.740784,230.7002,6.24,250.36,SELL,"[10.22563362121582, 11.149019241333008, 12.741701126098633]"
2024-11-12,78.0,71.297733,25.162153,5.339775,231.3992,1.69,250.6,SELL,"[10.726288795471191, 11.032629013061523, 13.621378898620605]"
2024-11-13,78.0,73.220319,27.077861,6.025273,232.1672,2.61,252.65,SELL,"[11.029956817626953, 11.425849914550781, 13.784375190734863]"
2024-11-14,76.0,67.061285,29.077335,6.366602,232.848,0.97,250.04,SELL,"[9.741501808166504, 9.645188331604004, 10.565925598144531]"
2024-11-15,75.0,63.470535,29.787623,6.55102,233.5542,-0.78,248.41,SELL,"[9.150491714477539, 8.753211975097656, 9.766528129577637]"
2024-11-18,75.0,64.26692,30.447177,6.672097,234.2362,-0.62,249.04,SELL,"[9.771953582763672, 9.687345504760742, 10.539213180541992]"
2024-11-19,75.0,65.20066,30.413304,6.81705,235.0184,-1.14,249.76,SELL,"[9.471405029296875, 9.56866455078125, 10.371731758117676]"
2024-11-20,76.0,65.709949,30.46507,6.675159,235.7896,0.04,250.14,SELL,"[9.70484447479248, 9.941359519958496, 10.530933380126953]"
2024-11-21,77.0,67.956016,30.865715,6.639959,236.5036,1.38,251.83,SELL,"[10.057334899902344, 10.511707305908203, 11.377062797546387]"
2024-11-22,77.0,69.448053,31.495016,6.629172,237.2272,1.59,253.0,SELL,"[10.372984886169434, 10.943034172058105, 11.930475234985352]"
2024-11-25,78.0,70.251283,32.370196,6.62004,237.9378,1.55,253.63,SELL,"[10.636632919311523, 11.218025207519531, 12.220142364501953]"
2024-11-26,77.0,68.31703,32.68937,6.603675,238.5902,1.14,253.0,SELL,"[9.860366821289062, 10.371452331542969, 11.001800537109375]"
2024-11-27,75.0,60.919615,32.104805,6.375795,239.179,-0.56,250.42,BUY,"[8.997393608093262, 9.235862731933594, 8.995977401733398]"
2024-11-29,78.0,65.613294,32.015471,5.843667,239.737,0.17,253.44,SELL,"[9.851922035217285, 10.457843780517578, 10.912384033203125]"
2024-12-02,75.0,58.20907,31.353977,5.212096,240.2536,-1.25,250.47,BUY,"[9.256589889526367, 9.505863189697266, 9.023515701293945]"
2024-12-03,76.0,59.128874,30.728287,3.842524,240.7808,-0.78,251.02,BUY,"[9.278969764709473, 9.742605209350586, 9.294114112854004]"
2024-12-04,79.0,63.794229,30.655464,2.236529,241.2916,1.43,254.01,SELL,"[9.996991157531738, 11.14075756072998, 11.218968391418457]"
2024-12-05,80.0,65.738119,31.142473,2.252398,241.8516,0.77,255.39,SELL,"[10.307127952575684, 11.118502616882324, 12.293307304382324]"
2024-12-06,82.0,69.64291,31.999414,2.505523,242.3626,3.19,258.46,SELL,"[11.035395622253418, 12.346456527709961, 13.13647174835205]"
2024-12-09,73.0,52.04133,30.779989,2.365629,242.6754,-0.41,250.0,BUY,"[8.863067626953125, 9.242855072021484, 7.120701313018799]"
2024-12-10,76.0,57.167631,29.533323,2.377848,243.1398,-0.11,253.72,BUY,"[8.889683723449707, 9.78439712524414, 8.895230293273926]"
2024-12-11,78.0,61.059702,29.083483,2.590614,243.6822,0.61,256.95,SELL,"[10.003655433654785, 11.513803482055664, 11.533834457397461]"
2024-12-12,77.0,59.177204,28.841622,2.708657,244.171,-0.99,255.9,SELL,"[9.50098705291748, 9.969147682189941, 10.067262649536133]"
2024-12-13,74.0,53.832213,27.383028,2.652877,244.6086,1.1,252.76,BUY,"[8.733600616455078, 9.544881820678711, 7.033702850341797]"
2024-12-16,74.0,54.17292,26.028619,2.475924,244.9942,-0.28,253.0,BUY,"[9.143747329711914, 9.823122024536133, 8.526846885681152]"
2024-12-17,71.0,49.681604,24.235988,2.39582,245.3496,-2.6,250.27,BUY,"[8.852903366088867, 9.052282333374023, 6.982233047485352]"
2024-12-18,58.0,39.645812,24.049141,3.234676,245.5164,-5.22,242.53,BUY,"[7.512450695037842, 8.09182357788086, 1.8558540344238281]"
2024-12-19,68.0,44.654649,23.875639,3.523248,245.6918,-2.77,245.75,BUY,"[7.4906158447265625, 9.016621589660645, 4.285054683685303]"
2024-12-20,70.0,49.771196,22.411039,3.577291,245.9612,-1.42,249.42,BUY,"[8.719120025634766, 9.887117385864258, 7.644318103790283]"
2024-12-23,71.0,51.469515,21.051053,3.585116,246.2128,0.18,250.71,BUY,"[8.50090503692627, 9.86483383178711, 7.441998481750488]"
2024-12-24,72.0,54.728107,19.773108,3.577824,246.5228,4.42,253.26,BUY,"[8.432385444641113, 10.442770957946777, 7.951502323150635]"
2024-12-26,71.0,52.495204,18.586446,3.571111,246.8356,2.45,251.76,BUY,"[8.516039848327637, 9.667330741882324, 7.688643455505371]"
2024-12-27,70.0,49.838228,17.855755,3.582987,247.0846,0.21,249.94,BUY,"[8.464037895202637, 9.333982467651367, 6.6506171226501465]"
2024-12-30,68.0,47.369737,17.757934,3.654447,247.2792,-1.0,248.2,BUY,"[8.049177169799805, 9.528282165527344, 5.320068359375]"
2024-12-31,59.0,45.906182,17.527132,3.778172,247.4462,-2.41,247.16,BUY,"[6.210183620452881, 8.260316848754883, 4.112484455108643]"
2025-01-02,58.0,43.093621,17.844978,4.02709,247.6096,-2.64,245.12,BUY,"[6.9404520988464355, 8.470080375671387, 3.651047706604004]"
2025-01-03,59.0,45.558762,18.237637,4.097454,247.7774,-1.37,246.52,BUY,"[6.894695281982422, 8.58720588684082, 4.297102928161621]"
2025-01-06,56.0,41.455959,18.81902,4.249933,247.9784,-1.87,243.55,BUY,"[6.696489334106445, 8.357190132141113, 3.1325201988220215]"
2025-01-07,55.0,38.712797,19.848771,4.230194,248.1018,-2.34,241.38,BUY,"[6.917313575744629, 8.319140434265137, 2.472999095916748]"
2025-01-08,57.0,42.347814,20.804969,4.429613,248.2456,-0.74,243.3,BUY,"[6.42534065246582, 8.629532814025879, 3.531566858291626]"
2025-01-10,55.0,38.964593,21.988929,4.649095,248.316,-2.36,240.69,BUY,"[6.550567626953125, 8.131852149963379, 2.386998176574707]"
2025-01-13,56.0,40.494609,23.325812,4.446829,248.3624,-0.85,241.47,BUY,"[6.483083248138428, 8.308694839477539, 2.70302152633667]"
