date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,46.0,45.133079,25.247444,6.202252,207.9454,0.76,207.54,0.0,0.0,0.0,,
2024-11-05,54.0,47.622426,23.903025,6.123722,208.044,2.24,208.78,0.0989173789173776,0.0197834757834755,0.079133903133902,,
2024-11-06,62.0,59.717517,23.843824,6.159113,208.2498,5.21,216.4,0.7831527341498941,0.1724573274567592,0.6106954066931348,,
2024-11-07,63.0,61.113516,24.077253,6.220387,208.4998,3.97,217.5,1.3980590354385924,0.4175776690531259,0.9804813663854666,,
2024-11-08,65.0,63.572971,24.554424,6.330539,208.7394,5.76,219.49,2.022637373651236,0.7385896099727479,1.2840477636784875,,
2024-11-11,69.0,69.56314,25.896695,6.759605,209.086,7.88,225.24,2.9476188366537315,1.1803954553089446,1.7672233813447868,,
2024-11-12,72.0,75.97768,28.674757,7.990869,209.667,8.09,233.91,4.330352246850538,1.8103868136172632,2.5199654332332746,,
2024-11-13,72.0,74.342935,31.254386,8.875208,210.2176,7.16,233.07,5.297333098180218,2.507776070529854,2.789557027650364,,
2024-11-14,70.0,69.726785,33.115526,9.424237,210.7714,5.09,230.67,5.803117718473487,3.1668444001185807,2.6362733183549065,,
2024-11-15,69.0,66.60893,34.317466,9.750576,211.3886,1.66,228.99,5.999238230458559,3.733323166186576,2.2659150642719825,SELL,"[14.431899070739746, 14.979913711547852, 15.445122718811035]"
2024-11-18,68.0,66.342706,35.399544,10.058166,211.9424,-2.16,228.85,6.073358423831962,4.201330217715654,1.8720282061163085,BUY,"[14.140046119689941, 14.834418296813965, 14.552980422973633]"
2024-11-19,68.0,65.042865,35.828653,10.289881,212.4874,-2.09,228.2,6.010365886744637,4.563137351521451,1.4472285352231855,BUY,"[13.744324684143066, 14.085977554321289, 13.29080581665039]"
2024-11-20,66.0,61.965293,35.981047,10.47236,212.94,-1.73,226.67,5.770467279206201,4.804603337058401,0.9658639421478004,BUY,"[13.803747177124023, 14.129562377929688, 13.709461212158203]"
2024-11-21,65.0,60.791019,35.948324,10.43109,213.3684,-1.27,226.09,5.470484412568311,4.937779552160383,0.5327048604079279,BUY,"[13.78227710723877, 14.655193328857422, 14.295482635498047]"
2024-11-22,68.0,64.557294,36.096522,10.380348,213.8676,0.11,229.11,5.414025079304253,5.033028657589157,0.3809964217150954,SELL,"[15.88343334197998, 16.17662239074707, 16.985239028930664]"
2024-11-25,70.0,66.278366,36.494428,10.160224,214.386,1.05,230.6,5.426952666299002,5.111813459331126,0.315139206967876,SELL,"[17.026039123535156, 16.765689849853516, 18.25452995300293]"
2024-11-26,69.0,65.816374,36.934646,9.764535,214.9092,1.65,230.4,5.359281087263014,5.161306984917504,0.1979741023455101,SELL,"[16.486825942993164, 16.265872955322266, 17.73214340209961]"
2024-11-27,69.0,63.991012,37.409864,8.985036,215.4692,1.57,229.64,5.184560834887094,5.165957754911422,0.018603079975672,SELL,"[15.428762435913086, 15.61768627166748, 16.683536529541016]"
2024-11-29,72.0,68.113745,37.898026,8.245324,216.0538,1.67,232.93,5.25103857636023,5.182973919201184,0.0680646571590459,SELL,"[17.288976669311523, 17.220603942871094, 19.103500366210938]"
2024-12-02,68.0,61.270933,38.420917,7.505585,216.5858,-0.28,229.95,5.005560583766709,5.14749125211429,-0.1419306683475811,BUY,"[14.101202964782715, 14.656445503234863, 14.517420768737793]"
2024-12-03,66.0,55.271122,36.609421,6.243249,217.0496,-1.49,226.96,4.51767257721886,5.021527517135205,-0.5038549399163443,BUY,"[12.941168785095215, 13.53083610534668, 12.669889450073242]"
2024-12-04,69.0,59.330438,35.129833,4.727946,217.54,0.07,229.79,4.309695676621914,4.879161149032546,-0.5694654724106325,BUY,"[13.905776977539062, 14.663466453552246, 14.124528884887695]"
2024-12-05,66.0,52.932328,33.378111,3.97506,217.9302,-2.85,226.29,3.818435191235437,4.667015957473125,-0.8485807662376876,BUY,"[13.24598217010498, 13.984221458435059, 12.425871849060059]"
2024-12-06,66.0,53.072469,31.751513,3.166945,218.3172,-1.55,226.38,3.397209053781836,4.413054576734868,-1.0158455229530317,BUY,"[13.157144546508789, 13.841390609741211, 12.491230964660645]"
2024-12-09,65.0,50.740487,29.997302,2.52648,218.6664,-0.82,225.09,2.9255679597224,4.115557253332375,-1.1899892936099743,BUY,"[13.300756454467773, 13.800026893615723, 12.378677368164062]"
2024-12-10,69.0,57.029646,28.846262,2.379526,219.1138,-0.31,229.08,2.840999376516549,3.8606456779692095,-1.01964630145266,BUY,"[14.637052536010742, 15.454038619995117, 14.739035606384277]"
2024-12-11,68.0,56.990366,28.769778,2.112548,219.5736,1.22,229.06,2.740770436665628,3.636670629708493,-0.8959001930428658,BUY,"[14.443763732910156, 15.024568557739258, 14.315942764282227]"
