date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,action,q_values
2024-09-25,32.0,48.673196,12.65096,1.431134,70.0504,-3.74,69.83,,
2024-09-26,42.0,52.841727,12.133694,1.438629,70.0432,-0.41,70.86,,
2024-09-27,47.0,60.714541,12.212996,1.585185,70.0942,2.22,73.22,,
2024-09-30,46.0,59.269678,12.286634,1.688049,70.1454,3.11,72.9,,
2024-10-01,44.0,55.038085,11.427728,1.723277,70.1652,3.02,71.94,,
2024-10-02,42.0,51.997945,10.687707,1.716165,70.1896,0.49,71.21,,
2024-10-03,39.0,49.305996,10.642694,1.709614,70.1946,-3.66,70.54,,
2024-10-04,39.0,49.390223,10.594033,1.662611,70.185,-3.21,70.56,,
2024-10-07,29.0,44.386698,11.086333,1.643391,70.1248,-3.67,69.3,,
2024-10-08,32.0,47.521976,11.723715,1.491949,70.0952,-1.71,69.99,HOLD,"[1.8221253156661987, 1.7592507600784302, 0.6031416058540344]"
2024-10-09,42.0,49.81804,11.642255,1.226793,70.0566,-0.04,70.51,SELL,"[3.318007230758667, 3.3770129680633545, 4.806919097900391]"
2024-10-10,41.0,47.783064,11.762983,1.072969,70.0186,-0.74,70.04,SELL,"[3.1071529388427734, 3.1061952114105225, 4.210085391998291]"
2024-10-11,43.0,50.072838,11.488371,1.068821,69.9736,1.77,70.53,SELL,"[3.6424062252044678, 3.624006986618042, 5.290135383605957]"
2024-10-14,44.0,52.28038,11.313593,1.034155,69.9734,1.46,71.01,SELL,"[4.071859836578369, 4.079290866851807, 6.37304162979126]"
2024-10-15,44.0,52.702654,10.641889,1.033711,70.0042,0.84,71.1,SELL,"[4.109137535095215, 4.100377082824707, 6.38966703414917]"
2024-10-16,46.0,55.748324,10.248101,0.998005,70.1608,2.44,71.75,SELL,"[4.696310997009277, 4.609386920928955, 7.563563823699951]"
2024-10-17,45.0,55.276537,9.882442,0.950624,70.2788,1.62,71.67,SELL,"[4.44210147857666, 4.44770622253418, 7.187075138092041]"
2024-10-18,47.0,58.666867,9.776372,0.99629,70.3634,1.94,72.39,SELL,"[4.9413533210754395, 4.925706386566162, 8.053875923156738]"
2024-10-21,47.0,53.787855,9.694023,0.995232,70.4164,0.69,71.59,SELL,"[3.9779250621795654, 4.017410755157471, 5.843235492706299]"
2024-10-22,46.0,51.482417,9.382817,0.991551,70.4824,-0.78,71.19,SELL,"[3.39180850982666, 3.4456522464752197, 4.719520092010498]"
2024-10-23,34.0,46.299847,9.586324,0.969853,70.498,-2.02,70.22,HOLD,"[1.9748661518096924, 1.9313310384750366, 1.2312405109405518]"
2024-10-24,43.0,49.98886,9.571036,0.969588,70.5454,-2.09,70.88,SELL,"[3.049149990081787, 3.1190333366394043, 4.273296356201172]"
2024-10-25,33.0,45.50063,10.070778,0.871007,70.5498,-2.22,70.0,HOLD,"[1.9008817672729492, 1.8521405458450317, 0.6979986429214478]"
2024-10-28,44.0,51.424974,10.44942,0.75144,70.5762,-0.11,71.11,SELL,"[3.64094614982605, 3.7332987785339355, 5.552402496337891]"
2024-10-29,35.0,47.748803,10.473229,0.717184,70.5874,0.23,70.38,BUY,"[2.2049124240875244, 2.2662506103515625, 1.9092267751693726]"
2024-10-30,43.0,49.143261,10.495338,0.711569,70.6202,-0.34,70.64,SELL,"[3.1775050163269043, 3.2381622791290283, 4.5373101234436035]"
2024-10-31,35.0,47.012583,10.431599,0.719739,70.6274,0.33,70.23,HOLD,"[2.166699171066284, 2.1308584213256836, 1.509651780128479]"
2024-11-01,36.0,47.844135,10.040776,0.723488,70.638,-1.04,70.37,SELL,"[2.55368709564209, 2.5717532634735107, 2.9614245891571045]"
2024-11-04,49.0,57.823387,10.10807,0.722283,70.6682,2.77,72.33,SELL,"[4.928977012634277, 4.95664644241333, 7.98643684387207]"
2024-11-05,34.0,42.796263,11.104501,0.812307,70.63,-2.34,68.99,HOLD,"[1.8218740224838257, 1.769967794418335, 0.6339060664176941]"
2024-11-06,35.0,47.300462,11.690565,0.829785,70.587,-0.31,70.01,HOLD,"[2.1616034507751465, 2.1322638988494873, 1.7880005836486816]"
2024-11-07,33.0,45.124661,13.06557,0.868268,70.566,-1.34,69.43,HOLD,"[1.8345783948898315, 1.668868899345398, -0.01082184910774231]"
2024-11-08,29.0,40.213151,14.384831,1.060172,70.5096,-5.99,68.0,HOLD,"[1.6085772514343262, 1.6082967519760132, -1.9884556531906128]"
2024-11-11,29.0,41.601347,15.609859,1.175335,70.4644,-1.01,68.29,HOLD,"[1.7012133598327637, 1.4736647605895996, -3.3972976207733154]"
2024-11-12,27.0,38.822927,17.11958,1.342663,70.4044,-3.64,67.46,HOLD,"[1.5654871463775635, 1.4811328649520874, -3.933551788330078]"
2024-11-13,28.0,40.27214,18.820143,1.415537,70.3702,-2.43,67.74,HOLD,"[1.6152390241622925, 1.5166674852371216, -3.7346627712249756]"
2024-11-14,24.0,36.303025,20.531948,1.572255,70.3038,-2.15,66.54,HOLD,"[1.7138028144836426, 1.686031699180603, -6.042942047119141]"
2024-11-15,32.0,46.757539,20.925203,1.479934,70.3028,0.69,68.76,BUY,"[1.5059176683425903, 1.5835399627685547, -4.094280242919922]"
2024-11-18,52.0,62.19772,21.751088,1.695388,70.4028,9.53,73.89,SELL,"[2.849468469619751, 2.6954314708709717, 3.6416015625]"
2024-11-19,53.0,64.264458,22.85148,2.001528,70.5486,10.48,74.84,SELL,"[2.6501755714416504, 2.6838135719299316, 3.3645551204681396]"
2024-11-20,50.0,60.128007,23.560837,2.160234,70.6822,10.81,73.73,SELL,"[2.445652723312378, 2.7467074394226074, 3.9144513607025146]"
2024-11-21,49.0,60.227355,23.678652,2.294634,70.7942,7.29,73.77,SELL,"[2.43400502204895, 2.4625861644744873, 3.700073003768921]"
2024-11-22,51.0,63.440248,24.240361,2.515113,70.8882,1.61,75.08,SELL,"[2.2821292877197266, 2.1776344776153564, 2.453490734100342]"
2024-11-25,62.0,67.266151,25.508274,2.861701,71.0276,2.67,76.84,SELL,"[2.4514169692993164, 2.554220676422119, 3.054220676422119]"
2024-11-26,64.0,68.163136,26.204607,3.180483,71.1484,4.81,77.28,SELL,"[2.4630818367004395, 2.544656753540039, 3.280566930770874]"
2024-11-27,65.0,68.95437,27.316777,3.472095,71.2524,5.27,77.66,SELL,"[1.944512128829956, 2.147578716278076, 2.774585485458374]"
2024-11-29,64.0,66.113856,28.349505,3.654636,71.3426,2.62,77.05,SELL,"[1.8519829511642456, 1.9321739673614502, 2.146807909011841]"
2024-12-02,61.0,63.571052,28.639024,3.768492,71.4496,-0.44,76.5,SELL,"[1.8717833757400513, 1.8576359748840332, 1.9675339460372925]"
2024-12-03,58.0,57.942116,28.207332,3.824947,71.5212,-2.68,75.21,SELL,"[1.7088326215744019, 1.964321494102478, 2.037470817565918]"
2024-12-04,55.0,55.014132,27.203758,3.770567,71.597,-4.08,74.49,SELL,"[1.6879217624664307, 1.9898877143859863, 2.1505441665649414]"
2024-12-05,49.0,47.789895,25.2885,3.722893,71.6502,-5.92,72.49,BUY,"[1.8586021661758423, 2.081901788711548, 1.8271931409835815]"
2024-12-06,51.0,49.607141,23.510046,3.644061,71.693,-4.58,73.0,SELL,"[2.5019030570983887, 2.5997557640075684, 3.1511707305908203]"
2024-12-09,56.0,56.008936,23.087994,3.485909,71.7282,-0.31,74.98,SELL,"[3.787119150161743, 3.5927281379699707, 5.6225481033325195]"
2024-12-10,55.0,55.057868,22.696089,3.302726,71.7648,0.32,74.73,SELL,"[3.98518705368042, 4.099020004272461, 6.4413652420043945]"
2024-12-11,61.0,61.091505,23.287263,3.054314,71.863,6.01,76.85,SELL,"[3.830352544784546, 3.9776499271392822, 5.680470943450928]"
2024-12-12,61.0,61.563349,23.83621,2.747056,71.9794,5.52,77.03,SELL,"[3.739119529724121, 3.8153090476989746, 5.521267890930176]"
2024-12-13,61.0,59.700794,23.887628,2.075936,72.1006,2.16,76.6,SELL,"[3.4333655834198, 3.727200746536255, 4.930241107940674]"
2024-12-16,58.0,53.754206,23.552082,1.495649,72.1922,0.55,75.14,SELL,"[3.236018657684326, 3.188779592514038, 4.225317001342773]"
2024-12-17,53.0,46.987757,22.190806,1.537901,72.2698,-4.78,73.18,SELL,"[2.6052167415618896, 2.681227922439575, 2.916201114654541]"
2024-12-18,38.0,39.896201,21.393842,1.849094,72.2822,-8.33,70.61,HOLD,"[1.6993025541305542, 1.626947283744812, -0.5435407757759094]"
2024-12-19,33.0,36.105734,21.396876,2.272568,72.251,-9.99,68.95,HOLD,"[1.8398555517196655, 1.5561435222625732, -1.9551185369491577]"
2024-12-20,35.0,39.357605,21.413058,2.518129,72.2466,-7.08,69.82,HOLD,"[1.5926275253295898, 1.477171540260315, -1.680383324623108]"
2024-12-23,36.0,40.260851,21.20027,2.708216,72.2372,-4.26,70.06,HOLD,"[1.6102839708328247, 1.5464630126953125, -1.0400530099868774]"
2024-12-24,36.0,40.126758,21.010505,2.810656,72.2172,-0.85,70.01,HOLD,"[1.6212478876113892, 1.557550311088562, -1.3127713203430176]"
2024-12-26,39.0,43.984384,19.626797,2.78803,72.2146,2.93,70.97,HOLD,"[1.848149299621582, 1.7946895360946655, 1.002722144126892]"
2024-12-27,37.0,42.302747,18.341926,2.72838,72.188,0.86,70.42,BUY,"[1.8152590990066528, 1.8205190896987915, 0.3889808654785156]"
2024-12-30,34.0,38.682943,17.620152,2.742423,72.138,-1.27,69.17,HOLD,"[1.6656548976898193, 1.6360889673233032, -1.813119649887085]"
2024-12-31,34.0,38.818255,16.987598,2.739494,72.0742,-1.16,69.2,HOLD,"[1.5937446355819702, 1.559032917022705, -1.850654125213623]"
2025-01-02,32.0,36.917352,16.824393,2.811362,72.0134,-3.41,68.55,HOLD,"[1.554125428199768, 1.5372257232666016, -1.9832581281661987]"
2025-01-03,33.0,39.565106,16.672845,2.848334,71.9714,-1.89,69.09,HOLD,"[1.6533849239349365, 1.5340951681137085, -1.1312851905822754]"
2025-01-06,40.0,50.604747,16.156854,2.847043,72.0022,3.74,71.76,SELL,"[2.6733126640319824, 2.6070454120635986, 3.176516056060791]"
2025-01-07,40.0,50.271394,15.723514,2.838569,72.018,3.57,71.67,SELL,"[3.0216224193573, 3.1816136837005615, 4.346731185913086]"
2025-01-08,38.0,47.965128,14.805667,2.755994,72.0392,3.66,71.06,SELL,"[2.6887834072113037, 2.7737855911254883, 3.3175883293151855]"
2025-01-10,35.0,43.111646,13.840407,2.701945,72.0104,0.84,69.67,HOLD,"[1.784862756729126, 1.7108559608459473, 0.29962414503097534]"
2025-01-13,37.0,47.362091,13.228426,2.408523,72.0168,-1.48,70.7,SELL,"[2.409688949584961, 2.4073212146759033, 2.5541765689849854]"
2025-01-14,40.0,49.606032,12.352846,2.00226,72.0294,-0.56,71.27,SELL,"[3.1541459560394287, 3.101970911026001, 4.124040126800537]"
2025-01-15,40.0,49.131178,11.906421,1.520095,72.0478,0.13,71.15,SELL,"[3.194227933883667, 3.250887155532837, 4.685807704925537]"
2025-01-16,43.0,51.624656,11.171931,1.151143,72.0754,2.99,71.75,SELL,"[3.637544631958008, 3.772670269012451, 5.853517055511475]"
2025-01-17,54.0,57.164627,11.261098,1.155904,72.0932,3.56,73.22,SELL,"[4.788349151611328, 4.791995048522949, 7.155129432678223]"
