date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,54.0,31.357871,41.611406,11.389912,216.9272,-1.95,206.32,0.0,0.0,0.0,,
2024-11-05,55.0,33.927643,41.547565,11.856634,217.119,1.3,207.57,0.0997150997150981,0.0199430199430196,0.0797720797720785,,
2024-11-06,59.0,44.685689,39.661889,11.703361,217.4164,3.33,213.6,0.6577287522016775,0.1475001663947512,0.5102285858069262,,
2024-11-07,58.0,44.830077,37.861954,11.524419,217.721,2.61,213.69,1.094602938597717,0.3369207208353444,0.7576822177623725,,
2024-11-08,57.0,44.881731,35.630526,11.244912,218.0174,3.59,213.72,1.4268023388954705,0.5548970444473695,0.8719052944481007,,
2024-11-11,56.0,44.656628,33.558486,10.730405,218.2462,2.89,213.57,1.6588468566342272,0.7756870068847411,0.883159849749486,,
2024-11-12,54.0,40.686295,32.559762,10.331412,218.4378,-1.28,210.86,1.605561543106063,0.9416619141290056,0.6638996289770575,,
2024-11-13,53.0,40.811766,31.632376,9.729371,218.574,-1.3,210.92,1.550303117485953,1.063390154800395,0.4869129626855579,,
2024-11-14,52.0,38.02532,31.288768,9.079732,218.702,-2.21,208.99,1.33538209322532,1.11778854248538,0.21759355073994,,
2024-11-15,48.0,32.996951,31.362831,8.450761,218.787,-4.02,204.99,0.8326903267165733,1.0607688993316189,-0.2280785726150453,BUY,"[5.158985137939453, 5.95444393157959, -15.555490493774414]"
2024-11-18,51.0,39.656864,31.431603,7.46216,218.8782,-1.31,208.09,0.6766475999451131,0.9839446394543176,-0.3072970395092045,BUY,"[5.104918479919434, 6.060688495635986, -12.305514335632324]"
2024-11-19,54.0,43.845166,30.851836,5.968142,218.9768,-0.32,210.25,0.7189885108797966,0.9309534137394136,-0.2119649028596169,BUY,"[4.827991008758545, 5.811713218688965, -7.747390270233154]"
2024-11-20,59.0,51.192311,28.98401,3.583551,219.071,2.68,214.6,1.090976534992393,0.9629580379900096,0.1280184970023834,BUY,"[4.888876438140869, 5.900702953338623, -3.0274899005889893]"
2024-11-21,72.0,61.036492,28.164435,4.086632,219.2868,8.49,222.4,1.992209584824252,1.1688083473568582,0.8234012374673938,BUY,"[6.127904891967773, 6.778858661651611, 4.1839165687561035]"
2024-11-22,71.0,61.64529,28.109374,4.808821,219.4504,7.15,222.97,2.7210706969737544,1.4792608172802375,1.2418098796935166,BUY,"[6.571258068084717, 7.224244594573975, 3.9635446071624756]"
2024-11-25,73.0,64.917935,28.058247,5.794066,219.6298,7.55,226.13,3.513186147267845,1.8860458832777591,1.627140263990086,BUY,"[7.069492340087891, 7.189211845397949, 5.45393705368042]"
2024-11-26,73.0,67.47182,28.385313,6.845346,219.9238,6.63,228.83,4.3091377263043,2.3706642518830674,1.9384734744212329,BUY,"[7.5803704261779785, 7.601932525634766, 6.18022346496582]"
2024-11-27,71.0,63.926532,28.345066,7.234912,220.1634,2.03,226.92,4.731274858298065,2.842786373166067,1.8884884851319972,HOLD,"[6.422236919403076, 6.195132255554199, 2.5706121921539307]"
2024-11-29,71.0,64.442727,28.491117,7.594626,220.4338,1.99,227.41,5.047179735406587,3.283665045614171,1.763514689792416,HOLD,"[5.614500045776367, 5.338173866271973, 0.431660532951355]"
2024-12-02,70.0,64.402219,28.141066,7.883674,220.6276,0.56,227.39,5.235570397125116,3.6740461159163607,1.5615242812087553,HOLD,"[6.218231678009033, 5.989904403686523, 1.508460283279419]"
2024-12-03,71.0,66.241815,27.946028,8.044855,220.7976,0.07,229.0,5.451938346937368,4.029624562120562,1.422313784816806,HOLD,"[6.840938091278076, 6.582619667053223, 4.784738540649414]"
2024-12-04,74.0,70.777317,28.510471,8.481957,221.048,2.9,233.49,5.91750368258019,4.407200386212487,1.5103032963677023,HOLD,"[8.04490852355957, 7.970489978790283, 7.866013050079346]"
2024-12-05,75.0,71.917542,29.414817,9.113641,221.3184,3.23,234.75,6.315339729792299,4.78882825492845,1.5265114748638489,HOLD,"[8.430500984191895, 8.310444831848145, 7.990238666534424]"
2024-12-06,77.0,74.694072,30.491624,9.859022,221.6106,4.68,238.04,6.817515097496454,5.194565623442051,1.622949474054403,SELL,"[9.304594039916992, 9.025874137878418, 9.532304763793945]"
2024-12-09,70.0,59.271474,29.966043,9.923788,221.7938,0.44,230.0,6.491897336039642,5.454031965961569,1.0378653700780731,HOLD,"[4.941934585571289, 4.420877456665039, -4.3610076904296875]"
2024-12-10,71.0,61.120931,29.194773,9.988617,222.0066,-0.76,231.72,6.300009946453372,5.623227562059929,0.6767823843934426,HOLD,"[6.1257500648498535, 6.125704765319824, 1.3223201036453247]"
