date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,44.0,51.198766,15.633244,5.895343,622.6904,-0.75,619.01,0.0,0.0,0.0,,
2024-11-05,44.0,51.078153,15.958131,5.974964,622.7246,-0.37,618.83,-0.01435897435897,-0.002871794871794,-0.011487179487176,,
2024-11-06,59.0,65.466061,16.982908,9.422927,623.166,6.24,648.39,2.3326174300533467,0.4642260501132341,1.8683913799401128,,
2024-11-07,63.0,72.935947,18.261338,15.831923,624.3082,8.43,674.15,6.199762847412785,1.6113334095731444,4.588429437839641,,
2024-11-08,63.0,75.194767,20.009738,21.317794,625.5366,10.53,684.22,9.96222990833644,3.281512709325804,6.680717199010636,,
2024-11-11,64.0,77.79685,21.988305,26.858347,626.8784,12.69,697.35,13.843909458537835,5.393992059168211,8.449917399369626,,
2024-11-12,64.0,78.194589,23.988537,31.169732,628.3716,7.88,699.47,16.89646284449566,7.694486216233701,9.201976628261958,,
2024-11-13,64.0,79.461732,26.182733,34.886294,630.0346,4.76,706.25,19.636366917887244,10.08286235656441,9.553504561322834,,
2024-11-14,63.0,75.629263,28.055894,37.149427,631.6202,2.42,700.76,21.121290429314968,12.290547971114522,8.830742458200445,,
2024-11-15,59.0,67.408697,28.539687,38.065968,633.0752,-1.36,687.87,21.0157314661393,14.035584670119478,6.980146796019822,SELL,"[27.429977416992188, 28.278589248657227, 29.414705276489258]"
2024-11-18,63.0,62.284215,28.604927,38.197577,634.1116,-2.95,678.81,19.970798016743743,15.222627339444331,4.748170677299411,SELL,"[27.545167922973633, 28.74803924560547, 30.33859634399414]"
2024-11-19,53.0,47.435942,27.204656,37.261369,634.3226,-8.79,644.17,16.16122567870741,15.410347007296949,0.7508786714104616,BUY,"[27.890451431274414, 28.901535034179688, 24.461910247802734]"
2024-11-20,54.0,49.826978,25.605836,35.724581,634.4562,-7.16,650.6,13.505278967383106,15.02933339931418,-1.5240544319310754,BUY,"[23.9726505279541, 26.25596046447754, 22.495359420776367]"
2024-11-21,62.0,58.674058,24.801393,34.540862,635.1028,-1.33,678.7,13.512098165435075,14.72588635253836,-1.2137881871032832,SELL,"[27.001379013061523, 29.279403686523438, 32.28911590576172]"
2024-11-22,51.0,46.540214,23.190858,33.154767,634.799,-5.7,640.12,10.28584997968744,13.83787907796818,-3.552029098280737,BUY,"[29.843639373779297, 31.703096389770508, 27.655353546142578]"
2024-11-25,50.0,45.108053,21.658101,32.01072,634.5664,-1.48,634.62,7.202198552338928,12.51074297284233,-5.308544420503402,BUY,"[24.413652420043945, 25.484182357788086, 19.86469841003418]"
2024-11-26,51.0,46.466044,20.352659,31.387323,634.4466,-1.81,638.83,5.039996453392519,11.016593668952368,-5.976597215559849,BUY,"[21.22194480895996, 23.487001419067383, 17.27872085571289]"
2024-11-27,50.0,45.696813,19.140463,30.6714,634.5086,-6.27,636.17,3.076333880674952,9.428541711296884,-6.352207830621934,BUY,"[24.070262908935547, 26.142833709716797, 21.22776222229004]"
2024-11-29,51.0,47.647722,17.781711,28.915536,634.2584,0.25,641.73,1.9463266356036684,7.932098696158243,-5.985772060554575,SELL,"[29.841968536376953, 31.569652557373047, 31.80025863647461]"
2024-12-02,49.0,45.236495,16.775272,28.214263,634.04,-0.09,634.07,0.4277588323642476,6.431230723399444,-6.003471891035196,BUY,"[27.640464782714844, 28.50560188293457, 24.76285743713379]"
2024-12-03,49.0,45.985862,16.127963,27.182042,633.921,-0.44,636.02,-0.6113214560125471,5.022720287517045,-5.634041743529592,BUY,"[22.692317962646484, 24.8764705657959, 24.63115882873535]"
2024-12-04,55.0,52.648772,15.719652,25.431707,634.2498,2.9,654.64,0.066907052592569,4.03155764053215,-3.964650587939581,SELL,"[26.233165740966797, 28.21586036682129, 30.694643020629883]"
2024-12-05,53.0,50.508295,15.340506,25.422679,634.529,1.09,648.7,0.1236740373676639,3.249980919899253,-3.1263068825315896,SELL,"[28.38911247253418, 29.246084213256836, 29.390493392944336]"
2024-12-06,52.0,49.691513,15.043789,25.550861,634.7218,1.96,646.47,-0.0111515333910574,2.597754429241191,-2.6089059626322486,SELL,"[26.049861907958984, 27.814420700073242, 28.83489990234375]"
2024-12-09,52.0,49.734696,14.392621,25.227486,635.2728,1.66,646.58,-0.1078820912973697,2.05662712513348,-2.164509216430849,SELL,"[25.652233123779297, 27.200788497924805, 27.57173728942871]"
