date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,50.0,42.878331,15.235092,1.9611,163.2708,-0.91,160.13,0.0,0.0,0.0,,
2024-11-04,48.0,37.600413,15.622586,2.060608,163.153,-1.16,158.24,-0.1507692307692139,-0.0301538461538427,-0.1206153846153711,,
2024-11-05,48.0,38.078145,16.683113,2.152883,163.0278,-1.41,158.35,-0.2584001753232599,-0.0758031119877262,-0.1825970633355336,,
2024-11-06,47.0,36.782364,16.280178,2.31134,162.9264,-1.24,157.88,-0.3772745600841176,-0.1360974016070044,-0.2411771584771131,,
2024-11-07,44.0,33.75555,16.26345,2.547455,162.7826,-2.12,156.73,-0.5578482283715971,-0.220447566959923,-0.3374006614116741,,
2024-11-08,42.0,30.768075,16.68866,2.872983,162.6074,-1.75,155.47,-0.7934789003532785,-0.3350538336385941,-0.4584250667146843,,
2024-11-11,42.0,29.798817,17.083498,3.174231,162.391,-2.09,155.04,-1.0033493254061057,-0.4687129319920964,-0.5346363934140093,,
2024-11-12,38.0,25.054685,18.363851,3.561546,162.1006,-3.32,152.64,-1.3477965322092589,-0.6445296520355289,-0.7032668801737297,,
2024-11-13,39.0,28.135032,19.841154,3.761158,161.8182,-2.23,153.24,-1.5544398249216158,-0.8265116866127464,-0.7279281383088694,,
2024-11-14,37.0,25.552519,21.406318,3.976592,161.5558,-2.32,151.87,-1.80791317590797,-1.0227919844717912,-0.7851211914361789,HOLD,"[14.828210830688477, 14.743888854980469, 7.998294353485107]"
2024-11-15,41.0,35.469989,22.278646,3.883216,161.3482,-0.67,154.0,-1.81598587909204,-1.181430763395841,-0.6345551156961986,BUY,"[15.200546264648438, 15.234574317932129, 10.708518028259277]"
2024-11-18,43.0,38.651625,22.495955,3.84363,161.1114,1.4,154.77,-1.740191149346316,-1.293182840585936,-0.44700830876038,BUY,"[15.500689506530762, 15.586576461791992, 12.217354774475098]"
2024-11-19,40.0,34.447176,22.806466,3.807127,160.8238,-0.16,153.0,-1.8021731571028567,-1.3949809038893202,-0.4071922532135366,BUY,"[14.914745330810547, 15.150439262390137, 10.626007080078125]"
2024-11-20,41.0,34.920965,23.191299,3.4362,160.5896,0.82,153.11,-1.8214220445804583,-1.4802691320275478,-0.3411529125529107,BUY,"[15.240950584411621, 15.30106258392334, 10.800299644470215]"
2024-11-21,45.0,44.334839,21.819182,3.094649,160.4068,0.97,155.5,-1.6250908647457152,-1.5092334785711814,-0.1158573861745337,BUY,"[15.60119342803955, 15.668968200683594, 13.948711395263672]"
2024-11-22,45.0,43.401307,20.505535,2.951356,160.1998,0.26,155.17,-1.479075372114579,-1.5032018572798609,0.0241264851652818,BUY,"[15.508111000061035, 15.749588012695312, 14.215556144714355]"
2024-11-25,46.0,45.678294,19.285719,2.69679,159.9756,1.82,155.78,-1.2991592411686668,-1.4623933340576225,0.1632340928889555,BUY,"[15.557600975036621, 15.71367073059082, 14.81404972076416]"
2024-11-26,44.0,41.926275,18.651266,2.551361,159.7246,0.92,154.52,-1.2439068965111346,-1.4186960465483247,0.1747891500371901,BUY,"[15.346435546875, 15.52949333190918, 13.135361671447754]"
2024-11-27,46.0,45.305347,17.342778,2.300095,159.5096,-0.06,155.4,-1.1162430151240414,-1.3582054402634682,0.2419624251394267,BUY,"[15.494157791137695, 15.664633750915527, 14.62170696258545]"
2024-11-29,45.0,44.081192,16.339196,2.076085,159.3134,-0.1,155.01,-1.0346118486227454,-1.2934867219353237,0.2588748733125783,BUY,"[15.541494369506836, 15.622885704040527, 14.26452350616455]"
2024-12-02,45.0,43.401162,15.528454,1.755324,159.1262,-0.63,154.8,-0.975617494826878,-1.229912876513635,0.2542953816867568,BUY,"[15.266342163085938, 15.431550025939941, 13.893965721130371]"
2024-12-03,41.0,36.378863,15.543037,1.683335,158.909,-1.4,152.36,-1.1129225738207251,-1.2065148159750527,0.0935922421543273,BUY,"[15.018081665039062, 15.027664184570312, 11.056205749511719]"
2024-12-04,38.0,32.052731,16.527958,1.712342,158.6628,-3.17,150.47,-1.358584130595716,-1.2369286788991851,-0.1216554516965306,HOLD,"[14.588529586791992, 14.450714111328125, 9.069816589355469]"
2024-12-05,37.0,30.11422,17.702553,1.814045,158.4412,-3.54,149.52,-1.6113550468086544,-1.3118139524810792,-0.2995410943275751,HOLD,"[14.758767127990723, 14.56032943725586, 8.665643692016602]"
