date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-01,72.0,56.668018,24.061511,4.737299,216.0114,-1.14,222.94,0.0,0.0,0.0,,
2024-11-04,70.0,50.341138,22.541412,4.137237,216.0408,-1.4,219.78,-0.2520797720797816,-0.0504159544159563,-0.2016638176638253,,
2024-11-05,72.0,53.374793,21.129891,3.309052,216.0872,-1.3,221.49,-0.3102952086427706,-0.1023918052613191,-0.2079034033814514,,
2024-11-06,84.0,76.496537,23.872102,5.949879,216.6248,11.33,247.06,1.6874026140915532,0.2555670786092553,1.431835535482298,,
2024-11-07,76.0,62.545117,26.41844,5.99108,216.9266,6.03,236.38,2.3813550095204903,0.6807246647915024,1.700630344728988,,
2024-11-08,77.0,62.953893,28.782898,6.494443,217.222,7.83,236.98,2.945775205260901,1.1337347728853822,1.8120404323755188,,
2024-11-11,78.0,64.557668,31.193243,7.048833,217.5118,8.04,239.29,3.5386881767924194,1.6147254536667897,1.9239627231256295,,
2024-11-12,77.0,64.749756,33.351223,7.51239,217.897,-3.04,239.56,3.9844326624448456,2.088666895422401,1.8957657670224448,,
2024-11-13,79.0,65.92821,35.562868,8.018774,218.3336,2.02,241.16,4.415891360178875,2.554111788373696,1.8617795718051795,,
2024-11-14,80.0,66.463988,37.632177,8.479888,218.8184,2.06,241.87,4.760243429797527,2.995338116658462,1.7649053131390646,SELL,"[3.864154100418091, 4.812368869781494, 7.37001371383667]"
2024-11-15,83.0,69.006948,39.720225,9.11673,219.4754,2.52,245.31,5.250203103375668,3.446311114001903,1.8038919893737648,SELL,"[3.2204253673553467, 4.299866199493408, 5.922449111938477]"
2024-11-18,82.0,68.551302,41.772241,9.500798,220.0398,2.28,245.03,5.55190708577021,3.867430308355565,1.6844767774146456,SELL,"[4.087104797363281, 4.231358528137207, 7.257355690002441]"
2024-11-19,80.0,65.332511,43.231445,9.679884,220.7904,0.8,243.09,5.5702574185776825,4.207995730399989,1.3622616881776937,BUY,"[2.152984380722046, 3.2206966876983643, 2.598862409591675]"
2024-11-20,78.0,61.622209,43.505894,9.625201,221.4614,-0.45,240.78,5.336882238656756,4.433773032051342,0.9031092066054134,BUY,"[1.9775649309158325, 2.9064221382141113, 1.3056254386901855]"
2024-11-21,81.0,65.280735,43.872177,9.751628,222.2246,-0.22,244.76,5.410712143406386,4.629160854322351,0.7815512890840344,SELL,"[3.2212941646575928, 3.6842241287231445, 4.55824089050293]"
2024-11-22,83.0,68.372667,44.640218,9.838424,223.1092,1.44,248.55,5.70923173096341,4.845175029650563,0.8640567013128466,SELL,"[3.6637299060821533, 4.015380382537842, 5.616800308227539]"
2024-11-25,83.0,69.706506,45.840987,10.067231,223.9578,2.96,250.29,6.016855547642422,5.079511133248936,0.937344414393486,SELL,"[3.328615427017212, 3.810333251953125, 5.508640289306641]"
2024-11-26,83.0,69.129092,46.701049,9.942873,224.7722,3.82,249.97,6.163776138514663,5.296364134302082,0.8674120042125812,SELL,"[2.312974214553833, 3.404913902282715, 3.976776599884033]"
2024-11-27,83.0,68.783943,47.518461,9.741021,225.6174,2.06,249.79,6.194283426081057,5.475947992657877,0.7183354334231797,SELL,"[2.4617695808410645, 3.2471840381622314, 3.8687503337860107]"
2024-11-29,82.0,68.640414,48.337613,9.125842,226.4022,0.47,249.72,6.1420109770110685,5.609160589528516,0.5328503874825525,SELL,"[2.729827404022217, 3.3958017826080322, 3.5520362854003906]"
2024-12-02,79.0,61.760585,47.489428,8.228922,227.1054,-1.61,246.25,5.754253235124196,5.638179118647652,0.1160741164765442,BUY,"[2.188504457473755, 3.078806161880493, 0.5812143683433533]"
2024-12-03,79.0,59.130322,46.569079,6.497744,227.773,-2.06,244.82,5.270804824983514,5.564704259914825,-0.2938994349313102,BUY,"[1.7121987342834473, 2.962397813796997, -1.0992670059204102]"
2024-12-04,80.0,56.554637,44.936822,4.202264,228.4092,-2.56,243.4,4.718692197950361,5.395501847521932,-0.6768096495715712,BUY,"[1.771549105644226, 2.807403326034546, -2.253197431564331]"
2024-12-05,81.0,59.347982,43.760503,4.162475,229.115,-1.7,245.48,4.398276980782526,5.196056874174051,-0.7977798933915246,BUY,"[2.098390817642212, 2.8149070739746094, -0.8439580202102661]"
2024-12-06,83.0,61.742287,42.770965,3.814433,229.8666,0.45,247.36,4.247088112850122,5.0062631219092655,-0.7591750090591436,BUY,"[2.0206620693206787, 2.751936674118042, -0.24159248173236847]"
2024-12-09,80.0,55.138308,41.480059,3.392846,230.5328,-0.41,243.81,3.797044548369144,4.764419407201242,-0.9673748588320984,BUY,"[1.136508822441101, 2.126483201980591, -3.69775652885437]"
2024-12-10,79.0,53.489494,39.764755,3.173821,231.1728,-0.22,242.86,3.3253916753613453,4.476613860833263,-1.1512221854719176,BUY,"[0.8011159300804138, 1.8495802879333496, -5.3903489112854]"
2024-12-11,79.0,54.522378,38.158381,2.930099,231.9026,-0.79,243.53,2.971414163171602,4.175573921300931,-1.2041597581293288,BUY,"[1.440701961517334, 2.1778900623321533, -4.1106672286987305]"
2024-12-12,77.0,50.88936,36.270027,2.904379,232.5874,-2.36,241.53,2.500674925265997,3.840594122093944,-1.339919196827947,BUY,"[1.2261724472045898, 2.194997787475586, -5.399628639221191]"
2024-12-13,75.0,48.142877,33.891359,3.048864,233.2816,-1.59,239.94,1.976526805251467,3.4677806587254487,-1.4912538534739816,BUY,"[1.0344645977020264, 2.0795929431915283, -6.742924690246582]"
2024-12-16,73.0,47.517572,31.752085,3.295018,233.8488,-1.35,239.58,1.514626975550584,3.077149922090476,-1.5625229465398918,BUY,"[1.030880331993103, 1.9367012977600098, -7.091282844543457]"
2024-12-17,71.0,45.367047,30.027641,3.601161,234.3974,-2.12,238.36,1.0381570009923848,2.669351337870858,-1.6311943368784734,BUY,"[0.9307986497879028, 1.7051868438720703, -8.279802322387695]"
2024-12-18,57.0,34.389838,30.056641,4.763763,234.7898,-4.62,230.37,0.0156445479796047,2.138609979892608,-2.122965431913003,BUY,"[-0.050631847232580185, 0.6485182046890259, -14.202275276184082]"
2024-12-19,58.0,39.500106,30.083568,5.306711,235.1806,-2.91,232.96,-0.5790377960956903,1.5950804246949482,-2.174118220790638,BUY,"[0.1352388560771942, 1.1309058666229248, -13.66285514831543]"
