date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,80.0,52.300401,32.884111,2.800867,130.6968,-1.81,136.81,0.0,0.0,0.0,,
2024-11-05,82.0,57.040044,31.702983,2.385371,131.0336,-0.85,138.99,0.1739031339031385,0.0347806267806277,0.1391225071225107,,
2024-11-06,90.0,73.993045,33.212221,3.78711,131.6312,10.15,152.27,1.367543445264232,0.3013331904773486,1.0662102547868837,,
2024-11-07,88.0,70.474787,34.613655,4.314234,132.2128,9.54,150.71,2.1627027382649544,0.6736071000348698,1.4890956382300846,,
2024-11-08,89.0,71.851487,35.959907,4.951134,132.8134,11.25,152.2,2.8799050021456765,1.1148666804570313,1.7650383216886452,,
2024-11-11,90.0,74.972294,37.648911,5.84398,133.456,12.17,155.9,3.7041528726830393,1.632723918902233,2.0714289537808064,,
2024-11-12,87.0,68.881841,38.636425,6.177935,134.1538,0.58,153.16,4.089143051905381,2.1240077455028628,1.9651353064025183,,
2024-11-13,86.0,66.688671,39.077875,6.295904,134.843,0.94,152.13,4.2620083712174335,2.551607870645777,1.7104005005716565,,
2024-11-14,84.0,63.296184,39.118474,6.340607,135.4846,-1.1,150.52,4.2204412182998965,2.8853745401766013,1.3350666781232952,,
2024-11-15,83.0,62.237307,38.416697,6.389392,136.1602,-3.77,150.02,4.099892124495,3.128278057040281,0.9716140674547188,BUY,"[-0.38726258277893066, 0.8458400368690491, -8.2721529006958]"
2024-11-18,85.0,65.277495,37.988271,6.541079,136.84,-0.46,152.45,4.152568565251869,3.3331361586825987,0.8194324065692702,BUY,"[-0.11019806563854218, 0.5243725776672363, -8.582262992858887]"
2024-11-19,85.0,65.681565,37.669644,6.637126,137.5344,0.43,152.78,4.1728413485770375,3.501077196661486,0.6717641519155508,BUY,"[-0.36860233545303345, 0.5956858396530151, -8.08585262298584]"
2024-11-20,84.0,64.218288,37.667462,6.558391,138.2122,1.1,152.18,4.093307587950591,3.619523274919308,0.4737843130312829,BUY,"[-0.4031321108341217, 0.4653998017311096, -7.959261894226074]"
2024-11-21,88.0,70.659367,38.30915,6.947006,138.9584,5.1,157.67,4.422296150560072,3.7800778500474608,0.6422183005126114,BUY,"[-0.0357356034219265, 0.21769338846206665, -4.8574299812316895]"
2024-11-22,88.0,71.621366,39.068832,7.159507,139.675,4.05,158.63,4.706235381657962,3.965309356369561,0.7409260252884007,BUY,"[-0.08736895769834518, 0.6366399526596069, -5.797979831695557]"
