date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,35.0,37.061846,22.871533,56.713276,741.0292,-4.72,663.37,0.0,0.0,0.0,,
2024-11-05,37.0,39.405688,22.460577,54.511796,738.4564,-3.1,670.33,0.5552136752136221,0.1110427350427244,0.4441709401708976,,
2024-11-06,37.0,39.254141,22.452959,49.611477,735.5938,0.51,669.66,0.9304356295808702,0.2749213139503536,0.6555143156305167,,
2024-11-07,33.0,44.873448,21.920794,43.755227,733.2314,2.51,686.15,2.529251284659608,0.7257873080922045,1.803463976567404,,
2024-11-08,33.0,45.289904,21.064671,35.194766,731.0646,3.62,687.41,3.8535740767054,1.3513446618148437,2.502229414890556,,
2024-11-11,31.0,39.796143,21.245435,11.676784,727.9966,-0.64,666.03,3.1417064741576723,1.7094170242834097,1.4322894498742629,,
2024-11-12,32.0,39.494501,21.480464,9.452484,726.4636,-0.73,664.78,2.448457424023104,1.8572251042313483,0.5912323197917557,,
2024-11-13,27.0,34.885876,22.261688,11.237802,724.4524,-6.06,644.55,0.2636217588291174,1.5385044351509023,-1.2748826763217849,,
2024-11-14,27.0,35.067387,22.736032,12.720973,722.7912,-6.17,645.0,-1.415250876395021,0.9477533728417178,-2.363004249236739,,
2024-11-15,20.0,29.132155,24.080815,17.578515,721.0244,-7.74,614.46,-5.150718030757162,-0.2719409078780581,-4.878777122879104,BUY,"[22.250051498413086, 25.049333572387695, -32.02791976928711]"
2024-11-18,21.0,31.503241,25.344763,20.335802,719.2318,-6.7,620.26,-7.555990382114828,-1.7287508027254124,-5.827239579389416,BUY,"[22.961315155029297, 25.629539489746094, -31.209949493408203]"
2024-11-19,21.0,30.627992,26.584113,22.970456,717.2758,-4.48,615.66,-9.721306436516215,-3.327261929483573,-6.394044507032643,BUY,"[22.157255172729492, 26.01795768737793, -40.6151123046875]"
2024-11-20,21.0,31.151932,27.623521,25.017458,714.636,-4.37,616.83,-11.213661676443166,-4.904541878875492,-6.309119797567674,BUY,"[25.159774780273438, 26.604307174682617, -34.902774810791016]"
2024-11-21,25.0,38.170918,27.368752,25.642833,712.6336,3.04,633.16,-10.9524167883352,-6.114116860767433,-4.838299927567766,BUY,"[27.21868324279785, 30.70667839050293, -18.83716583251953]"
2024-11-22,26.0,40.717789,26.818599,25.726845,710.3946,3.11,639.55,-10.113180288668444,-6.913929546347636,-3.1992507423208094,BUY,"[33.031227111816406, 35.521175384521484, 2.1876718997955322]"
2024-11-25,27.0,42.752594,26.078879,25.524593,708.56,4.71,644.67,-8.931975848317961,-7.317538806741702,-1.6144370415762594,BUY,"[33.530067443847656, 36.487335205078125, 17.803245544433594]"
2024-11-26,24.0,39.032813,25.756157,24.196936,706.3974,2.37,631.47,-8.957733328404402,-7.645577711074242,-1.3121556173301592,BUY,"[30.441123962402344, 34.74039840698242, 1.8162875175476074]"
2024-11-27,25.0,39.3214,25.571468,22.745025,704.4194,-0.16,632.14,-8.822383965755307,-7.880938962010456,-0.9414450037448514,BUY,"[27.96322250366211, 31.210830688476562, 1.0632884502410889]"
2024-11-29,28.0,45.496056,23.748013,22.402446,701.9114,1.17,647.03,-7.427994761790842,-7.790350121966534,0.3623553601756919,SELL,"[46.569942474365234, 46.913597106933594, 48.941123962402344]"
2024-12-02,32.0,52.182669,22.42531,22.254708,700.055,3.31,666.03,-4.735205559120118,-7.1793212093972505,2.4441156502771326,SELL,"[71.41384887695312, 65.62977600097656, 96.29912567138672]"
2024-12-03,32.0,52.070425,21.197087,22.341966,698.144,5.42,665.72,-2.596237317037776,-6.262704430925356,3.66646711388758,SELL,"[66.73799896240234, 60.61711120605469, 94.05570983886719]"
2024-12-04,32.0,52.248832,20.233342,22.154152,696.0616,5.39,666.22,-0.8509347078046403,-5.180350486301213,4.329415778496573,SELL,"[64.40807342529297, 58.892723083496094, 89.41397857666016]"
2024-12-05,26.0,43.932926,19.067834,21.599457,693.4726,-0.68,642.61,-1.3572539204249097,-4.415731173125953,3.058477252701043,BUY,"[30.49187469482422, 33.441749572753906, 21.2774658203125]"
2024-12-06,28.0,46.172082,18.160275,19.608025,690.3484,-2.66,648.34,-1.2813814639828252,-3.7888612312973273,2.507479767314502,BUY,"[37.01970291137695, 38.99491500854492, 36.42437744140625]"
2024-12-09,29.0,47.752514,17.303332,17.110668,687.7478,-2.01,652.37,-0.8858531124800493,-3.208259607533872,2.3224064950538224,SELL,"[47.00196075439453, 47.05731201171875, 48.627750396728516]"
2024-12-10,27.0,44.117942,16.080828,16.262952,685.097,-3.65,641.87,-1.4034778728413355,-2.847303260595365,1.4438253877540292,HOLD,"[35.943729400634766, 35.03998565673828, 35.79570007324219]"
2024-12-11,29.0,47.001627,14.945645,15.48099,683.0,0.97,648.84,-1.2370188916675031,-2.5252463868097927,1.2882274951422894,SELL,"[39.510093688964844, 38.74171829223633, 43.43207550048828]"
2024-12-12,28.0,46.176923,14.120195,15.511977,680.3848,-0.27,646.6,-1.271194688278683,-2.274436047103571,1.0032413588248876,HOLD,"[39.784812927246094, 39.412940979003906, 34.661556243896484]"
2024-12-13,30.0,49.242669,13.712879,15.742354,677.9688,0.21,653.76,-0.7123159569822519,-1.9620120290793075,1.2496960720970554,SELL,"[40.956356048583984, 40.80084228515625, 46.21900177001953]"
2024-12-16,30.0,50.252762,13.190247,14.76911,675.3436,2.22,656.13,-0.0772706152887394,-1.5850637463211938,1.5077931310324544,SELL,"[53.26541519165039, 51.894161224365234, 61.286319732666016]"
2024-12-17,30.0,49.69109,12.965985,13.954522,672.8078,0.93,654.88,0.321437508434542,-1.203763495370047,1.525201003804589,SELL,"[49.522926330566406, 47.36376953125, 57.483577728271484]"
2024-12-18,26.0,40.328315,12.918042,12.686514,669.7452,-2.45,630.77,-1.2931522807671172,-1.2216412524494609,-0.0715110283176563,BUY,"[26.363733291625977, 28.912813186645508, 10.922958374023438]"
2024-12-19,25.0,37.609362,13.123357,12.113145,666.0962,-4.83,622.18,-3.228649667967716,-1.6230429355531115,-1.605606732414604,BUY,"[24.504928588867188, 27.632888793945312, -3.113600492477417]"
2024-12-20,27.0,41.183813,13.661447,12.343386,662.724,-4.08,629.37,-4.1347100178488745,-2.1253763520122644,-2.00933366583661,BUY,"[25.412206649780273, 28.986160278320312, 5.593476295471191]"
2024-12-23,31.0,49.286831,13.572543,12.258702,659.6092,-1.05,647.99,-3.3121110325097334,-2.3627232881117584,-0.949387744397975,SELL,"[48.87378692626953, 46.249385833740234, 58.256561279296875]"
2024-12-24,32.0,50.292852,13.319858,12.282675,656.0268,3.13,650.53,-2.4272587102922216,-2.375630372547852,-0.0516283377443702,SELL,"[51.503719329833984, 47.96980285644531, 64.95435333251953]"
2024-12-26,32.0,49.46903,12.951417,11.774365,654.8434,4.24,648.55,-1.8642859939077423,-2.2733614968198297,0.4090755029120871,SELL,"[49.21308135986328, 45.98835372924805, 57.750423431396484]"
2024-12-27,31.0,47.87382,12.856679,11.255106,654.0878,2.45,644.81,-1.700312657778568,-2.1587517290115774,0.4584390712330095,SELL,"[40.68811798095703, 40.94637680053711, 41.86174774169922]"
2024-12-30,29.0,43.375064,13.418256,11.696179,653.3556,-2.21,633.64,-2.4435208684147938,-2.215705556892221,-0.2278153115225727,BUY,"[30.11561393737793, 33.41371536254883, 17.70355224609375]"
2024-12-31,28.0,42.03454,13.87654,11.477334,652.3876,-3.14,630.12,-3.278757832663473,-2.4283160120464715,-0.8504418206170015,BUY,"[29.268709182739258, 32.113712310791016, 17.107559204101562]"
2025-01-02,30.0,45.390806,13.394068,10.671627,651.6478,-1.84,636.62,-3.377262487471967,-2.6181053071315707,-0.759157180340396,HOLD,"[40.390892028808594, 39.71412658691406, 40.1367301940918]"
2025-01-03,42.0,54.324973,12.578108,9.886034,651.3864,1.89,657.01,-1.7893984707267236,-2.4523639398506014,0.6629654691238778,SELL,"[64.1628189086914, 57.873172760009766, 91.72573852539062]"
2025-01-06,48.0,64.528469,13.733362,14.136953,651.8998,8.94,690.3,2.130659074822688,-1.5357593369159437,3.666418411738632,SELL,"[107.15851593017578, 91.60155487060547, 164.55902099609375]"
2025-01-07,47.0,64.065486,15.136315,16.975612,652.3626,9.39,689.3,5.097876136722448,-0.2090322421882653,5.306908378910713,SELL,"[100.52417755126953, 87.31974792480469, 150.8470916748047]"
2025-01-08,46.0,62.566821,16.131966,18.877589,652.6252,7.79,686.2,7.117229947194005,1.2562201956881889,5.861009751505816,SELL,"[83.63270568847656, 74.99356079101562, 129.8919677734375]"
2025-01-10,44.0,61.010026,16.54093,20.08916,652.7994,3.96,683.06,8.367752391897511,2.678526634930053,5.689225756967458,SELL,"[78.2025375366211, 72.54927825927734, 111.39030456542969]"
2025-01-13,45.0,63.481383,16.500846,21.783145,652.6946,0.1,690.99,9.884740034991069,4.119769314942257,5.764970720048812,SELL,"[83.370361328125, 75.76363372802734, 125.62718200683594]"
2025-01-14,46.0,66.447491,16.905267,23.983443,652.8838,1.74,701.26,11.779875766360874,5.6517906052259805,6.128085161134893,SELL,"[92.2169189453125, 82.91307830810547, 145.86264038085938]"
2025-01-15,49.0,70.246159,18.278033,27.225664,653.8842,4.38,716.25,14.326208595595176,7.38667420329982,6.939534392295356,SELL,"[104.10218811035156, 89.36841583251953, 165.3134002685547]"
2025-01-16,55.0,76.239257,20.819591,33.173179,655.4418,9.4,747.26,18.631669261284745,9.635673214896803,8.995996046387937,SELL,"[124.90730285644531, 104.87096405029297, 203.07086181640625]"
2025-01-17,57.0,77.823125,23.179609,38.744455,657.3238,9.62,757.47,22.60703964880463,12.22994650167837,10.37709314712626,SELL,"[128.2650604248047, 107.0761489868164, 205.53167724609375]"
2025-01-21,57.0,79.248609,25.654893,43.066417,659.262,9.41,767.24,26.243389215678576,15.032635044478411,11.210754171200165,SELL,"[120.60824584960938, 103.0290298461914, 197.07534790039062]"
2025-01-22,59.0,79.913232,28.105867,45.8931,661.307,7.77,771.91,29.16584669154065,17.859277373890862,11.306569317649789,SELL,"[115.04203033447266, 100.70960235595703, 184.12265014648438]"
2025-01-23,56.0,73.928838,28.558703,47.008676,662.803,1.83,760.95,30.248845036543344,20.33719090642136,9.911654130121985,SELL,"[88.3642349243164, 78.32042694091797, 137.67857360839844]"
2025-01-24,53.0,68.332591,29.081051,47.631261,664.0512,-1.01,749.82,29.86476858278138,22.242706441693365,7.622062141088016,SELL,"[60.366981506347656, 55.663185119628906, 91.5146484375]"
2025-01-27,43.0,50.802853,27.069637,46.503289,664.7848,-8.41,702.71,25.465452061084196,22.88725556557153,2.5781964955126604,HOLD,"[26.081811904907227, 25.416553497314453, 11.041818618774414]"
2025-01-28,43.0,50.863366,25.201895,45.08463,665.5476,-8.94,702.92,21.7452416573492,22.658852783927067,-0.9136111265778696,BUY,"[22.200443267822266, 23.12192153930664, 5.80660343170166]"
2025-01-29,44.0,53.79256,23.91116,43.247684,666.916,-6.31,712.97,19.38444727656133,22.00397168245392,-2.6195244058925877,BUY,"[26.433757781982422, 26.437847137451172, 10.825538635253906]"
2025-01-30,50.0,61.111026,23.454442,40.776699,668.8646,-0.99,742.43,19.66400213746465,21.535977773456068,-1.8719756359914184,SELL,"[49.32435607910156, 43.71680450439453, 66.92704772949219]"
2025-01-31,50.0,59.66364,23.661525,36.825043,671.3402,5.06,738.24,19.32469039444061,21.09372029765298,-1.7690299032123704,SELL,"[47.249820709228516, 43.596553802490234, 60.58232879638672]"
2025-02-03,50.0,60.141634,23.496312,32.424056,673.7392,5.31,740.21,18.995774465924,20.674131131307185,-1.678356665383184,SELL,"[51.66408920288086, 47.83222961425781, 63.95455551147461]"
2025-02-04,51.0,62.362785,23.424993,29.507449,676.4124,5.1,749.32,19.24832438556564,20.38896978215888,-1.1406453965932393,SELL,"[58.575016021728516, 56.36003112792969, 78.5106430053711]"
2025-02-05,53.0,64.651788,23.525497,29.268866,679.2588,2.25,759.15,20.010996551831116,20.313375136093324,-0.3023785842622111,SELL,"[82.45533752441406, 76.90080261230469, 116.40851593017578]"
2025-02-06,53.0,65.269635,23.686213,28.67614,681.832,3.19,761.82,20.593477633072325,20.369395635489127,0.2240819975831982,SELL,"[81.4487075805664, 74.9283447265625, 122.5605239868164]"
2025-02-07,49.0,59.360577,23.387835,26.826061,683.995,1.01,747.7,19.688772182385836,20.23327094486847,-0.5444987624826361,SELL,"[63.498756408691406, 57.19352722167969, 88.37748718261719]"
2025-02-10,50.0,60.388988,23.083376,24.193821,686.1308,0.29,751.46,19.055526918373403,19.99772213956945,-0.9421952211960516,SELL,"[56.8369140625, 51.34824752807617, 81.18344116210938]"
2025-02-11,52.0,62.343183,22.826793,21.922222,688.6738,-0.07,758.62,18.91340567826842,19.780858847309247,-0.8674531690408287,SELL,"[68.30879974365234, 61.50253677368164, 97.37798309326172]"
2025-02-12,50.0,58.820866,22.008881,19.880877,691.042,-1.48,750.55,17.942759057920966,19.413238889431597,-1.470479831510627,SELL,"[53.68168640136719, 50.0245246887207, 71.2192611694336]"
