date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,44.0,25.340935,32.56533,1.958242,70.1474,-0.69,65.11,0.0,0.0,0.0,,
2024-11-05,46.0,28.310658,34.259978,2.036755,70.038,-0.83,65.37,0.0207407407407487,0.0041481481481497,0.0165925925925989,,
2024-11-06,41.0,22.201918,36.542747,2.20573,69.882,-2.47,63.7,-0.096465126094742,-0.0159745067004286,-0.0804906193943134,,
2024-11-07,41.0,22.07903,38.662461,2.342731,69.7202,-2.08,63.66,-0.1903846499562291,-0.0508565353515887,-0.1395281146046404,,
2024-11-08,43.0,24.985481,40.630767,2.407407,69.5576,-1.83,63.92,-0.2410579561160091,-0.0888968195044728,-0.1521611366115363,,
2024-11-11,41.0,22.995915,42.668251,2.425173,69.3754,-3.07,63.36,-0.3226845298182184,-0.1356543615672219,-0.1870301682509964,,
2024-11-12,41.0,22.445962,44.613598,2.40299,69.1792,-0.78,63.2,-0.3957231897864091,-0.1876681272110593,-0.2080550625753497,,
2024-11-13,41.0,21.745883,46.661384,2.317557,68.988,-1.04,63.0,-0.4643919611029616,-0.2430128939894398,-0.2213790671135218,,
2024-11-14,40.0,20.217925,48.584628,2.262066,68.8156,-2.14,62.55,-0.5487975003270051,-0.3041698152569529,-0.2446276850700521,,
2024-11-15,38.0,17.794262,50.701185,2.141146,68.6276,-2.56,61.74,-0.673288478347807,-0.3779935478751238,-0.2952949304726832,HOLD,"[2.9479591846466064, 2.198085069656372, -3.2736995220184326]"
2024-11-18,38.0,19.336999,52.66656,2.034959,68.4278,-2.12,61.86,-0.7535786921436198,-0.453110576728823,-0.3004681154147968,HOLD,"[2.9915287494659424, 2.1806201934814453, -3.167942523956299]"
2024-11-19,42.0,28.168421,53.399667,1.800571,68.2486,-0.65,62.59,-0.7496627207056505,-0.5124210055241886,-0.2372417151814619,HOLD,"[3.0274198055267334, 2.449428081512451, -2.5566697120666504]"
2024-11-20,44.0,32.527597,53.267936,1.64199,68.0868,0.7,62.99,-0.7061426550980698,-0.5511653354389648,-0.154977319659105,HOLD,"[2.8741414546966553, 2.425088882446289, -2.2069931030273438]"
2024-11-21,47.0,40.067514,51.699177,1.49157,67.9374,3.27,63.76,-0.6025740264300339,-0.5614470736371786,-0.0411269527928552,HOLD,"[2.73229718208313, 2.322561502456665, -1.1215379238128662]"
2024-11-22,48.0,41.529659,49.233768,1.345095,67.7876,3.33,63.92,-0.5018000407051773,-0.5495176670507784,0.0477176263456011,HOLD,"[2.703218936920166, 2.3254544734954834, -0.6302578449249268]"
2024-11-25,50.0,45.636059,46.624384,1.199077,67.6332,2.86,64.38,-0.3804323876078541,-0.5157006111621936,0.1352682235543394,HOLD,"[2.661987066268921, 2.2284839153289795, 0.4026854634284973]"
2024-11-26,51.0,47.114281,44.201385,1.145895,67.4882,2.48,64.55,-0.2674471051229687,-0.4660499099543486,0.1986028048313798,HOLD,"[2.640181541442871, 2.1877505779266357, 1.056099534034729]"
2024-11-27,50.0,46.16014,41.295596,1.049717,67.3418,1.05,64.43,-0.1854506917217335,-0.4099300663078256,0.224479374586092,HOLD,"[2.5631558895111084, 2.122598886489868, 0.918959379196167]"
2024-11-29,49.0,43.399453,39.175377,0.98907,67.211,0.25,64.08,-0.1470153172139632,-0.3573471164890531,0.2103317992750899,HOLD,"[2.5587732791900635, 2.1847541332244873, 0.6235644817352295]"
2024-12-02,47.0,40.217123,37.669034,0.93935,67.0512,-1.13,63.65,-0.1495287381299377,-0.31578344081723,0.1662547026872923,HOLD,"[2.557220220565796, 2.246401786804199, -0.22788836061954498]"
2024-12-03,47.0,39.279378,36.601993,0.87232,66.887,-1.6,63.52,-0.1601642817178969,-0.2846596089973634,0.1244953272794664,HOLD,"[2.5798757076263428, 2.2387659549713135, -0.2744709849357605]"
2024-12-04,43.0,31.347305,36.590049,0.804968,66.7046,-3.45,62.21,-0.2711731630848959,-0.2819623198148699,0.0107891567299739,HOLD,"[2.702349901199341, 2.3943979740142822, -2.0817933082580566]"
2024-12-05,46.0,38.58602,36.578959,0.806129,66.534,-1.81,62.92,-0.2984174642916883,-0.2852533487102336,-0.0131641155814547,HOLD,"[2.569009780883789, 2.311065912246704, -0.4284927248954773]"
2024-12-06,44.0,36.320605,36.160737,0.819424,66.3566,-1.76,62.53,-0.3474730568121984,-0.2976972903306266,-0.0497757664815718,HOLD,"[2.544052839279175, 2.391542673110962, -1.1442301273345947]"
2024-12-09,45.0,37.035164,36.281054,0.8166,66.1728,-1.45,62.6,-0.3763630730968046,-0.3134304468838622,-0.0629326262129424,HOLD,"[2.518510341644287, 2.2303669452667236, -0.9172170758247375]"
2024-12-10,47.0,40.23362,36.392776,0.81786,65.9938,1.13,62.91,-0.3699793186406097,-0.3247402212352117,-0.045239097405398,HOLD,"[2.5702176094055176, 2.2991418838500977, 0.3055436909198761]"
2024-12-11,45.0,38.403821,35.478547,0.825883,65.8124,-0.45,62.64,-0.3822999746234785,-0.336252171912865,-0.0460478027106134,HOLD,"[2.510632038116455, 2.212514638900757, -0.4901893138885498]"
2024-12-12,49.0,49.415096,34.171552,0.838876,65.669,2.09,63.84,-0.2918697196285791,-0.3273756814560078,0.0355059618274287,HOLD,"[2.3541371822357178, 1.9944355487823486, 2.0094075202941895]"
2024-12-13,46.0,44.29821,33.080697,0.82646,65.521,0.83,63.12,-0.2751295515313998,-0.3169264554710863,0.0417969039396864,HOLD,"[2.321880578994751, 2.0654103755950928, 0.8403183221817017]"
2024-12-16,45.0,40.704705,32.842694,0.771342,65.3686,-0.57,62.55,-0.3043487411813999,-0.314410912613149,0.0100621714317491,HOLD,"[2.463894844055176, 1.992854356765747, 0.2962184548377991]"
2024-12-17,48.0,47.539047,32.650066,0.702264,65.2564,1.21,63.4,-0.2559666391558366,-0.3027220579216865,0.0467554187658499,HOLD,"[2.326129913330078, 2.09442138671875, 1.8747916221618652]"
2024-12-18,47.0,44.004739,32.304416,0.690767,65.1298,-1.55,62.85,-0.2590180790029706,-0.2939812621379434,0.0349631831349728,HOLD,"[2.2927944660186768, 1.9606143236160278, 0.7747927308082581]"
2024-12-19,46.0,41.583397,32.381814,0.714174,64.9874,-1.06,62.45,-0.2903658671566802,-0.2932581831416908,0.0028923159850105,HOLD,"[2.3772783279418945, 1.9878028631210327, 0.5370833873748779]"
2024-12-20,39.0,42.436165,32.572447,0.725124,64.8534,0.0,62.55,-0.3036398793322945,-0.2953345223798115,-0.0083053569524829,HOLD,"[2.1166303157806396, 2.1060776710510254, -0.340590238571167]"
2024-12-23,38.0,41.331557,33.416764,0.732152,64.7096,-1.61,62.38,-0.3241407164575633,-0.3010957611953619,-0.0230449552622014,HOLD,"[2.114528179168701, 2.0446832180023193, -0.9328451752662659]"
2024-12-24,40.0,45.467927,34.033128,0.680874,64.5596,-0.02,62.84,-0.2998135578923708,-0.3008393205347637,0.0010257626423929,HOLD,"[2.0538902282714844, 1.969942331314087, -0.03558312729001045]"
2024-12-26,39.0,43.528053,34.605466,0.602417,64.4042,0.19,62.57,-0.298875601091801,-0.3004465766461712,0.0015709755543702,HOLD,"[2.1058030128479004, 2.0225300788879395, -0.44618096947669983]"
2024-12-27,39.0,42.656966,34.658519,0.516121,64.2418,-0.16,62.45,-0.3043073944692267,-0.3012187402107824,-0.0030886542584443,HOLD,"[2.158637523651123, 2.021991014480591, -0.48840460181236267]"
2024-12-30,38.0,39.665028,35.232371,0.474041,64.0844,-0.56,62.03,-0.3385994560102929,-0.3086948833706845,-0.0299045726396084,HOLD,"[2.1374526023864746, 2.1237456798553467, -1.103503942489624]"
2024-12-31,39.0,42.061611,35.557809,0.445431,63.9208,-0.92,62.26,-0.3432601941862288,-0.3156079455337934,-0.0276522486524353,HOLD,"[2.1671950817108154, 2.047525644302368, -0.7001962065696716]"
2025-01-02,38.0,39.014064,35.138171,0.447125,63.7686,-1.17,61.84,-0.376504246099735,-0.3277872056469817,-0.0487170404527532,HOLD,"[2.1282856464385986, 2.053028106689453, -1.1687023639678955]"
2025-01-03,37.0,38.372468,34.748508,0.47966,63.6146,-1.12,61.75,-0.4054389962188622,-0.3433175637613578,-0.0621214324575044,HOLD,"[2.1072428226470947, 2.0604629516601562, -1.4460504055023193]"
2025-01-06,35.0,32.382532,35.396105,0.615705,63.4706,-1.97,60.81,-0.4984740398025806,-0.3743488589696024,-0.1241251808329781,HOLD,"[2.2393276691436768, 2.134598970413208, -2.3871910572052]"
2025-01-07,35.0,32.743373,35.661416,0.71611,63.3414,-2.28,60.84,-0.5632909652336622,-0.4121372802224144,-0.1511536850112477,HOLD,"[2.287799119949341, 2.1278316974639893, -2.4057724475860596]"
2025-01-08,38.0,42.351287,35.792449,0.731891,63.2372,-0.21,61.71,-0.5382524770074824,-0.437360319579428,-0.1008921574280543,HOLD,"[2.110508441925049, 2.067829132080078, -0.7016117572784424]"
