date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist,action,q_values
2024-11-04,48.0,34.135346,20.145596,8.743987,472.4752,-3.44,458.32,0.0,0.0,0.0,,
2024-11-05,46.0,31.549316,21.809954,9.666572,472.2038,-3.91,454.89,-0.2736182336182651,-0.054723646723653,-0.218894586894612,,
2024-11-06,50.0,42.19195,22.215846,9.921716,472.0096,1.42,462.63,0.1325625603687967,-0.017266405305163,0.1498289656739598,,
2024-11-07,51.0,45.537961,22.103388,10.03226,471.8622,1.78,465.47,0.6758373982746662,0.1213543554108027,0.5544830428638634,,
2024-11-08,48.0,40.246668,22.563858,10.445118,471.5972,0.25,459.48,0.6159434690183048,0.2202721781323031,0.3956712908860016,,
2024-11-11,46.0,37.84336,23.432423,10.906887,471.161,0.34,456.44,0.3194916045694072,0.2401160634197239,0.0793755411496832,,
2024-11-12,45.0,37.174924,24.429759,11.176196,470.7918,-1.52,455.59,0.0157815500345464,0.1952491607426884,-0.179467610708142,,
2024-11-13,46.0,38.075687,25.639502,11.062184,470.474,-1.98,456.24,-0.1704959177637874,0.1221001450413932,-0.2925960628051807,,
2024-11-14,45.0,35.740907,26.679839,10.750599,470.2334,-1.3,453.49,-0.5338700487424148,-0.0090938937153683,-0.5247761550270464,,
2024-11-15,44.0,32.332475,28.254889,10.427012,470.0784,-1.61,449.1,-1.162680321745654,-0.2398111793214254,-0.9228691424242286,BUY,"[15.66724967956543, 16.7940616607666, -3.238792657852173]"
2024-11-18,45.0,31.936501,29.857866,10.117416,469.7882,-1.54,448.57,-1.6843672271272112,-0.5287223888825827,-1.1556448382446285,BUY,"[15.681268692016602, 16.263835906982422, -0.9886126518249512]"
2024-11-19,43.0,28.71387,31.783822,9.988278,469.395,-2.67,444.06,-2.43367329570674,-0.909712570247414,-1.5239607254593257,BUY,"[15.848653793334961, 16.412799835205078, -7.712850093841553]"
2024-11-20,47.0,37.822778,32.105098,9.556156,469.0956,-0.74,450.14,-2.507988041223939,-1.2293676644427192,-1.27862037678122,BUY,"[17.30809211730957, 18.53212547302246, -0.5949664115905762]"
2024-11-21,49.0,44.064142,31.550817,9.008683,468.8502,1.33,455.07,-2.1443544311166534,-1.412365017777506,-0.7319894133391474,BUY,"[19.89454460144043, 22.200292587280273, 6.695484638214111]"
2024-11-22,49.0,43.785715,30.646934,8.386082,468.5696,1.38,454.78,-1.8581531191395584,-1.5015226380499165,-0.3566304810896419,BUY,"[21.066951751708984, 23.462495803833008, 13.925895690917969]"
2024-11-25,50.0,44.960967,29.877104,7.317357,468.1852,2.62,455.69,-1.540153195292589,-1.5092487494984512,-0.030904445794138,BUY,"[21.67838478088379, 23.89768409729004, 15.347881317138672]"
2024-11-26,51.0,46.172874,29.39513,6.105421,467.884,1.44,456.6,-1.2008637598536325,-1.4475717515694877,0.246707991715855,BUY,"[21.672605514526367, 23.459758758544922, 15.881438255310059]"
2024-11-27,51.0,46.892491,28.341353,4.670833,467.6858,0.45,457.12,-0.8798721650241532,-1.3340318342604207,0.4541596692362675,BUY,"[21.149282455444336, 22.991798400878906, 16.693885803222656]"
2024-11-29,53.0,52.032237,26.957987,4.828375,467.5222,1.37,460.99,-0.3096380418384683,-1.1291530757760302,0.8195150339375619,BUY,"[25.558034896850586, 27.606990814208984, 24.62200164794922]"
2024-12-02,51.0,50.272166,25.673433,4.897906,467.2778,0.88,459.69,0.0369515195387748,-0.8959321567130692,0.932883676251844,BUY,"[24.118301391601562, 26.09474754333496, 21.140905380249023]"
2024-12-03,50.0,48.153668,24.298659,4.892785,466.893,0.33,458.12,0.1828327825035103,-0.6801791688697534,0.8630119513732637,BUY,"[24.302101135253906, 25.544361114501953, 24.79168701171875]"
2024-12-04,51.0,50.073092,23.261676,4.955203,466.495,0.51,459.45,0.4011405209230929,-0.4639152309111841,0.8650557518342771,BUY,"[24.362354278564453, 25.63800621032715, 23.815940856933594]"
2024-12-05,46.0,37.766814,23.469041,4.952331,465.9264,-2.69,448.58,-0.2995145617501293,-0.4310350970789732,0.1315205353288438,BUY,"[15.825033187866211, 17.16998863220215, 2.222231388092041]"
2024-12-06,46.0,39.043247,23.807228,4.508006,465.2816,-2.23,449.44,-0.776443591630823,-0.5001167959893432,-0.2763267956414797,BUY,"[16.283864974975586, 17.912477493286133, 5.560204029083252]"
2024-12-09,43.0,33.194624,24.754339,5.03562,464.543,-3.39,442.58,-1.6884940441968863,-0.7377922456308519,-0.9507017985660348,BUY,"[15.977668762207031, 17.168621063232422, -5.294215679168701]"
2024-12-10,44.0,36.523418,26.129502,5.335179,463.902,-3.19,444.81,-2.2059296518290807,-1.0314197268704977,-1.174509924958583,BUY,"[16.658388137817383, 17.75937271118164, -0.30946287512779236]"
2024-12-11,43.0,33.113072,27.406438,5.94517,463.2122,-1.79,440.53,-2.92761362189043,-1.4106585058744845,-1.5169551160159456,BUY,"[16.134675979614258, 17.308549880981445, -5.154392719268799]"
2024-12-12,42.0,31.605672,28.824805,6.574179,462.4654,-2.43,438.5,-3.621609739495227,-1.852848752598633,-1.768760986896594,BUY,"[16.453083038330078, 17.406600952148438, -6.884657382965088]"
2024-12-13,41.0,29.33839,30.611594,7.42105,461.7764,-1.64,435.3,-4.379337640872279,-2.358146530253362,-2.0211911106189167,BUY,"[15.471353530883789, 15.642129898071289, -10.640804290771484]"
2024-12-16,38.0,25.097118,32.675112,8.856798,460.9788,-3.71,428.3,-5.481496678807275,-2.982816559964145,-2.4986801188431302,BUY,"[16.07929039001465, 16.463926315307617, -14.826921463012695]"
2024-12-17,39.0,28.133971,34.692536,9.799294,460.318,-2.34,430.2,-6.130977444382552,-3.6124487368478255,-2.5185287075347254,HOLD,"[16.172950744628906, 16.043834686279297, -16.195627212524414]"
2024-12-18,36.0,23.797294,36.819157,11.324693,459.3746,-3.7,422.27,-7.202553799811824,-4.330469749440626,-2.872084050371198,BUY,"[16.46438980102539, 16.49376678466797, -19.831668853759766]"
2024-12-19,35.0,22.533156,38.972858,12.815392,458.375,-3.61,419.59,-8.173816713042015,-5.0991391421609045,-3.0746775708811107,HOLD,"[16.32069969177246, 16.154972076416016, -21.77928924560547]"
2024-12-20,38.0,29.623779,41.016964,13.450309,457.4728,-0.93,424.31,-8.46510456001107,-5.7723322257309375,-2.692772334280133,BUY,"[16.503602981567383, 16.92654037475586, -20.043874740600586]"
2024-12-23,37.0,28.447476,42.950795,14.037762,456.4386,-1.83,422.33,-8.754801824046467,-6.368826145394044,-2.3859756786524238,BUY,"[16.0582218170166, 16.744728088378906, -20.72856903076172]"
2024-12-24,39.0,33.395814,44.612694,14.169503,455.4024,0.83,425.77,-8.607586839184876,-6.816578284152211,-1.7910085550326649,BUY,"[15.325273513793945, 16.588947296142578, -17.04529571533203]"
2024-12-26,38.0,32.379344,45.966594,14.164604,454.2746,1.13,424.32,-8.509824821539041,-7.155227591629577,-1.354597229909464,BUY,"[15.421018600463867, 16.870634078979492, -20.149890899658203]"
2024-12-27,38.0,31.427351,47.332415,14.007855,453.0546,-0.31,422.98,-8.443147174420062,-7.412811508187675,-1.0303356662323877,BUY,"[14.922201156616211, 15.681167602539062, -17.7524471282959]"
2024-12-30,36.0,27.917892,49.018269,13.614872,451.6866,-1.11,417.66,-8.719076115572761,-7.674064429664693,-1.0450116859080687,BUY,"[14.938687324523926, 15.624153137207031, -21.163053512573242]"
2024-12-31,29.0,29.526871,50.583706,12.924121,450.331,-1.67,418.67,-8.755327267580412,-7.890316997247837,-0.8650102703325757,BUY,"[15.509916305541992, 16.604907989501953, -25.56420135498047]"
2025-01-02,27.0,26.670407,51.104815,12.304243,448.9472,-2.39,414.17,-9.04292771695873,-8.120839141190016,-0.9220885757687132,BUY,"[14.657041549682617, 15.852540969848633, -27.386327743530273]"
2025-01-03,27.0,26.263025,51.650913,11.099578,447.5782,-2.24,413.5,-9.218649690494942,-8.340401251051002,-0.87824843944394,BUY,"[15.324223518371582, 16.44906234741211, -25.890785217285156]"
2025-01-06,27.0,25.888019,52.250945,10.699293,446.2878,-1.14,412.91,-9.298333291521942,-8.53198765914519,-0.7663456323767512,BUY,"[15.063240051269531, 16.433015823364258, -28.040721893310547]"
2025-01-07,29.0,29.629492,52.94288,9.746135,445.0976,-0.89,414.95,-9.092064508377632,-8.64400302899168,-0.4480614793859523,BUY,"[14.934759140014648, 16.171735763549805, -24.769756317138672]"
2025-01-08,33.0,37.991497,53.029287,9.002568,444.0226,1.41,420.01,-8.423197917499579,-8.59984200669326,0.1766440891936813,BUY,"[14.919159889221191, 16.933807373046875, -19.09092903137207]"
2025-01-10,31.0,33.087842,53.381088,7.974523,442.7856,0.16,414.15,-8.270630669176285,-8.533999739189865,0.2633690700135798,BUY,"[14.401432991027832, 16.196786880493164, -22.429738998413086]"
2025-01-13,36.0,42.941017,52.047971,6.890523,441.721,2.06,421.43,-7.476104982664594,-8.32242078788481,0.8463158052202164,BUY,"[16.2462100982666, 18.161239624023438, -11.368178367614746]"
2025-01-14,40.0,49.400111,49.414203,5.918263,440.7988,2.97,427.29,-6.300951182888639,-7.918126866885577,1.6171756839969378,BUY,"[17.89467430114746, 21.13640594482422, -3.3555407524108887]"
2025-01-15,41.0,50.116166,46.091246,5.24151,440.2354,1.9,427.98,-5.253398192375983,-7.385181131983659,2.1317829396076764,BUY,"[19.42865562438965, 22.792503356933594, 3.7954931259155273]"
2025-01-16,42.0,54.635012,43.005642,5.595318,439.739,4.43,432.49,-4.013025926961461,-6.71075009097922,2.6977241640177585,BUY,"[24.95328712463379, 27.898122787475586, 12.35421371459961]"
2025-01-17,43.0,57.836287,41.371981,6.167582,439.2926,3.46,436.0,-2.715491805318038,-5.9116984338469845,3.1962066285289463,BUY,"[27.084325790405273, 29.455198287963867, 16.69342803955078]"
